Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,2.50,2.50,2.50,2.50,1.48,54400
1973-02-22,2.50,2.50,2.50,2.50,1.48,56000
1973-02-23,2.48,2.48,2.48,2.48,1.47,113600
1973-02-26,2.48,2.48,2.48,2.48,1.47,280000
1973-02-27,2.47,2.47,2.47,2.47,1.46,387200
1973-02-28,2.48,2.48,2.48,2.48,1.47,144000
1973-03-01,2.46,2.46,2.46,2.46,1.46,80000
1973-03-02,2.47,2.47,2.47,2.47,1.46,422400
1973-03-05,2.45,2.45,2.45,2.45,1.45,281600
1973-03-06,2.45,2.45,2.45,2.45,1.45,184000
1973-03-07,2.43,2.43,2.43,2.43,1.44,91200
1973-03-08,2.42,2.42,2.42,2.42,1.43,38400
1973-03-09,2.41,2.41,2.41,2.41,1.43,140800
1973-03-12,2.41,2.41,2.41,2.41,1.42,432000
1973-03-13,2.41,2.41,2.41,2.41,1.43,88000
1973-03-14,2.42,2.42,2.42,2.42,1.43,48000
1973-03-15,2.43,2.43,2.43,2.43,1.44,40000
1973-03-16,2.44,2.44,2.44,2.44,1.44,137600
1973-03-19,2.43,2.43,2.43,2.43,1.44,155200
1973-03-20,2.41,2.41,2.41,2.41,1.43,441600
1973-03-21,2.41,2.41,2.41,2.41,1.43,384000
1973-03-22,2.35,2.35,2.35,2.35,1.39,225600
1973-03-23,2.30,2.30,2.30,2.30,1.36,192000
1973-03-26,2.24,2.24,2.24,2.24,1.33,384000
1973-03-27,2.30,2.30,2.30,2.30,1.36,304000
1973-03-28,2.33,2.33,2.33,2.33,1.38,326400
1973-03-29,2.38,2.38,2.38,2.38,1.41,329600
1973-03-30,2.36,2.36,2.36,2.36,1.40,102400
1973-04-02,2.32,2.32,2.32,2.32,1.37,195200
1973-04-03,2.30,2.30,2.30,2.30,1.36,73600
1973-04-04,2.27,2.27,2.27,2.27,1.34,110400
1973-04-05,2.27,2.27,2.27,2.27,1.35,112000
1973-04-06,2.29,2.29,2.29,2.29,1.36,136000
1973-04-09,2.29,2.29,2.29,2.29,1.36,120000
1973-04-10,2.38,2.38,2.38,2.38,1.41,196800
1973-04-11,2.45,2.45,2.45,2.45,1.45,270400
1973-04-12,2.44,2.44,2.44,2.44,1.44,267200
1973-04-13,2.40,2.40,2.40,2.40,1.42,112000
1973-04-16,2.38,2.38,2.38,2.38,1.41,155200
1973-04-17,2.37,2.37,2.37,2.37,1.40,30400
1973-04-18,2.37,2.37,2.37,2.37,1.40,59200
1973-04-19,2.38,2.38,2.38,2.38,1.41,134400
1973-04-23,2.33,2.33,2.33,2.33,1.38,193600
