Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.00,10.28,10.12,10.12,0.28,25600
1962-01-03,0.00,10.20,10.12,10.12,0.28,28800
1962-01-04,0.00,10.19,10.09,10.09,0.28,21600
1962-01-05,0.00,10.03,9.88,9.88,0.27,46400
1962-01-08,0.00,10.03,9.89,9.92,0.27,29600
1962-01-09,0.00,10.03,9.91,9.91,0.27,40000
1962-01-10,0.00,9.97,9.38,9.88,0.27,20800
1962-01-11,0.00,9.97,9.89,9.92,0.27,25600
1962-01-12,0.00,10.03,9.91,10.00,0.28,16000
1962-01-15,0.00,10.03,9.97,10.03,0.28,34400
1962-01-16,0.00,10.00,9.88,9.89,0.27,57600
1962-01-17,0.00,9.97,9.88,9.88,0.27,24800
1962-01-18,0.00,9.97,9.88,9.88,0.27,37600
1962-01-19,0.00,9.88,9.77,9.86,0.27,29600
1962-01-22,0.00,9.97,9.83,9.84,0.27,24800
1962-01-23,0.00,9.83,9.72,9.72,0.27,32000
1962-01-24,0.00,9.73,9.64,9.69,0.27,40000
1962-01-25,0.00,9.70,9.53,9.53,0.26,72000
1962-01-26,0.00,9.58,9.50,9.53,0.26,35200
1962-01-29,0.00,9.62,9.53,9.58,0.26,39200
1962-01-30,0.00,9.66,9.62,9.62,0.27,40800
1962-01-31,0.00,9.62,9.59,9.59,0.27,24000
1962-02-01,0.00,9.64,9.58,9.62,0.27,38400
1962-02-02,0.00,9.62,9.58,9.62,0.27,33600
1962-02-05,0.00,9.62,9.56,9.62,0.27,24000
1962-02-06,0.00,9.62,9.53,9.61,0.27,38400
1962-02-07,0.00,9.66,9.58,9.66,0.27,28000
1962-02-08,0.00,9.62,9.58,9.58,0.27,24000
1962-02-09,0.00,9.62,9.56,9.62,0.27,17600
1962-02-12,0.00,9.62,9.58,9.62,0.27,22400
1962-02-13,0.00,9.81,9.61,9.77,0.27,36000
1962-02-14,0.00,9.91,9.80,9.91,0.28,41600
1962-02-15,0.00,10.03,9.91,10.03,0.28,38400
1962-02-16,0.00,10.03,9.88,9.89,0.28,38400
1962-02-19,0.00,9.92,9.89,9.92,0.28,8800
1962-02-20,0.00,9.97,9.89,9.97,0.28,26400
1962-02-21,0.00,9.95,9.83,9.83,0.27,68000
1962-02-23,0.00,9.86,9.81,9.81,0.27,61600
1962-02-26,0.00,9.84,9.78,9.78,0.27,25600
1962-02-27,0.00,9.81,9.72,9.72,0.27,35200
1962-02-28,0.00,9.78,9.70,9.75,0.27,18400
1962-03-01,0.00,9.84,9.78,9.81,0.27,19200
1962-03-02,0.00,9.84,9.81,9.81,0.27,23200
1962-03-05,0.00,9.86,9.81,9.83,0.27,29600
1962-03-06,0.00,9.83,9.75,9.75,0.27,38400
1962-03-07,0.00,9.77,9.73,9.77,0.27,64800
1962-03-08,0.00,9.88,9.81,9.86,0.27,23200
1962-03-09,0.00,10.06,9.91,10.06,0.28,52800
1962-03-12,0.00,10.14,10.09,10.11,0.28,31200
1962-03-13,0.00,10.12,10.09,10.12,0.28,24000
1962-03-14,0.00,10.14,10.09,10.09,0.28,23200
1962-03-15,0.00,10.12,10.08,10.08,0.28,16000
1962-03-16,0.00,10.12,10.06,10.09,0.28,28800
1962-03-19,0.00,10.12,10.09,10.12,0.28,12800
1962-03-20,0.00,10.12,10.09,10.12,0.28,20800
1962-03-21,0.00,10.19,10.12,10.17,0.28,44800
1962-03-22,0.00,10.19,10.09,10.14,0.28,35200
1962-03-23,0.00,10.19,10.11,10.19,0.28,32000
1962-03-26,0.00,10.31,10.12,10.28,0.29,43200
1962-03-27,0.00,10.34,10.23,10.31,0.29,41600
1962-03-28,0.00,10.34,10.25,10.25,0.29,45600
1962-03-29,0.00,10.28,10.20,10.22,0.28,16000
1962-03-30,0.00,10.19,10.12,10.12,0.28,38400
1962-04-02,0.00,10.09,10.02,10.02,0.28,16000
1962-04-03,0.00,10.03,9.94,10.00,0.28,27200
1962-04-04,0.00,10.02,9.94,9.94,0.28,30400
1962-04-05,0.00,10.00,9.94,9.95,0.28,24000
1962-04-06,0.00,10.03,9.94,10.03,0.28,31200
1962-04-09,0.00,10.06,9.88,9.88,0.27,28800
1962-04-10,0.00,9.97,9.89,9.95,0.28,16000
1962-04-11,0.00,10.03,9.94,9.94,0.28,25600
1962-04-12,0.00,9.92,9.89,9.94,0.28,13600
1962-04-13,0.00,9.94,9.88,9.94,0.28,31200
1962-04-16,0.00,9.97,9.89,9.95,0.28,23200
1962-04-17,0.00,10.02,9.94,10.02,0.28,12800
1962-04-18,0.00,10.06,9.95,9.95,0.28,36000
1962-04-19,0.00,10.00,9.95,9.95,0.28,7200
1962-04-23,0.00,9.98,9.94,9.95,0.28,19200
1962-04-24,0.00,9.97,9.94,9.94,0.28,5600
1962-04-25,0.00,10.00,9.97,9.98,0.28,17600
1962-04-26,0.00,9.97,9.88,9.88,0.27,18400
1962-04-27,0.00,9.94,9.83,9.83,0.27,35200
1962-04-30,0.00,10.03,9.81,9.83,0.27,43200
1962-05-01,0.00,9.72,9.41,9.69,0.27,48000
1962-05-02,0.00,9.84,9.69,9.69,0.27,28000
1962-05-03,0.00,9.77,9.56,9.70,0.27,36800
1962-05-04,0.00,9.72,9.62,9.62,0.27,12000
1962-05-07,0.00,9.75,9.64,9.69,0.27,13600
1962-05-08,0.00,9.69,9.59,9.59,0.27,32000
1962-05-09,0.00,9.62,9.47,9.56,0.27,24000
1962-05-10,0.00,9.59,9.41,9.59,0.27,39200
1962-05-11,0.00,9.56,9.39,9.39,0.26,29600
1962-05-14,0.00,9.44,9.12,9.44,0.26,64800
1962-05-15,0.00,9.56,9.44,9.50,0.27,21600
1962-05-16,0.00,9.69,9.56,9.61,0.27,24000
1962-05-17,0.00,9.66,9.52,9.56,0.27,18400
1962-05-18,0.00,9.61,9.47,9.61,0.27,32000
1962-05-21,0.00,9.61,9.48,9.53,0.27,25600
1962-05-22,0.00,9.53,9.36,9.36,0.26,50400
1962-05-23,0.00,9.44,9.25,9.25,0.26,15200
1962-05-24,0.00,9.36,9.09,9.09,0.26,49600
1962-05-25,0.00,9.02,8.88,8.94,0.25,64800
1962-05-28,0.00,8.75,8.16,8.42,0.24,125600
1962-05-29,0.00,8.72,8.19,8.72,0.24,168800
1962-05-31,0.00,9.06,8.91,9.06,0.25,116800
1962-06-01,0.00,9.19,9.00,9.16,0.26,57600
1962-06-04,0.00,9.22,8.75,8.75,0.25,56000
1962-06-05,0.00,9.00,8.72,8.84,0.25,51200
1962-06-06,0.00,9.03,8.88,8.98,0.25,74400
1962-06-07,0.00,9.00,8.89,8.89,0.25,22400
1962-06-08,0.00,8.94,8.84,8.94,0.25,25600
1962-06-11,0.00,8.94,8.81,8.88,0.25,29600
1962-06-12,0.00,8.84,8.64,8.64,0.24,32800
