Date,Open,High,Low,Close,Adj Close,Volume
2000-07-11,10.88,11.62,10.25,11.19,10.90,12890300
2000-07-12,12.25,12.44,11.06,12.19,11.88,2817200
2000-07-13,12.44,14.75,12.38,14.19,13.83,2680400
2000-07-14,14.56,15.25,12.88,13.25,12.91,1428900
2000-07-17,13.62,13.62,12.75,13.06,12.73,521700
2000-07-18,12.62,12.94,12.06,12.50,12.18,511100
2000-07-19,12.69,13.06,11.94,12.38,12.06,709100
2000-07-20,12.44,12.75,11.75,11.81,11.51,492600
2000-07-21,11.94,12.00,11.06,11.38,11.09,751800
2000-07-24,11.75,12.50,11.38,12.00,11.69,724900
2000-07-25,12.22,12.50,11.62,11.75,11.45,629900
2000-07-26,11.50,11.88,11.12,11.75,11.45,528600
2000-07-27,11.69,11.69,9.50,10.25,9.99,830400
2000-07-28,10.38,10.62,9.50,9.81,9.56,425900
2000-07-31,9.56,9.69,7.75,9.62,9.38,941700
2000-08-01,9.81,10.00,9.00,9.44,9.20,265900
2000-08-02,9.44,9.50,8.88,9.06,8.83,184200
2000-08-03,8.25,8.88,7.88,8.88,8.65,354900
2000-08-04,9.50,10.12,9.19,9.94,9.68,373500
2000-08-07,10.19,10.25,8.50,9.22,8.98,402000
2000-08-08,9.38,9.88,8.12,8.44,8.22,659500
2000-08-09,8.56,8.62,8.00,8.12,7.92,442000
2000-08-10,8.19,8.25,7.50,7.50,7.31,428400
2000-08-11,7.56,7.69,7.00,7.25,7.07,708100
2000-08-14,7.36,7.50,7.00,7.38,7.19,1109700
2000-08-15,7.88,9.97,7.81,8.75,8.53,2361500
2000-08-16,9.38,9.38,8.62,8.75,8.53,701100
2000-08-17,8.88,9.88,8.75,9.44,9.20,876500
2000-08-18,10.31,11.50,10.06,11.06,10.78,1266700
2000-08-21,11.12,12.00,10.88,11.06,10.78,833800
2000-08-22,11.19,11.25,10.75,10.81,10.54,330700
2000-08-23,10.59,10.62,9.50,10.12,9.87,360900
2000-08-24,10.25,11.06,10.25,11.00,10.72,402900
2000-08-25,10.69,10.88,10.00,10.88,10.60,164300
2000-08-28,10.88,11.25,10.75,10.94,10.66,221700
2000-08-29,10.97,11.12,10.50,11.12,10.84,206700
2000-08-30,11.09,11.25,10.75,10.88,10.60,224300
2000-08-31,10.94,11.25,10.75,11.12,10.84,254500
2000-09-01,11.12,11.38,10.75,11.00,10.72,147200
2000-09-05,11.00,11.00,10.56,10.72,10.45,117800
2000-09-06,10.91,11.12,9.88,10.06,9.81,322000
2000-09-07,10.06,10.75,10.00,10.56,10.29,114400
2000-09-08,10.62,11.00,10.38,10.56,10.29,234300
2000-09-11,10.50,10.88,10.31,10.56,10.29,163500
2000-09-12,10.72,11.00,10.12,10.25,9.99,203600
