Date,Open,High,Low,Close,Adj Close,Volume
1989-10-04,2.47,2.55,2.44,2.50,1.89,20636000
1989-10-05,2.52,2.62,2.50,2.58,1.95,6453600
1989-10-06,2.59,2.62,2.55,2.55,1.93,2755200
1989-10-09,2.55,2.55,2.50,2.55,1.93,1084000
1989-10-10,2.56,2.56,2.50,2.53,1.91,1493600
1989-10-11,2.50,2.52,2.47,2.52,1.90,1260000
1989-10-12,2.52,2.55,2.52,2.53,1.91,602400
1989-10-13,2.53,2.53,2.47,2.48,1.88,3970400
1989-10-16,2.38,2.47,2.38,2.47,1.87,3924800
1989-10-17,2.44,2.50,2.44,2.50,1.89,1843200
1989-10-18,2.50,2.56,2.48,2.55,1.93,1128000
1989-10-19,2.53,2.55,2.53,2.55,1.93,1040000
1989-10-20,2.53,2.53,2.52,2.53,1.91,237600
1989-10-23,2.55,2.56,2.55,2.55,1.93,87200
1989-10-24,2.55,2.56,2.53,2.56,1.94,689600
1989-10-25,2.55,2.58,2.52,2.55,1.93,608000
1989-10-26,2.55,2.56,2.55,2.55,1.93,228800
1989-10-27,2.55,2.55,2.50,2.52,1.90,456000
1989-10-30,2.52,2.52,2.50,2.50,1.89,250400
1989-10-31,2.50,2.52,2.50,2.50,1.89,424800
1989-11-01,2.52,2.56,2.52,2.56,1.94,715200
1989-11-02,2.59,2.64,2.59,2.64,2.00,130400
1989-11-03,2.62,2.75,2.62,2.73,2.07,1118400
1989-11-06,2.72,2.72,2.58,2.58,1.95,264800
1989-11-07,2.55,2.69,2.50,2.69,2.03,727200
1989-11-08,2.69,2.72,2.67,2.72,2.06,236800
1989-11-09,2.72,2.72,2.69,2.69,2.03,60800
1989-11-10,2.69,2.69,2.55,2.56,1.94,210400
1989-11-13,2.56,2.56,2.52,2.55,1.93,92800
1989-11-14,2.58,2.58,2.48,2.53,1.91,428000
1989-11-15,2.55,2.58,2.53,2.56,1.94,176000
1989-11-16,2.55,2.59,2.55,2.59,1.96,301600
1989-11-17,2.59,2.64,2.59,2.64,2.00,249600
1989-11-20,2.66,2.66,2.61,2.61,1.97,43200
1989-11-21,2.59,2.67,2.59,2.67,2.02,108800
1989-11-22,2.69,2.75,2.69,2.75,2.08,255200
1989-11-24,2.78,2.95,2.78,2.92,2.21,572000
1989-11-27,2.91,2.94,2.86,2.88,2.17,253600
1989-11-28,2.88,2.88,2.83,2.83,2.14,560000
1989-11-29,2.81,2.81,2.78,2.80,2.11,60800
