Date,Open,High,Low,Close,Adj Close,Volume
2012-02-08,13.75,15.05,13.25,14.00,14.00,3336200
2012-02-09,14.17,14.22,13.75,13.91,13.91,580500
2012-02-10,14.00,14.03,13.77,13.96,13.96,336300
2012-02-13,13.91,14.42,13.63,13.65,13.65,175900
2012-02-14,13.60,13.79,13.30,13.44,13.44,122200
2012-02-15,13.50,14.07,13.30,13.40,13.40,175000
2012-02-16,13.40,13.70,13.40,13.54,13.54,71200
2012-02-17,13.61,13.99,13.50,13.58,13.58,142800
2012-02-21,13.61,14.34,13.56,13.71,13.71,248700
2012-02-22,13.99,14.22,13.75,13.96,13.96,274900
2012-02-23,13.97,14.00,13.84,13.94,13.94,82500
2012-02-24,13.93,13.93,13.55,13.71,13.71,120000
2012-02-27,13.65,13.84,13.63,13.66,13.66,235300
2012-02-28,13.75,13.84,13.75,13.83,13.83,68000
2012-02-29,13.88,14.15,13.85,14.13,14.13,68100
2012-03-01,14.15,15.35,14.10,15.00,15.00,610100
2012-03-02,15.07,15.70,14.97,15.14,15.14,237700
2012-03-05,15.07,15.15,14.78,15.09,15.09,184900
2012-03-06,14.98,15.27,14.84,15.00,15.00,130600
2012-03-07,15.04,15.34,15.04,15.23,15.23,110100
2012-03-08,14.54,15.53,14.45,15.23,15.23,120600
2012-03-09,15.18,15.59,15.08,15.32,15.32,166200
2012-03-12,14.95,15.40,14.95,15.14,15.14,91300
2012-03-13,15.14,16.48,15.07,15.78,15.78,316600
2012-03-14,15.67,16.35,15.67,16.20,16.20,160300
2012-03-15,16.18,17.13,16.18,17.00,17.00,228800
2012-03-16,16.91,17.26,16.20,16.80,16.80,326100
2012-03-19,17.12,17.92,16.90,17.41,17.41,297800
2012-03-20,17.44,17.50,16.90,17.41,17.41,96800
2012-03-21,17.50,17.75,17.24,17.38,17.38,211000
2012-03-22,17.18,17.32,16.44,16.60,16.60,99200
2012-03-23,16.56,17.35,16.56,17.10,17.10,227600
2012-03-26,17.31,17.38,16.75,16.98,16.98,144100
2012-03-27,17.75,21.25,17.58,21.11,21.11,1373200
2012-03-28,21.00,21.05,18.99,20.00,20.00,851100
2012-03-29,19.73,20.80,19.00,20.10,20.10,544900
2012-03-30,20.29,20.70,19.75,20.52,20.52,408500
2012-04-02,20.39,21.99,20.39,21.71,21.71,440500
2012-04-03,21.52,22.23,21.11,22.20,22.20,212200
