Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.66,0.65,0.65,0.30,29759
1980-03-18,0.00,0.65,0.64,0.65,0.30,148797
1980-03-19,0.00,0.65,0.65,0.65,0.30,96718
1980-03-20,0.00,0.65,0.65,0.65,0.30,63239
1980-03-21,0.00,0.65,0.65,0.65,0.30,226915
1980-03-24,0.00,0.65,0.62,0.62,0.28,252955
1980-03-25,0.00,0.61,0.56,0.56,0.26,245515
1980-03-26,0.00,0.58,0.57,0.57,0.26,182276
1980-03-27,0.00,0.56,0.53,0.53,0.24,85558
1980-03-28,0.00,0.55,0.54,0.55,0.25,212036
1980-03-31,0.00,0.56,0.54,0.55,0.25,297594
1980-04-01,0.00,0.55,0.54,0.55,0.25,223196
1980-04-02,0.00,0.54,0.54,0.54,0.25,438951
1980-04-03,0.00,0.55,0.54,0.55,0.25,74399
1980-04-07,0.00,0.55,0.53,0.53,0.24,126477
1980-04-08,0.00,0.55,0.53,0.55,0.25,241795
1980-04-09,0.00,0.59,0.55,0.59,0.27,305034
1980-04-10,0.00,0.63,0.59,0.62,0.28,212036
1980-04-11,0.00,0.64,0.63,0.64,0.29,141357
1980-04-14,0.00,0.63,0.63,0.63,0.29,174836
1980-04-15,0.00,0.65,0.63,0.65,0.30,111598
1980-04-16,0.00,0.67,0.65,0.65,0.29,200876
1980-04-17,0.00,0.64,0.63,0.64,0.29,52079
1980-04-18,0.00,0.64,0.63,0.64,0.29,33479
1980-04-21,0.00,0.64,0.63,0.64,0.29,33479
1980-04-22,0.00,0.66,0.64,0.66,0.30,223196
1980-04-23,0.00,0.67,0.66,0.66,0.30,107878
1980-04-24,0.00,0.69,0.67,0.68,0.31,212036
1980-04-25,0.00,0.71,0.68,0.71,0.32,249235
1980-04-28,0.00,0.73,0.71,0.72,0.33,491030
1980-04-29,0.00,0.73,0.71,0.72,0.33,409192
1980-04-30,0.00,0.75,0.72,0.75,0.34,267835
1980-05-01,0.00,0.77,0.74,0.76,0.35,409192
1980-05-02,0.00,0.76,0.74,0.75,0.34,364553
1980-05-05,0.00,0.75,0.73,0.74,0.34,3292134
1980-05-06,0.00,0.75,0.73,0.75,0.34,442671
1980-05-07,0.00,0.76,0.75,0.76,0.35,383152
1980-05-08,0.00,0.76,0.75,0.75,0.34,215756
1980-05-09,0.00,0.75,0.75,0.75,0.34,111598
1980-05-12,0.00,0.75,0.73,0.74,0.34,677026
1980-05-13,0.00,0.74,0.71,0.73,0.33,275274
1980-05-14,0.00,0.72,0.72,0.72,0.33,122758
1980-05-15,0.00,0.73,0.70,0.70,0.32,212036
1980-05-16,0.00,0.70,0.69,0.70,0.32,70679
1980-05-19,0.00,0.70,0.69,0.69,0.32,100438
1980-05-20,0.00,0.72,0.69,0.72,0.33,271555
1980-05-21,0.00,0.73,0.72,0.72,0.33,78118
1980-05-22,0.00,0.74,0.71,0.74,0.34,163677
1980-05-23,0.00,0.76,0.74,0.75,0.34,174836
1980-05-27,0.00,0.76,0.75,0.75,0.34,178556
1980-05-28,0.00,0.75,0.74,0.75,0.34,133917
1980-05-29,0.00,0.75,0.75,0.75,0.34,249235
1980-05-30,0.00,0.75,0.74,0.74,0.34,78118
1980-06-02,0.00,0.75,0.73,0.75,0.34,792344
1980-06-03,0.00,0.75,0.73,0.75,0.34,401752
1980-06-04,0.00,0.77,0.74,0.77,0.35,267835
1980-06-05,0.00,0.78,0.77,0.78,0.36,115318
1980-06-06,0.00,0.78,0.77,0.77,0.35,100438
1980-06-09,0.00,0.81,0.78,0.81,0.37,278994
1980-06-10,0.00,0.80,0.80,0.80,0.37,96718
1980-06-11,0.00,0.81,0.80,0.80,0.36,260395
1980-06-12,0.00,0.83,0.80,0.82,0.38,293874
1980-06-13,0.00,0.85,0.81,0.83,0.38,286434
1980-06-16,0.00,0.83,0.81,0.81,0.37,256675
1980-06-17,0.00,0.82,0.81,0.81,0.37,59519
1980-06-18,0.00,0.82,0.82,0.82,0.38,126477
1980-06-19,0.00,0.84,0.83,0.84,0.38,398032
1980-06-20,0.00,0.83,0.82,0.83,0.38,126477
1980-06-23,0.00,0.83,0.82,0.83,0.38,290154
1980-06-24,0.00,0.85,0.83,0.85,0.39,182276
1980-06-25,0.00,0.88,0.86,0.88,0.40,379432
1980-06-26,0.00,0.88,0.87,0.87,0.40,137637
1980-06-27,0.00,0.87,0.86,0.87,0.40,293874
1980-06-30,0.00,0.86,0.84,0.84,0.38,308754
1980-07-01,0.00,0.84,0.82,0.83,0.38,252955
1980-07-02,0.00,0.85,0.84,0.85,0.39,130197
1980-07-03,0.00,0.87,0.85,0.87,0.40,104158
1980-07-07,0.00,0.89,0.87,0.88,0.40,353393
1980-07-08,0.00,0.88,0.87,0.87,0.40,234355
1980-07-09,0.00,0.89,0.87,0.88,0.40,204596
1980-07-10,0.00,0.89,0.88,0.88,0.40,66959
1980-07-11,0.00,0.88,0.87,0.87,0.40,52079
1980-07-14,0.00,0.88,0.87,0.87,0.40,137637
1980-07-15,0.00,0.89,0.87,0.88,0.40,126477
1980-07-16,0.00,0.89,0.89,0.89,0.41,2049679
1980-07-17,0.00,0.89,0.89,0.89,0.41,74399
1980-07-18,0.00,0.91,0.89,0.90,0.41,100438
1980-07-21,0.00,0.92,0.90,0.92,0.42,171117
1980-07-22,0.00,0.94,0.92,0.93,0.43,185996
1980-07-23,0.00,0.94,0.92,0.92,0.42,1182936
1980-07-24,0.00,0.93,0.91,0.91,0.42,278994
1980-07-25,0.00,0.92,0.91,0.91,0.41,81838
1980-07-28,0.00,0.91,0.91,0.91,0.42,491030
1980-07-29,0.00,0.93,0.91,0.93,0.43,159957
1980-07-30,0.00,0.95,0.93,0.95,0.43,185996
1980-07-31,0.00,0.95,0.93,0.93,0.43,312474
1980-08-01,0.00,0.99,0.94,0.97,0.44,301314
1980-08-04,0.00,0.97,0.95,0.97,0.44,241795
1980-08-05,0.00,0.97,0.96,0.96,0.44,189716
1980-08-06,0.00,0.96,0.95,0.95,0.43,167397
1980-08-07,0.00,0.96,0.94,0.94,0.43,260395
1980-08-08,0.00,0.98,0.95,0.97,0.44,487310
1980-08-11,0.00,0.99,0.96,0.98,0.45,204596
1980-08-12,0.00,0.99,0.97,0.98,0.45,200876
1980-08-13,0.00,1.00,0.98,1.00,0.46,145077
1980-08-14,0.00,1.00,0.99,1.00,0.46,122758
1980-08-15,0.00,1.00,0.98,0.98,0.45,249235
1980-08-18,0.00,0.98,0.97,0.97,0.44,293874
1980-08-19,0.00,0.97,0.97,0.97,0.44,185996
1980-08-20,0.00,0.98,0.97,0.98,0.45,59519
1980-08-21,0.00,0.97,0.97,0.97,0.44,111598
1980-08-22,0.00,0.99,0.97,0.98,0.45,148797
1980-08-25,0.00,0.99,0.98,0.98,0.45,111598
1980-08-26,0.00,1.00,0.99,0.99,0.45,145077
1980-08-27,0.00,1.00,0.99,1.00,0.46,159957
1980-08-28,0.00,1.00,0.99,1.00,0.46,115318
1980-08-29,0.00,1.03,1.00,1.02,0.47,96718
1980-09-02,0.00,1.06,1.02,1.06,0.48,185996
1980-09-03,0.00,1.11,1.08,1.10,0.50,338513
1980-09-04,0.00,1.11,1.09,1.10,0.50,412912
1980-09-05,0.00,1.10,1.08,1.08,0.49,171117
1980-09-08,0.00,1.09,1.07,1.07,0.49,197156
1980-09-09,0.00,1.09,1.06,1.09,0.50,241795
1980-09-10,0.00,1.10,1.09,1.10,0.50,1052739
1980-09-11,0.00,1.11,1.10,1.10,0.50,278994
1980-09-12,0.00,1.11,1.10,1.10,0.50,200876
1980-09-15,0.00,1.11,1.10,1.11,0.50,145077
1980-09-16,0.00,1.14,1.10,1.14,0.52,360833
1980-09-17,0.00,1.15,1.14,1.15,0.52,174836
1980-09-18,0.00,1.18,1.14,1.18,0.54,301314
1980-09-19,0.00,1.20,1.17,1.18,0.54,316194
1980-09-22,0.00,1.18,1.16,1.18,0.54,293874
1980-09-23,0.00,1.21,1.19,1.20,0.55,606348
1980-09-24,0.00,1.22,1.21,1.22,0.56,740265
1980-09-25,0.00,1.24,1.22,1.23,0.56,197156
1980-09-26,0.00,1.22,1.20,1.20,0.55,323633
1980-09-29,0.00,1.20,1.16,1.16,0.53,770024
1980-09-30,0.00,1.16,1.15,1.16,0.53,290154
1980-10-01,0.00,1.17,1.16,1.16,0.53,509630
1980-10-02,0.00,1.17,1.16,1.16,0.53,282714
1980-10-03,0.00,1.21,1.16,1.21,0.55,230635
1980-10-06,0.00,1.22,1.19,1.21,0.55,896502
1980-10-07,0.00,1.22,1.20,1.21,0.55,104158
1980-10-08,0.00,1.23,1.22,1.22,0.56,119038
1980-10-09,0.00,1.23,1.22,1.23,0.56,293874
1980-10-10,0.00,1.24,1.22,1.22,0.56,245515
1980-10-13,0.00,1.24,1.22,1.24,0.56,185996
1980-10-14,0.00,1.28,1.23,1.28,0.59,494750
1980-10-15,0.00,1.30,1.29,1.30,0.59,338513
1980-10-16,0.00,1.30,1.29,1.30,0.59,159957
1980-10-17,0.00,1.29,1.28,1.28,0.58,197156
1980-10-20,0.00,1.29,1.27,1.28,0.59,598908
1980-10-21,0.00,1.30,1.28,1.30,0.59,174836
1980-10-22,0.00,1.32,1.30,1.32,0.60,126477
1980-10-23,0.00,1.31,1.31,1.31,0.60,89278
1980-10-24,0.00,1.34,1.31,1.34,0.61,502190
1980-10-27,0.00,1.35,1.33,1.33,0.61,308754
1980-10-28,0.00,1.34,1.34,1.34,0.61,409192
1980-10-29,0.00,1.34,1.34,1.34,0.61,70679
1980-10-30,0.00,1.34,1.34,1.34,0.61,119038
1980-10-31,0.00,1.34,1.33,1.34,0.61,141357
1980-11-03,0.00,1.34,1.32,1.32,0.60,189716
1980-11-05,0.00,1.34,1.33,1.33,0.61,156237
1980-11-06,0.00,1.34,1.28,1.28,0.59,394312
1980-11-07,0.00,1.28,1.25,1.25,0.57,193436
1980-11-10,0.00,1.25,1.24,1.25,0.57,505910
1980-11-11,0.00,1.25,1.20,1.20,0.55,323633
1980-11-12,0.00,1.28,1.22,1.28,0.58,390592
1980-11-13,0.00,1.29,1.28,1.28,0.58,732825
1980-11-14,0.00,1.30,1.28,1.30,0.59,152517
1980-11-17,0.00,1.32,1.29,1.32,0.60,286434
1980-11-18,0.00,1.33,1.33,1.33,0.61,226915
1980-11-19,0.00,1.34,1.33,1.34,0.61,171117
1980-11-20,0.00,1.37,1.34,1.36,0.62,539389
1980-11-21,0.00,1.35,1.33,1.33,0.61,96718
1980-11-24,0.00,1.32,1.30,1.31,0.60,111598
1980-11-25,0.00,1.31,1.30,1.30,0.60,624947
1980-11-26,0.00,1.32,1.30,1.30,0.60,70679
1980-11-28,0.00,1.33,1.30,1.32,0.60,684466
1980-12-01,0.00,1.32,1.30,1.30,0.60,55799
1980-12-02,0.00,1.30,1.30,1.30,0.59,182276
1980-12-03,0.00,1.29,1.29,1.29,0.59,193436
1980-12-04,0.00,1.31,1.29,1.30,0.59,245515
1980-12-05,0.00,1.31,1.30,1.30,0.59,66959
1980-12-08,0.00,1.31,1.28,1.28,0.59,152517
1980-12-09,0.00,1.29,1.27,1.27,0.58,107878
1980-12-10,0.00,1.26,1.25,1.25,0.57,944861
1980-12-11,0.00,1.25,1.24,1.24,0.56,111598
1980-12-12,0.00,1.25,1.23,1.24,0.57,357113
1980-12-15,0.00,1.26,1.24,1.25,0.57,334793
1980-12-16,0.00,1.26,1.26,1.26,0.58,55799
1980-12-17,0.00,1.28,1.25,1.27,0.58,193436
1980-12-18,0.00,1.30,1.27,1.30,0.59,100438
1980-12-19,0.00,1.34,1.29,1.34,0.61,178556
1980-12-22,0.00,1.37,1.34,1.36,0.62,171117
1980-12-23,0.00,1.37,1.36,1.36,0.62,37199
1980-12-24,0.00,1.37,1.36,1.36,0.62,29759
1980-12-26,0.00,1.36,1.36,1.36,0.62,40919
1980-12-29,0.00,1.37,1.36,1.36,0.62,215756
1980-12-30,0.00,1.36,1.36,1.36,0.62,74399
1980-12-31,0.00,1.37,1.36,1.36,0.62,141357
1981-01-02,0.00,1.38,1.36,1.38,0.63,148797
1981-01-05,0.00,1.38,1.32,1.34,0.61,409192
1981-01-06,0.00,1.34,1.32,1.33,0.61,226915
1981-01-07,0.00,1.31,1.29,1.31,0.60,308754
1981-01-08,0.00,1.32,1.30,1.31,0.60,643547
1981-01-09,0.00,1.31,1.30,1.30,0.60,66959
1981-01-12,0.00,1.32,1.31,1.31,0.60,390592
1981-01-13,0.00,1.30,1.28,1.28,0.59,345953
1981-01-14,0.00,1.30,1.29,1.30,0.60,133917
1981-01-15,0.00,1.31,1.30,1.31,0.60,405472
1981-01-16,0.00,1.31,1.30,1.30,0.60,416632
1981-01-19,0.00,1.32,1.31,1.32,0.60,870462
1981-01-20,0.00,1.33,1.32,1.32,0.60,74399
1981-01-21,0.00,1.31,1.31,1.31,0.60,70679
1981-01-22,0.00,1.32,1.28,1.29,0.59,1447051
1981-01-23,0.00,1.28,1.27,1.27,0.58,163677
1981-01-26,0.00,1.27,1.25,1.26,0.58,680746
1981-01-27,0.00,1.28,1.27,1.27,0.58,494750
1981-01-28,0.00,1.27,1.27,1.27,0.58,14880
1981-01-29,0.00,1.28,1.27,1.28,0.58,100438
1981-01-30,0.00,1.30,1.28,1.29,0.59,290154
1981-02-02,0.00,1.27,1.22,1.22,0.56,260395
1981-02-03,0.00,1.25,1.20,1.25,0.57,308754
1981-02-04,0.00,1.25,1.22,1.24,0.56,230635
1981-02-05,0.00,1.26,1.25,1.25,0.57,126477
1981-02-06,0.00,1.26,1.24,1.26,0.58,245515
1981-02-09,0.00,1.26,1.24,1.24,0.56,245515
1981-02-10,0.00,1.24,1.21,1.21,0.55,115318
1981-02-11,0.00,1.21,1.20,1.20,0.55,100438
1981-02-12,0.00,1.20,1.16,1.16,0.53,104158
1981-02-13,0.00,1.17,1.15,1.16,0.53,193436
1981-02-17,0.00,1.16,1.15,1.15,0.53,137637
1981-02-18,0.00,1.18,1.17,1.17,0.53,141357
1981-02-19,0.00,1.17,1.16,1.16,0.53,234355
1981-02-20,0.00,1.17,1.15,1.16,0.53,81838
1981-02-23,0.00,1.16,1.13,1.15,0.52,145077
1981-02-24,0.00,1.15,1.13,1.14,0.52,278994
1981-02-25,0.00,1.15,1.13,1.14,0.52,215756
1981-02-26,0.00,1.16,1.13,1.16,0.53,156237
1981-02-27,0.00,1.20,1.17,1.19,0.54,606348
1981-03-02,0.00,1.23,1.19,1.23,0.56,137637
1981-03-03,0.00,1.23,1.22,1.22,0.56,74399
1981-03-04,0.00,1.28,1.23,1.27,0.58,580308
1981-03-05,0.00,1.27,1.24,1.25,0.57,275274
1981-03-06,0.00,1.24,1.24,1.24,0.57,78118
1981-03-09,0.00,1.25,1.24,1.25,0.57,107878
1981-03-10,0.00,1.28,1.25,1.27,0.58,137637
1981-03-11,0.00,1.27,1.26,1.26,0.58,145077
1981-03-12,0.00,1.27,1.26,1.27,0.58,52079
1981-03-13,0.00,1.28,1.27,1.28,0.58,126477
1981-03-16,0.00,1.28,1.27,1.28,0.58,122758
1981-03-17,0.00,1.29,1.28,1.28,0.59,327353
1981-03-18,0.00,1.28,1.26,1.27,0.58,334793
1981-03-19,0.00,1.27,1.26,1.27,0.58,156237
1981-03-20,0.00,1.27,1.25,1.25,0.57,145077
1981-03-23,0.00,1.24,1.24,1.24,0.57,89278
1981-03-24,0.00,1.28,1.25,1.28,0.58,323633
1981-03-25,0.00,1.28,1.27,1.27,0.58,100438
1981-03-26,0.00,1.29,1.27,1.29,0.59,59519
1981-03-27,0.00,1.29,1.28,1.29,0.59,104158
1981-03-30,0.00,1.29,1.28,1.29,0.59,55799
1981-03-31,0.00,1.29,1.28,1.28,0.58,29759
1981-04-01,0.00,1.28,1.28,1.28,0.58,3720
1981-04-02,0.00,1.28,1.26,1.27,0.58,152517
1981-04-03,0.00,1.28,1.27,1.28,0.59,40919
1981-04-06,0.00,1.28,1.27,1.28,0.58,66959
1981-04-07,0.00,1.29,1.28,1.28,0.58,24800
1981-04-08,0.00,1.29,1.28,1.28,0.58,84318
1981-04-09,0.00,1.29,1.27,1.28,0.58,183516
1981-04-10,0.00,1.29,1.28,1.28,0.58,64479
1981-04-13,0.00,1.28,1.26,1.26,0.58,91758
1981-04-14,0.00,1.28,1.27,1.27,0.58,300074
1981-04-15,0.00,1.29,1.27,1.27,0.58,711746
1981-04-16,0.00,1.28,1.27,1.27,0.58,126477
1981-04-20,0.00,1.29,1.25,1.28,0.58,265355
1981-04-21,0.00,1.29,1.27,1.27,0.58,111598
1981-04-22,0.00,1.27,1.26,1.27,0.58,185996
1981-04-23,0.00,1.26,1.25,1.26,0.58,275274
1981-04-24,0.00,1.27,1.26,1.26,0.58,153757
1981-04-27,0.00,1.26,1.23,1.23,0.56,265355
1981-04-28,0.00,1.22,1.20,1.21,0.55,66959
1981-04-29,0.00,1.16,1.13,1.14,0.52,178556
1981-04-30,0.00,1.15,1.14,1.15,0.52,143837
1981-05-01,0.00,1.15,1.14,1.15,0.52,32239
1981-05-04,0.00,1.14,1.12,1.12,0.51,61999
1981-05-05,0.00,1.12,1.10,1.12,0.51,99198
1981-05-06,0.00,1.13,1.12,1.12,0.51,57039
1981-05-07,0.00,1.13,1.11,1.12,0.51,42159
1981-05-08,0.00,1.12,1.11,1.12,0.51,99198
1981-05-11,0.00,1.11,1.09,1.09,0.50,123998
1981-05-12,0.00,1.10,1.09,1.10,0.50,44639
1981-05-13,0.00,1.12,1.10,1.11,0.51,111598
1981-05-14,0.00,1.11,1.10,1.10,0.50,24800
1981-05-15,0.00,1.13,1.10,1.13,0.52,76878
1981-05-18,0.00,1.12,1.11,1.11,0.51,59519
1981-05-19,0.00,1.13,1.11,1.13,0.52,166157
1981-05-20,0.00,1.13,1.12,1.13,0.52,84318
1981-05-21,0.00,1.13,1.12,1.13,0.52,71919
1981-05-22,0.00,1.17,1.13,1.17,0.53,297594
1981-05-26,0.00,1.18,1.17,1.17,0.53,153757
1981-05-27,0.00,1.22,1.18,1.21,0.55,401752
1981-05-28,0.00,1.23,1.21,1.23,0.56,104158
1981-05-29,0.00,1.23,1.22,1.22,0.56,76878
1981-06-01,0.00,1.23,1.22,1.22,0.56,39679
1981-06-02,0.00,1.21,1.19,1.20,0.55,99198
1981-06-03,0.00,1.22,1.21,1.22,0.56,228155
1981-06-04,0.00,1.22,1.21,1.21,0.55,109118
1981-06-05,0.00,1.23,1.22,1.22,0.56,81838
1981-06-08,0.00,1.22,1.22,1.22,0.56,64479
1981-06-09,0.00,1.25,1.22,1.25,0.57,136397
1981-06-10,0.00,1.25,1.25,1.25,0.57,42159
1981-06-11,0.00,1.28,1.25,1.27,0.58,344713
1981-06-12,0.00,1.28,1.26,1.26,0.58,791104
1981-06-15,0.00,1.27,1.25,1.25,0.57,548069
1981-06-16,0.00,1.27,1.25,1.25,0.57,81838
1981-06-17,0.00,1.25,1.25,1.25,0.57,86798
1981-06-18,0.00,1.26,1.25,1.26,0.57,59519
1981-06-19,0.00,1.27,1.26,1.27,0.58,498470
1981-06-22,0.00,1.26,1.25,1.25,0.57,171117
1981-06-23,0.00,1.24,1.23,1.23,0.56,86798
1981-06-24,0.00,1.23,1.22,1.22,0.56,86798
1981-06-25,0.00,1.23,1.21,1.23,0.56,247995
1981-06-26,0.00,1.24,1.22,1.23,0.56,473670
1981-06-29,0.00,1.23,1.22,1.22,0.56,27279
1981-06-30,0.00,1.23,1.22,1.23,0.56,121518
1981-07-01,0.00,1.23,1.22,1.22,0.56,592708
1981-07-02,0.00,1.23,1.21,1.21,0.55,324873
1981-07-06,0.00,1.22,1.21,1.21,0.55,126477
1981-07-07,0.00,1.21,1.20,1.20,0.55,151277
1981-07-08,0.00,1.20,1.17,1.17,0.54,111598
1981-07-09,0.00,1.17,1.15,1.15,0.53,178556
1981-07-10,0.00,1.15,1.15,1.15,0.52,24800
1981-07-13,0.00,1.15,1.14,1.14,0.52,44639
1981-07-14,0.00,1.15,1.14,1.14,0.52,895262
1981-07-15,0.00,1.15,1.13,1.13,0.52,523269
1981-07-16,0.00,1.13,1.13,1.13,0.52,74399
1981-07-17,0.00,1.15,1.13,1.15,0.52,79358
1981-07-20,0.00,1.15,1.12,1.12,0.51,347193
1981-07-21,0.00,1.12,1.11,1.12,0.51,71919
1981-07-22,0.00,1.13,1.12,1.12,0.51,409192
1981-07-23,0.00,1.13,1.13,1.13,0.52,396792
1981-07-24,0.00,1.13,1.13,1.13,0.52,37199
1981-07-27,0.00,1.15,1.13,1.15,0.53,99198
1981-07-28,0.00,1.16,1.15,1.15,0.53,133917
1981-07-29,0.00,1.16,1.15,1.15,0.53,54559
1981-07-30,0.00,1.16,1.15,1.16,0.53,47119
1981-07-31,0.00,1.17,1.16,1.17,0.53,138877
1981-08-03,0.00,1.17,1.16,1.17,0.53,213276
1981-08-04,0.00,1.19,1.16,1.19,0.54,119038
1981-08-05,0.00,1.22,1.18,1.22,0.56,69439
1981-08-06,0.00,1.30,1.23,1.25,0.57,872942
1981-08-07,0.00,1.28,1.26,1.26,0.57,148797
1981-08-10,0.00,1.27,1.25,1.26,0.58,47119
1981-08-11,0.00,1.27,1.25,1.27,0.58,146317
1981-08-12,0.00,1.33,1.30,1.33,0.61,171117
1981-08-13,0.00,1.35,1.34,1.35,0.61,302554
1981-08-14,0.00,1.36,1.32,1.32,0.60,225675
1981-08-17,0.00,1.31,1.30,1.30,0.59,49599
1981-08-18,0.00,1.29,1.26,1.26,0.58,59519
1981-08-19,0.00,1.29,1.25,1.29,0.59,171117
1981-08-20,0.00,1.32,1.29,1.31,0.60,32239
1981-08-21,0.00,1.32,1.30,1.30,0.59,104158
1981-08-24,0.00,1.31,1.25,1.25,0.57,138877
1981-08-25,0.00,1.25,1.23,1.25,0.57,168637
1981-08-26,0.00,1.27,1.26,1.27,0.58,153757
1981-08-27,0.00,1.28,1.24,1.24,0.57,54559
1981-08-28,0.00,1.24,1.24,1.24,0.57,44639
1981-08-31,0.00,1.24,1.22,1.22,0.56,89278
1981-09-01,0.00,1.23,1.20,1.20,0.55,57039
1981-09-02,0.00,1.23,1.20,1.21,0.55,138877
1981-09-03,0.00,1.22,1.21,1.21,0.55,66959
1981-09-04,0.00,1.21,1.20,1.20,0.55,42159
1981-09-08,0.00,1.20,1.20,1.20,0.55,44639
1981-09-09,0.00,1.18,1.17,1.17,0.54,146317
1981-09-10,0.00,1.17,1.14,1.14,0.52,104158
1981-09-11,0.00,1.14,1.13,1.14,0.52,49599
1981-09-14,0.00,1.15,1.14,1.14,0.52,29759
1981-09-15,0.00,1.15,1.14,1.15,0.52,39679
1981-09-16,0.00,1.17,1.16,1.16,0.53,176076
1981-09-17,0.00,1.17,1.15,1.15,0.52,64479
1981-09-18,0.00,1.15,1.15,1.15,0.52,114078
1981-09-21,0.00,1.18,1.15,1.18,0.54,86798
1981-09-22,0.00,1.19,1.17,1.17,0.53,106638
