Date,Open,High,Low,Close,Adj Close,Volume
1995-10-02,16.00,16.17,16.00,16.17,7.92,2400
1995-10-03,16.17,17.33,16.17,17.33,8.49,21300
1995-10-04,17.33,17.33,16.00,16.00,7.93,9600
1995-10-05,17.17,17.17,16.67,17.17,8.51,9900
1995-10-06,17.17,17.17,16.00,17.17,8.51,56700
1995-10-09,16.17,17.17,16.00,17.00,8.42,56100
1995-10-10,17.17,17.17,17.00,17.08,8.47,8400
1995-10-11,17.17,17.33,16.67,16.67,8.26,12000
1995-10-12,17.50,17.50,17.50,17.50,8.67,3900
1995-10-13,17.67,17.67,17.67,17.67,8.75,5100
1995-10-16,17.67,18.17,17.67,18.00,8.92,8100
1995-10-17,18.17,18.50,18.00,18.50,9.17,10800
1995-10-18,18.50,19.00,18.33,19.00,9.42,9600
1995-10-19,19.33,20.00,18.00,18.67,9.25,27900
1995-10-20,20.33,20.33,18.00,19.33,9.68,8100
1995-10-23,20.33,20.33,20.33,20.33,10.18,2700
1995-10-24,20.33,20.33,19.67,20.33,10.18,7200
1995-10-25,20.33,20.50,18.33,20.50,10.27,22800
1995-10-26,20.50,20.50,20.00,20.00,10.02,4500
1995-10-27,19.33,20.33,19.33,20.33,10.18,5100
1995-10-30,20.33,20.33,18.42,19.33,9.68,20700
1995-10-31,20.33,20.33,18.33,20.33,10.18,10800
1995-11-01,19.33,20.33,19.33,20.33,10.18,3300
1995-11-02,20.33,20.33,19.33,20.25,10.14,1500
1995-11-03,20.33,20.33,18.00,19.67,9.85,12000
1995-11-06,20.17,20.17,20.17,20.17,10.10,900
1995-11-07,20.17,20.17,20.17,20.17,10.10,900
1995-11-08,20.17,20.17,20.17,20.17,10.10,1500
1995-11-09,20.17,20.17,20.17,20.17,10.10,2100
1995-11-10,20.17,20.17,20.17,20.17,10.10,2100
1995-11-13,20.17,20.17,19.33,19.33,9.68,3600
1995-11-14,20.17,20.17,19.67,19.67,9.85,6000
1995-11-15,20.17,20.17,19.67,20.17,10.10,3600
1995-11-16,20.17,20.17,20.17,20.17,10.10,1200
1995-11-17,20.17,20.17,20.17,20.17,10.10,0
1995-11-20,20.17,20.17,19.67,20.17,10.10,2700
1995-11-21,20.17,20.17,18.50,20.17,10.10,10800
1995-11-22,20.17,20.17,18.67,20.17,10.10,4200
1995-11-24,20.17,20.17,20.17,20.17,10.10,300
1995-11-27,20.17,20.17,20.17,20.17,10.10,900
1995-11-28,20.17,20.17,19.83,20.17,10.10,3000
1995-11-29,18.00,20.17,18.00,20.17,10.10,8100
1995-11-30,20.17,20.17,19.67,20.17,10.10,2400
1995-12-01,20.17,20.17,19.67,20.17,10.10,3900
1995-12-04,20.17,20.17,19.17,20.17,10.10,3300
1995-12-05,20.17,20.33,20.00,20.33,10.18,6300
1995-12-06,19.67,20.33,19.00,19.67,9.85,30000
1995-12-07,19.67,20.33,19.67,20.33,10.18,7200
1995-12-08,20.33,20.33,20.33,20.33,10.18,2400
1995-12-11,20.33,20.33,20.00,20.33,10.18,5700
1995-12-12,18.17,20.00,18.17,20.00,10.02,3300
1995-12-13,20.00,20.00,20.00,20.00,10.02,0
1995-12-14,20.00,20.00,20.00,20.00,10.02,0
1995-12-15,20.33,20.33,19.17,20.33,10.18,4200
1995-12-18,20.33,20.33,19.33,20.33,10.18,1200
1995-12-19,20.33,20.33,20.33,20.33,10.18,0
1995-12-20,20.33,20.33,20.33,20.33,10.18,300
1995-12-21,20.17,20.33,19.67,20.33,10.18,15000
1995-12-22,20.33,20.33,20.00,20.33,10.18,3900
1995-12-26,19.50,20.33,19.50,20.33,10.18,58500
1995-12-27,20.33,20.33,19.67,20.33,10.18,5100
1995-12-28,20.33,20.33,19.58,19.92,9.97,43500
1995-12-29,19.00,20.33,19.00,20.33,10.18,2400
1996-01-02,19.33,19.92,19.33,19.33,9.68,24600
1996-01-03,20.67,20.67,20.67,20.67,10.38,300
1996-01-04,19.50,20.67,19.50,20.31,10.21,70200
1996-01-05,20.29,20.29,19.67,20.29,10.20,7200
1996-01-08,20.33,20.33,19.33,20.29,10.20,4500
1996-01-09,19.00,20.33,19.00,20.17,10.13,3000
1996-01-10,20.17,20.17,20.17,20.17,10.13,0
1996-01-11,20.29,20.33,19.83,20.00,10.05,16200
1996-01-12,20.33,20.33,20.00,20.29,10.20,8400
1996-01-15,19.33,19.67,19.33,19.67,9.88,1800
1996-01-16,20.50,20.67,19.33,19.33,9.71,3000
1996-01-17,20.25,20.25,19.83,19.83,9.97,1200
1996-01-18,20.33,20.33,20.33,20.33,10.22,600
1996-01-19,20.33,20.33,20.33,20.33,10.22,0
1996-01-22,20.33,20.33,20.33,20.33,10.22,0
1996-01-23,20.33,20.33,19.33,19.33,9.71,1200
1996-01-24,20.50,20.50,19.83,20.25,10.17,10200
1996-01-25,20.00,20.67,19.33,20.25,10.17,6600
1996-01-26,20.67,20.67,19.67,20.25,10.17,18900
1996-01-29,21.00,21.00,19.83,19.83,9.97,3300
1996-01-30,21.00,21.00,19.67,19.67,9.88,900
1996-01-31,19.67,19.67,19.67,19.67,9.88,300
1996-02-01,20.83,20.83,20.83,20.83,10.47,300
1996-02-02,20.62,20.62,19.67,19.67,9.88,1200
1996-02-05,19.67,19.67,19.67,19.67,9.88,0
1996-02-06,20.33,20.33,19.67,19.67,9.88,1800
1996-02-07,19.67,20.83,19.67,20.83,10.47,600
