Date,Open,High,Low,Close,Adj Close,Volume
1994-06-07,19.12,19.62,19.12,19.38,6.23,1595400
1994-06-08,19.38,19.38,19.12,19.25,6.19,162400
1994-06-09,19.25,19.25,19.12,19.25,6.19,76200
1994-06-10,19.25,19.25,19.00,19.12,6.15,110500
1994-06-13,19.12,19.12,19.00,19.12,6.15,51200
1994-06-14,19.12,19.25,19.12,19.25,6.19,28100
1994-06-15,19.25,19.50,19.12,19.25,6.19,96700
1994-06-16,19.25,19.25,19.12,19.12,6.15,19800
1994-06-17,19.12,19.25,19.00,19.00,6.11,56000
1994-06-20,19.00,19.12,19.00,19.12,6.15,43500
1994-06-21,19.12,19.12,19.00,19.00,6.11,34700
1994-06-22,19.00,19.12,19.00,19.00,6.11,29500
1994-06-23,19.00,19.12,18.75,18.75,6.03,67900
1994-06-24,18.62,18.62,18.12,18.38,5.91,72500
1994-06-27,18.38,18.38,17.25,17.88,5.75,70100
1994-06-28,17.88,18.12,17.50,17.62,5.67,64700
1994-06-29,17.75,18.12,17.75,17.88,5.75,25100
1994-06-30,17.88,18.00,17.62,17.62,5.67,26100
1994-07-01,17.62,17.75,17.38,17.75,5.71,25500
1994-07-05,17.75,17.88,17.75,17.88,5.75,2900
1994-07-06,17.88,17.88,17.50,17.62,5.67,33600
1994-07-07,17.62,17.88,17.62,17.62,5.67,30500
1994-07-08,17.62,17.88,17.62,17.62,5.67,30200
1994-07-11,17.62,17.88,17.50,17.75,5.71,29300
1994-07-12,17.75,17.88,17.62,17.75,5.71,11700
1994-07-13,17.75,17.88,17.62,17.75,5.71,37800
1994-07-14,17.75,17.88,17.62,17.88,5.75,24600
1994-07-15,17.88,18.00,17.88,18.00,5.79,15000
1994-07-18,18.00,18.00,17.88,18.00,5.79,22900
1994-07-19,18.00,18.50,18.00,18.50,5.95,25700
1994-07-20,18.50,18.50,18.12,18.25,5.87,15900
1994-07-21,18.25,18.25,18.00,18.25,5.87,16000
1994-07-22,18.25,18.50,18.25,18.38,5.91,18800
1994-07-25,18.38,18.50,18.25,18.50,5.95,20100
1994-07-26,18.50,18.62,18.38,18.50,5.95,14200
1994-07-27,18.38,18.38,18.12,18.25,5.87,10100
1994-07-28,18.12,18.12,17.88,17.88,5.75,9200
1994-07-29,17.88,17.88,17.62,17.75,5.71,71400
1994-08-01,17.75,17.75,17.62,17.62,5.67,23500
1994-08-02,17.62,18.12,17.62,18.12,5.83,36700
1994-08-03,18.12,18.38,17.88,18.38,5.91,16300
1994-08-04,18.38,18.38,17.88,18.00,5.79,19800
1994-08-05,18.00,18.00,17.88,18.00,5.79,9100
1994-08-08,18.00,18.12,17.88,18.00,5.79,20100
1994-08-09,17.88,17.88,17.75,17.75,5.71,26700
1994-08-10,17.75,18.12,17.75,18.12,5.83,52600
1994-08-11,18.12,18.25,17.88,17.88,5.75,15800
1994-08-12,17.88,18.12,17.88,18.00,5.79,6100
1994-08-15,18.00,18.00,17.88,17.88,5.75,14400
1994-08-16,17.88,18.12,17.88,18.12,5.83,16800
1994-08-17,18.12,18.12,18.00,18.12,5.83,14500
1994-08-18,18.00,18.00,17.88,18.00,5.79,11500
1994-08-19,18.00,18.12,17.88,18.00,5.79,10300
1994-08-22,18.00,18.12,18.00,18.12,5.83,6500
1994-08-23,18.12,18.12,18.00,18.12,5.83,9600
1994-08-24,18.12,18.12,18.00,18.12,5.83,18300
1994-08-25,18.12,18.12,17.75,17.75,5.71,12800
1994-08-26,17.75,18.00,17.75,18.00,5.79,13400
1994-08-29,18.00,18.12,17.88,18.12,5.83,11900
1994-08-30,18.12,18.25,18.00,18.25,5.87,39400
1994-08-31,18.25,18.50,18.25,18.38,5.91,23900
1994-09-01,18.38,18.50,18.25,18.50,5.95,31400
1994-09-02,18.50,19.00,18.38,19.00,6.11,27800
1994-09-06,18.88,18.88,18.62,18.75,6.03,8800
1994-09-07,18.75,18.88,18.62,18.75,6.03,10800
1994-09-08,18.75,18.88,18.62,18.62,5.99,7100
1994-09-09,18.62,18.75,18.25,18.62,5.99,17800
1994-09-12,18.62,18.75,18.62,18.75,6.03,9300
1994-09-13,18.75,18.75,18.50,18.50,5.95,11400
1994-09-14,18.50,18.62,18.38,18.38,5.91,7800
1994-09-15,18.38,18.62,18.25,18.62,5.99,8700
1994-09-16,18.62,18.62,18.25,18.25,5.87,10700
1994-09-19,18.25,18.50,18.12,18.50,5.95,7200
1994-09-20,18.50,18.75,18.50,18.62,5.99,11700
1994-09-21,18.62,18.62,18.12,18.38,5.91,12800
1994-09-22,18.38,18.38,17.88,18.00,5.79,20400
1994-09-23,18.00,18.00,17.62,17.88,5.75,5500
1994-09-26,17.88,18.00,17.12,18.00,5.79,18000
1994-09-27,18.00,18.12,17.88,18.00,5.79,5300
1994-09-28,18.00,18.00,17.38,17.38,5.59,9200
1994-09-29,17.50,17.88,17.50,17.88,5.75,6300
1994-09-30,17.88,18.00,17.75,18.00,5.79,6400
1994-10-03,18.00,18.00,17.75,17.75,5.71,5900
1994-10-04,17.75,18.00,17.75,17.75,5.71,5500
1994-10-05,17.75,17.75,16.88,17.00,5.47,15300
1994-10-06,17.00,17.12,16.75,16.75,5.39,35900
1994-10-07,16.88,17.00,16.88,17.00,5.47,36500
1994-10-10,17.00,17.38,17.00,17.00,5.47,23700
1994-10-11,17.00,17.00,16.50,16.75,5.39,32900
1994-10-12,16.75,17.00,16.75,17.00,5.47,12700
1994-10-13,17.00,17.00,16.75,16.75,5.39,6400
1994-10-14,16.75,16.75,16.50,16.62,5.35,10200
1994-10-17,16.75,16.88,16.75,16.88,5.43,8100
1994-10-18,16.88,17.25,16.88,16.88,5.43,24700
1994-10-19,16.88,16.88,16.62,16.75,5.39,9200
1994-10-20,16.75,17.00,16.50,16.88,5.43,20700
