Date,Open,High,Low,Close,Adj Close,Volume
2015-04-16,31.00,35.74,28.22,30.00,30.00,19763300
2015-04-17,29.77,30.30,26.51,27.58,27.58,3965500
2015-04-20,28.77,28.90,24.87,24.90,24.90,3076200
2015-04-21,24.97,26.04,24.56,25.75,25.75,2184700
2015-04-22,26.00,26.24,24.95,25.12,25.12,1442500
2015-04-23,24.93,25.74,24.08,25.62,25.62,1298100
2015-04-24,25.55,25.70,25.00,25.58,25.58,532800
2015-04-27,25.70,26.47,25.21,25.90,25.90,731300
2015-04-28,25.75,25.90,24.18,24.49,24.49,954100
2015-04-29,24.49,24.97,22.32,22.42,22.42,1674500
2015-04-30,22.66,23.18,21.82,22.24,22.24,1221500
2015-05-01,22.25,23.00,21.27,21.75,21.75,687300
2015-05-04,21.75,23.28,21.75,23.24,23.24,648600
2015-05-05,23.22,24.32,21.90,24.15,24.15,1064700
2015-05-06,24.15,25.42,23.03,23.40,23.40,1290700
2015-05-07,23.40,24.42,22.72,23.69,23.69,616600
2015-05-08,23.93,24.10,22.50,22.71,22.71,784000
2015-05-11,20.71,21.49,20.02,20.85,20.85,2115100
2015-05-12,21.23,21.45,20.36,20.57,20.57,1140300
2015-05-13,20.50,20.78,19.50,19.83,19.83,1536000
2015-05-14,19.83,20.75,19.61,20.60,20.60,1043600
2015-05-15,20.56,20.82,19.51,20.05,20.05,1177100
2015-05-18,19.51,20.75,19.15,20.56,20.56,1211100
2015-05-19,20.56,21.31,19.66,21.00,21.00,2015100
2015-05-20,16.90,17.32,15.70,17.20,17.20,11105200
2015-05-21,17.37,17.69,16.91,17.51,17.51,2318100
2015-05-22,17.82,18.15,17.00,17.17,17.17,2012100
2015-05-26,16.59,17.30,16.18,17.09,17.09,1797400
2015-05-27,17.02,17.63,16.85,17.06,17.06,878600
2015-05-28,16.95,17.10,16.72,17.04,17.04,489100
2015-05-29,17.00,17.10,16.50,16.76,16.76,940400
2015-06-01,16.76,16.77,16.00,16.05,16.05,858400
2015-06-02,15.98,16.10,15.73,15.86,15.86,763000
2015-06-03,15.70,15.88,14.96,15.32,15.32,1432900
2015-06-04,15.25,15.63,15.00,15.07,15.07,808000
2015-06-05,15.15,15.28,14.64,15.03,15.03,712400
2015-06-08,14.95,15.13,14.68,14.86,14.86,500400
2015-06-09,15.11,16.25,15.01,15.99,15.99,2273800
2015-06-10,16.05,18.42,16.01,16.78,16.78,3384300
2015-06-11,17.08,17.68,16.75,16.86,16.86,1418000
2015-06-12,16.75,17.14,16.32,16.64,16.64,747300
2015-06-15,16.20,17.10,16.14,16.32,16.32,1088400
2015-06-16,16.51,16.89,16.20,16.29,16.29,767500
2015-06-17,16.30,16.49,15.65,15.77,15.77,1427400
2015-06-18,15.77,15.87,14.90,15.33,15.33,1386600
2015-06-19,15.26,15.39,14.30,14.31,14.31,2590300
2015-06-22,14.38,14.72,13.78,14.42,14.42,1536400
2015-06-23,14.45,14.80,14.13,14.34,14.34,916600
2015-06-24,14.33,14.59,14.17,14.39,14.39,841800
2015-06-25,14.43,14.96,14.20,14.90,14.90,873800
2015-06-26,14.28,14.57,13.95,14.25,14.25,4215900
2015-06-29,14.00,14.31,13.91,14.23,14.23,1251400
2015-06-30,14.30,14.42,13.95,14.05,14.05,1508100
2015-07-01,14.13,14.48,13.96,14.01,14.01,1764900
2015-07-02,14.00,14.24,12.81,13.27,13.27,1977500
2015-07-06,13.46,13.46,12.80,13.40,13.40,1435000
2015-07-07,13.51,13.53,13.00,13.32,13.32,1030700
2015-07-08,13.17,14.56,13.10,14.55,14.55,961000
2015-07-09,14.61,16.25,14.60,16.20,16.20,1936500
2015-07-10,16.25,17.29,15.82,16.53,16.53,1260300
2015-07-13,16.65,16.90,15.62,16.03,16.03,715300
2015-07-14,16.10,17.02,16.00,16.51,16.51,519800
2015-07-15,16.58,17.15,16.41,16.82,16.82,1070600
2015-07-16,16.90,17.30,16.32,16.83,16.83,988000
2015-07-17,16.94,23.44,16.57,21.98,21.98,11961100
2015-07-20,20.44,20.97,18.92,19.56,19.56,3561300
2015-07-21,19.55,20.38,18.61,18.98,18.98,1733600
2015-07-22,18.82,19.46,18.02,18.45,18.45,869300
2015-07-23,18.37,19.14,17.77,18.44,18.44,1156300
2015-07-24,18.31,19.89,18.16,19.31,19.31,1292100
2015-07-27,19.28,19.47,18.16,18.30,18.30,645500
2015-07-28,18.47,19.15,18.31,18.65,18.65,955000
2015-07-29,18.70,19.45,18.25,18.98,18.98,874700
2015-07-30,18.96,21.66,18.90,21.20,21.20,2323700
2015-07-31,21.30,21.90,20.41,20.84,20.84,1922600
2015-08-03,21.00,21.48,19.85,20.50,20.50,1829700
2015-08-04,20.36,20.59,18.81,19.23,19.23,3028600
2015-08-05,15.62,16.28,13.63,13.78,13.78,4141900
2015-08-06,13.82,13.91,13.06,13.59,13.59,2053600
2015-08-07,13.54,13.77,13.21,13.44,13.44,1105000
2015-08-10,13.52,14.34,13.30,14.29,14.29,679500
2015-08-11,14.19,16.10,13.86,16.01,16.01,1200900
2015-08-12,16.00,18.57,15.56,16.88,16.88,2096400
2015-08-13,16.99,17.73,16.45,16.99,16.99,1288500
2015-08-14,17.07,17.65,16.65,17.08,17.08,1143200
2015-08-17,17.54,17.64,16.50,17.35,17.35,1132300
2015-08-18,17.16,17.47,15.78,15.86,15.86,793400
2015-08-19,15.68,16.03,14.93,14.98,14.98,844600
2015-08-20,14.61,14.97,13.80,14.25,14.25,853900
2015-08-21,13.91,14.11,13.25,13.46,13.46,1223600
2015-08-24,12.58,13.68,11.85,12.93,12.93,1002000
2015-08-25,13.90,14.00,12.84,12.87,12.87,638500
2015-08-26,13.20,13.30,12.63,13.04,13.04,580900
2015-08-27,13.25,14.31,13.19,14.29,14.29,838200
2015-08-28,14.22,15.19,14.12,14.82,14.82,661500
2015-08-31,14.61,14.88,13.88,14.33,14.33,782900
2015-09-01,13.84,14.45,13.81,14.06,14.06,440700
2015-09-02,14.23,14.56,13.88,14.35,14.35,431400
2015-09-03,14.26,14.79,13.94,14.02,14.02,398400
2015-09-04,13.90,14.30,13.71,14.21,14.21,297800
2015-09-08,14.57,14.65,14.08,14.36,14.36,252400
2015-09-09,14.54,14.60,13.90,13.99,13.99,516800
2015-09-10,13.89,14.30,13.87,14.23,14.23,336400
2015-09-11,14.08,14.38,13.96,14.31,14.31,270300
2015-09-14,14.17,14.50,13.98,14.38,14.38,209400
2015-09-15,14.48,14.76,14.38,14.60,14.60,190000
2015-09-16,14.53,14.66,14.14,14.39,14.39,207300
2015-09-17,14.32,15.66,14.32,15.61,15.61,643500
2015-09-18,15.28,15.70,14.90,15.40,15.40,617200
2015-09-21,15.44,16.73,15.17,15.90,15.90,896700
2015-09-22,15.50,15.99,15.10,15.18,15.18,393400
2015-09-23,15.16,15.34,14.34,14.61,14.61,341400
2015-09-24,14.39,14.99,14.16,14.98,14.98,243800
2015-09-25,15.13,15.29,14.00,14.11,14.11,425100
2015-09-28,14.12,14.37,13.86,13.88,13.88,591600
2015-09-29,13.94,14.20,13.52,13.82,13.82,539600
2015-09-30,14.00,14.19,13.31,13.69,13.69,500800
2015-10-01,13.91,14.35,13.43,14.15,14.15,315900
2015-10-02,14.08,14.57,13.89,14.32,14.32,394200
2015-10-05,14.38,15.11,14.05,14.66,14.66,261400
2015-10-06,14.74,14.88,13.64,14.07,14.07,383900
2015-10-07,14.10,14.70,13.96,14.18,14.18,298700
2015-10-08,13.27,13.95,13.20,13.57,13.57,902400
2015-10-09,13.63,14.07,13.15,13.86,13.86,289500
2015-10-12,13.67,13.67,12.20,12.31,12.31,612700
2015-10-13,12.25,13.19,11.52,11.60,11.60,1466500
2015-10-14,11.84,11.88,10.82,10.99,10.99,1091100
2015-10-15,10.57,11.25,10.29,11.03,11.03,2086600
2015-10-16,11.00,11.14,10.65,10.99,10.99,1187100
2015-10-19,10.89,11.04,10.53,10.94,10.94,1050300
2015-10-20,11.19,12.26,11.19,11.34,11.34,2070000
2015-10-21,11.31,11.63,10.62,10.68,10.68,1023300
2015-10-22,10.69,11.58,10.54,11.39,11.39,660100
2015-10-23,11.54,11.67,10.86,11.18,11.18,588500
2015-10-26,11.07,11.48,10.76,11.27,11.27,704300
