Date,Open,High,Low,Close,Adj Close,Volume
1994-04-12,4.67,4.79,4.67,4.71,3.31,5143200
1994-04-13,4.75,4.75,4.67,4.67,3.28,1094100
1994-04-14,4.67,4.71,4.67,4.67,3.28,204600
1994-04-15,4.67,4.71,4.67,4.71,3.31,483900
1994-04-18,4.67,4.71,4.67,4.67,3.28,608700
1994-04-19,4.67,4.71,4.50,4.58,3.22,939600
1994-04-20,4.54,4.54,4.33,4.33,3.05,221100
1994-04-21,4.25,4.29,4.21,4.25,2.99,40500
1994-04-22,4.17,4.17,4.08,4.08,2.87,42000
1994-04-25,4.12,4.12,4.08,4.08,2.87,34500
1994-04-26,4.17,4.21,4.12,4.21,2.96,21000
1994-04-28,4.25,4.29,4.21,4.29,3.02,24000
1994-04-29,4.29,4.29,4.21,4.29,3.02,149100
1994-05-02,4.33,4.46,4.29,4.46,3.14,62400
1994-05-03,4.46,4.46,4.42,4.42,3.11,11400
1994-05-04,4.42,4.42,4.33,4.38,3.08,5700
1994-05-05,4.38,4.38,4.33,4.38,3.08,188400
1994-05-06,4.29,4.29,4.25,4.29,3.02,9900
1994-05-09,4.33,4.50,4.33,4.33,3.05,130200
1994-05-10,4.33,4.38,4.25,4.38,3.08,106800
1994-05-11,4.42,4.42,4.38,4.38,3.08,13200
1994-05-12,4.38,4.42,4.38,4.42,3.11,184200
1994-05-13,4.42,4.46,4.42,4.42,3.11,5400
1994-05-16,4.38,4.38,4.29,4.29,3.02,463200
1994-05-17,4.25,4.25,4.21,4.21,2.96,108300
1994-05-18,4.17,4.17,4.12,4.12,2.90,87900
1994-05-19,4.12,4.12,4.08,4.08,2.87,36300
1994-05-20,4.08,4.08,3.92,4.00,2.81,99600
1994-05-23,4.00,4.00,3.96,3.96,2.78,66600
1994-05-24,4.00,4.00,3.96,4.00,2.81,134100
1994-05-25,3.92,3.92,3.62,3.67,2.58,138000
1994-05-26,3.71,3.92,3.67,3.71,2.61,635400
1994-05-27,3.71,3.71,3.25,3.54,2.49,255300
1994-05-31,3.54,3.54,3.50,3.50,2.46,178500
1994-06-01,3.42,3.42,3.17,3.42,2.40,1741200
1994-06-02,3.46,3.62,3.46,3.58,2.52,128400
1994-06-03,3.58,3.58,3.54,3.58,2.52,42000
1994-06-06,3.62,3.92,3.62,3.88,2.72,471900
1994-06-07,3.92,3.92,3.75,3.79,2.67,232500
1994-06-08,3.79,3.79,3.71,3.75,2.64,143700
1994-06-09,3.75,3.75,3.62,3.67,2.58,265800
1994-06-10,3.67,3.83,3.67,3.83,2.70,195600
1994-06-13,3.79,3.79,3.71,3.75,2.64,146700
1994-06-14,3.71,3.71,3.62,3.62,2.55,191400
1994-06-15,3.67,3.79,3.67,3.79,2.67,248400
1994-06-16,3.83,3.92,3.79,3.92,2.75,72000
1994-06-17,3.96,3.96,3.92,3.92,2.75,9600
1994-06-20,3.92,4.00,3.88,4.00,2.81,238200
1994-06-21,4.04,4.08,4.00,4.04,2.84,178800
1994-06-22,4.08,4.21,4.04,4.17,2.93,103200
1994-06-23,4.17,4.21,4.08,4.08,2.87,196200
1994-06-24,4.08,4.12,3.88,3.92,2.75,165000
1994-06-27,3.92,3.96,3.92,3.96,2.78,27900
1994-06-28,3.96,3.96,3.92,3.96,2.78,40200
1994-06-29,3.96,3.96,3.92,3.96,2.78,22500
1994-06-30,3.92,3.96,3.88,3.96,2.78,92100
1994-07-01,3.92,3.92,3.92,3.92,2.75,7200
1994-07-05,3.88,3.88,3.83,3.83,2.70,36300
1994-07-06,3.83,3.92,3.83,3.92,2.75,107400
1994-07-07,3.92,3.92,3.88,3.92,2.75,64200
1994-07-08,3.92,3.96,3.92,3.96,2.78,238800
1994-07-11,3.92,4.00,3.92,4.00,2.81,109800
1994-07-12,4.04,4.17,4.04,4.12,2.90,55200
1994-07-13,4.17,4.25,4.17,4.21,2.96,66300
1994-07-14,4.21,4.21,4.17,4.17,2.93,13800
1994-07-15,4.21,4.21,4.04,4.08,2.87,65700
1994-07-18,4.08,4.08,4.04,4.08,2.87,37500
1994-07-19,4.04,4.08,4.00,4.00,2.81,157800
1994-07-20,4.00,4.04,4.00,4.04,2.84,69300
1994-07-21,4.04,4.21,4.04,4.17,2.93,46200
1994-07-22,4.17,4.17,4.04,4.04,2.84,59100
1994-07-25,4.04,4.04,3.96,3.96,2.78,201000
1994-07-26,3.96,4.00,3.96,4.00,2.81,114000
1994-07-27,4.00,4.00,3.92,3.92,2.75,10800
1994-07-28,4.00,4.00,4.00,4.00,2.81,31200
1994-07-29,3.96,3.96,3.92,3.96,2.78,17700
1994-08-01,3.92,3.92,3.92,3.92,2.75,100200
1994-08-02,4.00,4.00,3.96,4.00,2.81,106800
1994-08-03,4.00,4.00,3.88,3.96,2.78,23700
1994-08-04,3.96,4.00,3.92,3.96,2.78,96600
1994-08-05,3.92,3.96,3.92,3.96,2.78,54300
1994-08-08,3.92,3.92,3.83,3.83,2.70,46200
1994-08-09,3.83,3.83,3.83,3.83,2.70,108900
1994-08-10,3.79,3.83,3.79,3.79,2.67,100200
1994-08-11,3.79,3.83,3.79,3.79,2.67,137100
1994-08-12,3.83,3.88,3.75,3.75,2.64,152700
1994-08-15,3.75,3.79,3.75,3.79,2.67,141900
1994-08-16,3.79,3.79,3.71,3.75,2.64,115200
1994-08-17,3.71,3.71,3.50,3.50,2.46,681900
1994-08-18,3.50,3.58,3.50,3.58,2.52,536100
1994-08-19,3.62,3.67,3.58,3.58,2.52,437400
1994-08-22,3.58,3.67,3.58,3.67,2.58,285300
1994-08-23,3.62,3.62,3.46,3.54,2.49,338100
1994-08-24,3.54,3.54,3.42,3.50,2.46,1080000
1994-08-25,3.50,3.58,3.50,3.58,2.52,33000
1994-08-26,3.58,3.62,3.54,3.62,2.55,65400
1994-08-29,3.67,3.67,3.58,3.62,2.55,128700
1994-08-30,3.58,3.67,3.58,3.62,2.55,154800
1994-08-31,3.67,3.83,3.67,3.79,2.67,379200
1994-09-01,3.79,3.83,3.79,3.79,2.67,301500
1994-09-02,3.79,3.83,3.79,3.83,2.70,4800
1994-09-06,3.83,3.83,3.79,3.79,2.67,57900
1994-09-07,3.83,3.88,3.83,3.88,2.72,27600
1994-09-08,3.83,3.92,3.83,3.92,2.75,33600
1994-09-09,3.92,4.04,3.88,4.00,2.81,196500
1994-09-12,4.04,4.17,4.04,4.12,2.90,77700
1994-09-13,4.12,4.12,4.08,4.08,2.87,31500
1994-09-14,4.17,4.17,4.04,4.08,2.87,47400
1994-09-15,4.12,4.17,4.12,4.17,2.93,45000
1994-09-16,4.21,4.25,4.17,4.21,2.96,168900
1994-09-19,4.25,4.25,4.12,4.21,2.96,55200
1994-09-20,4.12,4.17,4.12,4.12,2.90,28800
1994-09-21,4.12,4.17,4.00,4.04,2.84,102300
1994-09-22,4.04,4.08,4.00,4.00,2.81,52500
1994-09-23,3.96,4.00,3.96,3.96,2.78,51600
1994-09-26,3.96,4.00,3.96,4.00,2.81,161700
1994-09-27,4.00,4.00,3.96,3.96,2.78,6600
1994-09-28,3.96,4.00,3.88,3.92,2.75,535200
1994-09-29,3.92,4.04,3.92,4.00,2.81,223800
1994-09-30,4.04,4.17,4.04,4.17,2.93,59100
1994-10-03,4.12,4.17,4.12,4.17,2.93,90000
1994-10-04,4.12,4.17,3.92,3.92,2.75,359100
1994-10-05,3.96,3.96,3.83,3.83,2.70,262500
1994-10-06,3.88,3.96,3.88,3.88,2.72,117600
1994-10-07,3.88,3.88,3.71,3.71,2.61,131700
1994-10-10,3.71,3.75,3.67,3.67,2.58,45900
1994-10-11,3.71,3.79,3.71,3.71,2.61,160500
1994-10-12,3.71,3.75,3.71,3.75,2.64,39000
1994-10-13,3.75,3.88,3.75,3.88,2.72,480000
1994-10-14,3.83,3.88,3.79,3.88,2.72,507900
1994-10-17,3.92,3.92,3.88,3.92,2.75,13800
1994-10-18,3.92,3.92,3.83,3.88,2.72,41700
1994-10-19,3.83,3.83,3.83,3.83,2.70,45000
1994-10-20,3.83,3.83,3.79,3.83,2.70,87000
1994-10-21,3.79,3.79,3.67,3.71,2.61,169500
1994-10-24,3.71,3.71,3.71,3.71,2.61,9600
1994-10-25,3.67,3.67,3.54,3.54,2.49,218100
1994-10-26,3.58,3.58,3.46,3.54,2.49,596100
1994-10-27,3.58,3.58,3.50,3.50,2.46,89100
1994-10-28,3.50,3.50,3.46,3.50,2.46,206100
1994-10-31,3.50,3.58,3.50,3.54,2.49,99300
1994-11-01,3.50,3.62,3.50,3.58,2.52,69900
1994-11-02,3.62,3.79,3.62,3.79,2.67,157200
