Date,Open,High,Low,Close,Adj Close,Volume
2016-08-05,24.58,25.00,24.35,24.84,20.70,1129600
2016-08-08,25.00,25.07,24.58,24.58,20.48,985600
2016-08-09,24.50,24.60,24.25,24.41,20.34,688000
2016-08-10,24.93,24.93,24.27,24.45,20.37,348700
2016-08-11,24.50,24.89,24.38,24.83,20.69,850300
2016-08-12,24.70,25.12,24.51,25.01,20.84,245800
2016-08-15,25.28,25.34,25.10,25.29,21.07,182300
2016-08-16,25.32,25.32,24.75,25.21,21.00,521200
2016-08-17,25.34,25.74,25.04,25.50,21.25,332500
2016-08-18,25.25,25.83,25.25,25.77,21.47,290000
2016-08-19,25.70,26.47,25.33,26.25,21.87,357300
2016-08-22,26.49,26.49,25.97,26.25,21.87,373800
2016-08-23,26.50,27.10,26.30,26.58,22.15,433400
2016-08-24,26.78,26.89,26.45,26.52,22.10,359600
2016-08-25,26.85,26.85,26.60,26.75,22.29,183200
2016-08-26,26.97,27.13,26.45,26.57,22.14,390000
2016-08-29,26.82,27.10,25.86,26.49,22.07,739800
2016-08-30,26.41,26.75,26.25,26.51,22.09,545300
2016-08-31,26.51,26.75,26.46,26.58,22.15,508200
2016-09-01,26.80,26.80,26.25,26.61,22.17,330300
2016-09-02,26.60,27.25,26.55,27.19,22.65,349000
2016-09-06,27.34,27.97,26.22,26.32,21.93,788600
2016-09-07,26.36,26.50,26.00,26.33,21.94,552700
2016-09-08,26.21,26.37,25.82,26.15,21.79,528600
2016-09-09,26.15,27.06,26.15,26.53,22.10,413700
2016-09-12,26.31,27.01,26.27,26.72,22.26,323900
2016-09-13,26.95,26.95,25.02,26.32,21.93,621500
2016-09-14,26.20,26.63,26.00,26.40,22.00,310300
2016-09-15,26.45,26.51,25.80,26.35,21.95,400500
2016-09-16,26.34,26.66,26.06,26.18,21.81,2154900
2016-09-19,26.13,26.94,26.13,26.79,22.32,673300
2016-09-20,26.73,26.97,26.34,26.78,22.31,135700
2016-09-21,26.78,27.23,26.78,27.04,22.53,349800
2016-09-22,27.22,27.25,26.65,26.80,22.33,741100
2016-09-23,26.80,27.00,26.69,26.77,22.30,205200
