Date,Open,High,Low,Close,Adj Close,Volume
2001-06-20,24.00,24.50,23.90,23.90,9.90,11000
2001-06-21,24.50,25.50,24.50,25.50,10.56,39300
2001-06-22,25.50,25.65,25.50,25.60,10.60,33800
2001-06-25,25.90,26.50,25.90,26.50,10.98,9100
2001-06-26,26.50,26.50,26.15,26.45,10.96,109800
2001-06-27,26.45,26.60,26.44,26.60,11.02,185300
2001-06-28,26.80,27.50,26.80,27.50,11.39,66000
2001-06-29,27.55,28.10,27.55,28.00,11.60,71300
2001-07-02,28.00,28.40,28.00,28.00,11.60,69700
2001-07-03,28.01,28.16,28.01,28.05,11.62,56200
2001-07-05,28.05,28.05,27.94,27.95,11.58,61900
2001-07-06,27.95,30.00,26.90,30.00,12.43,3337400
2001-07-09,30.00,31.30,29.80,29.91,12.39,1674700
2001-07-10,29.91,30.01,28.55,28.55,11.83,1210400
2001-07-11,28.45,29.01,28.38,28.50,11.81,2426400
2001-07-12,28.51,30.20,28.51,29.45,12.20,1294600
2001-07-13,29.35,30.02,28.99,29.00,12.01,709500
2001-07-16,29.00,29.61,28.52,28.75,11.91,593900
2001-07-17,28.75,29.75,28.71,29.59,12.26,837100
2001-07-18,29.52,30.00,29.43,29.49,12.22,396600
2001-07-19,29.44,29.50,28.81,28.90,11.97,303600
2001-07-20,28.80,29.15,28.80,28.96,12.00,519000
2001-07-23,28.96,29.01,28.60,29.01,12.02,206100
2001-07-24,28.95,29.30,28.74,28.98,12.00,268600
2001-07-25,28.97,29.79,28.75,29.55,12.24,385200
2001-07-26,29.40,29.95,29.18,29.93,12.40,208500
2001-07-27,29.92,30.55,29.90,30.53,12.65,274600
2001-07-30,30.54,32.15,30.54,31.62,13.10,289200
2001-07-31,31.60,33.50,31.60,33.02,13.68,357300
2001-08-01,33.10,34.28,33.10,34.00,14.08,759800
2001-08-02,33.95,34.20,33.66,33.71,13.96,365500
2001-08-03,33.50,33.55,32.60,32.65,13.52,139800
2001-08-06,32.80,32.90,32.08,32.14,13.31,161700
2001-08-07,32.14,32.70,32.10,32.45,13.44,186400
2001-08-08,32.50,32.60,32.00,32.49,13.46,322400
2001-08-09,32.50,32.60,32.35,32.51,13.47,169400
2001-08-10,32.51,32.75,32.10,32.15,13.32,328500
2001-08-13,32.14,32.14,31.99,32.00,13.26,396200
2001-08-14,33.00,33.00,32.48,32.79,13.58,269000
2001-08-15,32.80,33.10,32.00,32.00,13.26,307000
2001-08-16,32.00,32.15,31.80,32.00,13.26,280600
2001-08-17,31.95,32.25,31.79,32.24,13.35,211200
2001-08-20,32.29,32.29,32.00,32.02,13.26,150900
2001-08-21,32.00,32.45,32.00,32.30,13.38,321800
2001-08-22,32.20,32.63,32.15,32.50,13.46,234300
2001-08-23,32.25,32.50,32.20,32.40,13.42,72300
2001-08-24,32.35,32.40,32.20,32.35,13.40,69600
2001-08-27,32.35,32.73,32.35,32.65,13.52,80900
2001-08-28,32.72,32.72,32.31,32.38,13.41,241000
2001-08-29,32.38,32.74,32.30,32.73,13.56,261600
2001-08-30,32.68,33.12,32.68,33.01,13.67,182300
2001-08-31,33.25,34.36,33.25,34.36,14.23,277600
2001-09-04,34.35,35.10,34.33,34.90,14.46,760800
2001-09-05,34.90,34.90,33.71,33.72,13.97,296900
2001-09-06,33.70,33.70,32.83,33.00,13.67,333900
2001-09-07,33.00,33.05,32.50,32.64,13.52,186200
