Date,Open,High,Low,Close,Adj Close,Volume
1986-09-25,0.00,0.28,0.27,0.28,0.28,38472975
1986-09-26,0.00,0.28,0.27,0.28,0.28,2050313
1986-09-29,0.00,0.28,0.27,0.27,0.27,2624400
1986-09-30,0.00,0.28,0.27,0.28,0.28,1562794
1986-10-01,0.00,0.29,0.28,0.28,0.28,624206
1986-10-02,0.00,0.28,0.28,0.28,0.28,2692744
1986-10-03,0.00,0.28,0.28,0.28,0.28,496631
1986-10-06,0.00,0.28,0.28,0.28,0.28,227813
1986-10-07,0.00,0.28,0.28,0.28,0.28,273375
1986-10-08,0.00,0.28,0.28,0.28,0.28,127575
1986-10-09,0.00,0.28,0.28,0.28,0.28,150356
1986-10-10,0.00,0.28,0.28,0.28,0.28,72900
1986-10-13,0.00,0.28,0.28,0.28,0.28,27338
1986-10-14,0.00,0.28,0.28,0.28,0.28,309825
1986-10-15,0.00,0.28,0.28,0.28,0.28,154913
1986-10-16,0.00,0.28,0.28,0.28,0.28,77456
1986-10-17,0.00,0.28,0.28,0.28,0.28,123019
1986-10-20,0.00,0.28,0.28,0.28,0.28,82013
1986-10-21,0.00,0.28,0.28,0.28,0.28,136688
1986-10-22,0.00,0.28,0.28,0.28,0.28,2738306
1986-10-23,0.00,0.28,0.28,0.28,0.28,715331
1986-10-24,0.00,0.29,0.28,0.29,0.29,1699481
1986-10-27,0.00,0.30,0.29,0.30,0.30,136688
1986-10-28,0.00,0.30,0.29,0.30,0.30,865688
1986-10-29,0.00,0.32,0.30,0.31,0.31,482963
1986-10-30,0.00,0.32,0.31,0.31,0.31,482963
1986-10-31,0.00,0.32,0.31,0.32,0.32,63788
1986-11-03,0.00,0.33,0.32,0.33,0.33,164025
1986-11-04,0.00,0.33,0.32,0.33,0.33,18225
1986-11-05,0.00,0.33,0.32,0.32,0.32,182250
1986-11-06,0.00,0.32,0.32,0.32,0.32,22781
1986-11-07,0.00,0.33,0.32,0.32,0.32,3394406
1986-11-10,0.00,0.33,0.32,0.32,0.32,59231
1986-11-11,0.00,0.33,0.32,0.32,0.32,154913
1986-11-12,0.00,0.32,0.31,0.32,0.32,1517231
1986-11-13,0.00,0.32,0.31,0.32,0.32,104794
1986-11-14,0.00,0.32,0.31,0.32,0.32,91125
1986-11-17,0.00,0.32,0.32,0.32,0.32,9113
1986-11-18,0.00,0.31,0.31,0.31,0.31,236925
1986-11-19,0.00,0.32,0.30,0.30,0.30,1079831
1986-11-20,0.00,0.31,0.30,0.31,0.31,54675
1986-11-21,0.00,0.31,0.30,0.31,0.31,911250
1986-11-24,0.00,0.31,0.30,0.31,0.31,31894
1986-11-25,0.00,0.31,0.31,0.31,0.31,455625
1986-11-26,0.00,0.31,0.30,0.31,0.31,127575
1986-11-28,0.00,0.30,0.30,0.30,0.30,95681
1986-12-01,0.00,0.31,0.30,0.30,0.30,31894
1986-12-02,0.00,0.31,0.29,0.29,0.29,4629150
1986-12-03,0.00,0.31,0.30,0.31,0.31,496631
1986-12-04,0.00,0.31,0.30,0.31,0.31,446513
1986-12-05,0.00,0.30,0.30,0.30,0.30,2751975
1986-12-08,0.00,0.31,0.30,0.30,0.30,305269
1986-12-09,0.00,0.31,0.30,0.30,0.30,173138
1986-12-10,0.00,0.31,0.31,0.31,0.31,18225
1986-12-11,0.31,0.31,0.31,0.31,0.31,0
1986-12-12,0.00,0.31,0.30,0.31,0.31,9121613
1986-12-15,0.00,0.31,0.30,0.31,0.31,18225
1986-12-16,0.00,0.31,0.30,0.30,0.30,209588
1986-12-17,0.00,0.31,0.30,0.30,0.30,455625
1986-12-18,0.00,0.31,0.30,0.31,0.31,195919
1986-12-19,0.00,0.31,0.30,0.30,0.30,41006
1986-12-22,0.00,0.31,0.30,0.31,0.31,127575
1986-12-23,0.00,0.31,0.30,0.31,0.31,127575
1986-12-24,0.00,0.31,0.30,0.31,0.31,924919
1986-12-26,0.00,0.30,0.30,0.30,0.30,4556
1986-12-29,0.00,0.31,0.31,0.31,0.31,9113
1986-12-30,0.31,0.31,0.31,0.31,0.31,0
1986-12-31,0.00,0.31,0.30,0.30,0.30,783675
1987-01-02,0.00,0.32,0.31,0.31,0.31,232369
1987-01-05,0.00,0.32,0.32,0.32,0.32,109350
1987-01-06,0.00,0.32,0.32,0.32,0.32,150356
1987-01-07,0.00,0.33,0.32,0.33,0.33,95681
1987-01-08,0.00,0.34,0.32,0.32,0.32,437400
1987-01-09,0.00,0.34,0.32,0.33,0.33,369056
1987-01-12,0.00,0.35,0.33,0.34,0.34,277931
1987-01-13,0.00,0.36,0.34,0.36,0.36,268819
1987-01-14,0.00,0.36,0.35,0.36,0.36,141244
1987-01-15,0.00,0.36,0.35,0.35,0.35,214144
1987-01-16,0.00,0.36,0.35,0.35,0.35,205031
1987-01-19,0.00,0.35,0.35,0.35,0.35,4556
1987-01-20,0.00,0.36,0.35,0.35,0.35,496631
1987-01-21,0.00,0.36,0.35,0.36,0.36,250594
1987-01-22,0.00,0.36,0.36,0.36,0.36,9113
1987-01-23,0.00,0.37,0.36,0.36,0.36,1366875
1987-01-26,0.00,0.37,0.36,0.37,0.37,9113
1987-01-27,0.00,0.37,0.37,0.37,0.37,273375
1987-01-28,0.00,0.38,0.37,0.38,0.38,346275
1987-01-29,0.00,0.40,0.38,0.38,0.38,350831
1987-01-30,0.00,0.40,0.38,0.40,0.40,496631
1987-02-02,0.00,0.40,0.38,0.40,0.40,63788
1987-02-03,0.00,0.39,0.38,0.39,0.39,533081
1987-02-04,0.00,0.39,0.36,0.38,0.38,1822500
1987-02-05,0.00,0.38,0.36,0.37,0.37,141244
1987-02-06,0.00,0.37,0.36,0.36,0.36,232369
1987-02-09,0.00,0.37,0.36,0.36,0.36,31894
1987-02-10,0.00,0.37,0.37,0.37,0.37,141244
1987-02-11,0.00,0.37,0.37,0.37,0.37,9113
1987-02-12,0.00,0.38,0.37,0.38,0.38,3143813
1987-02-13,0.00,0.38,0.37,0.38,0.38,3289613
1987-02-17,0.00,0.38,0.38,0.38,0.38,218700
1987-02-18,0.00,0.39,0.37,0.37,0.37,1152731
1987-02-19,0.00,0.39,0.37,0.39,0.39,27338
1987-02-20,0.00,0.39,0.37,0.39,0.39,68344
1987-02-23,0.00,0.39,0.39,0.39,0.39,9113
1987-02-24,0.00,0.39,0.39,0.39,0.39,41006
1987-02-25,0.00,0.38,0.37,0.38,0.38,31894
1987-02-26,0.00,0.39,0.37,0.39,0.39,63788
1987-02-27,0.00,0.40,0.38,0.40,0.40,95681
1987-03-02,0.00,0.49,0.41,0.47,0.47,956813
1987-03-03,0.00,0.46,0.41,0.43,0.43,665213
1987-03-04,0.00,0.44,0.41,0.42,0.42,232369
1987-03-05,0.00,0.44,0.42,0.42,0.42,5458388
1987-03-06,0.00,0.44,0.42,0.44,0.44,136688
1987-03-09,0.00,0.44,0.42,0.42,0.42,150356
1987-03-10,0.00,0.44,0.42,0.42,0.42,54675
1987-03-11,0.00,0.44,0.44,0.44,0.44,82013
1987-03-12,0.00,0.44,0.44,0.44,0.44,41006
1987-03-13,0.00,0.44,0.43,0.44,0.44,150356
1987-03-16,0.00,0.43,0.43,0.43,0.43,50119
1987-03-17,0.00,0.44,0.43,0.43,0.43,314381
1987-03-18,0.00,0.44,0.43,0.44,0.44,5941350
1987-03-19,0.00,0.44,0.43,0.44,0.44,250594
1987-03-20,0.00,0.44,0.43,0.43,0.43,86569
1987-03-23,0.00,0.45,0.43,0.45,0.45,31894
1987-03-24,0.00,0.45,0.43,0.43,0.43,154913
1987-03-25,0.00,0.45,0.43,0.45,0.45,510300
1987-03-26,0.00,0.45,0.43,0.43,0.43,177694
1987-03-27,0.00,0.45,0.43,0.43,0.43,68344
1987-03-30,0.00,0.45,0.43,0.43,0.43,546750
1987-03-31,0.00,0.45,0.43,0.43,0.43,141244
1987-04-01,0.00,0.45,0.43,0.45,0.45,136688
1987-04-02,0.00,0.45,0.43,0.43,0.43,54675
1987-04-03,0.00,0.45,0.44,0.44,0.44,9113
1987-04-06,0.00,0.45,0.43,0.44,0.44,136688
1987-04-07,0.00,0.44,0.43,0.44,0.44,164025
1987-04-08,0.00,0.44,0.43,0.44,0.44,50119
1987-04-09,0.00,0.44,0.43,0.43,0.43,123019
1987-04-10,0.00,0.44,0.43,0.44,0.44,68344
1987-04-13,0.00,0.44,0.43,0.44,0.44,68344
1987-04-14,0.00,0.44,0.43,0.43,0.43,733556
1987-04-15,0.00,0.44,0.43,0.44,0.44,127575
1987-04-16,0.00,0.43,0.40,0.42,0.42,478406
1987-04-20,0.00,0.43,0.42,0.43,0.43,182250
1987-04-21,0.00,0.44,0.42,0.44,0.44,45563
1987-04-22,0.00,0.44,0.42,0.44,0.44,113906
1987-04-23,0.44,0.44,0.44,0.44,0.44,0
1987-04-24,0.00,0.42,0.42,0.42,0.42,72900
1987-04-27,0.00,0.43,0.42,0.43,0.43,1458000
1987-04-28,0.00,0.43,0.41,0.41,0.41,291600
1987-04-29,0.00,0.43,0.41,0.41,0.41,63788
1987-04-30,0.00,0.43,0.41,0.41,0.41,164025
1987-05-01,0.00,0.42,0.40,0.41,0.41,191363
1987-05-04,0.00,0.41,0.39,0.39,0.39,86569
1987-05-05,0.00,0.40,0.38,0.40,0.40,159469
1987-05-06,0.00,0.39,0.37,0.38,0.38,432844
1987-05-07,0.00,0.40,0.38,0.40,0.40,355388
1987-05-08,0.00,0.40,0.40,0.40,0.40,154913
1987-05-11,0.00,0.40,0.38,0.40,0.40,282488
1987-05-12,0.00,0.40,0.39,0.39,0.39,164025
1987-05-13,0.00,0.41,0.39,0.41,0.41,382725
1987-05-14,0.00,0.42,0.40,0.40,0.40,1435219
1987-05-15,0.00,0.40,0.39,0.40,0.40,16024331
1987-05-18,0.00,0.40,0.39,0.39,0.39,6702244
1987-05-19,0.00,0.40,0.38,0.38,0.38,660656
1987-05-20,0.00,0.40,0.38,0.40,0.40,296156
1987-05-21,0.00,0.40,0.38,0.38,0.38,697106
1987-05-22,0.00,0.40,0.38,0.40,0.40,1230188
1987-05-26,0.00,0.40,0.39,0.40,0.40,1252969
1987-05-27,0.00,0.40,0.39,0.39,0.39,91125
1987-05-28,0.00,0.40,0.39,0.40,0.40,350831
1987-05-29,0.00,0.40,0.39,0.39,0.39,209588
1987-06-01,0.00,0.40,0.39,0.39,0.39,318938
1987-06-02,0.00,0.40,0.38,0.40,0.40,191363
1987-06-03,0.00,0.41,0.38,0.40,0.40,2323688
1987-06-04,0.00,0.42,0.40,0.42,0.42,1444331
1987-06-05,0.00,0.44,0.41,0.44,0.44,1467113
1987-06-08,0.00,0.45,0.43,0.44,0.44,1635694
1987-06-09,0.00,0.46,0.44,0.46,0.46,5162231
1987-06-10,0.00,0.48,0.46,0.47,0.47,5804663
1987-06-11,0.00,0.48,0.47,0.47,0.47,4556250
1987-06-12,0.00,0.47,0.46,0.47,0.47,838350
1987-06-15,0.00,0.47,0.46,0.47,0.47,241481
1987-06-16,0.00,0.47,0.46,0.47,0.47,1207406
1987-06-17,0.00,0.47,0.46,0.46,0.46,469294
1987-06-18,0.00,0.47,0.46,0.47,0.47,396394
1987-06-19,0.00,0.47,0.46,0.46,0.46,123019
1987-06-22,0.00,0.47,0.46,0.46,0.46,646988
1987-06-23,0.00,0.47,0.46,0.47,0.47,1521788
1987-06-24,0.00,0.47,0.46,0.47,0.47,1690369
1987-06-25,0.00,0.48,0.46,0.48,0.48,1061606
1987-06-26,0.00,0.48,0.47,0.47,0.47,373613
1987-06-29,0.00,0.47,0.47,0.47,0.47,259706
1987-06-30,0.00,0.48,0.47,0.48,0.48,414619
1987-07-01,0.00,0.48,0.47,0.47,0.47,610538
1987-07-02,0.00,0.47,0.47,0.47,0.47,2574281
1987-07-06,0.00,0.48,0.47,0.48,0.48,6437981
1987-07-07,0.00,0.48,0.47,0.47,0.47,159469
1987-07-08,0.00,0.48,0.47,0.47,0.47,733556
1987-07-09,0.00,0.48,0.47,0.48,0.48,309825
1987-07-10,0.00,0.47,0.47,0.47,0.47,205031
1987-07-13,0.00,0.47,0.47,0.47,0.47,719888
1987-07-14,0.00,0.47,0.47,0.47,0.47,1098056
1987-07-15,0.00,0.47,0.46,0.46,0.46,314381
1987-07-16,0.00,0.46,0.46,0.46,0.46,861131
1987-07-17,0.00,0.46,0.46,0.46,0.46,86569
1987-07-20,0.00,0.47,0.46,0.46,0.46,1129950
1987-07-21,0.00,0.47,0.45,0.46,0.46,246038
1987-07-22,0.00,0.46,0.45,0.45,0.45,428288
1987-07-23,0.00,0.46,0.43,0.43,0.43,1380544
1987-07-24,0.00,0.44,0.43,0.44,0.44,150356
1987-07-27,0.00,0.44,0.43,0.43,0.43,186806
1987-07-28,0.00,0.44,0.43,0.43,0.43,145800
1987-07-29,0.00,0.44,0.41,0.41,0.41,874800
1987-07-30,0.00,0.42,0.39,0.40,0.40,5768213
1987-07-31,0.00,0.41,0.39,0.41,0.41,10064756
1987-08-03,0.00,0.41,0.40,0.40,0.40,291600
1987-08-04,0.00,0.40,0.40,0.40,0.40,113906
1987-08-05,0.00,0.42,0.40,0.41,0.41,1366875
1987-08-06,0.00,0.44,0.41,0.43,0.43,1731375
1987-08-07,0.00,0.44,0.43,0.43,0.43,2446706
1987-08-10,0.00,0.44,0.43,0.44,0.44,359944
1987-08-11,0.00,0.45,0.43,0.45,0.45,879356
1987-08-12,0.00,0.45,0.44,0.44,0.44,123019
1987-08-13,0.00,0.45,0.44,0.44,0.44,2364694
1987-08-14,0.00,0.45,0.44,0.44,0.44,63788
1987-08-17,0.00,0.45,0.44,0.45,0.45,2077650
1987-08-18,0.00,0.45,0.43,0.45,0.45,1612913
1987-08-19,0.00,0.45,0.44,0.44,0.44,141244
1987-08-20,0.00,0.45,0.45,0.45,0.45,31894
1987-08-21,0.00,0.45,0.44,0.45,0.45,136688
1987-08-24,0.00,0.45,0.44,0.44,0.44,2779313
1987-08-25,0.00,0.45,0.44,0.45,0.45,250594
1987-08-26,0.00,0.45,0.44,0.44,0.44,2182444
1987-08-27,0.00,0.45,0.44,0.45,0.45,77456
1987-08-28,0.00,0.45,0.44,0.44,0.44,1690369
1987-08-31,0.00,0.45,0.44,0.45,0.45,182250
1987-09-01,0.00,0.46,0.45,0.45,0.45,464738
1987-09-02,0.00,0.46,0.44,0.44,0.44,18225
1987-09-03,0.00,0.45,0.44,0.45,0.45,396394
1987-09-04,0.00,0.45,0.44,0.44,0.44,191363
1987-09-08,0.00,0.45,0.44,0.44,0.44,587756
1987-09-09,0.00,0.44,0.44,0.44,0.44,9113
1987-09-10,0.00,0.44,0.43,0.43,0.43,879356
1987-09-11,0.00,0.44,0.43,0.43,0.43,1831613
1987-09-14,0.00,0.44,0.43,0.43,0.43,1704038
1987-09-15,0.00,0.43,0.43,0.43,0.43,9113
1987-09-16,0.00,0.43,0.43,0.43,0.43,551306
1987-09-17,0.00,0.43,0.43,0.43,0.43,246038
1987-09-18,0.00,0.43,0.43,0.43,0.43,104794
1987-09-21,0.00,0.43,0.43,0.43,0.43,54675
1987-09-22,0.00,0.43,0.43,0.43,0.43,1485338
1987-09-23,0.00,0.43,0.42,0.43,0.43,2419369
1987-09-24,0.00,0.43,0.42,0.43,0.43,145800
1987-09-25,0.00,0.43,0.42,0.42,0.42,441956
1987-09-28,0.00,0.43,0.41,0.41,0.41,4332994
1987-09-29,0.00,0.42,0.41,0.41,0.41,1827056
1987-09-30,0.00,0.43,0.41,0.43,0.43,3977606
1987-10-01,0.00,0.43,0.42,0.42,0.42,109350
1987-10-02,0.00,0.43,0.42,0.43,0.43,902138
1987-10-05,0.00,0.47,0.42,0.47,0.47,4355775
1987-10-06,0.00,0.47,0.46,0.47,0.47,865688
1987-10-07,0.00,0.46,0.44,0.46,0.46,852019
1987-10-08,0.00,0.45,0.44,0.44,0.44,277931
1987-10-09,0.00,0.44,0.44,0.44,0.44,984150
1987-10-12,0.00,0.44,0.43,0.43,0.43,241481
1987-10-13,0.00,0.44,0.44,0.44,0.44,496631
1987-10-14,0.00,0.44,0.43,0.44,0.44,150356
1987-10-15,0.00,0.44,0.43,0.44,0.44,637875
1987-10-16,0.00,0.43,0.43,0.43,0.43,1389656
1987-10-19,0.00,0.43,0.41,0.41,0.41,2200669
1987-10-20,0.00,0.41,0.38,0.39,0.39,451069
1987-10-21,0.00,0.40,0.38,0.38,0.38,232369
1987-10-22,0.00,0.39,0.36,0.36,0.36,455625
1987-10-23,0.00,0.36,0.33,0.33,0.33,1467113
1987-10-26,0.00,0.34,0.29,0.30,0.30,5749988
1987-10-27,0.00,0.31,0.27,0.28,0.28,1371431
1987-10-28,0.00,0.27,0.26,0.26,0.26,710775
1987-10-29,0.00,0.27,0.25,0.27,0.27,1006931
1987-10-30,0.00,0.30,0.29,0.30,0.30,4096069
1987-11-02,0.00,0.31,0.29,0.31,0.31,1699481
1987-11-03,0.00,0.31,0.30,0.30,0.30,537638
1987-11-04,0.00,0.31,0.30,0.31,0.31,1549125
1987-11-05,0.00,0.31,0.30,0.30,0.30,3658669
1987-11-06,0.00,0.31,0.31,0.31,0.31,195919
