Date,Open,High,Low,Close,Adj Close,Volume
2021-10-29,35.00,36.64,34.26,35.57,35.57,2742000
2021-11-01,35.57,37.20,34.26,36.95,36.95,1949300
2021-11-02,37.14,37.82,34.86,35.43,35.43,1837200
2021-11-03,35.16,36.42,34.62,35.81,35.81,3567800
2021-11-04,36.23,36.82,34.31,34.50,34.50,953400
2021-11-05,34.80,35.38,33.50,34.34,34.34,754000
2021-11-08,35.88,37.65,35.48,36.06,36.06,1593900
2021-11-09,36.20,37.15,35.25,36.44,36.44,561600
2021-11-10,36.69,36.84,33.58,34.16,34.16,1159500
2021-11-11,34.61,37.43,34.18,37.24,37.24,872300
2021-11-12,37.24,39.29,37.01,37.52,37.52,526600
2021-11-15,38.13,39.40,37.38,37.61,37.61,524000
2021-11-16,37.60,37.97,36.29,36.51,36.51,528400
2021-11-17,36.83,37.65,35.51,35.82,35.82,531800
2021-11-18,35.82,36.99,34.43,35.00,35.00,644300
2021-11-19,35.00,36.37,34.65,35.80,35.80,579400
2021-11-22,37.71,38.87,36.21,36.46,36.46,1545900
2021-11-23,36.46,38.00,36.14,36.53,36.53,2139600
2021-11-24,37.17,37.25,35.45,35.97,35.97,598100
2021-11-26,35.05,35.26,33.80,34.37,34.37,431200
2021-11-29,35.00,35.09,33.09,34.08,34.08,677800
2021-11-30,35.63,35.78,31.59,31.69,31.69,1430700
2021-12-01,32.69,36.00,32.62,33.19,33.19,1404500
2021-12-02,33.30,35.55,32.75,33.74,33.74,775000
2021-12-03,33.76,34.88,30.25,31.03,31.03,826600
2021-12-06,31.05,32.62,27.48,32.57,32.57,1389200
2021-12-07,33.57,34.23,31.02,31.85,31.85,937200
2021-12-08,31.69,32.03,31.13,31.62,31.62,872900
2021-12-09,30.30,32.24,29.75,31.32,31.32,1438300
2021-12-10,31.32,32.84,30.96,32.16,32.16,860100
2021-12-13,32.20,33.47,31.67,32.70,32.70,778200
2021-12-14,32.31,33.62,30.34,30.54,30.54,662000
2021-12-15,30.57,31.46,29.55,31.24,31.24,908900
2021-12-16,31.51,34.47,29.80,30.38,30.38,1139100
2021-12-17,30.01,30.61,28.25,30.05,30.05,5110000
2021-12-20,29.43,29.93,28.40,29.71,29.71,724500
2021-12-21,30.93,32.43,30.93,31.92,31.92,832400
2021-12-22,31.91,32.96,31.11,32.90,32.90,1207300
2021-12-23,33.21,35.60,33.04,35.37,35.37,734900
2021-12-27,35.17,35.57,34.19,35.09,35.09,364900
2021-12-28,34.99,36.50,34.86,36.02,36.02,672500
2021-12-29,35.97,36.18,33.31,33.50,33.50,859300
2021-12-30,33.40,35.58,33.31,34.39,34.39,1607100
2021-12-31,34.39,36.39,34.27,35.56,35.56,370200
2022-01-03,35.91,36.71,34.57,34.87,34.87,583600
2022-01-04,35.29,35.81,34.27,34.85,34.85,589000
2022-01-05,34.76,35.07,29.58,30.23,30.23,1343800
2022-01-06,30.17,30.43,27.65,28.06,28.06,2183700
2022-01-07,28.46,28.67,27.20,27.40,27.40,1057100
2022-01-10,27.28,27.28,25.06,26.05,26.05,990600
2022-01-11,26.06,27.60,25.59,26.92,26.92,976400
2022-01-12,27.32,27.55,25.39,25.82,25.82,577600
2022-01-13,27.00,27.47,24.52,24.60,24.60,740600
2022-01-14,24.18,24.73,22.13,24.20,24.20,1200800
2022-01-18,23.51,24.51,22.89,23.49,23.49,1077800
2022-01-19,24.16,24.74,21.82,21.93,21.93,775300
2022-01-20,22.62,23.62,21.27,21.37,21.37,847700
2022-01-21,20.81,21.35,19.46,20.13,20.13,1440800
2022-01-24,19.34,20.75,18.42,20.66,20.66,1424800
2022-01-25,20.14,21.05,19.70,20.81,20.81,990685
