Date,Open,High,Low,Close,Adj Close,Volume
1994-06-24,23.62,23.75,23.50,23.62,5.55,3086100
1994-06-27,23.50,23.62,23.50,23.62,5.55,506700
1994-06-28,23.50,23.62,23.50,23.62,5.55,198800
1994-06-29,23.50,23.62,23.50,23.62,5.55,117500
1994-06-30,23.62,23.75,23.62,23.62,5.55,160000
1994-07-01,23.50,23.75,23.50,23.62,5.55,129000
1994-07-05,23.75,23.75,23.62,23.62,5.55,149200
1994-07-06,23.62,23.62,23.50,23.50,5.52,134100
1994-07-07,23.50,23.62,23.50,23.50,5.52,112800
1994-07-08,23.50,23.62,23.50,23.50,5.52,94300
1994-07-11,23.50,23.62,23.50,23.50,5.52,207900
1994-07-12,23.50,23.50,23.50,23.50,5.52,158400
1994-07-13,23.50,23.62,23.38,23.38,5.50,337600
1994-07-14,23.38,23.62,23.38,23.62,5.55,189100
1994-07-15,23.50,23.62,23.38,23.62,5.55,35100
1994-07-18,23.62,23.62,23.38,23.50,5.52,74500
1994-07-19,23.50,23.50,23.25,23.25,5.47,271700
1994-07-20,23.25,23.38,23.25,23.25,5.47,28300
1994-07-21,23.25,23.38,23.25,23.38,5.50,34600
1994-07-22,23.38,23.38,23.25,23.38,5.50,26800
1994-07-25,23.38,23.38,23.25,23.38,5.50,20500
1994-07-26,23.25,23.38,23.25,23.25,5.47,24300
1994-07-27,23.25,23.25,23.00,23.00,5.41,34800
1994-07-28,23.00,23.00,22.00,22.12,5.20,41600
1994-07-29,22.38,23.25,22.38,22.50,5.29,137800
1994-08-01,22.62,22.88,22.62,22.62,5.32,12300
1994-08-02,22.62,23.12,22.62,22.75,5.35,14600
1994-08-03,22.88,23.00,22.50,22.50,5.29,16700
1994-08-04,21.75,22.00,21.38,21.88,5.14,65700
1994-08-05,21.75,22.00,21.75,21.75,5.11,60200
1994-08-08,21.88,22.00,21.75,21.75,5.11,14700
1994-08-09,21.88,22.25,21.50,21.50,5.05,117500
1994-08-10,21.50,21.75,21.50,21.50,5.05,69300
1994-08-11,21.62,21.75,21.50,21.50,5.05,52600
1994-08-12,21.38,21.38,21.00,21.00,4.94,295900
1994-08-15,21.12,21.25,21.00,21.25,5.00,33600
1994-08-16,21.50,21.88,21.38,21.88,5.14,73900
1994-08-17,21.88,22.38,21.88,22.38,5.26,74700
1994-08-18,22.38,22.50,22.12,22.12,5.20,9600
1994-08-19,22.12,22.25,22.12,22.12,5.20,900
1994-08-22,22.12,22.25,21.88,22.12,5.20,11700
1994-08-23,22.12,22.12,22.00,22.00,5.17,31300
1994-08-24,22.00,22.00,21.50,21.88,5.14,105600
1994-08-25,21.75,21.88,21.62,21.75,5.11,9800
1994-08-26,21.88,22.00,21.50,21.50,5.05,228200
1994-08-29,21.50,21.75,21.12,21.38,5.02,19900
1994-08-30,21.38,21.75,21.25,21.75,5.11,71600
1994-08-31,21.75,22.12,21.38,22.12,5.20,57200
1994-09-01,22.00,22.00,21.75,21.88,5.14,28000
1994-09-02,21.88,22.12,21.75,22.00,5.17,16300
1994-09-06,21.88,22.00,21.88,21.88,5.14,5100
1994-09-07,22.12,22.25,21.88,22.25,5.23,14600
1994-09-08,22.12,23.12,22.12,23.12,5.44,71300
1994-09-09,23.00,23.12,22.88,23.00,5.41,31900
1994-09-12,23.00,23.00,22.75,22.88,5.38,64000
1994-09-13,22.88,22.88,22.62,22.75,5.35,69700
1994-09-14,22.62,22.62,22.50,22.62,5.32,10800
1994-09-15,22.62,22.75,22.62,22.62,5.32,11700
1994-09-16,22.50,22.62,22.38,22.62,5.32,85600
1994-09-19,22.62,22.62,22.38,22.38,5.26,38200
1994-09-20,22.38,22.38,22.12,22.12,5.20,20100
1994-09-21,22.12,22.12,21.25,21.50,5.05,18400
1994-09-22,21.75,21.75,21.38,21.62,5.08,10900
1994-09-23,21.75,21.75,21.50,21.62,5.08,9100
1994-09-26,20.88,20.88,20.25,20.62,4.96,171900
1994-09-27,20.88,21.38,20.75,21.25,5.11,108400
1994-09-28,21.25,21.88,21.25,21.75,5.23,14200
1994-09-29,21.62,21.62,21.38,21.38,5.14,35500
1994-09-30,21.25,21.38,21.25,21.38,5.14,88000
1994-10-03,21.00,21.12,20.88,21.12,5.08,65100
1994-10-04,21.00,21.00,20.75,21.00,5.05,27700
1994-10-05,21.00,21.00,20.62,20.88,5.02,21700
1994-10-06,21.00,21.00,20.50,20.88,5.02,36100
1994-10-07,20.75,21.00,20.75,20.88,5.02,30400
1994-10-10,21.00,21.00,20.75,21.00,5.05,32100
1994-10-11,21.00,21.00,20.62,20.88,5.02,55600
1994-10-12,20.75,20.88,20.75,20.75,4.99,52000
1994-10-13,20.88,20.88,20.50,20.75,4.99,161700
1994-10-14,20.62,21.00,20.62,21.00,5.05,141700
