Date,Open,High,Low,Close,Adj Close,Volume
2010-12-09,27.25,28.11,26.99,27.92,25.81,10609700
2010-12-10,27.40,27.72,27.06,27.41,25.34,1206800
2010-12-13,27.50,27.72,27.00,27.40,25.33,473200
2010-12-14,27.70,27.97,27.02,27.31,25.25,358200
2010-12-15,27.20,27.70,27.19,27.45,25.38,242200
2010-12-16,27.60,27.65,27.21,27.65,25.56,260000
2010-12-17,27.55,28.06,27.50,28.06,25.94,69800
2010-12-20,28.10,28.42,27.84,28.14,26.02,65900
2010-12-21,28.17,29.04,28.01,28.91,26.73,210200
2010-12-22,29.00,30.52,28.96,29.45,27.23,103000
2010-12-23,29.68,29.68,28.89,29.10,26.91,66100
2010-12-27,29.15,29.36,28.87,28.98,26.79,29800
2010-12-28,28.99,29.13,28.81,29.05,26.86,90200
2010-12-29,29.25,29.25,28.84,29.08,26.89,85300
2010-12-30,29.23,29.95,28.61,28.96,26.78,149800
2010-12-31,29.00,29.12,28.83,29.12,26.92,68800
2011-01-03,29.50,29.51,28.74,28.98,26.79,230900
2011-01-04,29.23,29.23,28.50,28.53,26.38,56500
2011-01-05,28.68,28.90,28.30,28.41,26.27,178700
2011-01-06,28.61,29.21,28.53,29.00,26.81,218600
2011-01-07,31.04,31.20,30.15,30.54,28.24,2144000
2011-01-10,30.89,31.33,30.82,30.93,28.60,621700
2011-01-11,31.20,31.24,30.41,30.58,28.27,330800
2011-01-12,30.78,30.90,30.21,30.30,28.01,216500
2011-01-13,30.38,30.76,30.30,30.51,28.21,132800
2011-01-14,30.67,31.35,30.59,31.35,28.99,269100
2011-01-18,31.35,31.47,30.35,30.89,28.56,49400
2011-01-19,30.67,30.83,30.41,30.52,28.22,300200
2011-01-20,30.30,31.09,29.98,30.60,28.29,155300
2011-01-21,30.71,30.71,29.99,30.22,27.94,152300
2011-01-24,30.18,30.44,29.80,30.30,28.01,85000
2011-01-25,30.21,30.32,30.00,30.32,28.03,54100
2011-01-26,30.27,30.44,30.07,30.35,28.06,62600
2011-01-27,30.71,31.00,30.29,30.31,28.02,168400
2011-01-28,30.19,30.20,29.30,29.72,27.48,311600
2011-01-31,29.78,29.78,29.56,29.73,27.49,57400
2011-02-01,29.75,29.86,29.22,29.28,27.07,197800
2011-02-02,29.13,29.49,29.05,29.12,26.92,100500
2011-02-03,29.09,29.30,28.88,28.90,26.72,169600
