Date,Open,High,Low,Close,Adj Close,Volume
2018-09-13,30.00,30.00,30.00,30.00,30.00,1000
2018-09-14,32.25,37.26,32.25,37.00,37.00,256800
2018-09-17,37.00,37.00,33.50,37.00,37.00,180400
2018-09-18,37.60,37.60,37.10,37.10,37.10,3100
2018-09-19,37.00,38.00,37.00,37.50,37.50,258900
2018-09-20,38.00,40.00,37.95,38.00,38.00,63300
2018-09-21,38.65,38.85,38.50,38.71,38.71,90400
2018-09-24,39.00,39.10,38.71,39.07,39.07,25800
2018-09-25,39.25,43.62,39.25,40.05,40.05,79400
2018-09-26,40.00,40.00,40.00,40.00,40.00,48600
2018-09-27,40.00,43.82,40.00,43.82,43.82,74200
2018-09-28,42.00,42.00,40.01,41.00,41.00,51800
2018-10-01,41.50,46.23,40.75,42.00,42.00,1821700
2018-10-02,42.00,45.00,42.00,43.54,43.54,2629200
2018-10-03,43.02,44.35,42.51,42.94,42.94,1672800
2018-10-04,43.50,45.66,42.56,43.66,43.66,2234200
2018-10-05,43.38,45.50,43.22,45.16,45.16,1262400
2018-10-08,45.09,47.99,42.94,46.54,46.54,1004800
2018-10-09,46.35,49.53,45.50,48.57,48.57,1827800
2018-10-10,48.55,49.92,43.97,44.21,44.21,1534500
2018-10-11,43.76,44.88,38.68,39.48,39.48,1876700
2018-10-12,45.95,46.01,39.74,39.98,39.98,1350800
2018-10-15,39.72,40.64,38.03,39.75,39.75,758200
2018-10-16,40.31,41.05,39.00,40.41,40.41,1264100
2018-10-17,40.13,40.41,38.50,38.97,38.97,658300
2018-10-18,39.01,39.54,38.23,38.34,38.34,608200
2018-10-19,38.29,38.29,36.55,37.26,37.26,746500
2018-10-22,37.00,37.80,36.33,37.60,37.60,841300
2018-10-23,36.90,38.50,35.86,37.92,37.92,650300
2018-10-24,37.79,37.79,35.74,35.99,35.99,596200
2018-10-25,36.04,37.84,33.23,35.00,35.00,826900
2018-10-26,34.30,35.12,32.76,33.23,33.23,852900
2018-10-29,33.24,33.38,31.72,31.85,31.85,899900
2018-10-30,31.47,31.67,30.54,31.60,31.60,675800
2018-10-31,32.02,34.48,31.92,34.05,34.05,927400
2018-11-01,34.22,35.73,33.42,35.71,35.71,792600
2018-11-02,35.90,36.22,34.92,35.02,35.02,807100
2018-11-05,34.78,35.98,34.28,35.13,35.13,464600
2018-11-06,24.02,25.20,22.75,24.88,24.88,9613400
2018-11-07,24.88,25.24,22.80,23.10,23.10,2447900
2018-11-08,23.09,23.29,21.01,21.17,21.17,1594500
2018-11-09,21.20,22.65,20.68,22.28,22.28,1621700
2018-11-12,22.32,22.75,21.77,21.87,21.87,1053600
2018-11-13,21.92,22.90,21.88,22.20,22.20,1298200
2018-11-14,22.33,23.09,21.87,21.95,21.95,1596900
2018-11-15,21.90,22.26,21.49,21.64,21.64,613800
2018-11-16,21.57,21.72,20.69,21.08,21.08,960100
2018-11-19,20.90,22.87,20.66,22.84,22.84,1068800
2018-11-20,22.51,23.17,22.00,23.07,23.07,810400
2018-11-21,23.39,24.11,22.19,22.90,22.90,364000
2018-11-23,22.84,23.18,22.49,22.49,22.49,93500
2018-11-26,22.68,23.42,22.02,22.57,22.57,270800
2018-11-27,22.37,23.29,22.37,22.78,22.78,454700
2018-11-28,22.56,23.66,22.12,22.54,22.54,430900
2018-11-29,22.53,23.14,22.34,22.35,22.35,548900
2018-11-30,22.68,23.64,22.23,23.29,23.29,762700
2018-12-03,23.40,24.06,22.95,23.20,23.20,604200
2018-12-04,23.08,23.36,22.34,22.41,22.41,428100
2018-12-06,21.86,23.04,21.75,22.70,22.70,422100
2018-12-07,22.57,22.97,22.10,22.49,22.49,453900
2018-12-10,22.48,22.89,21.69,22.40,22.40,549900
2018-12-11,22.77,22.77,21.94,22.15,22.15,452200
2018-12-12,22.28,22.81,21.62,22.12,22.12,444900
2018-12-13,22.10,22.32,21.75,22.11,22.11,681800
2018-12-14,22.00,23.37,22.00,22.79,22.79,743800
2018-12-17,22.73,23.06,22.04,22.81,22.81,1061400
2018-12-18,22.85,23.25,22.61,23.14,23.14,668200
2018-12-19,23.15,24.10,23.08,23.55,23.55,607700
2018-12-20,23.36,24.21,22.71,23.44,23.44,586000
2018-12-21,23.73,23.85,22.84,23.35,23.35,691500
2018-12-24,22.97,24.44,22.80,24.27,24.27,200500
2018-12-26,24.30,25.97,24.04,25.35,25.35,617000
2018-12-27,24.98,25.97,22.97,25.34,25.34,256700
2018-12-28,25.35,26.11,24.35,25.70,25.70,209700
2018-12-31,25.66,27.08,25.34,26.61,26.61,489500
2019-01-02,26.13,26.85,25.47,26.48,26.48,300200
2019-01-03,26.21,26.29,24.37,25.49,25.49,319200
2019-01-04,25.90,27.53,25.74,27.00,27.00,299100
2019-01-07,27.09,27.89,26.30,27.74,27.74,361800
2019-01-08,28.00,28.50,27.01,27.91,27.91,336000
2019-01-09,27.89,27.89,26.26,26.60,26.60,563000
2019-01-10,26.39,27.01,25.94,26.43,26.43,476000
2019-01-11,26.28,26.49,25.85,26.03,26.03,397700
2019-01-14,25.84,27.04,25.67,26.47,26.47,1052500
2019-01-15,26.62,27.97,26.55,27.68,27.68,416400
2019-01-16,27.66,28.12,27.45,27.97,27.97,303200
2019-01-17,27.85,28.98,27.80,28.26,28.26,590200
2019-01-18,28.35,28.79,27.95,28.53,28.53,658400
2019-01-22,28.38,28.59,27.65,28.17,28.17,217500
2019-01-23,28.28,29.29,28.28,29.09,29.09,337100
2019-01-24,29.04,29.27,26.14,28.33,28.33,273800
2019-01-25,28.50,28.95,28.15,28.60,28.60,254200
2019-01-28,28.35,28.90,28.10,28.70,28.70,196900
2019-01-29,28.67,29.92,28.64,29.67,29.67,253700
2019-01-30,29.73,30.00,29.29,29.36,29.36,207000
2019-01-31,29.25,30.29,29.12,29.72,29.72,251200
2019-02-01,29.71,30.24,29.38,30.04,30.04,154600
2019-02-04,29.89,30.13,28.78,29.14,29.14,216800
2019-02-05,29.15,29.77,29.15,29.41,29.41,159600
2019-02-06,29.35,29.65,28.55,28.60,28.60,163000
