Date,Open,High,Low,Close,Adj Close,Volume
2013-10-14,41.00,42.00,40.25,41.20,18.25,316000
2013-10-15,41.20,41.30,41.10,41.20,18.25,182000
2013-10-16,41.40,41.40,41.10,41.27,18.28,763600
2013-10-17,44.83,44.83,41.03,43.23,19.15,1396200
2013-10-18,43.75,44.51,42.65,44.30,19.62,558400
2013-10-21,44.01,44.28,43.55,44.20,19.58,316800
2013-10-22,44.02,44.68,43.44,44.55,19.74,1508500
2013-10-23,42.96,44.15,41.70,43.66,19.34,988400
2013-10-24,43.60,44.13,43.41,43.84,19.42,964100
2013-10-25,44.29,44.74,43.64,44.42,19.68,581400
2013-10-28,44.50,44.78,44.00,44.39,19.66,59700
2013-10-29,44.11,44.75,44.00,44.52,19.72,176200
2013-10-30,44.94,45.73,44.00,44.36,19.65,263800
2013-10-31,44.35,45.17,44.02,45.00,19.93,404700
2013-11-01,45.19,45.74,44.65,45.64,20.22,1043700
2013-11-04,45.80,47.20,45.67,46.80,20.73,1771700
2013-11-05,53.50,53.50,46.26,46.52,20.61,1145500
2013-11-06,46.50,47.18,45.91,46.90,20.78,1583800
2013-11-07,47.90,47.90,45.26,45.81,20.29,1110300
2013-11-08,45.40,45.80,44.72,45.49,20.15,2594100
2013-11-11,45.75,46.48,45.25,45.81,20.29,1224200
2013-11-12,46.75,46.95,45.37,45.42,20.12,1063600
2013-11-13,44.34,45.12,44.34,44.90,19.89,881600
2013-11-14,44.49,45.45,44.49,44.95,19.91,1097400
2013-11-15,45.03,45.40,44.94,45.20,20.02,625300
2013-11-18,45.20,45.49,44.84,45.07,19.97,431600
2013-11-19,44.51,45.04,44.28,44.52,19.72,1106000
2013-11-20,45.00,45.00,44.27,44.60,19.76,1241600
2013-11-21,44.92,44.93,44.29,44.66,19.78,774200
2013-11-22,45.71,46.15,45.06,46.12,20.43,872300
2013-11-25,45.31,46.12,44.86,45.94,20.35,1007600
2013-11-26,46.15,46.42,45.62,46.30,20.51,315100
2013-11-27,46.21,46.89,46.09,46.68,20.68,240400
2013-11-29,46.50,47.05,45.94,46.12,20.43,295900
2013-12-02,46.74,47.11,45.61,47.04,20.84,524700
2013-12-03,46.58,46.71,45.84,46.36,20.54,424700
2013-12-04,46.45,46.85,46.01,46.43,20.57,256600
2013-12-05,46.28,47.09,45.96,46.49,20.59,535000
2013-12-06,46.68,47.39,46.37,47.26,20.94,617500
2013-12-09,48.23,49.95,47.15,49.74,22.03,1703500
2013-12-10,49.39,50.34,49.13,50.04,22.17,658400
2013-12-11,50.00,51.94,49.40,50.82,22.51,901400
2013-12-12,51.00,51.33,50.07,50.16,22.22,988700
2013-12-13,50.50,50.50,49.71,50.06,22.18,413100
2013-12-16,49.57,50.41,49.39,50.35,22.30,313800
2013-12-17,49.56,50.50,49.56,49.62,21.98,530800
2013-12-18,50.00,50.00,48.84,49.43,21.90,2424100
2013-12-19,49.48,49.69,48.98,49.27,21.83,342500
2013-12-20,49.45,50.00,48.96,49.82,22.07,1087700
2013-12-23,49.80,50.00,49.39,49.91,22.11,250300
2013-12-24,49.82,50.48,49.54,50.34,22.30,192000
2013-12-26,50.61,50.61,50.05,50.24,22.26,164400
