Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,13.00,13.25,12.40,12.84,8.46,9627100
2010-02-12,12.76,13.41,12.76,13.41,8.84,884000
2010-02-16,13.40,13.42,12.91,13.32,8.78,166900
2010-02-17,13.22,14.00,13.20,13.30,8.76,400400
2010-02-18,13.10,13.15,12.85,13.03,8.59,402300
2010-02-19,13.00,13.23,12.90,13.23,8.72,325600
2010-02-22,13.28,13.70,13.06,13.09,8.63,189900
2010-02-23,13.05,13.30,13.01,13.07,8.61,110000
2010-02-24,13.00,13.05,12.92,13.05,8.60,36800
2010-02-25,13.00,13.20,12.99,13.20,8.70,192600
2010-02-26,13.02,13.54,13.01,13.43,8.85,72100
2010-03-01,13.50,13.55,13.11,13.25,8.73,92200
2010-03-02,13.25,13.38,13.05,13.23,8.72,100400
2010-03-03,13.12,13.26,13.04,13.14,8.66,39700
2010-03-04,13.04,13.35,13.01,13.25,8.73,53600
2010-03-05,13.20,13.20,13.05,13.10,8.63,44000
2010-03-08,13.13,13.55,13.11,13.48,8.88,32700
2010-03-09,13.36,13.58,13.21,13.58,8.95,30700
2010-03-10,13.40,13.83,13.38,13.75,9.06,76000
2010-03-11,13.51,14.09,13.50,13.99,9.22,127700
2010-03-12,13.84,14.20,13.70,14.15,9.32,147100
2010-03-15,14.00,15.69,14.00,14.99,9.88,413100
2010-03-16,15.31,15.79,14.65,15.33,10.10,289800
2010-03-17,15.27,15.50,14.38,15.40,10.15,168300
2010-03-18,15.30,15.45,15.21,15.39,10.14,38600
2010-03-19,15.40,15.50,14.30,15.40,10.15,204200
2010-03-22,15.24,15.45,15.04,15.11,9.96,96100
2010-03-23,15.18,15.73,14.80,15.15,9.98,171700
2010-03-24,15.11,15.26,14.92,15.18,10.00,56300
2010-03-25,15.02,15.18,14.81,15.02,9.90,50400
2010-03-26,14.91,15.44,14.51,14.75,9.72,265400
2010-03-29,13.51,14.62,13.51,14.42,9.50,351400
2010-03-30,14.75,15.19,14.05,14.14,9.32,254600
2010-03-31,14.25,14.39,13.82,14.01,9.23,1530600
2010-04-01,14.05,14.37,13.95,14.30,9.42,200300
