Date,Open,High,Low,Close,Adj Close,Volume
2019-06-20,31.00,31.50,28.00,28.51,28.51,13395500
2019-06-21,29.74,29.90,27.88,28.60,28.60,1773000
2019-06-24,28.61,30.39,27.75,29.99,29.99,1085400
2019-06-25,29.90,31.29,29.60,30.69,30.69,788900
2019-06-26,31.49,35.63,31.04,32.98,32.98,2939200
2019-06-27,33.31,33.95,32.05,32.71,32.71,1057100
2019-06-28,32.74,34.20,32.27,32.88,32.88,541000
2019-07-01,33.25,33.74,31.22,33.10,33.10,995900
2019-07-02,32.79,33.73,32.61,33.00,33.00,380700
2019-07-03,33.02,33.50,33.01,33.20,33.20,251100
2019-07-05,33.26,33.49,32.81,33.03,33.03,191800
2019-07-08,32.92,33.00,31.60,32.25,32.25,332300
2019-07-09,32.16,32.69,32.16,32.68,32.68,76100
2019-07-10,32.73,33.00,32.00,32.72,32.72,266300
2019-07-11,33.00,33.25,32.32,33.13,33.13,177900
2019-07-12,33.12,34.31,32.51,33.81,33.81,251300
2019-07-15,33.85,35.56,33.50,35.38,35.38,556900
2019-07-16,35.42,36.09,32.71,34.81,34.81,869300
2019-07-17,34.78,36.60,34.49,35.45,35.45,401200
2019-07-18,35.99,36.05,35.11,35.87,35.87,176000
2019-07-19,36.11,38.45,35.72,37.65,37.65,442300
2019-07-22,37.70,39.56,37.11,39.25,39.25,404000
2019-07-23,39.25,39.44,36.09,36.85,36.85,745600
2019-07-24,36.90,39.20,36.90,38.35,38.35,429900
2019-07-25,38.47,39.00,37.99,38.16,38.16,234000
2019-07-26,38.30,39.00,38.13,38.99,38.99,157200
2019-07-29,39.10,39.24,38.41,39.07,39.07,272000
2019-07-30,38.95,39.01,38.31,38.54,38.54,274800
2019-07-31,38.68,39.10,38.30,38.94,38.94,220800
2019-08-01,38.98,39.15,38.00,38.93,38.93,641200
2019-08-02,38.80,39.10,37.15,38.75,38.75,329600
2019-08-05,37.81,38.56,36.51,38.44,38.44,614000
2019-08-06,38.40,38.50,36.74,37.20,37.20,428600
2019-08-07,37.09,38.00,36.64,37.60,37.60,134500
2019-08-08,37.82,38.25,37.36,37.82,37.82,134800
2019-08-09,37.91,38.08,37.06,37.84,37.84,296600
2019-08-12,37.97,38.00,37.17,37.54,37.54,236000
2019-08-13,37.38,38.00,36.51,37.60,37.60,535100
2019-08-14,41.10,42.31,38.52,39.50,39.50,3592900
2019-08-15,40.00,43.82,40.00,43.76,43.76,1243100
2019-08-16,44.58,47.30,44.58,46.64,46.64,1134000
2019-08-19,47.37,47.58,43.00,43.33,43.33,916000
2019-08-20,43.38,43.68,41.93,42.96,42.96,517200
2019-08-21,43.28,43.96,41.75,41.78,41.78,319900
2019-08-22,41.67,43.81,41.65,43.56,43.56,329200
2019-08-23,43.20,43.56,41.74,41.75,41.75,233800
2019-08-26,42.28,43.29,42.09,42.80,42.80,190400
2019-08-27,43.00,46.74,42.60,44.01,44.01,703600
2019-08-28,44.11,45.80,42.53,42.57,42.57,432900
2019-08-29,42.87,43.40,40.50,41.82,41.82,575500
2019-08-30,41.83,42.15,40.04,40.45,40.45,393500
2019-09-03,40.36,41.15,39.58,40.30,40.30,491700
2019-09-04,40.34,40.70,39.31,40.06,40.06,372100
2019-09-05,40.22,40.52,39.60,40.08,40.08,304800
2019-09-06,40.10,40.76,39.47,39.74,39.74,400100
2019-09-09,39.85,39.95,36.56,37.03,37.03,834900
2019-09-10,36.71,36.93,34.21,35.21,35.21,888200
2019-09-11,35.21,36.94,34.94,36.65,36.65,596100
2019-09-12,36.82,37.69,36.19,36.85,36.85,420500
2019-09-13,36.89,37.77,36.60,36.96,36.96,373700
2019-09-16,36.90,38.61,36.87,37.15,37.15,598900
