Date,Open,High,Low,Close,Adj Close,Volume
1992-12-10,2.99,4.58,2.99,4.31,3.74,2422800
1992-12-11,4.31,4.48,4.24,4.34,3.77,2041920
1992-12-14,4.44,5.21,4.31,5.21,4.53,1091160
1992-12-15,5.07,6.18,5.07,5.90,5.13,913680
1992-12-16,6.18,6.32,5.90,6.11,5.31,804600
1992-12-17,6.11,6.81,6.11,6.67,5.79,859680
1992-12-18,6.53,6.67,6.18,6.39,5.55,916920
1992-12-21,6.25,6.60,6.25,6.39,5.55,143280
1992-12-22,6.46,6.46,6.22,6.39,5.55,545040
1992-12-23,6.39,6.53,6.18,6.39,5.55,347400
1992-12-24,6.39,6.60,6.32,6.60,5.73,150480
1992-12-28,6.39,6.60,6.39,6.39,5.55,45720
1992-12-29,6.39,6.60,6.18,6.18,5.37,331200
1992-12-30,6.18,6.32,5.69,5.69,4.95,1188720
1992-12-31,5.90,6.18,5.83,6.04,5.25,156960
1993-01-04,5.83,5.87,5.35,5.56,4.83,1275840
1993-01-05,5.56,6.11,5.42,6.11,5.31,347400
1993-01-06,6.04,6.60,5.97,6.60,5.73,378000
1993-01-07,6.67,6.94,6.46,6.74,5.85,1319040
1993-01-08,6.74,6.88,6.67,6.81,5.92,1187280
1993-01-11,6.74,6.81,6.67,6.67,5.79,1124640
1993-01-12,6.81,6.81,6.60,6.67,5.79,518760
1993-01-13,6.74,6.74,6.53,6.56,5.70,445320
1993-01-14,6.46,6.67,6.39,6.53,5.67,1250640
1993-01-15,6.53,7.01,6.53,6.94,6.04,551160
1993-01-18,7.08,7.36,6.94,7.36,6.40,554400
1993-01-19,7.29,8.26,7.29,8.06,7.00,1640880
1993-01-20,7.85,8.12,7.71,7.78,6.76,881280
1993-01-21,7.71,7.85,7.36,7.43,6.46,763200
1993-01-22,7.71,8.19,7.71,8.12,7.06,1344240
1993-01-25,8.12,8.33,8.12,8.33,7.24,460080
1993-01-26,8.33,8.33,8.12,8.12,7.06,373320
1993-01-27,8.26,8.26,7.29,7.50,6.52,885240
1993-01-28,7.50,7.64,7.36,7.50,6.52,938880
1993-01-29,7.50,7.57,7.36,7.57,6.58,189360
1993-02-01,7.64,7.78,7.50,7.78,6.76,101520
1993-02-02,7.78,8.12,7.57,8.12,7.06,463320
1993-02-03,7.99,8.33,7.99,8.19,7.12,285480
1993-02-04,8.19,8.19,7.92,7.99,6.94,123120
1993-02-05,7.99,8.19,7.92,7.92,6.88,146520
1993-02-08,7.92,7.99,7.85,7.85,6.82,85320
1993-02-09,7.92,7.92,7.64,7.78,6.76,389160
1993-02-10,7.78,7.78,7.64,7.78,6.76,369360
1993-02-11,7.78,7.78,7.64,7.64,6.64,138600
1993-02-12,7.36,7.64,7.22,7.43,6.46,250200
1993-02-16,7.57,7.57,7.22,7.22,6.28,134640
1993-02-17,7.29,7.43,7.15,7.29,6.34,253800
1993-02-18,7.36,7.71,7.22,7.71,6.70,183960
1993-02-19,7.78,7.78,7.64,7.71,6.70,182880
1993-02-22,7.71,7.71,7.50,7.64,6.64,134640
1993-02-23,7.64,7.92,7.50,7.71,6.70,141120
1993-02-24,7.71,8.06,7.71,7.81,6.79,201240
1993-02-25,7.78,7.99,7.71,7.78,6.76,133920
1993-02-26,7.85,7.92,7.78,7.92,6.88,125640
1993-03-01,7.92,7.92,7.71,7.85,6.82,246600
1993-03-02,7.92,7.92,7.71,7.71,6.70,156240
1993-03-03,7.85,7.85,7.71,7.71,6.70,60480
1993-03-04,7.85,7.85,7.71,7.78,6.76,249120
1993-03-05,7.74,7.85,7.71,7.85,6.82,87480
1993-03-08,7.85,8.12,7.71,8.12,7.06,434880
1993-03-09,7.99,8.19,7.99,8.19,7.12,87840
1993-03-10,8.12,8.12,6.94,7.08,6.16,2242800
1993-03-11,6.88,7.01,5.69,6.18,5.37,1736280
1993-03-12,6.18,6.88,6.04,6.88,5.98,1044000
1993-03-15,6.94,7.29,6.67,6.94,6.04,280800
1993-03-16,6.88,7.08,6.88,7.08,6.16,312120
1993-03-17,7.08,7.08,6.88,7.08,6.16,92880
1993-03-18,7.08,7.08,6.88,7.08,6.16,65520
1993-03-19,6.88,7.08,6.81,6.94,6.04,88920
1993-03-22,6.81,6.94,6.32,6.56,5.70,208440
1993-03-23,6.53,6.60,6.39,6.53,5.67,140760
1993-03-24,6.53,6.53,6.32,6.32,5.49,86760
1993-03-25,6.25,6.39,5.90,6.11,5.31,524880
1993-03-26,5.97,6.67,5.97,6.46,5.61,278640
1993-03-29,6.60,6.81,6.53,6.74,5.85,316800
1993-03-30,6.81,7.01,6.67,6.94,6.04,235800
1993-03-31,6.88,7.01,6.81,6.88,5.98,194400
1993-04-01,7.01,7.01,6.67,6.81,5.92,207360
1993-04-02,6.60,6.74,6.53,6.53,5.67,177120
1993-04-05,6.74,6.74,6.39,6.42,5.58,133560
1993-04-06,6.39,6.46,6.18,6.39,5.55,182160
1993-04-07,6.39,6.60,6.25,6.60,5.73,93240
1993-04-08,6.46,6.88,6.46,6.88,5.98,128520
