Date,Open,High,Low,Close,Adj Close,Volume
1999-05-04,76.00,77.25,70.00,70.38,53.89,22320900
1999-05-05,69.88,69.88,66.25,69.12,52.94,7565700
1999-05-06,68.00,69.38,67.06,67.94,52.03,2905700
1999-05-07,67.94,74.88,66.75,74.12,56.76,4862300
1999-05-10,73.38,73.50,70.25,70.69,54.13,2589400
1999-05-11,70.00,71.19,69.50,70.62,54.08,1839800
1999-05-12,71.00,74.88,69.12,73.50,56.29,2659300
1999-05-13,73.25,75.25,72.50,73.19,56.05,1142900
1999-05-14,71.25,72.25,69.06,70.19,53.75,2058400
1999-05-17,69.12,70.25,68.00,68.62,52.55,2075000
1999-05-18,68.25,70.44,68.12,68.62,52.55,1407100
1999-05-19,69.38,69.81,68.75,69.31,53.08,727400
1999-05-20,69.56,70.12,68.38,68.38,52.36,520800
1999-05-21,68.12,68.81,67.50,67.50,51.69,936200
1999-05-24,67.00,67.25,65.00,65.31,50.02,1493000
1999-05-25,64.12,65.94,64.00,64.50,49.39,1662400
1999-05-26,65.62,66.62,63.06,66.06,50.59,1602900
1999-05-27,65.00,67.75,64.69,67.75,51.88,1220500
1999-05-28,67.75,68.81,67.00,67.94,52.03,901900
1999-06-01,66.62,66.62,63.56,64.19,49.15,953900
1999-06-02,63.75,64.06,62.00,63.25,48.44,2204300
1999-06-03,64.00,64.19,63.12,63.62,48.72,852600
1999-06-04,64.31,67.00,64.31,65.38,50.06,1357400
1999-06-07,65.19,67.75,65.19,65.94,50.49,891900
1999-06-08,65.38,65.69,63.75,63.75,48.82,571700
1999-06-09,64.25,65.50,63.62,65.50,50.16,611400
1999-06-10,64.88,64.94,63.31,63.38,48.53,664200
1999-06-11,63.94,64.31,62.31,63.25,48.44,969300
1999-06-14,63.50,64.00,60.50,61.25,46.90,821100
1999-06-15,62.88,63.38,62.25,62.75,48.05,831700
1999-06-16,63.94,65.44,63.94,65.25,49.97,690300
1999-06-17,64.50,66.88,64.50,65.00,49.78,955700
1999-06-18,64.25,64.88,63.50,64.81,49.63,613900
1999-06-21,66.69,69.94,66.56,69.50,53.22,1811000
1999-06-22,70.12,70.12,67.75,68.00,52.07,1165900
