Date,Open,High,Low,Close,Adj Close,Volume
2018-01-25,19.05,19.41,18.25,18.50,18.50,19855800
2018-01-26,18.50,18.96,18.45,18.90,18.90,2516200
2018-01-29,18.94,19.29,18.80,19.10,19.10,992500
2018-01-30,19.00,19.28,18.99,19.19,19.19,3206200
2018-01-31,19.28,19.74,19.19,19.60,19.60,4410300
2018-02-01,19.60,20.00,19.50,19.72,19.72,1507100
2018-02-02,19.63,19.69,18.99,18.99,18.99,740300
2018-02-05,18.78,18.92,17.87,18.35,18.35,768900
2018-02-06,18.17,18.49,18.07,18.34,18.34,453000
2018-02-07,18.36,18.78,18.02,18.44,18.44,302500
2018-02-08,18.54,18.98,18.14,18.14,18.14,1045600
2018-02-09,18.15,18.19,17.55,17.94,17.94,607900
2018-02-12,18.00,18.12,17.94,18.00,18.00,423900
2018-02-13,17.84,18.43,17.76,18.38,18.38,201000
2018-02-14,18.42,18.89,18.28,18.61,18.61,325600
2018-02-15,18.53,18.60,17.86,18.38,18.38,522300
2018-02-16,18.50,18.59,18.10,18.29,18.29,570300
2018-02-20,18.11,18.49,18.00,18.08,18.08,739400
2018-02-21,18.09,18.26,17.66,17.75,17.75,633900
2018-02-22,17.79,17.94,17.50,17.64,17.64,524700
2018-02-23,17.73,17.74,16.60,17.06,17.06,1156000
2018-02-26,17.12,17.23,16.89,16.94,16.94,474100
2018-02-27,16.96,17.55,16.90,17.44,17.44,564000
2018-02-28,17.42,17.44,17.16,17.36,17.36,370600
2018-03-01,17.21,17.46,17.03,17.17,17.17,571600
2018-03-02,17.04,17.25,16.95,17.09,17.09,495000
2018-03-05,17.08,17.79,17.02,17.69,17.69,845400
2018-03-06,17.83,18.05,17.48,17.87,17.87,448600
2018-03-07,17.75,18.01,17.62,17.75,17.75,398600
2018-03-08,17.88,17.88,17.57,17.70,17.70,269600
2018-03-09,17.70,17.87,17.51,17.72,17.72,248700
2018-03-12,17.70,18.31,17.70,18.12,18.12,505100
2018-03-13,18.29,18.33,17.06,17.95,17.95,1475500
2018-03-14,18.72,18.72,17.76,18.01,18.01,2203700
2018-03-15,17.87,18.10,17.70,18.08,18.08,686200
2018-03-16,18.38,18.50,17.96,18.22,18.22,3766100
2018-03-19,18.26,18.44,17.89,18.34,18.34,551300
2018-03-20,18.42,18.52,18.23,18.33,18.33,395500
2018-03-21,18.28,18.55,17.96,17.96,17.96,304600
2018-03-22,17.86,18.02,17.54,17.57,17.57,411200
2018-03-23,17.55,17.61,16.85,17.03,17.03,1174400
2018-03-26,17.27,17.59,17.13,17.50,17.50,854300
2018-03-27,17.53,17.53,16.96,17.00,17.00,687900
2018-03-28,17.02,17.13,16.91,17.02,17.02,213100
2018-03-29,17.10,17.62,17.05,17.51,17.51,399000
2018-04-02,17.49,17.58,16.60,16.84,16.84,488000
2018-04-03,16.95,17.12,16.74,17.09,17.09,335400
2018-04-04,16.96,17.09,16.65,17.07,17.07,410000
2018-04-05,17.12,17.44,16.97,17.26,17.26,475100
2018-04-06,17.10,17.26,16.66,16.98,16.98,315800
2018-04-09,17.04,17.27,16.38,16.54,16.54,336700
2018-04-10,16.68,16.81,16.34,16.47,16.47,358700
2018-04-11,16.39,16.57,16.08,16.11,16.11,272900
2018-04-12,16.18,16.36,16.15,16.30,16.30,413200
2018-04-13,16.24,16.28,15.69,15.76,15.76,464600
2018-04-16,15.86,16.01,15.74,15.86,15.86,438900
2018-04-17,15.91,16.06,15.81,15.96,15.96,523000
2018-04-18,15.98,16.57,15.85,16.28,16.28,373000
2018-04-19,16.26,16.44,16.02,16.25,16.25,114600
2018-04-20,16.14,16.41,16.02,16.10,16.10,253100
2018-04-23,16.10,16.19,15.89,16.18,16.18,142500
2018-04-24,16.28,16.40,15.61,15.76,15.76,505500
2018-04-25,15.63,16.02,15.63,15.89,15.89,188000
2018-04-26,15.88,16.10,15.76,15.94,15.94,230100
2018-04-27,16.00,16.26,15.80,15.91,15.91,298500
2018-04-30,15.99,16.01,15.63,15.66,15.66,235500
2018-05-01,15.57,15.64,15.23,15.50,15.50,283000
2018-05-02,15.44,15.56,15.29,15.38,15.38,512500
2018-05-03,15.90,16.15,14.77,14.97,14.97,494600
2018-05-04,14.98,15.30,14.79,15.02,15.02,322400
2018-05-07,15.04,15.20,14.90,14.96,14.96,456800
2018-05-08,14.95,15.19,14.88,15.13,15.13,448400
