Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00,3.95,3.89,3.95,1.36,158655
1972-06-02,3.95,4.02,3.92,3.98,1.37,705134
1972-06-05,3.95,3.95,3.81,3.82,1.32,284572
1972-06-06,3.82,3.85,3.80,3.81,1.32,203985
1972-06-07,3.81,3.82,3.79,3.80,1.32,85623
1972-06-08,3.80,3.82,3.78,3.78,1.31,191394
1972-06-09,3.77,3.77,3.70,3.76,1.30,292127
1972-06-12,3.76,3.81,3.76,3.76,1.30,128435
1972-06-13,3.76,3.78,3.72,3.74,1.30,720244
1972-06-14,3.74,3.78,3.74,3.77,1.31,594327
1972-06-15,3.77,3.81,3.77,3.80,1.32,251834
1972-06-16,3.80,3.83,3.79,3.82,1.32,279535
1972-06-19,3.82,3.86,3.82,3.86,1.34,516259
1972-06-20,3.86,3.87,3.82,3.85,1.33,375232
1972-06-21,3.85,3.88,3.84,3.86,1.34,246797
1972-06-22,3.86,3.88,3.82,3.88,1.34,209022
1972-06-23,3.88,3.98,3.88,3.94,1.37,498631
1972-06-26,3.94,3.96,3.92,3.94,1.37,251834
1972-06-27,3.94,3.97,3.93,3.97,1.38,271980
1972-06-28,3.97,3.99,3.96,3.97,1.38,110807
1972-06-29,3.97,4.00,3.96,3.99,1.38,211540
1972-06-30,3.99,3.99,3.96,3.96,1.37,120880
1972-07-03,3.96,3.97,3.91,3.93,1.36,128435
1972-07-05,3.93,3.95,3.91,3.93,1.36,118362
1972-07-06,3.93,3.99,3.92,3.92,1.36,236724
1972-07-07,3.92,3.93,3.85,3.87,1.34,226650
1972-07-10,3.87,3.93,3.87,3.91,1.35,370195
1972-07-11,3.91,3.91,3.88,3.88,1.34,148582
1972-07-12,3.87,3.87,3.81,3.81,1.32,271980
1972-07-13,3.81,3.81,3.77,3.81,1.32,269462
1972-07-14,3.81,3.89,3.81,3.88,1.34,742909
1972-07-17,3.88,3.89,3.85,3.87,1.34,536406
1972-07-18,3.87,3.87,3.84,3.87,1.34,186357
1972-07-19,3.88,3.95,3.88,3.89,1.35,339975
1972-07-20,3.88,3.88,3.84,3.85,1.33,312274
1972-07-21,3.85,3.88,3.84,3.88,1.34,360122
1972-07-24,3.88,3.89,3.84,3.88,1.34,543961
1972-07-25,3.90,3.98,3.90,3.93,1.36,941858
1972-07-26,3.93,3.94,3.91,3.92,1.36,203985
1972-07-27,3.93,3.97,3.93,3.97,1.38,360122
1972-07-28,3.97,3.99,3.97,3.99,1.38,395379
1972-07-31,3.99,4.01,3.97,3.99,1.38,138509
1972-08-01,3.99,4.03,3.98,4.03,1.40,193912
1972-08-02,4.05,4.21,4.05,4.20,1.45,904083
1972-08-03,4.21,4.36,4.21,4.31,1.49,523814
1972-08-04,4.33,4.37,4.33,4.35,1.51,496112
1972-08-07,4.35,4.35,4.32,4.32,1.50,188875
1972-08-08,4.32,4.43,4.32,4.43,1.54,307237
1972-08-09,4.43,4.53,4.43,4.45,1.54,448264
1972-08-10,4.47,4.53,4.47,4.50,1.56,246797
1972-08-11,4.51,4.69,4.51,4.61,1.60,400416
1972-08-14,4.61,4.68,4.59,4.65,1.61,314792
1972-08-15,4.64,4.64,4.57,4.62,1.60,219095
1972-08-16,4.62,4.65,4.57,4.57,1.58,196430
1972-08-17,4.57,4.60,4.55,4.57,1.58,433154
1972-08-18,4.57,4.59,4.55,4.57,1.58,236724
1972-08-21,4.54,4.54,4.49,4.50,1.56,183839
1972-08-22,4.50,4.56,4.50,4.55,1.57,304719
1972-08-23,4.55,4.57,4.54,4.56,1.58,440709
1972-08-24,4.55,4.55,4.49,4.50,1.56,55403
1972-08-25,4.36,4.36,4.26,4.28,1.48,594327
1972-08-28,4.28,4.28,4.19,4.25,1.47,345012
1972-08-29,4.25,4.25,4.19,4.22,1.46,236724
1972-08-30,4.23,4.35,4.23,4.31,1.49,355085
1972-08-31,4.31,4.45,4.29,4.45,1.54,516259
1972-09-01,4.45,4.53,4.43,4.48,1.55,352567
1972-09-05,4.48,4.48,4.40,4.42,1.53,307237
1972-09-06,4.42,4.43,4.39,4.41,1.53,601882
1972-09-07,4.41,4.44,4.40,4.42,1.53,345012
1972-09-08,4.41,4.41,4.37,4.37,1.52,375232
1972-09-11,4.37,4.39,4.37,4.38,1.52,282054
1972-09-12,4.38,4.38,4.27,4.30,1.49,707653
