Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00,7.19,7.06,7.19,1.04,2800
1973-02-22,0.00,7.22,7.12,7.12,1.03,3600
1973-02-23,0.00,7.19,7.12,7.19,1.04,2400
1973-02-26,0.00,7.06,7.00,7.00,1.01,12800
1973-02-27,0.00,7.06,7.00,7.00,1.01,2800
1973-02-28,0.00,7.00,7.00,7.00,1.01,10000
1973-03-01,0.00,7.06,7.00,7.06,1.02,7600
1973-03-02,0.00,7.00,7.00,7.00,1.01,6000
1973-03-05,0.00,7.06,6.97,7.06,1.02,5200
1973-03-06,0.00,7.09,7.03,7.03,1.01,6400
1973-03-07,0.00,7.06,7.00,7.03,1.01,8400
1973-03-08,0.00,7.00,7.00,7.00,1.01,4400
1973-03-09,0.00,7.09,7.03,7.09,1.02,6800
1973-03-12,0.00,7.12,7.03,7.12,1.03,10400
1973-03-13,0.00,7.12,7.12,7.12,1.03,800
1973-03-14,0.00,7.12,7.06,7.12,1.03,14400
1973-03-15,0.00,7.06,7.00,7.00,1.01,3600
1973-03-16,0.00,7.00,6.97,7.00,1.01,11200
1973-03-19,0.00,7.03,6.97,7.03,1.01,8000
1973-03-20,0.00,7.06,7.03,7.06,1.02,1600
1973-03-21,0.00,7.06,7.06,7.06,1.02,1600
1973-03-22,0.00,7.06,7.00,7.06,1.02,27200
1973-03-23,0.00,7.06,7.06,7.06,1.02,9600
1973-03-26,0.00,7.16,7.12,7.16,1.03,8400
1973-03-27,0.00,7.38,7.22,7.38,1.06,5200
1973-03-28,0.00,7.31,7.25,7.25,1.05,2800
1973-03-29,0.00,7.38,7.31,7.38,1.06,12400
1973-03-30,0.00,7.38,7.25,7.25,1.05,1600
1973-04-02,0.00,7.31,7.25,7.25,1.05,2400
1973-04-03,0.00,7.31,7.25,7.25,1.05,2000
1973-04-04,0.00,7.25,7.25,7.25,1.05,400
1973-04-05,0.00,7.19,7.19,7.19,1.04,2000
1973-04-06,0.00,7.12,7.06,7.06,1.02,4400
1973-04-09,0.00,7.22,7.06,7.22,1.04,2000
1973-04-10,0.00,7.22,7.16,7.16,1.03,1200
1973-04-11,0.00,7.25,7.16,7.19,1.04,11200
1973-04-12,0.00,7.25,7.12,7.25,1.05,6800
1973-04-13,0.00,7.25,7.16,7.16,1.03,3200
1973-04-16,0.00,7.22,7.06,7.06,1.02,10400
1973-04-17,0.00,7.06,7.06,7.06,1.02,1200
1973-04-18,0.00,7.06,7.06,7.06,1.02,1200
1973-04-19,0.00,7.03,7.00,7.00,1.01,8000
1973-04-23,0.00,7.00,7.00,7.00,1.01,400
1973-04-24,0.00,6.97,6.88,6.94,1.00,4800
1973-04-25,0.00,6.91,6.81,6.84,0.99,3200
