Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.20,0.18,0.18,0.05,1017600
1980-03-18,0.00,0.18,0.17,0.18,0.05,1824000
1980-03-19,0.00,0.19,0.19,0.19,0.05,678400
1980-03-20,0.00,0.19,0.19,0.19,0.05,249600
1980-03-21,0.00,0.19,0.19,0.19,0.05,441600
1980-03-24,0.00,0.19,0.17,0.17,0.05,819200
1980-03-25,0.00,0.16,0.15,0.15,0.04,2105600
1980-03-26,0.00,0.16,0.15,0.15,0.04,1190400
1980-03-27,0.00,0.14,0.12,0.13,0.04,4467200
1980-03-28,0.00,0.15,0.14,0.15,0.04,2131200
1980-03-31,0.00,0.18,0.16,0.18,0.05,2489600
1980-04-01,0.00,0.18,0.17,0.17,0.05,390400
1980-04-02,0.00,0.18,0.17,0.17,0.05,582400
1980-04-03,0.00,0.17,0.16,0.17,0.05,300800
1980-04-07,0.00,0.16,0.16,0.16,0.05,851200
1980-04-08,0.00,0.16,0.16,0.16,0.05,793600
1980-04-09,0.00,0.17,0.16,0.17,0.05,486400
1980-04-10,0.00,0.18,0.17,0.17,0.05,1126400
1980-04-11,0.00,0.18,0.17,0.17,0.05,710400
1980-04-14,0.00,0.17,0.16,0.16,0.05,294400
1980-04-15,0.00,0.17,0.16,0.16,0.05,486400
1980-04-16,0.00,0.17,0.16,0.16,0.04,281600
1980-04-17,0.00,0.16,0.15,0.15,0.04,723200
1980-04-18,0.00,0.15,0.15,0.15,0.04,275200
1980-04-21,0.00,0.15,0.14,0.14,0.04,403200
1980-04-22,0.00,0.17,0.14,0.17,0.05,1164800
1980-04-23,0.00,0.17,0.17,0.17,0.05,768000
1980-04-24,0.00,0.17,0.16,0.17,0.05,646400
1980-04-25,0.00,0.17,0.16,0.17,0.05,492800
1980-04-28,0.00,0.17,0.17,0.17,0.05,640000
1980-04-29,0.00,0.18,0.17,0.17,0.05,377600
1980-04-30,0.00,0.18,0.17,0.18,0.05,524800
1980-05-01,0.00,0.18,0.18,0.18,0.05,281600
1980-05-02,0.00,0.18,0.17,0.17,0.05,390400
1980-05-05,0.00,0.18,0.17,0.17,0.05,390400
1980-05-06,0.00,0.18,0.17,0.17,0.05,960000
1980-05-07,0.00,0.17,0.17,0.17,0.05,844800
1980-05-08,0.00,0.18,0.17,0.18,0.05,1068800
1980-05-09,0.00,0.17,0.17,0.17,0.05,371200
1980-05-12,0.00,0.17,0.16,0.16,0.05,288000
1980-05-13,0.00,0.17,0.16,0.16,0.05,364800
1980-05-14,0.00,0.17,0.16,0.17,0.05,460800
1980-05-15,0.00,0.18,0.16,0.18,0.05,729600
1980-05-16,0.00,0.18,0.17,0.17,0.05,633600
1980-05-19,0.00,0.18,0.17,0.18,0.05,633600
1980-05-20,0.00,0.18,0.17,0.17,0.05,473600
1980-05-21,0.00,0.18,0.16,0.17,0.05,486400
1980-05-22,0.00,0.18,0.17,0.17,0.05,422400
1980-05-23,0.00,0.18,0.16,0.17,0.05,403200
1980-05-27,0.00,0.18,0.17,0.18,0.05,806400
1980-05-28,0.00,0.19,0.18,0.19,0.05,1292800
1980-05-29,0.00,0.19,0.18,0.18,0.05,1177600
1980-05-30,0.00,0.19,0.18,0.19,0.05,928000
1980-06-02,0.00,0.19,0.18,0.19,0.05,454400
1980-06-03,0.00,0.19,0.18,0.18,0.05,230400
1980-06-04,0.00,0.19,0.18,0.19,0.05,678400
1980-06-05,0.00,0.19,0.18,0.18,0.05,544000
