Date,Open,High,Low,Close,Adj Close,Volume
1995-12-15,24.00,24.88,24.00,24.88,14.30,1283000
1995-12-18,24.88,25.06,24.25,24.44,14.04,2710200
1995-12-19,24.44,24.44,23.75,23.94,13.76,1096600
1995-12-20,23.94,24.69,23.94,24.56,14.12,3904000
1995-12-21,24.50,24.69,24.06,24.25,13.94,3891400
1995-12-22,24.38,24.56,24.25,24.38,14.01,2170200
1995-12-26,24.38,24.38,24.19,24.31,13.97,935600
1995-12-27,24.25,24.31,24.06,24.06,13.83,1391400
1995-12-28,23.94,24.25,23.88,24.06,13.83,1983000
1995-12-29,23.94,24.19,23.69,24.19,13.90,1028000
1996-01-02,24.06,24.38,23.88,24.25,13.94,1641200
1996-01-03,24.19,24.38,24.12,24.19,13.90,2544000
1996-01-04,24.00,24.50,24.00,24.44,14.04,2348200
1996-01-05,24.44,24.50,24.19,24.38,14.01,3229000
1996-01-08,24.62,24.94,24.50,24.94,14.33,1086400
1996-01-09,24.94,24.94,24.62,24.82,14.26,4461400
1996-01-10,24.56,24.69,23.94,24.12,13.86,1805000
1996-01-11,24.38,24.44,24.12,24.38,14.01,2521600
1996-01-12,24.88,24.88,24.31,24.81,14.26,1359200
1996-01-15,24.94,25.25,24.88,25.25,14.51,945600
1996-01-16,25.69,25.69,25.31,25.38,14.58,1892000
1996-01-17,25.12,25.31,25.06,25.06,14.40,1104800
1996-01-18,24.94,25.25,24.69,25.12,14.44,1987200
1996-01-19,24.94,25.12,24.88,25.00,14.37,1019200
1996-01-22,24.88,25.00,24.75,25.00,14.37,1224000
1996-01-23,25.25,25.50,25.19,25.44,14.62,2034400
1996-01-24,25.38,25.44,25.19,25.25,14.51,2159600
1996-01-25,25.12,25.44,24.75,24.88,14.30,2170000
1996-01-26,24.75,25.19,24.56,25.19,14.47,1425600
1996-01-29,25.00,25.12,24.81,25.00,14.37,412800
1996-01-30,24.88,25.00,24.69,24.81,14.26,635200
1996-01-31,24.75,25.06,24.62,25.06,14.40,1502800
1996-02-01,25.31,25.31,25.12,25.19,14.47,1231400
1996-02-02,25.06,25.06,24.69,25.00,14.37,917200
1996-02-05,24.75,25.06,24.75,25.00,14.37,702000
1996-02-06,25.00,25.19,24.94,25.12,14.44,726800
1996-02-07,25.12,25.25,24.94,25.19,14.47,1627800
1996-02-08,25.19,25.62,25.12,25.62,14.73,1513200
1996-02-09,25.62,25.81,25.31,25.38,14.58,1344800
1996-02-12,25.38,25.81,25.38,25.75,14.80,904400
1996-02-13,25.44,26.12,25.44,25.94,14.91,1055600
1996-02-14,25.81,26.19,25.81,26.00,14.94,717000
1996-02-15,25.81,26.12,25.81,25.88,14.87,691800
1996-02-16,25.75,25.81,25.31,25.44,14.62,1504200
1996-02-20,25.00,25.62,24.94,25.44,14.62,1628200
1996-02-21,25.25,26.06,25.25,25.69,14.76,997800
1996-02-22,25.50,26.25,25.50,26.19,15.05,1141000
1996-02-23,26.25,26.56,26.19,26.38,15.16,1193800
1996-02-26,26.38,26.50,26.12,26.50,15.23,748200
1996-02-27,26.44,26.44,26.19,26.31,15.12,782200
1996-02-28,26.12,26.44,25.88,25.88,14.98,732000
1996-02-29,25.75,26.25,25.69,25.75,14.91,1416000
1996-03-01,25.75,26.38,25.62,26.19,15.16,714600
1996-03-04,26.56,26.88,26.25,26.38,15.27,1050600
1996-03-05,26.38,26.44,26.00,26.25,15.20,1455600
1996-03-06,26.25,26.31,26.00,26.25,15.20,613400
1996-03-07,26.19,26.25,26.00,26.06,15.09,1108000
1996-03-08,25.12,25.50,24.50,25.12,14.55,1946400
1996-03-11,24.94,25.19,24.44,24.75,14.33,850600
1996-03-12,24.38,24.50,23.94,24.25,14.04,1167800
1996-03-13,24.19,24.44,24.19,24.25,14.04,925400
1996-03-14,24.19,24.50,24.19,24.25,14.04,1018600
1996-03-15,24.25,24.31,23.44,23.56,13.64,1836000
1996-03-18,23.81,24.38,23.81,24.31,14.08,1970200
1996-03-19,24.44,25.12,24.44,25.00,14.48,1821600
1996-03-20,25.00,25.25,24.88,25.12,14.55,976800
1996-03-21,25.12,25.25,24.94,25.19,14.59,842000
1996-03-22,25.31,25.38,25.00,25.00,14.48,622800
1996-03-25,25.06,25.50,24.94,25.06,14.51,839400
1996-03-26,24.88,25.12,24.88,25.00,14.48,997600
1996-03-27,24.81,25.06,24.81,24.94,14.44,788600
1996-03-28,24.81,24.88,24.31,24.31,14.08,899600
1996-03-29,24.31,24.56,24.00,24.50,14.19,1288000
1996-04-01,24.69,24.75,24.56,24.75,14.33,643600
1996-04-02,24.81,24.81,24.38,24.62,14.26,1291000
1996-04-03,24.62,24.75,24.44,24.56,14.22,894000
1996-04-04,24.44,24.44,24.12,24.44,14.15,633800
1996-04-08,23.88,24.25,23.81,24.06,13.93,635600
1996-04-09,24.06,24.12,23.25,23.56,13.64,1143800
1996-04-10,23.50,23.50,23.06,23.12,13.39,727200
1996-04-11,23.06,23.06,22.25,22.75,13.17,1861000
1996-04-12,22.81,23.25,22.75,23.25,13.46,1644200
1996-04-15,23.25,23.56,23.25,23.38,13.54,502000
1996-04-16,23.38,23.38,22.81,22.81,13.21,999200
1996-04-17,22.81,23.56,22.75,23.38,13.54,1801800
1996-04-18,23.31,24.25,23.31,24.06,13.93,1567800
1996-04-19,23.94,24.31,23.88,24.00,13.90,1171600
1996-04-22,24.00,24.19,24.00,24.12,13.97,831600
1996-04-23,24.00,24.06,23.62,23.75,13.75,614200
1996-04-24,23.81,23.88,23.62,23.69,13.72,796200
1996-04-25,23.56,23.56,23.31,23.44,13.57,1177400
1996-04-26,23.44,23.50,23.19,23.25,13.46,355400
1996-04-29,23.12,23.69,23.06,23.56,13.64,1096200
1996-04-30,24.00,24.62,23.94,24.19,14.01,1286400
1996-05-01,24.38,24.44,24.12,24.25,14.04,320000
1996-05-02,24.38,24.38,23.94,24.00,13.90,593800
1996-05-03,24.00,24.12,23.75,23.75,13.75,848400
1996-05-06,23.75,23.94,23.56,23.62,13.68,720400
1996-05-07,23.69,23.69,23.25,23.25,13.46,768200
1996-05-08,23.12,23.62,23.12,23.31,13.50,898200
1996-05-09,23.38,23.50,23.12,23.38,13.54,676600
1996-05-10,23.50,23.69,23.44,23.69,13.72,1130800
1996-05-13,23.62,24.50,23.56,24.50,14.19,427800
1996-05-14,24.44,24.50,24.00,24.25,14.04,844200
1996-05-15,24.25,24.88,24.19,24.69,14.30,574400
1996-05-16,24.69,24.88,24.56,24.62,14.26,376800
1996-05-17,24.75,25.25,24.75,25.25,14.62,777200
1996-05-20,25.38,25.69,25.12,25.19,14.59,395400
1996-05-21,25.12,25.69,25.12,25.62,14.84,317200
1996-05-22,25.56,25.81,25.19,25.81,14.95,1730800
1996-05-23,25.81,25.88,25.56,25.81,14.95,1167400
1996-05-24,25.81,26.00,25.75,25.94,15.02,428200
1996-05-28,25.88,26.00,25.75,25.88,14.98,488800
1996-05-29,25.56,25.81,25.56,25.75,15.03,1513000
1996-05-30,25.75,26.00,25.75,25.88,15.10,472400
1996-05-31,25.94,25.94,25.75,25.88,15.10,557400
1996-06-03,25.81,25.94,25.75,25.88,15.10,437800
1996-06-04,25.88,25.88,25.75,25.81,15.06,323800
1996-06-05,25.75,26.50,25.75,26.44,15.43,855400
1996-06-06,26.56,26.69,26.38,26.50,15.47,378000
1996-06-07,26.12,26.31,25.94,26.31,15.36,1567200
1996-06-10,26.44,26.81,26.25,26.56,15.50,337600
1996-06-11,26.19,26.31,26.06,26.31,15.36,445200
1996-06-12,26.38,26.56,26.12,26.50,15.47,556800
1996-06-13,26.44,26.75,26.44,26.50,15.47,364600
1996-06-14,26.50,26.69,26.50,26.56,15.50,409400
1996-06-17,26.62,26.69,26.50,26.56,15.50,507000
1996-06-18,26.75,27.19,26.69,26.69,15.57,1038600
1996-06-19,26.69,26.75,26.50,26.56,15.50,341800
1996-06-20,26.62,26.75,26.50,26.62,15.54,243800
1996-06-21,26.25,26.69,26.12,26.69,15.57,859600
1996-06-24,26.75,27.06,26.62,27.06,15.79,208600
1996-06-25,27.12,27.12,26.50,26.81,15.65,547200
1996-06-26,26.56,26.75,26.56,26.62,15.54,551200
1996-06-27,26.50,26.56,26.44,26.50,15.47,642200
1996-06-28,26.50,26.62,26.44,26.62,15.54,367000
1996-07-01,26.81,27.38,26.75,27.31,15.94,649000
1996-07-02,27.19,27.38,27.00,27.38,15.98,270600
1996-07-03,27.25,27.38,27.06,27.12,15.83,490400
1996-07-05,26.94,27.06,26.31,26.50,15.47,329000
1996-07-08,26.56,26.88,26.38,26.44,15.43,1235800
1996-07-09,26.44,26.56,26.19,26.19,15.28,286400
