Date,Open,High,Low,Close,Adj Close,Volume
2011-03-22,35.72,37.60,34.00,37.49,32.77,491400
2011-03-23,37.07,37.80,36.95,37.25,32.56,601200
2011-03-24,37.50,37.50,37.15,37.25,32.56,230400
2011-03-25,37.50,39.25,37.25,39.25,34.31,497400
2011-03-28,39.00,39.00,37.75,37.75,33.00,53100
2011-03-29,37.76,37.95,37.47,37.50,32.78,269300
2011-03-30,37.95,38.49,36.58,38.20,33.39,8573500
2011-03-31,38.45,42.74,38.00,41.50,36.28,2653000
2011-04-01,40.99,42.44,39.84,40.04,35.00,2222900
2011-04-04,39.86,41.02,39.14,40.15,35.10,1122700
2011-04-05,39.53,40.33,38.73,40.25,35.18,1373400
2011-04-06,39.86,40.31,39.12,39.68,34.68,2080100
2011-04-07,38.25,39.25,37.51,38.80,33.92,2134600
2011-04-08,38.33,38.88,38.20,38.50,33.65,1307200
2011-04-11,38.50,38.58,38.28,38.32,33.50,1563100
2011-04-12,37.91,38.42,37.66,38.05,33.26,1637500
2011-04-13,37.71,38.37,37.28,38.00,33.22,1649100
2011-04-14,37.90,39.36,37.85,38.77,33.89,1232400
2011-04-15,38.89,40.75,38.81,40.14,35.09,1502100
2011-04-18,39.45,40.22,38.59,40.05,35.01,793700
2011-04-19,40.08,40.12,39.49,39.78,34.77,802400
2011-04-20,40.14,40.36,39.50,40.06,35.02,358200
2011-04-21,40.03,40.19,39.18,39.31,34.36,799400
2011-04-25,39.13,39.41,38.61,39.07,34.15,298000
2011-04-26,38.97,39.71,38.70,39.34,34.39,696700
2011-04-27,38.97,40.20,38.10,40.01,34.97,772000
2011-04-28,40.00,40.24,39.58,39.99,34.96,692000
2011-04-29,40.00,40.17,39.94,40.00,34.96,556000
2011-05-02,39.41,41.19,39.05,40.98,35.82,542100
2011-05-03,40.89,41.09,40.38,40.50,35.40,539000
2011-05-04,40.40,40.67,39.59,39.95,34.92,591800
2011-05-05,39.81,41.20,39.50,39.84,34.82,635800
2011-05-06,40.01,40.15,39.34,39.50,34.53,413800
2011-05-09,39.33,39.85,38.86,39.60,34.61,368900
2011-05-10,39.79,40.34,39.77,40.17,35.11,709100
2011-05-11,39.48,39.50,38.50,38.78,33.90,1297900
2011-05-12,38.80,38.90,38.27,38.39,33.56,382000
2011-05-13,38.31,38.61,37.97,38.46,33.62,435000
2011-05-16,38.20,38.89,38.20,38.69,33.82,303700
2011-05-17,38.41,38.88,38.41,38.78,33.90,369700
2011-05-18,38.64,38.65,38.09,38.50,33.65,559900
2011-05-19,38.45,38.68,38.00,38.38,33.55,519700
2011-05-20,38.33,38.37,37.85,38.06,33.27,349000
2011-05-23,37.73,38.15,37.31,37.80,33.04,283600
2011-05-24,37.71,37.86,37.01,37.17,32.49,368900
2011-05-25,37.02,37.10,36.61,36.67,32.05,327400
2011-05-26,36.43,36.64,36.29,36.42,31.84,481700
2011-05-27,36.68,36.90,36.45,36.58,31.98,241300
2011-05-31,36.76,37.38,36.44,36.57,31.97,835400
2011-06-01,36.57,36.57,35.96,36.10,31.56,669000
2011-06-02,36.02,36.24,35.86,36.05,31.51,317500
2011-06-03,35.67,36.04,35.24,35.80,31.29,421500
2011-06-06,35.69,36.13,35.51,35.98,31.45,355200
2011-06-07,36.00,36.53,35.89,36.44,31.85,252100
2011-06-08,36.28,37.11,36.28,36.97,32.32,254000
2011-06-09,36.94,37.41,36.81,36.99,32.33,986800
2011-06-10,36.86,36.86,36.15,36.33,31.76,462200
2011-06-13,36.33,36.74,36.33,36.51,31.91,385600
2011-06-14,36.70,36.75,36.36,36.58,31.98,231300
2011-06-15,36.25,36.35,35.88,36.16,31.61,289200
2011-06-16,36.11,36.44,35.97,36.00,31.47,290100
2011-06-17,36.18,36.43,35.86,35.95,31.42,494300
2011-06-20,35.83,36.42,35.81,35.99,31.46,1960200
2011-06-21,36.07,36.45,36.03,36.35,31.77,198100
2011-06-22,36.18,36.69,36.00,36.15,31.60,129800
2011-06-23,36.00,36.12,35.72,35.90,31.38,169000
2011-06-24,35.98,35.98,35.25,35.59,31.11,538600
2011-06-27,35.50,35.95,35.17,35.20,30.77,162300
2011-06-28,35.30,35.72,35.05,35.26,30.82,160300
2011-06-29,35.26,35.35,34.72,34.82,30.44,328600
2011-06-30,34.86,35.05,34.23,34.50,30.16,600700
2011-07-01,34.51,35.08,34.45,34.61,30.25,284600
2011-07-05,34.56,34.94,34.52,34.64,30.28,333900
2011-07-06,34.55,36.00,34.19,35.25,30.81,690300
2011-07-07,35.40,35.52,34.40,34.49,30.15,313400
2011-07-08,34.19,35.28,34.18,35.00,30.59,811200
2011-07-11,34.81,35.02,34.43,34.84,30.45,518500
2011-07-12,34.66,34.66,34.15,34.40,30.07,799500
2011-07-13,34.39,34.53,33.21,34.04,29.75,1422700
2011-07-14,34.09,34.09,33.02,33.55,29.33,482700
2011-07-15,33.48,33.66,33.01,33.52,29.30,607400
2011-07-18,33.40,33.57,33.03,33.20,29.02,619000
2011-07-19,33.31,33.33,32.91,33.31,29.12,389800
2011-07-20,33.24,33.71,33.14,33.23,29.05,314100
2011-07-21,33.32,33.65,33.16,33.42,29.21,233500
2011-07-22,33.35,34.04,32.97,33.91,29.64,328500
2011-07-25,33.56,34.52,33.36,34.28,29.96,386900
2011-07-26,35.78,35.78,35.14,35.16,30.73,686500
2011-07-27,34.94,35.22,34.04,34.20,29.89,426900
2011-07-28,34.10,34.58,33.97,34.00,29.72,314400
2011-07-29,33.70,34.10,33.34,33.48,29.27,341700
2011-08-01,33.61,33.66,32.79,32.84,28.71,539400
2011-08-02,32.70,33.34,32.45,32.45,28.36,370800
2011-08-03,32.52,32.68,31.64,32.09,28.05,515200
2011-08-04,31.79,32.16,31.56,31.60,27.62,504800
2011-08-05,31.83,31.83,30.15,31.13,27.21,559100
2011-08-08,30.38,30.66,29.65,29.89,26.13,903800
2011-08-09,30.25,30.25,27.66,29.72,25.98,1206000
2011-08-10,29.35,29.35,27.80,28.01,24.48,1012200
2011-08-11,27.90,28.38,26.49,27.83,24.33,649000
2011-08-12,27.98,29.06,27.83,28.02,24.49,794000
2011-08-15,28.13,28.71,28.12,28.59,24.99,494600
2011-08-16,28.35,29.63,28.35,29.48,25.77,802500
2011-08-17,29.59,29.74,29.08,29.49,25.78,204800
2011-08-18,29.09,29.37,28.22,28.64,25.03,493900
2011-08-19,28.52,29.41,28.52,28.63,25.03,495900
2011-08-22,28.98,29.47,28.28,28.40,24.82,325100
2011-08-23,28.48,29.44,28.10,29.25,25.57,486500
2011-08-24,29.26,30.87,29.26,30.60,26.75,302300
2011-08-25,30.83,30.83,29.60,29.67,25.93,243600
2011-08-26,29.43,30.43,28.85,30.25,26.44,220200
2011-08-29,30.40,30.99,29.80,30.80,26.92,205300
2011-08-30,30.39,30.90,30.19,30.62,26.77,250100
2011-08-31,30.77,31.24,29.71,29.94,26.17,375600
2011-09-01,29.94,30.55,29.45,29.51,25.80,249300
2011-09-02,29.22,29.34,27.55,27.62,24.14,322600
2011-09-06,27.10,27.87,26.56,27.59,24.12,458700
2011-09-07,27.92,29.21,27.86,28.69,25.08,371800
2011-09-08,28.38,28.64,27.08,27.14,23.72,349600
2011-09-09,26.94,27.25,26.39,26.73,23.37,342100
2011-09-12,26.41,27.20,26.40,27.20,23.78,192300
2011-09-13,27.29,28.19,27.19,27.97,24.45,291400
2011-09-14,28.09,28.83,27.53,28.40,24.82,242300
2011-09-15,28.59,28.68,27.76,28.23,24.68,286300
2011-09-16,28.41,28.81,28.15,28.70,25.09,352100
2011-09-19,28.29,28.48,27.74,28.28,24.72,157100
2011-09-20,28.23,28.44,27.29,27.31,23.87,150900
