Date,Open,High,Low,Close,Adj Close,Volume
2015-10-19,10.75,10.75,9.58,9.62,8.17,2721233
2015-10-20,9.44,9.84,9.44,9.80,8.33,1220907
2015-10-21,10.03,10.08,9.53,9.58,8.13,135236
2015-10-22,9.71,9.91,9.44,9.85,8.36,189261
2015-10-23,10.03,10.03,9.79,9.88,8.39,103061
2015-10-26,9.94,9.94,9.48,9.54,8.10,885743
2015-10-27,9.62,9.74,9.07,9.14,7.76,1094274
2015-10-28,9.24,9.50,9.21,9.46,8.03,509801
2015-10-29,9.31,9.46,9.04,9.27,7.87,499650
2015-10-30,9.24,9.36,8.56,8.56,7.26,4214161
2015-11-02,8.71,8.82,8.06,8.42,7.15,70312635
2015-11-03,8.18,8.55,7.95,8.35,7.09,69176379
2015-11-04,8.36,8.43,7.91,7.94,6.74,54241942
2015-11-05,7.93,8.07,7.63,7.72,6.55,38180025
2015-11-06,7.66,8.42,7.64,8.37,7.11,51702744
2015-11-09,8.29,8.42,8.21,8.25,7.01,30158099
2015-11-10,8.21,8.39,8.14,8.38,7.11,25426050
2015-11-11,8.25,8.32,8.19,8.20,6.96,18942302
2015-11-12,8.03,8.03,7.90,7.96,6.76,35050675
2015-11-13,7.91,8.00,7.64,7.78,6.61,25678456
2015-11-16,7.77,7.91,7.64,7.78,6.60,23712203
2015-11-17,7.78,7.84,7.63,7.68,6.52,21370697
2015-11-18,7.83,7.98,7.67,7.93,6.73,22402515
2015-11-19,7.86,8.07,7.86,8.01,6.80,22662319
2015-11-20,8.01,8.50,7.95,8.26,7.01,31932509
2015-11-23,8.24,8.26,7.89,8.05,6.83,26354291
2015-11-24,7.89,8.15,7.85,7.96,6.76,41484183
2015-11-25,8.08,8.64,8.04,8.21,6.97,39017248
2015-11-27,8.21,8.51,8.17,8.34,7.08,10395090
2015-11-30,8.27,8.72,8.24,8.64,7.33,50075613
2015-12-01,8.65,9.23,8.63,9.07,7.70,43197341
2015-12-02,8.93,9.03,8.64,8.69,7.38,21818558
2015-12-03,8.72,8.92,8.47,8.50,7.21,32527478
2015-12-04,8.36,8.89,8.28,8.85,7.51,20648579
2015-12-07,8.72,9.00,8.67,8.98,7.65,16424439
2015-12-08,8.77,8.89,8.50,8.82,7.51,19988745
2015-12-09,8.71,8.94,8.53,8.63,7.35,24538415
2015-12-10,8.60,8.61,8.44,8.56,7.29,19528668
2015-12-11,8.71,8.95,8.22,8.24,7.02,18265779
2015-12-14,8.31,8.43,8.09,8.39,7.15,19834755
2015-12-15,8.43,8.71,8.42,8.46,7.21,22175746
2015-12-16,8.50,8.61,8.46,8.54,7.28,13490889
2015-12-17,8.49,8.56,8.26,8.32,7.09,13118732
2015-12-18,8.29,8.36,8.14,8.23,7.01,33271447
2015-12-21,8.21,8.37,8.06,8.15,6.94,16970372
2015-12-22,8.16,8.22,8.09,8.17,6.96,12547163
2015-12-23,8.25,8.70,8.17,8.67,7.38,19359710
2015-12-24,8.61,8.82,8.60,8.73,7.44,3748234
2015-12-28,8.65,8.88,8.61,8.85,7.54,10203937
2015-12-29,8.89,8.97,8.82,8.83,7.53,10797873
2015-12-30,8.89,9.00,8.81,8.88,7.57,10796841
2015-12-31,8.85,8.90,8.78,8.83,7.53,11644903
2016-01-04,8.70,8.81,8.57,8.79,7.49,25940497
2016-01-05,8.79,8.86,8.68,8.74,7.44,17770259
2016-01-06,8.50,8.72,8.43,8.60,7.33,19468277
2016-01-07,8.43,8.46,7.93,7.97,6.79,34143941
2016-01-08,8.00,8.15,7.74,7.87,6.71,28272024
2016-01-11,7.81,7.97,7.60,7.71,6.57,25998996
2016-01-12,7.76,7.80,7.61,7.71,6.57,21435562
2016-01-13,7.76,7.76,7.28,7.41,6.31,30489650
2016-01-14,7.41,7.65,7.35,7.56,6.44,22973740
2016-01-15,7.32,7.44,7.26,7.29,6.21,33945733
2016-01-19,7.37,7.43,7.09,7.16,6.10,22239750
2016-01-20,6.97,7.09,6.76,7.01,5.97,28630244
2016-01-21,6.97,7.29,6.87,7.21,6.15,28784234
2016-01-22,7.38,7.81,7.35,7.76,6.61,26272736
2016-01-25,7.72,7.88,7.63,7.75,6.61,19241679
2016-01-26,7.76,7.98,7.76,7.90,6.74,18454869
2016-01-27,7.86,7.91,7.53,7.78,6.63,31803640
2016-01-28,7.82,7.96,7.60,7.67,6.53,16989470
2016-01-29,7.79,8.07,7.76,8.00,6.82,19548799
2016-02-01,7.95,8.07,7.86,8.01,6.83,16430633
2016-02-02,7.96,8.12,7.76,7.82,6.66,16650692
2016-02-03,7.94,8.00,7.62,7.77,6.62,12995369
2016-02-04,7.74,8.07,7.74,8.05,6.86,11182073
2016-02-05,7.96,7.99,7.58,7.67,6.54,22759014
2016-02-08,7.56,7.58,7.19,7.27,6.20,25491603
2016-02-09,7.19,7.47,7.15,7.39,6.30,11504506
2016-02-10,7.42,7.60,7.39,7.47,6.37,10292717
2016-02-11,7.31,7.36,6.98,7.21,6.14,16920476
2016-02-12,7.27,7.43,7.08,7.14,6.09,18150846
2016-02-16,7.21,7.26,7.13,7.17,6.11,20606942
2016-02-17,7.20,7.64,7.19,7.57,6.45,14910693
2016-02-18,7.58,7.96,7.57,7.86,6.70,20189190
2016-02-19,7.85,7.99,7.70,7.95,6.77,16198014
2016-02-22,7.99,8.07,7.89,8.02,6.83,18505625
2016-02-23,7.97,8.03,7.46,7.61,6.48,25201001
2016-02-24,7.56,7.89,7.45,7.86,6.70,22757638
2016-02-25,7.82,7.97,7.70,7.95,6.78,20784159
2016-02-26,8.01,8.02,7.64,7.81,6.66,18624516
2016-02-29,7.74,7.83,7.67,7.71,6.57,21932459
2016-03-01,7.80,7.83,7.61,7.72,6.58,14373879
2016-03-02,7.78,8.17,7.76,8.08,6.88,17234305
2016-03-03,8.08,8.11,7.72,7.90,6.74,17256500
2016-03-04,8.66,9.21,8.61,8.97,7.65,57415854
2016-03-07,8.79,9.29,8.75,9.28,7.94,31792800
2016-03-08,9.15,9.18,8.84,8.85,7.57,21215331
2016-03-09,8.92,9.20,8.89,9.00,7.70,19045536
2016-03-10,9.04,9.42,9.02,9.24,7.90,24578332
2016-03-11,9.30,9.56,9.30,9.49,8.12,26984531
2016-03-14,9.42,9.63,9.32,9.54,8.16,16641917
2016-03-15,9.51,9.81,9.44,9.75,8.34,23974588
2016-03-16,9.71,10.01,9.65,9.99,8.54,21531053
2016-03-17,9.96,10.07,9.86,9.97,8.53,18699360
2016-03-18,9.98,10.22,9.93,10.07,8.61,53273441
2016-03-21,10.07,10.43,10.05,10.29,8.80,18463127
2016-03-22,10.12,10.51,10.08,10.18,8.70,19474127
2016-03-23,10.18,10.21,9.93,10.15,8.68,19674400
2016-03-24,10.12,10.25,9.94,10.21,8.73,15261342
2016-03-28,10.16,10.27,10.01,10.18,8.70,9518639
2016-03-29,10.10,10.28,10.01,10.26,8.77,10197054
2016-03-30,10.30,10.41,10.25,10.40,8.89,18156352
2016-03-31,10.37,10.44,10.18,10.30,8.81,17876245
2016-04-01,10.24,10.78,10.21,10.69,9.15,25550102
2016-04-04,10.72,10.72,10.42,10.48,8.97,13191512
2016-04-05,10.39,10.41,10.21,10.24,8.75,14280625
2016-04-06,10.26,10.45,10.15,10.44,8.93,17879858
2016-04-07,10.34,10.48,10.24,10.31,8.82,16196809
2016-04-08,10.37,10.63,10.35,10.40,8.89,12525312
2016-04-11,10.43,10.50,10.26,10.30,8.81,10114296
2016-04-12,10.29,10.32,9.99,10.02,8.57,15120085
2016-04-13,10.05,10.18,9.97,10.17,8.70,14182897
2016-04-14,10.09,10.11,9.92,10.03,8.58,11503990
2016-04-15,10.12,10.16,9.79,10.11,8.65,20409250
2016-04-18,10.00,10.16,9.96,10.14,8.67,9740935
2016-04-19,10.15,10.16,9.97,10.02,8.57,11079872
2016-04-20,9.92,10.17,9.92,10.11,8.65,9360003
2016-04-21,10.08,10.31,10.07,10.15,8.68,10272415
2016-04-22,10.14,10.29,10.07,10.17,8.69,13692194
2016-04-25,10.09,10.12,9.78,10.00,8.55,10051667
2016-04-26,10.03,10.15,10.01,10.09,8.63,10813874
2016-04-27,10.05,10.18,10.03,10.06,8.60,10948938
2016-04-28,9.98,10.10,9.83,9.90,8.46,8237340
2016-04-29,9.82,9.83,9.60,9.68,8.28,12195481
2016-05-02,9.68,9.74,9.46,9.53,8.15,14557979
2016-05-03,9.43,9.44,9.17,9.26,7.92,19039170
2016-05-04,9.18,9.30,9.11,9.26,7.92,11420887
2016-05-05,9.27,9.28,9.09,9.14,7.81,6054985
2016-05-06,9.08,9.22,9.04,9.17,7.84,8574569
2016-05-09,9.13,9.28,9.11,9.22,7.88,8505230
2016-05-10,9.24,9.24,9.07,9.24,7.90,8192777
2016-05-11,9.24,9.51,9.23,9.31,7.96,11132349
2016-05-12,9.35,9.38,9.21,9.24,7.90,9321807
2016-05-13,9.24,9.37,9.12,9.17,7.84,11680863
2016-05-16,9.16,9.35,9.13,9.28,7.93,15174282
2016-05-17,9.23,9.42,9.12,9.19,7.86,25107403
2016-05-18,9.18,9.26,9.02,9.11,7.79,11315244
2016-05-19,9.01,9.18,8.94,9.17,7.84,11501753
2016-05-20,9.16,9.29,9.10,9.22,7.89,15455593
2016-05-23,9.23,9.46,9.22,9.34,7.99,14882648
2016-05-24,9.36,9.50,9.29,9.44,8.08,21613812
2016-05-25,10.65,10.75,9.95,10.08,8.62,75418560
2016-05-26,9.88,10.28,9.79,10.11,8.64,37393042
2016-05-27,10.15,10.66,10.15,10.61,9.08,39501412
2016-05-31,10.46,10.73,10.32,10.73,9.18,42932892
2016-06-01,10.64,10.68,10.54,10.63,9.09,21150982
2016-06-02,10.54,10.77,10.52,10.75,9.20,23508489
2016-06-03,10.69,10.75,10.62,10.67,9.12,15976234
2016-06-06,10.62,11.03,10.62,10.98,9.42,22094191
2016-06-07,10.95,11.19,10.91,11.14,9.55,24580224
2016-06-08,11.20,11.40,11.16,11.25,9.65,27220419
2016-06-09,11.27,11.42,11.23,11.36,9.75,16130912
2016-06-10,11.22,11.23,10.98,11.11,9.53,16914282
2016-06-13,11.05,11.13,10.80,10.81,9.27,17458838
2016-06-14,10.73,10.83,10.59,10.64,9.13,24700491
2016-06-15,10.71,11.08,10.70,10.93,9.37,20590940
2016-06-16,10.86,10.94,10.80,10.85,9.30,21213266
2016-06-17,10.80,11.05,10.75,11.01,9.44,28631964
2016-06-20,11.17,11.40,11.14,11.26,9.66,27304382
2016-06-21,11.28,11.54,11.19,11.48,9.85,19885684
2016-06-22,11.43,11.48,11.15,11.16,9.58,18191967
2016-06-23,11.26,11.44,11.24,11.42,9.80,17522843
2016-06-24,10.82,11.09,10.53,10.55,9.05,43737768
2016-06-27,10.46,10.47,9.86,10.00,8.58,31383479
2016-06-28,10.17,10.22,9.94,10.11,8.67,23461174
2016-06-29,10.31,10.41,10.23,10.33,8.86,14211630
2016-06-30,10.42,10.75,10.39,10.62,9.11,21494405
