Date,Open,High,Low,Close,Adj Close,Volume
2010-06-24,17.50,17.80,17.06,17.40,12.38,2595100
2010-06-25,17.35,17.85,17.25,17.61,12.52,106800
2010-06-28,17.71,17.78,17.32,17.38,12.36,44000
2010-06-29,17.23,17.80,16.75,17.33,12.33,91800
2010-06-30,17.24,17.47,17.06,17.25,12.27,74200
2010-07-01,17.25,17.44,16.75,17.00,12.09,420500
2010-07-02,17.00,17.11,16.82,16.99,12.08,231200
2010-07-06,17.10,17.24,16.61,16.71,11.88,119400
2010-07-07,16.70,16.85,16.34,16.53,11.76,44800
2010-07-08,16.53,16.53,16.15,16.39,11.66,206700
2010-07-09,16.35,16.60,16.23,16.50,11.74,250300
2010-07-12,16.41,16.61,16.25,16.40,11.66,83100
2010-07-13,16.48,16.82,16.40,16.76,11.92,52800
2010-07-14,16.55,16.84,16.55,16.77,11.93,24000
2010-07-15,16.92,16.98,16.56,16.70,11.88,231200
2010-07-16,16.75,16.75,16.43,16.55,11.77,80200
2010-07-19,16.65,16.65,15.76,16.00,11.38,363400
2010-07-20,15.75,16.03,15.45,16.01,11.39,115600
2010-07-21,16.08,16.16,15.84,15.86,11.28,89800
2010-07-22,15.87,16.50,14.68,16.15,11.49,204700
2010-07-23,16.00,16.16,15.92,16.15,11.49,120200
2010-07-26,15.90,16.50,15.90,16.42,11.68,81200
2010-07-27,16.43,16.43,16.03,16.26,11.56,63500
2010-07-28,16.18,16.18,16.00,16.10,11.45,39700
2010-07-29,16.13,16.46,15.93,16.30,11.59,36300
2010-07-30,16.16,16.46,16.01,16.46,11.71,46500
2010-08-02,16.53,16.75,16.33,16.75,11.91,31800
2010-08-03,16.66,16.81,16.26,16.70,11.88,24800
2010-08-04,16.67,17.00,16.62,16.77,11.93,47400
2010-08-05,16.70,16.70,16.45,16.60,11.81,14800
2010-08-06,16.60,16.64,16.17,16.64,11.83,142900
2010-08-09,16.69,16.71,16.28,16.60,11.81,24700
2010-08-10,16.35,16.65,16.20,16.64,11.83,13300
2010-08-11,16.41,16.44,16.14,16.27,11.57,20900
2010-08-12,16.25,16.51,16.25,16.27,11.57,26300
2010-08-13,16.41,16.76,16.41,16.59,11.80,47400
2010-08-16,16.46,16.50,16.25,16.50,11.74,20600
2010-08-17,16.56,16.69,16.49,16.60,11.81,13400
2010-08-18,16.50,16.50,16.18,16.43,11.69,21200
2010-08-19,16.33,16.61,16.27,16.58,11.79,15100
2010-08-20,16.69,16.84,16.45,16.66,11.85,15400
2010-08-23,16.65,16.65,16.27,16.48,11.72,11100
2010-08-24,16.33,16.56,16.25,16.35,11.63,32600
2010-08-25,16.48,16.48,16.02,16.41,11.67,39500
2010-08-26,16.37,16.38,16.25,16.35,11.63,9700
2010-08-27,16.28,16.54,16.25,16.48,11.72,12400
2010-08-30,16.45,16.45,16.25,16.30,11.59,16500
2010-08-31,16.16,16.50,16.11,16.46,11.71,15700
2010-09-01,16.33,16.57,16.13,16.50,11.74,3500
2010-09-02,16.25,16.42,16.15,16.36,11.64,7900
2010-09-03,16.40,16.83,16.40,16.60,11.81,12900
2010-09-07,16.60,16.60,16.31,16.39,11.66,25100
2010-09-08,16.35,16.59,16.19,16.48,11.72,29700
2010-09-09,16.55,16.62,16.04,16.37,11.64,20800
2010-09-10,16.40,16.41,16.20,16.41,11.67,37400
2010-09-13,16.60,16.65,16.20,16.57,11.78,65700
2010-09-14,16.48,16.66,16.46,16.58,11.79,35300
2010-09-15,16.62,16.75,16.54,16.60,11.81,33200
2010-09-16,16.48,17.00,16.48,16.93,12.04,95500
