Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.28,0.26,0.26,0.13,620800
1980-03-18,0.00,0.26,0.26,0.26,0.13,390400
1980-03-19,0.00,0.26,0.26,0.26,0.13,70400
1980-03-20,0.00,0.26,0.26,0.26,0.13,51200
1980-03-21,0.00,0.26,0.26,0.26,0.13,38400
1980-03-24,0.00,0.26,0.26,0.26,0.13,6400
1980-03-25,0.00,0.25,0.25,0.25,0.13,19200
1980-03-26,0.00,0.26,0.25,0.25,0.13,102400
1980-03-27,0.00,0.25,0.24,0.24,0.12,256000
1980-03-28,0.00,0.25,0.24,0.25,0.13,57600
1980-03-31,0.00,0.25,0.25,0.25,0.13,96000
1980-04-01,0.00,0.26,0.25,0.26,0.13,460800
1980-04-02,0.00,0.26,0.26,0.26,0.13,51200
1980-04-03,0.00,0.26,0.26,0.26,0.13,729600
1980-04-07,0.00,0.26,0.25,0.25,0.13,160000
1980-04-08,0.00,0.25,0.25,0.25,0.13,19200
1980-04-09,0.00,0.26,0.25,0.25,0.13,268800
1980-04-10,0.00,0.25,0.25,0.25,0.13,32000
1980-04-11,0.00,0.25,0.24,0.24,0.13,96000
1980-04-14,0.00,0.24,0.24,0.24,0.12,153600
1980-04-15,0.00,0.25,0.24,0.25,0.13,198400
1980-04-16,0.00,0.25,0.23,0.23,0.12,153600
1980-04-17,0.00,0.23,0.23,0.23,0.12,76800
1980-04-18,0.00,0.23,0.23,0.23,0.12,51200
1980-04-21,0.00,0.23,0.22,0.22,0.11,51200
1980-04-22,0.00,0.22,0.22,0.22,0.12,115200
1980-04-23,0.00,0.23,0.23,0.23,0.12,160000
1980-04-24,0.00,0.23,0.23,0.23,0.12,25600
1980-04-25,0.00,0.23,0.23,0.23,0.12,140800
1980-04-28,0.00,0.24,0.23,0.24,0.12,230400
1980-04-29,0.00,0.24,0.23,0.23,0.12,102400
1980-04-30,0.00,0.24,0.24,0.24,0.12,38400
1980-05-01,0.00,0.24,0.24,0.24,0.12,44800
1980-05-02,0.00,0.24,0.23,0.24,0.12,83200
