Date,Open,High,Low,Close,Adj Close,Volume
1995-11-03,4.26,4.61,4.00,4.46,4.46,24219900
1995-11-06,4.41,4.56,4.36,4.49,4.49,3758190
1995-11-07,4.51,4.51,4.36,4.41,4.41,3391500
1995-11-08,4.31,4.46,4.31,4.36,4.36,851190
1995-11-09,4.36,4.51,4.36,4.46,4.46,574770
1995-11-10,4.36,4.51,4.26,4.26,4.26,1071000
1995-11-13,4.41,4.41,4.26,4.36,4.36,492150
1995-11-14,4.26,4.41,4.26,4.26,4.26,1056720
1995-11-15,4.26,4.46,4.26,4.35,4.35,862920
1995-11-16,4.46,4.46,4.26,4.41,4.41,634950
1995-11-17,4.26,4.46,4.26,4.31,4.31,290700
1995-11-20,4.31,4.46,4.31,4.31,4.31,269280
1995-11-21,4.46,4.46,4.31,4.31,4.31,349860
1995-11-22,4.31,4.46,4.31,4.31,4.31,679320
1995-11-24,4.46,4.46,4.36,4.45,4.45,55590
1995-11-27,4.36,4.66,4.36,4.51,4.51,551820
1995-11-28,4.56,4.61,4.51,4.61,4.61,106080
1995-11-29,4.51,5.05,4.51,5.00,5.00,1560090
1995-11-30,5.05,5.10,4.90,4.95,4.95,876690
1995-12-01,4.95,5.05,4.90,4.95,4.95,647190
1995-12-04,5.00,5.00,4.75,4.78,4.78,398820
1995-12-05,4.85,4.85,4.75,4.85,4.85,508470
1995-12-06,4.85,4.90,4.75,4.88,4.88,168300
1995-12-07,4.75,4.90,4.75,4.75,4.75,489600
1995-12-08,4.90,4.90,4.75,4.80,4.80,735420
1995-12-11,4.80,4.90,4.75,4.80,4.80,353430
1995-12-12,4.90,4.90,4.71,4.75,4.75,1323450
1995-12-13,4.71,4.75,4.61,4.66,4.66,1035810
1995-12-14,4.56,4.66,4.51,4.56,4.56,207570
1995-12-15,4.46,4.56,4.46,4.56,4.56,313650
1995-12-18,4.46,4.56,4.46,4.46,4.46,75480
1995-12-19,4.56,4.58,4.46,4.56,4.56,420240
1995-12-20,4.51,4.66,4.51,4.66,4.66,478890
1995-12-21,4.68,4.71,4.56,4.56,4.56,16320
1995-12-22,4.71,4.71,4.56,4.71,4.71,16830
1995-12-26,4.56,4.71,4.56,4.56,4.56,14790
1995-12-27,4.71,5.25,4.61,5.25,5.25,498270
1995-12-28,5.29,5.69,5.29,5.54,5.54,1740120
1995-12-29,5.54,5.78,5.44,5.78,5.78,851190
1996-01-02,5.69,5.74,5.34,5.34,5.34,309060
1996-01-03,5.44,5.44,5.05,5.15,5.15,784890
1996-01-04,5.15,5.15,4.61,4.78,4.78,925140
1996-01-05,4.80,4.80,4.63,4.75,4.75,384540
1996-01-08,4.75,4.75,4.63,4.63,4.63,27030
1996-01-09,4.80,4.80,4.66,4.67,4.67,478380
1996-01-10,4.75,4.75,4.66,4.75,4.75,731850
1996-01-11,4.75,4.75,4.66,4.66,4.66,246840
1996-01-12,4.85,4.85,4.66,4.66,4.66,70380
1996-01-15,4.85,4.85,4.66,4.66,4.66,93840
1996-01-16,4.66,4.85,4.66,4.80,4.80,27540
1996-01-17,4.80,4.85,4.66,4.80,4.80,212160
1996-01-18,4.78,4.95,4.78,4.95,4.95,118320
1996-01-19,5.05,5.25,4.95,5.25,5.25,523260
