Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,3.34,3.27,3.31,0.22,110634
1980-03-18,0.00,3.42,3.29,3.42,0.23,260821
1980-03-19,0.00,3.53,3.40,3.49,0.23,106048
1980-03-20,0.00,3.51,3.42,3.42,0.23,237891
1980-03-21,0.00,3.47,3.38,3.40,0.23,95157
1980-03-24,0.00,3.38,3.31,3.38,0.22,329609
1980-03-25,0.00,3.34,3.34,3.34,0.22,84265
1980-03-26,0.00,3.36,3.34,3.34,0.22,97449
1980-03-27,0.00,3.34,3.21,3.21,0.21,1218119
1980-03-28,0.00,3.38,3.25,3.38,0.22,134136
1980-03-31,0.00,3.42,3.31,3.38,0.22,486101
1980-04-01,0.00,3.36,3.31,3.31,0.22,38407
1980-04-02,0.00,3.38,3.34,3.38,0.22,122098
1980-04-03,0.00,3.38,3.29,3.29,0.22,60189
1980-04-07,0.00,3.31,3.23,3.23,0.21,228720
1980-04-08,0.00,3.31,3.23,3.31,0.22,312412
1980-04-09,0.00,3.34,3.27,3.29,0.22,264833
1980-04-10,0.00,3.36,3.27,3.36,0.22,318144
1980-04-11,0.00,3.36,3.27,3.29,0.22,53311
1980-04-14,0.00,3.29,3.25,3.27,0.22,85985
1980-04-15,0.00,3.31,3.25,3.25,0.22,41273
1980-04-16,0.00,3.34,3.23,3.23,0.21,255662
1980-04-17,0.00,3.21,3.14,3.21,0.21,171396
1980-04-18,0.00,3.21,3.14,3.14,0.21,55030
1980-04-21,0.00,3.14,3.01,3.05,0.20,224707
1980-04-22,0.00,3.23,3.10,3.23,0.21,239611
1980-04-23,0.00,3.29,3.21,3.27,0.22,495846
1980-04-24,0.00,3.23,3.16,3.23,0.21,178848
1980-04-25,0.00,3.18,3.14,3.14,0.21,48152
1980-04-28,0.00,3.21,3.18,3.18,0.21,89424
1980-04-29,0.00,3.18,3.16,3.18,0.21,14331
1980-04-30,0.00,3.18,3.14,3.18,0.21,19490
1980-05-01,0.00,3.21,3.14,3.16,0.21,91717
1980-05-02,0.00,3.21,3.16,3.16,0.21,79106
1980-05-05,0.00,3.25,3.16,3.23,0.21,158785
1980-05-06,0.00,3.36,3.23,3.31,0.22,177129
1980-05-07,0.00,3.40,3.31,3.36,0.22,731444
1980-05-08,0.00,3.40,3.34,3.36,0.22,42992
1980-05-09,0.00,3.34,3.27,3.31,0.22,154773
1980-05-12,0.00,3.29,3.27,3.29,0.22,16051
1980-05-13,0.00,3.34,3.27,3.29,0.22,21210
1980-05-14,0.00,3.49,3.34,3.45,0.23,228146
1980-05-15,0.00,3.64,3.38,3.62,0.24,151907
1980-05-16,0.00,3.60,3.55,3.58,0.24,67068
1980-05-19,0.00,3.60,3.55,3.55,0.24,69361
1980-05-20,0.00,3.66,3.60,3.62,0.24,231586
1980-05-21,0.00,3.71,3.62,3.64,0.24,278591
1980-05-22,0.00,3.66,3.60,3.60,0.24,42419
1980-05-23,0.00,3.71,3.62,3.71,0.25,48725
1980-05-27,0.00,3.71,3.66,3.66,0.24,200631
1980-05-28,0.00,3.71,3.64,3.66,0.24,127831
1980-05-29,0.00,3.64,3.55,3.55,0.24,67641
1980-05-30,0.00,3.60,3.53,3.58,0.24,80826
1980-06-02,0.00,3.62,3.55,3.62,0.24,80253
1980-06-03,0.00,3.64,3.55,3.58,0.24,88278
1980-06-04,0.00,3.62,3.58,3.62,0.24,89997
1980-06-05,0.00,3.73,3.62,3.66,0.24,229293
1980-06-06,0.00,3.69,3.66,3.66,0.24,25795
1980-06-09,0.00,3.69,3.66,3.66,0.24,70508
1980-06-10,0.00,3.69,3.64,3.66,0.24,22356
1980-06-11,0.00,3.69,3.66,3.66,0.24,64202
1980-06-12,0.00,3.71,3.66,3.71,0.25,105475
1980-06-13,0.00,3.73,3.66,3.66,0.24,20636
1980-06-16,0.00,3.71,3.66,3.71,0.25,124391
1980-06-17,0.00,3.71,3.66,3.69,0.24,75667
1980-06-18,0.00,3.71,3.66,3.66,0.24,190886
