Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.89,0.84,0.84,0.37,96000
1980-03-18,0.00,0.85,0.84,0.85,0.37,67200
1980-03-19,0.00,0.87,0.86,0.86,0.38,108000
1980-03-20,0.00,0.87,0.85,0.86,0.38,26400
1980-03-21,0.00,0.86,0.85,0.85,0.37,72000
1980-03-24,0.00,0.86,0.84,0.84,0.37,36000
1980-03-25,0.00,0.84,0.84,0.84,0.37,1828800
1980-03-26,0.00,0.85,0.84,0.84,0.37,144000
1980-03-27,0.00,0.85,0.84,0.85,0.37,165600
1980-03-28,0.00,0.86,0.84,0.84,0.37,98400
1980-03-31,0.00,0.88,0.84,0.88,0.38,146400
1980-04-01,0.00,0.89,0.86,0.89,0.39,91200
1980-04-02,0.00,0.88,0.85,0.87,0.38,96000
1980-04-03,0.00,0.86,0.85,0.85,0.37,64800
1980-04-07,0.00,0.85,0.84,0.85,0.37,52800
1980-04-08,0.00,0.86,0.83,0.84,0.37,36000
1980-04-09,0.00,0.85,0.85,0.85,0.37,16800
1980-04-10,0.00,0.86,0.85,0.85,0.37,28800
1980-04-11,0.00,0.86,0.85,0.85,0.37,52800
1980-04-14,0.00,0.86,0.85,0.86,0.37,33600
1980-04-15,0.00,0.86,0.85,0.85,0.37,28800
1980-04-16,0.00,0.86,0.85,0.85,0.37,151200
1980-04-17,0.00,0.85,0.85,0.85,0.37,96000
1980-04-18,0.00,0.86,0.85,0.85,0.37,268800
1980-04-21,0.00,0.86,0.85,0.86,0.37,55200
1980-04-22,0.00,0.85,0.84,0.84,0.37,146400
1980-04-23,0.00,0.86,0.85,0.85,0.37,76800
1980-04-24,0.00,0.86,0.85,0.86,0.37,43200
1980-04-25,0.00,0.87,0.85,0.87,0.38,72000
1980-04-28,0.00,0.90,0.87,0.90,0.39,45600
1980-04-29,0.00,0.91,0.90,0.91,0.40,60000
1980-04-30,0.00,0.92,0.90,0.90,0.39,55200
1980-05-01,0.00,0.92,0.90,0.90,0.39,136800
1980-05-02,0.00,0.90,0.90,0.90,0.39,259200
1980-05-05,0.00,0.93,0.90,0.92,0.40,146400
1980-05-06,0.00,0.94,0.91,0.92,0.40,93600
1980-05-07,0.00,0.92,0.91,0.92,0.40,60000
1980-05-08,0.00,0.94,0.91,0.92,0.40,120000
1980-05-09,0.00,0.92,0.91,0.92,0.40,45600
1980-05-12,0.00,0.93,0.92,0.92,0.40,21600
1980-05-13,0.00,0.94,0.92,0.93,0.41,24000
1980-05-14,0.00,0.94,0.92,0.93,0.40,50400
1980-05-15,0.00,0.95,0.93,0.95,0.41,38400
1980-05-16,0.00,0.96,0.94,0.94,0.41,40800
1980-05-19,0.00,0.93,0.93,0.93,0.41,88800
1980-05-20,0.00,0.94,0.93,0.93,0.41,60000
1980-05-21,0.00,0.96,0.94,0.95,0.41,64800
1980-05-22,0.00,0.97,0.95,0.97,0.42,122400
1980-05-23,0.00,0.97,0.95,0.96,0.42,21600
1980-05-27,0.00,0.95,0.94,0.94,0.41,24000
1980-05-28,0.00,0.95,0.93,0.93,0.40,57600
1980-05-29,0.00,0.97,0.94,0.96,0.42,62400
1980-05-30,0.00,0.96,0.94,0.96,0.42,76800
1980-06-02,0.00,0.97,0.96,0.97,0.42,14400
1980-06-03,0.00,0.97,0.95,0.97,0.42,40800
1980-06-04,0.00,0.96,0.94,0.96,0.42,76800
1980-06-05,0.00,0.97,0.95,0.96,0.42,105600
1980-06-06,0.00,0.99,0.96,0.99,0.43,156000
1980-06-09,0.00,1.02,0.97,1.02,0.45,602400
1980-06-10,0.00,1.05,1.02,1.03,0.45,828000
1980-06-11,0.00,1.03,1.01,1.02,0.45,31200
1980-06-12,0.00,1.04,1.00,1.00,0.44,151200
1980-06-13,0.00,0.99,0.96,0.98,0.43,127200
1980-06-16,0.00,0.99,0.97,0.98,0.43,151200
1980-06-17,0.00,0.98,0.97,0.97,0.42,153600
1980-06-18,0.00,0.99,0.96,0.96,0.42,28800
1980-06-19,0.00,0.96,0.95,0.95,0.41,33600
1980-06-20,0.00,0.95,0.92,0.93,0.40,57600
1980-06-23,0.00,0.93,0.91,0.93,0.41,112800
1980-06-24,0.00,0.96,0.94,0.96,0.42,60000
1980-06-25,0.00,0.97,0.95,0.96,0.42,103200
1980-06-26,0.00,0.98,0.96,0.98,0.43,513600
1980-06-27,0.00,0.98,0.97,0.97,0.42,36000
1980-06-30,0.00,1.00,0.97,1.00,0.44,98400
1980-07-01,0.00,1.00,0.98,0.99,0.43,127200
1980-07-02,0.00,0.99,0.98,0.98,0.43,33600
1980-07-03,0.00,0.99,0.98,0.98,0.43,31200
1980-07-07,0.00,1.01,0.98,1.01,0.44,122400
1980-07-08,0.00,1.03,1.02,1.03,0.45,146400
1980-07-09,0.00,1.08,1.03,1.08,0.47,456000
1980-07-10,0.00,1.08,1.05,1.05,0.46,1108800
1980-07-11,0.00,1.05,1.02,1.02,0.44,52800
1980-07-14,0.00,1.04,1.03,1.04,0.45,12000
1980-07-15,0.00,1.05,1.03,1.03,0.45,112800
1980-07-16,0.00,1.03,1.01,1.02,0.44,64800
1980-07-17,0.00,1.02,1.01,1.01,0.44,26400
1980-07-18,0.00,1.03,1.00,1.02,0.45,45600
1980-07-21,0.00,1.04,1.03,1.04,0.45,57600
1980-07-22,0.00,1.05,1.04,1.04,0.45,712800
1980-07-23,0.00,1.07,1.05,1.06,0.46,223200
1980-07-24,0.00,1.07,1.04,1.05,0.46,417600
1980-07-25,0.00,1.05,1.03,1.05,0.46,72000
1980-07-28,0.00,1.05,1.03,1.05,0.46,38400
1980-07-29,0.00,1.05,1.04,1.05,0.46,62400
1980-07-30,0.00,1.05,1.04,1.04,0.45,62400
1980-07-31,0.00,1.05,1.03,1.03,0.45,33600
1980-08-01,0.00,1.03,1.03,1.03,0.45,24000
1980-08-04,0.00,1.05,1.03,1.04,0.45,60000
1980-08-05,0.00,1.05,1.04,1.05,0.46,180000
1980-08-06,0.00,1.06,1.04,1.06,0.46,40800
1980-08-07,0.00,1.07,1.05,1.07,0.47,31200
1980-08-08,0.00,1.08,1.05,1.05,0.46,115200
1980-08-11,0.00,1.06,1.05,1.06,0.46,60000
1980-08-12,0.00,1.08,1.07,1.07,0.47,81600
1980-08-13,0.00,1.07,1.06,1.07,0.47,148800
1980-08-14,0.00,1.06,1.05,1.06,0.46,86400
1980-08-15,0.00,1.07,1.06,1.07,0.47,86400
1980-08-18,0.00,1.06,1.03,1.06,0.46,67200
1980-08-19,0.00,1.06,1.05,1.06,0.46,103200
1980-08-20,0.00,1.06,1.05,1.06,0.46,64800
1980-08-21,0.00,1.06,1.05,1.05,0.46,120000
1980-08-22,0.00,1.06,1.06,1.06,0.46,168000
1980-08-25,0.00,1.07,1.05,1.06,0.46,57600
1980-08-26,0.00,1.07,1.05,1.06,0.46,436800
1980-08-27,0.00,1.05,1.02,1.03,0.45,48000
1980-08-28,0.00,1.05,1.04,1.04,0.45,21600
1980-08-29,0.00,1.05,1.04,1.05,0.46,69600
1980-09-02,0.00,1.06,1.04,1.05,0.46,84000
1980-09-03,0.00,1.05,1.05,1.05,0.46,9600
1980-09-04,0.00,1.06,1.05,1.05,0.46,136800
1980-09-05,0.00,1.07,1.06,1.06,0.46,168000
1980-09-08,0.00,1.06,1.05,1.06,0.46,12000
1980-09-09,0.00,1.06,1.06,1.06,0.46,33600
1980-09-10,0.00,1.06,1.05,1.06,0.46,912000
1980-09-11,0.00,1.07,1.05,1.06,0.46,72000
1980-09-12,0.00,1.07,1.05,1.07,0.47,62400
1980-09-15,0.00,1.08,1.06,1.08,0.47,69600
1980-09-16,0.00,1.08,1.05,1.07,0.47,180000
1980-09-17,0.00,1.07,1.05,1.06,0.46,60000
1980-09-18,0.00,1.08,1.06,1.06,0.46,268800
1980-09-19,0.00,1.07,1.05,1.06,0.46,64800
1980-09-22,0.00,1.07,1.05,1.05,0.46,57600
1980-09-23,0.00,1.06,1.05,1.05,0.46,122400
1980-09-24,0.00,1.07,1.04,1.04,0.45,163200
1980-09-25,0.00,1.05,1.04,1.05,0.46,115200
1980-09-26,0.00,1.05,1.03,1.05,0.46,79200
1980-09-29,0.00,1.03,1.03,1.03,0.45,105600
1980-09-30,0.00,1.05,1.03,1.05,0.46,67200
1980-10-01,0.00,1.04,1.03,1.03,0.45,621600
1980-10-02,0.00,1.04,1.03,1.04,0.45,283200
1980-10-03,0.00,1.05,1.03,1.03,0.45,19200
1980-10-06,0.00,1.05,1.03,1.04,0.45,96000
1980-10-07,0.00,1.05,1.04,1.05,0.46,45600
1980-10-08,0.00,1.05,1.04,1.04,0.45,208800
1980-10-09,0.00,1.04,1.03,1.03,0.45,60000
1980-10-10,0.00,1.03,1.03,1.03,0.45,26400
1980-10-13,0.00,1.04,1.03,1.04,0.45,28800
1980-10-14,0.00,1.04,1.03,1.04,0.45,120000
1980-10-15,0.00,1.04,1.03,1.04,0.45,170400
1980-10-16,0.00,1.04,1.04,1.04,0.45,14400
1980-10-17,0.00,1.05,1.03,1.04,0.45,48000
1980-10-20,0.00,1.04,1.03,1.04,0.45,285600
1980-10-21,0.00,1.04,1.03,1.03,0.45,24000
1980-10-22,0.00,1.04,1.02,1.03,0.45,364800
1980-10-23,0.00,1.02,1.02,1.02,0.44,182400
1980-10-24,0.00,1.02,1.01,1.01,0.44,67200
1980-10-27,0.00,1.02,1.01,1.01,0.44,19200
1980-10-28,0.00,1.00,0.99,1.00,0.44,38400
1980-10-29,0.00,1.00,1.00,1.00,0.44,14400
1980-10-30,0.00,1.01,0.99,1.01,0.44,40800
1980-10-31,0.00,1.02,1.00,1.02,0.44,33600
1980-11-03,0.00,1.02,1.01,1.02,0.44,31200
1980-11-05,0.00,1.02,1.01,1.01,0.44,62400
1980-11-06,0.00,0.99,0.97,0.97,0.42,33600
1980-11-07,0.00,0.99,0.96,0.96,0.42,69600
1980-11-10,0.00,0.97,0.96,0.96,0.42,170400
1980-11-11,0.00,0.98,0.97,0.98,0.43,93600
1980-11-12,0.00,1.01,0.98,1.00,0.44,33600
1980-11-13,0.00,1.02,1.01,1.02,0.44,31200
1980-11-14,0.00,1.02,1.01,1.01,0.44,139200
1980-11-17,0.00,1.01,1.01,1.01,0.44,28800
1980-11-18,0.00,1.01,0.98,0.98,0.43,403200
1980-11-19,0.00,0.98,0.97,0.97,0.42,307200
1980-11-20,0.00,0.98,0.97,0.97,0.42,40800
1980-11-21,0.00,0.98,0.97,0.98,0.43,33600
1980-11-24,0.00,0.99,0.97,0.98,0.43,117600
1980-11-25,0.00,0.99,0.98,0.98,0.43,57600
1980-11-26,0.00,0.98,0.95,0.96,0.42,660000
1980-11-28,0.00,0.97,0.94,0.95,0.42,60000
1980-12-01,0.00,0.96,0.95,0.95,0.42,72000
1980-12-02,0.00,0.96,0.94,0.95,0.42,24000
1980-12-03,0.00,0.96,0.94,0.94,0.41,74400
1980-12-04,0.00,0.97,0.94,0.97,0.42,96000
1980-12-05,0.00,0.98,0.96,0.97,0.42,110400
1980-12-08,0.00,0.95,0.93,0.93,0.41,84000
1980-12-09,0.00,0.94,0.93,0.94,0.41,24000
1980-12-10,0.00,0.93,0.93,0.93,0.40,43200
1980-12-11,0.00,0.95,0.92,0.93,0.41,60000
1980-12-12,0.00,0.93,0.92,0.93,0.41,182400
1980-12-15,0.00,0.94,0.92,0.94,0.41,264000
1980-12-16,0.00,0.95,0.93,0.93,0.40,264000
1980-12-17,0.00,0.93,0.92,0.93,0.41,204000
1980-12-18,0.00,0.93,0.92,0.93,0.40,256800
1980-12-19,0.00,0.93,0.92,0.92,0.40,50400
1980-12-22,0.00,0.93,0.92,0.93,0.40,194400
1980-12-23,0.00,0.93,0.92,0.92,0.40,1833600
1980-12-24,0.00,0.93,0.92,0.93,0.41,304800
1980-12-26,0.00,0.93,0.93,0.93,0.41,16800
1980-12-29,0.00,0.94,0.92,0.92,0.40,316800
1980-12-30,0.00,0.93,0.92,0.93,0.40,57600
1980-12-31,0.00,0.98,0.93,0.98,0.43,84000
1981-01-02,0.00,1.03,0.99,1.03,0.45,86400
1981-01-05,0.00,1.04,1.02,1.02,0.45,120000
1981-01-06,0.00,1.01,0.98,0.99,0.43,103200
1981-01-07,0.00,0.99,0.96,0.98,0.43,134400
1981-01-08,0.00,1.00,0.98,0.98,0.43,139200
1981-01-09,0.00,0.99,0.97,0.98,0.43,100800
1981-01-12,0.00,1.02,1.00,1.02,0.45,57600
1981-01-13,0.00,1.02,1.01,1.02,0.45,38400
1981-01-14,0.00,1.02,1.02,1.02,0.45,36000
1981-01-15,0.00,1.03,1.02,1.03,0.45,278400
1981-01-16,0.00,1.05,1.01,1.01,0.44,160800
1981-01-19,0.00,1.02,0.99,1.02,0.44,223200
1981-01-20,0.00,1.02,0.99,0.99,0.43,33600
1981-01-21,0.00,0.98,0.97,0.97,0.42,48000
1981-01-22,0.00,0.97,0.96,0.97,0.42,134400
1981-01-23,0.00,0.99,0.97,0.98,0.43,40800
1981-01-26,0.00,0.99,0.98,0.99,0.43,38400
1981-01-27,0.00,1.01,0.99,1.00,0.44,62400
1981-01-28,0.00,1.00,0.98,0.98,0.43,7200
1981-01-29,0.00,1.00,0.98,0.99,0.43,249600
1981-01-30,0.00,1.00,0.99,0.99,0.43,14400
1981-02-02,0.00,1.01,0.98,0.98,0.43,314400
1981-02-03,0.00,0.99,0.98,0.98,0.43,81600
1981-02-04,0.00,0.99,0.98,0.99,0.43,21600
1981-02-05,0.00,1.00,0.98,0.99,0.43,24000
1981-02-06,0.00,0.99,0.98,0.98,0.43,170400
1981-02-09,0.00,0.99,0.98,0.98,0.43,160800
1981-02-10,0.00,0.99,0.98,0.98,0.43,136800
1981-02-11,0.00,0.99,0.98,0.98,0.43,1504800
1981-02-12,0.00,0.99,0.98,0.98,0.43,60000
1981-02-13,0.00,0.99,0.98,0.98,0.43,31200
1981-02-17,0.00,1.01,0.98,1.01,0.44,372000
1981-02-18,0.00,1.04,1.01,1.03,0.45,312000
1981-02-19,0.00,1.03,1.02,1.02,0.45,108000
1981-02-20,0.00,1.03,1.02,1.03,0.45,43200
1981-02-23,0.00,1.04,1.02,1.04,0.45,172800
1981-02-24,0.00,1.06,1.04,1.06,0.46,302400
1981-02-25,0.00,1.07,1.05,1.07,0.47,439200
1981-02-26,0.00,1.17,1.06,1.16,0.51,501600
1981-02-27,0.00,1.21,1.16,1.19,0.52,1039200
1981-03-02,0.00,1.20,1.15,1.15,0.50,261600
1981-03-03,0.00,1.18,1.15,1.17,0.51,314400
1981-03-04,0.00,1.19,1.17,1.17,0.51,345600
1981-03-05,0.00,1.20,1.19,1.20,0.52,357600
1981-03-06,0.00,1.22,1.19,1.21,0.53,549600
1981-03-09,0.00,1.27,1.21,1.27,0.55,513600
1981-03-10,0.00,1.29,1.25,1.27,0.55,554400
1981-03-11,0.00,1.27,1.24,1.26,0.55,249600
1981-03-12,0.00,1.30,1.26,1.29,0.56,928800
1981-03-13,0.00,1.33,1.28,1.32,0.58,391200
1981-03-16,0.00,1.34,1.31,1.33,0.58,588000
1981-03-17,0.00,1.38,1.34,1.35,0.59,1814400
1981-03-18,0.00,1.39,1.35,1.36,0.59,343200
1981-03-19,0.00,1.38,1.36,1.38,0.60,513600
1981-03-20,0.00,1.40,1.38,1.38,0.60,614400
1981-03-23,0.00,1.41,1.36,1.36,0.59,496800
1981-03-24,0.00,1.39,1.34,1.35,0.59,252000
1981-03-25,0.00,1.35,1.32,1.35,0.59,153600
1981-03-26,0.00,1.36,1.33,1.33,0.58,288000
1981-03-27,0.00,1.36,1.33,1.35,0.59,240000
1981-03-30,0.00,1.37,1.35,1.37,0.60,175200
1981-03-31,0.00,1.36,1.35,1.35,0.59,141600
1981-04-01,0.00,1.38,1.35,1.37,0.60,278400
1981-04-02,0.00,1.45,1.39,1.43,0.62,1195200
1981-04-03,0.00,1.46,1.43,1.45,0.63,808800
1981-04-06,0.00,1.46,1.43,1.45,0.63,847200
1981-04-07,0.00,1.46,1.40,1.40,0.61,175200
1981-04-08,0.00,1.41,1.38,1.39,0.61,180000
1981-04-09,0.00,1.41,1.35,1.35,0.59,189600
1981-04-10,0.00,1.43,1.37,1.41,0.61,458400
1981-04-13,0.00,1.44,1.41,1.41,0.62,432000
1981-04-14,0.00,1.45,1.41,1.45,0.63,660000
1981-04-15,0.00,1.48,1.45,1.48,0.64,928800
1981-04-16,0.00,1.49,1.47,1.49,0.65,487200
1981-04-20,0.00,1.50,1.47,1.47,0.64,319200
1981-04-21,0.00,1.48,1.44,1.45,0.63,201600
1981-04-22,0.00,1.47,1.44,1.44,0.63,345600
1981-04-23,0.00,1.44,1.42,1.42,0.62,124800
1981-04-24,0.00,1.45,1.43,1.45,0.63,79200
1981-04-27,0.00,1.51,1.44,1.49,0.65,340800
1981-04-28,0.00,1.48,1.45,1.48,0.64,405600
1981-04-29,0.00,1.49,1.46,1.46,0.64,693600
1981-04-30,0.00,1.49,1.47,1.48,0.65,489600
1981-05-01,0.00,1.49,1.44,1.48,0.64,153600
1981-05-04,0.00,1.47,1.44,1.44,0.63,367200
1981-05-05,0.00,1.45,1.42,1.43,0.62,259200
1981-05-06,0.00,1.45,1.42,1.42,0.62,141600
1981-05-07,0.00,1.44,1.42,1.44,0.63,153600
1981-05-08,0.00,1.44,1.40,1.40,0.61,324000
1981-05-11,0.00,1.41,1.38,1.39,0.61,607200
1981-05-12,0.00,1.42,1.39,1.42,0.62,88800
1981-05-13,0.00,1.44,1.42,1.43,0.62,804000
1981-05-14,0.00,1.45,1.43,1.44,0.63,196800
1981-05-15,0.00,1.49,1.46,1.49,0.65,415200
1981-05-18,0.00,1.52,1.49,1.50,0.65,1756800
1981-05-19,0.00,1.51,1.49,1.50,0.65,216000
1981-05-20,0.00,1.52,1.51,1.51,0.66,211200
1981-05-21,0.00,1.51,1.49,1.49,0.65,614400
1981-05-22,0.00,1.51,1.50,1.51,0.66,115200
1981-05-26,0.00,1.54,1.52,1.54,0.67,314400
1981-05-27,0.00,1.54,1.51,1.52,0.66,242400
1981-05-28,0.00,1.56,1.54,1.56,0.68,319200
1981-05-29,0.00,1.60,1.56,1.58,0.69,732000
1981-06-01,0.00,1.61,1.59,1.60,0.70,180000
1981-06-02,0.00,1.62,1.60,1.60,0.70,343200
1981-06-03,0.00,1.64,1.60,1.62,0.71,448800
1981-06-04,0.00,1.64,1.62,1.62,0.71,117600
1981-06-05,0.00,1.71,1.62,1.68,0.73,871200
1981-06-08,0.00,1.71,1.67,1.68,0.73,744000
1981-06-09,0.00,1.70,1.68,1.70,0.74,283200
1981-06-10,0.00,1.69,1.65,1.66,0.72,256800
1981-06-11,0.00,1.67,1.62,1.65,0.72,177600
1981-06-12,0.00,1.65,1.61,1.62,0.71,148800
1981-06-15,0.00,1.62,1.59,1.61,0.70,225600
1981-06-16,0.00,1.64,1.60,1.64,0.71,540000
1981-06-17,0.00,1.64,1.59,1.59,0.69,117600
1981-06-18,0.00,1.57,1.53,1.54,0.67,211200
1981-06-19,0.00,1.56,1.54,1.55,0.67,463200
1981-06-22,0.00,1.57,1.53,1.54,0.67,249600
1981-06-23,0.00,1.57,1.54,1.57,0.68,319200
1981-06-24,0.00,1.58,1.57,1.58,0.69,484800
1981-06-25,0.00,1.58,1.57,1.57,0.69,132000
1981-06-26,0.00,1.61,1.57,1.60,0.70,237600
1981-06-29,0.00,1.60,1.57,1.59,0.69,139200
1981-06-30,0.00,1.58,1.56,1.57,0.68,172800
1981-07-01,0.00,1.56,1.52,1.52,0.66,513600
1981-07-02,0.00,1.53,1.50,1.50,0.65,261600
1981-07-06,0.00,1.49,1.48,1.49,0.65,177600
1981-07-07,0.00,1.48,1.47,1.47,0.64,139200
1981-07-08,0.00,1.48,1.44,1.44,0.63,139200
1981-07-09,0.00,1.44,1.43,1.43,0.62,79200
1981-07-10,0.00,1.45,1.44,1.45,0.63,74400
1981-07-13,0.00,1.47,1.46,1.46,0.64,55200
1981-07-14,0.00,1.46,1.44,1.44,0.63,151200
1981-07-15,0.00,1.47,1.44,1.44,0.63,156000
1981-07-16,0.00,1.46,1.45,1.45,0.63,307200
1981-07-17,0.00,1.47,1.46,1.46,0.64,266400
1981-07-20,0.00,1.47,1.44,1.44,0.63,571200
1981-07-21,0.00,1.43,1.41,1.41,0.62,424800
1981-07-22,0.00,1.43,1.41,1.41,0.61,76800
1981-07-23,0.00,1.40,1.35,1.35,0.59,727200
1981-07-24,0.00,1.35,1.33,1.34,0.59,1279200
1981-07-27,0.00,1.36,1.35,1.35,0.59,96000
1981-07-28,0.00,1.37,1.35,1.35,0.59,252000
1981-07-29,0.00,1.36,1.35,1.35,0.59,31200
1981-07-30,0.00,1.39,1.36,1.39,0.60,91200
1981-07-31,0.00,1.42,1.39,1.40,0.61,98400
1981-08-03,0.00,1.41,1.36,1.38,0.60,261600
1981-08-04,0.00,1.41,1.39,1.40,0.61,110400
1981-08-05,0.00,1.41,1.39,1.41,0.61,122400
1981-08-06,0.00,1.41,1.38,1.38,0.60,28800
1981-08-07,0.00,1.45,1.39,1.45,0.63,549600
1981-08-10,0.00,1.48,1.46,1.48,0.64,96000
1981-08-11,0.00,1.53,1.48,1.53,0.67,141600
1981-08-12,0.00,1.56,1.54,1.55,0.68,266400
1981-08-13,0.00,1.57,1.55,1.56,0.68,146400
1981-08-14,0.00,1.56,1.54,1.55,0.68,379200
1981-08-17,0.00,1.56,1.54,1.55,0.67,237600
1981-08-18,0.00,1.51,1.48,1.49,0.65,566400
1981-08-19,0.00,1.48,1.47,1.48,0.64,463200
1981-08-20,0.00,1.52,1.49,1.52,0.66,64800
1981-08-21,0.00,1.54,1.52,1.53,0.67,259200
1981-08-24,0.00,1.52,1.50,1.51,0.66,110400
1981-08-25,0.00,1.50,1.48,1.49,0.65,115200
1981-08-26,0.00,1.50,1.48,1.48,0.65,76800
1981-08-27,0.00,1.49,1.46,1.46,0.64,91200
1981-08-28,0.00,1.48,1.45,1.48,0.64,96000
1981-08-31,0.00,1.48,1.47,1.47,0.64,26400
1981-09-01,0.00,1.47,1.45,1.46,0.64,115200
