Date,Open,High,Low,Close,Adj Close,Volume
1981-02-23,,,,,,
1995-02-27,,,,,,
1999-02-26,,,,,,
2000-06-12,,,,,,
2016-10-06,,,,,,
2016-11-01,22.24,22.64,18.75,18.92,18.87,0.00
2016-11-02,18.86,18.97,17.63,17.94,17.89,0.00
2016-11-03,17.73,18.05,17.42,17.49,17.44,0.00
2016-11-04,17.60,17.80,17.51,17.68,17.63,0.00
2016-11-07,17.90,18.00,17.28,17.34,17.29,0.00
2016-11-08,17.36,17.55,17.22,17.41,17.36,6537400.00
2016-11-09,16.95,17.70,16.75,17.53,17.48,0.00
2016-11-10,17.55,18.53,17.55,18.45,18.40,0.00
2016-11-11,18.43,18.94,18.31,18.86,18.81,5358700.00
2016-11-14,18.94,19.12,18.83,19.09,19.04,0.00
2016-11-15,19.16,19.96,19.16,19.91,19.86,0.00
2016-11-16,19.75,19.80,19.45,19.61,19.56,0.00
2016-11-17,19.55,19.62,19.36,19.50,19.45,0.00
2016-11-18,19.46,19.91,19.37,19.91,19.86,0.00
2016-11-21,19.89,20.19,19.82,20.18,20.13,0.00
2016-11-22,20.07,20.28,19.80,19.89,19.84,0.00
2016-11-23,19.81,20.40,19.71,20.28,20.23,0.00
2016-11-25,20.32,20.65,20.24,20.53,20.48,0.00
2016-11-28,20.40,20.43,19.92,20.15,20.10,0.00
2016-11-29,20.04,20.04,19.51,19.67,19.62,0.00
2016-11-30,19.59,19.85,19.25,19.28,19.23,0.00
2016-12-01,19.34,19.82,19.26,19.50,19.45,0.00
2016-12-02,19.39,19.72,19.35,19.69,19.64,0.00
2016-12-05,19.64,20.28,19.61,20.26,20.21,0.00
2016-12-06,19.89,20.34,19.70,20.32,20.27,0.00
2016-12-07,20.41,20.90,20.38,20.88,20.83,0.00
2016-12-08,21.01,21.21,20.89,20.91,20.86,0.00
2016-12-09,21.13,21.82,21.11,21.80,21.74,0.00
2016-12-12,21.73,22.20,21.51,21.58,21.52,0.00
2016-12-13,21.57,21.76,20.91,21.19,21.13,0.00
2016-12-14,20.91,21.39,20.70,20.75,20.70,0.00
2016-12-15,20.71,21.01,20.43,20.56,20.51,0.00
2016-12-16,20.49,20.87,20.13,20.26,20.21,0.00
2016-12-19,20.05,20.20,19.85,20.02,19.97,0.00
2016-12-20,20.00,20.37,20.00,20.10,20.05,0.00
