Date,Open,High,Low,Close,Adj Close,Volume
1993-01-19,0.24,0.26,0.24,0.24,0.22,4846022
1993-01-20,0.26,0.26,0.24,0.24,0.22,390106
1993-01-21,0.26,0.26,0.24,0.24,0.22,162860
1993-01-22,0.26,0.26,0.24,0.26,0.24,109836
1993-01-25,0.24,0.28,0.24,0.25,0.23,1257428
1993-01-26,0.25,0.29,0.25,0.26,0.24,155285
1993-01-27,0.26,0.34,0.26,0.30,0.28,1289621
1993-01-28,0.30,0.34,0.26,0.29,0.27,723400
1993-01-29,0.30,0.30,0.26,0.28,0.26,185584
1993-02-01,0.26,0.29,0.26,0.27,0.25,1727070
1993-02-02,0.27,0.29,0.27,0.28,0.26,2062258
1993-02-03,0.27,0.29,0.27,0.27,0.25,232927
1993-02-04,0.27,0.29,0.27,0.28,0.26,996095
1993-02-05,0.27,0.32,0.27,0.29,0.27,1280153
1993-02-08,0.29,0.32,0.29,0.32,0.30,3830990
1993-02-09,0.32,0.33,0.28,0.28,0.26,2314122
1993-02-10,0.30,0.30,0.28,0.29,0.27,338975
1993-02-11,0.28,0.31,0.28,0.28,0.26,251864
1993-02-12,0.28,0.36,0.28,0.32,0.29,3861289
1993-02-16,0.34,0.34,0.32,0.32,0.29,1734645
1993-02-17,0.32,0.36,0.32,0.34,0.32,2442895
1993-02-18,0.32,0.34,0.32,0.34,0.32,944965
1993-02-19,0.32,0.34,0.32,0.34,0.32,2762933
1993-02-22,0.34,0.34,0.32,0.32,0.30,1215766
1993-02-23,0.32,0.34,0.32,0.34,0.32,564328
1993-02-24,0.34,0.37,0.32,0.34,0.32,2952305
1993-02-25,0.34,0.37,0.34,0.37,0.34,460173
1993-02-26,0.37,0.37,0.34,0.35,0.33,3796903
1993-03-01,0.34,0.36,0.33,0.36,0.33,634395
1993-03-02,0.33,0.36,0.32,0.36,0.33,2191031
1993-03-03,0.32,0.36,0.32,0.32,0.30,213990
1993-03-04,0.36,0.36,0.30,0.32,0.30,1988403
1993-03-05,0.30,0.34,0.30,0.32,0.29,196947
1993-03-08,0.30,0.34,0.30,0.30,0.28,170435
1993-03-09,0.30,0.32,0.30,0.31,0.29,1162742
1993-03-10,0.31,0.31,0.28,0.28,0.26,170435
1993-03-11,0.28,0.30,0.26,0.28,0.26,1079419
1993-03-12,0.28,0.29,0.26,0.28,0.26,577584
1993-03-15,0.29,0.29,0.27,0.28,0.26,210203
1993-03-16,0.26,0.29,0.26,0.28,0.26,505623
1993-03-17,0.27,0.28,0.26,0.26,0.24,104154
1993-03-18,0.28,0.28,0.26,0.26,0.24,579477
1993-03-19,0.25,0.27,0.25,0.25,0.23,1825543
1993-03-22,0.25,0.27,0.25,0.25,0.23,143923
1993-03-23,0.26,0.26,0.25,0.25,0.23,516985
1993-03-24,0.25,0.26,0.22,0.24,0.22,1492249
1993-03-25,0.25,0.25,0.24,0.25,0.23,679844
1993-03-26,0.24,0.25,0.22,0.22,0.21,293526
1993-03-29,0.22,0.24,0.22,0.23,0.21,2103920
1993-03-30,0.22,0.24,0.21,0.21,0.20,520772
1993-03-31,0.23,0.23,0.21,0.21,0.20,85217
1993-04-01,0.23,0.23,0.21,0.22,0.21,195053
1993-04-02,0.22,0.23,0.22,0.22,0.21,2079302
1993-04-05,0.22,0.24,0.22,0.22,0.21,291632
1993-04-06,0.22,0.25,0.20,0.20,0.18,1391882
1993-04-07,0.20,0.21,0.18,0.19,0.18,255652
1993-04-08,0.18,0.18,0.18,0.18,0.17,359806
1993-04-12,0.17,0.18,0.14,0.16,0.15,624927
1993-04-13,0.15,0.16,0.14,0.14,0.13,1586935
1993-04-14,0.14,0.17,0.14,0.16,0.15,1064269
1993-04-15,0.15,0.17,0.15,0.16,0.15,391999
1993-04-16,0.15,0.17,0.15,0.15,0.14,1319921
1993-04-19,0.15,0.21,0.15,0.21,0.20,1179786
1993-04-20,0.20,0.24,0.20,0.22,0.21,6588242
1993-04-21,0.24,0.24,0.22,0.24,0.22,927921
1993-04-22,0.24,0.24,0.23,0.23,0.21,232927
1993-04-23,0.23,0.24,0.23,0.23,0.21,128773
1993-04-26,0.23,0.24,0.21,0.23,0.21,1774413
1993-04-27,0.23,0.23,0.19,0.20,0.18,649545
1993-04-28,0.20,0.22,0.20,0.22,0.20,213990
1993-04-29,0.22,0.22,0.20,0.22,0.20,113623
1993-04-30,0.20,0.20,0.20,0.20,0.18,602202
1993-05-03,0.20,0.20,0.20,0.20,0.18,34087
1993-05-04,0.20,0.22,0.20,0.20,0.18,51130
1993-05-05,0.20,0.22,0.20,0.21,0.20,323826
1993-05-06,0.20,0.21,0.20,0.20,0.18,274589
1993-05-07,0.20,0.21,0.18,0.18,0.17,1374839
1993-05-10,0.18,0.21,0.18,0.19,0.18,1092675
1993-05-11,0.20,0.20,0.18,0.18,0.17,187478
1993-05-12,0.18,0.20,0.18,0.18,0.17,908984
1993-05-13,0.18,0.21,0.18,0.19,0.18,128773
1993-05-14,0.19,0.21,0.19,0.20,0.18,138241
1993-05-17,0.22,0.22,0.20,0.20,0.19,481004
1993-05-18,0.20,0.22,0.20,0.20,0.19,53024
1993-05-19,0.22,0.25,0.21,0.25,0.23,3745773
1993-05-20,0.24,0.30,0.24,0.30,0.28,2634161
1993-05-21,0.30,0.36,0.28,0.30,0.28,1918336
1993-05-24,0.30,0.32,0.30,0.30,0.28,865429
1993-05-25,0.30,0.32,0.28,0.29,0.27,641970
1993-05-26,0.30,0.30,0.28,0.28,0.26,285951
1993-05-27,0.28,0.30,0.28,0.30,0.28,391999
1993-05-28,0.28,0.30,0.28,0.30,0.28,164753
1993-06-01,0.30,0.30,0.28,0.28,0.26,1486568
1993-06-02,0.28,0.32,0.28,0.32,0.29,994202
1993-06-03,0.32,0.33,0.29,0.33,0.31,263227
1993-06-04,0.30,0.33,0.30,0.33,0.31,70068
1993-06-07,0.31,0.33,0.31,0.31,0.29,630608
1993-06-08,0.31,0.32,0.30,0.30,0.28,2798914
1993-06-09,0.32,0.32,0.30,0.32,0.29,3988168
1993-06-10,0.32,0.32,0.30,0.32,0.29,672270
1993-06-11,0.30,0.34,0.30,0.34,0.31,1045332
1993-06-14,0.34,0.35,0.32,0.34,0.31,643864
1993-06-15,0.34,0.36,0.34,0.36,0.34,873004
1993-06-16,0.37,0.43,0.35,0.42,0.39,3899164
1993-06-17,0.41,0.47,0.41,0.44,0.40,3787434
1993-06-18,0.44,0.48,0.44,0.46,0.42,2092558
1993-06-21,0.47,0.51,0.44,0.48,0.45,4194584
1993-06-22,0.51,0.55,0.48,0.53,0.50,6374252
1993-06-23,0.48,0.49,0.40,0.46,0.43,3380285
