Date,Open,High,Low,Close,Adj Close,Volume
1992-03-31,5.33,5.33,4.44,4.61,4.61,1482300
1992-04-01,4.44,4.67,3.78,4.33,4.33,789300
1992-04-02,4.33,4.33,3.89,3.89,3.89,361800
1992-04-03,4.11,4.78,4.00,4.78,4.78,317925
1992-04-06,4.89,4.89,4.44,4.67,4.67,268875
1992-04-07,4.67,4.67,4.22,4.22,4.22,87075
1992-04-08,4.33,4.44,4.00,4.44,4.44,108675
1992-04-09,4.22,4.44,4.22,4.22,4.22,72675
1992-04-10,4.33,4.56,4.11,4.33,4.33,193500
1992-04-13,4.33,4.39,4.11,4.22,4.22,39150
1992-04-14,4.22,4.44,4.22,4.33,4.33,121950
1992-04-15,4.22,4.44,4.11,4.11,4.11,234900
1992-04-16,4.11,4.22,3.89,3.89,3.89,85500
1992-04-20,3.89,3.94,3.89,3.89,3.89,147375
1992-04-21,4.00,4.00,3.44,3.78,3.78,154800
1992-04-22,3.89,3.89,3.56,3.61,3.61,31500
1992-04-23,3.78,3.78,3.44,3.67,3.67,99900
1992-04-24,3.44,3.50,3.22,3.22,3.22,79425
1992-04-27,3.44,3.44,3.00,3.11,3.11,35775
1992-04-28,3.11,3.33,3.11,3.11,3.11,126900
1992-04-29,3.11,3.44,3.11,3.33,3.33,34425
1992-04-30,3.44,3.67,3.44,3.44,3.44,35100
1992-05-01,3.67,3.67,3.44,3.44,3.44,2700
1992-05-04,3.61,3.67,3.44,3.44,3.44,10350
1992-05-05,3.67,3.67,3.56,3.56,3.56,14625
1992-05-06,3.56,3.67,3.44,3.56,3.56,33075
1992-05-07,3.67,3.78,3.56,3.56,3.56,19125
1992-05-08,3.78,3.78,3.78,3.78,3.78,2925
1992-05-11,3.56,3.78,3.56,3.56,3.56,20475
1992-05-12,3.67,3.67,3.56,3.56,3.56,30600
1992-05-13,3.67,3.67,3.44,3.56,3.56,13725
1992-05-14,3.33,3.44,3.33,3.44,3.44,7425
1992-05-15,3.56,4.22,3.56,3.89,3.89,140625
1992-05-18,4.11,4.11,3.89,4.00,4.00,95625
1992-05-19,4.00,4.00,3.78,4.00,4.00,82350
1992-05-20,3.89,4.00,3.78,3.78,3.78,9000
1992-05-21,3.78,3.89,3.56,3.78,3.78,55350
1992-05-22,3.78,3.78,3.56,3.67,3.67,25425
1992-05-26,3.56,3.78,3.56,3.56,3.56,11025
1992-05-27,3.56,3.78,3.56,3.78,3.78,18000
1992-05-28,3.67,3.78,3.67,3.78,3.78,9675
