Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,20.10,20.42,19.80,20.00,18.28,30833000
2017-02-02,20.04,20.41,20.04,20.23,18.50,4901200
2017-02-03,20.35,20.80,20.30,20.63,18.86,2631500
2017-02-06,21.14,21.14,20.55,20.73,18.95,1836800
2017-02-07,20.75,20.86,20.62,20.80,19.02,3521100
2017-02-08,20.80,20.92,20.73,20.84,19.05,973600
2017-02-09,20.89,20.97,20.83,20.88,19.09,1798600
2017-02-10,20.92,21.87,20.78,21.02,19.22,1560800
2017-02-13,21.14,21.19,20.95,21.00,19.20,896000
2017-02-14,20.89,21.05,20.75,21.03,19.23,1143100
2017-02-15,21.16,21.16,20.86,20.91,19.12,1065700
2017-02-16,20.80,21.05,20.78,20.96,19.16,740500
2017-02-17,20.93,21.22,20.76,21.15,19.34,664000
2017-02-21,21.30,21.50,21.28,21.47,19.63,793300
2017-02-22,21.45,21.65,21.40,21.57,19.72,675100
2017-02-23,21.68,21.81,21.37,21.58,19.73,641400
2017-02-24,21.52,21.71,21.50,21.60,19.75,763700
2017-02-27,21.58,21.99,21.55,21.81,19.94,1159300
2017-02-28,21.91,22.15,21.76,21.79,19.92,1583600
2017-03-01,22.14,22.15,21.17,21.53,19.68,1414400
2017-03-02,21.60,21.78,21.33,21.72,19.86,1123500
2017-03-03,21.56,21.95,21.26,21.81,19.94,1077800
2017-03-06,21.78,22.00,21.62,21.92,20.04,1333200
2017-03-07,21.80,21.98,21.50,21.81,19.94,709000
2017-03-08,21.78,21.82,21.52,21.55,19.70,797600
2017-03-09,21.60,21.74,21.04,21.24,19.42,1303100
2017-03-10,21.28,21.54,21.28,21.40,19.56,1193700
2017-03-13,21.39,21.84,21.06,21.38,19.55,1841000
2017-03-14,21.38,21.45,21.05,21.25,19.43,778200
2017-03-15,21.39,21.60,21.25,21.52,19.67,1520800
2017-03-16,21.60,21.68,21.25,21.48,19.64,1181800
2017-03-17,21.55,21.79,21.47,21.60,19.75,8630200
2017-03-20,21.50,21.65,21.35,21.54,19.69,1357800
2017-03-21,21.58,21.58,21.32,21.39,19.56,1762900
2017-03-22,21.41,21.53,21.25,21.50,19.66,1419100
2017-03-23,21.35,21.55,21.27,21.49,19.65,1571300
2017-03-24,21.53,21.70,21.50,21.58,19.73,1069100
2017-03-27,21.46,21.60,21.40,21.53,19.68,894600
2017-03-28,21.45,21.68,21.45,21.64,19.78,988400
2017-03-29,21.71,21.79,21.62,21.69,19.83,878500
2017-03-30,21.78,21.86,21.59,21.75,19.88,551700
2017-03-31,21.78,21.98,21.52,21.83,19.96,5648400
2017-04-03,21.85,21.89,21.56,21.63,19.78,1013700
2017-04-04,21.46,21.86,21.45,21.54,19.69,1355800
2017-04-05,21.66,21.67,21.45,21.58,19.73,766800
2017-04-06,21.49,21.82,21.46,21.70,19.84,924900
2017-04-07,21.76,21.84,21.58,21.61,19.76,394100
2017-04-10,21.60,21.76,21.60,21.64,19.78,400700
2017-04-11,21.69,21.69,21.43,21.55,19.70,1138800
2017-04-12,21.48,21.66,21.42,21.55,19.70,652200
2017-04-13,21.62,21.67,21.19,21.29,19.46,962900
2017-04-17,21.26,21.91,21.18,21.67,19.81,931900
2017-04-18,21.62,21.81,21.62,21.77,19.90,812700
2017-04-19,21.77,21.85,21.67,21.75,19.88,1154800
2017-04-20,21.68,21.83,21.40,21.49,19.65,1312600
2017-04-21,21.43,21.76,21.17,21.66,19.80,1158800
2017-04-24,21.76,21.77,21.54,21.64,19.78,576900
2017-04-25,21.65,21.75,21.57,21.72,19.86,733900
2017-04-26,21.65,21.72,21.51,21.68,19.82,632000
2017-04-27,21.70,21.75,21.55,21.59,19.74,457200
2017-04-28,21.59,21.64,21.51,21.55,19.70,782200
2017-05-01,21.58,21.75,21.58,21.68,19.82,704600
2017-05-02,21.59,21.76,21.45,21.52,19.67,1224100
2017-05-03,21.38,21.53,21.12,21.48,19.64,1162900
2017-05-04,21.49,21.49,21.09,21.20,19.38,1759500
2017-05-05,21.25,21.49,21.18,21.27,19.45,899600
2017-05-08,21.35,21.47,21.14,21.28,19.46,817000
2017-05-09,21.25,21.56,21.18,21.45,19.61,1270800
2017-05-10,21.37,21.89,21.37,21.67,19.81,2430800
2017-05-11,21.68,22.02,21.39,21.90,20.08,1253900
2017-05-12,21.95,21.95,21.53,21.79,19.98,709900
2017-05-15,21.75,21.91,21.54,21.90,20.08,1227800
2017-05-16,21.86,21.91,21.25,21.37,19.59,1815100
2017-05-17,21.25,21.74,21.25,21.54,19.75,1234300
2017-05-18,21.49,21.79,21.30,21.65,19.85,1092100
2017-05-19,21.71,21.93,21.52,21.78,19.97,805700
2017-05-22,21.70,21.90,21.56,21.67,19.87,808600
2017-05-23,21.78,21.88,21.51,21.56,19.77,464900
2017-05-24,21.54,21.74,21.52,21.64,19.84,483000
2017-05-25,21.74,21.74,21.13,21.20,19.44,784900
2017-05-26,21.25,21.31,21.01,21.20,19.44,543800
2017-05-30,21.19,21.40,21.19,21.36,19.58,1473100
2017-05-31,21.52,21.62,21.33,21.52,19.73,619800
2017-06-01,21.54,21.70,21.44,21.68,19.88,404100
2017-06-02,21.67,21.97,21.65,21.93,20.10,490100
2017-06-05,22.03,22.29,21.57,21.58,19.78,1266800
2017-06-06,21.43,21.68,21.32,21.52,19.73,673700
2017-06-07,21.55,21.55,21.24,21.30,19.53,676800
2017-06-08,21.30,21.34,21.14,21.18,19.42,776800
2017-06-09,21.18,21.74,21.11,21.40,19.62,2112600
2017-06-12,22.43,22.43,21.39,21.45,19.66,1395200
2017-06-13,21.45,21.57,21.39,21.41,19.63,2058000
2017-06-14,21.45,21.76,21.32,21.50,19.71,1997000
2017-06-15,21.44,21.56,21.23,21.46,19.67,939700
2017-06-16,21.47,21.55,21.18,21.23,19.46,3989700
2017-06-19,21.29,21.64,21.19,21.61,19.81,633400
2017-06-20,21.50,21.56,21.33,21.37,19.59,377400
2017-06-21,21.42,21.46,21.10,21.29,19.52,958800
2017-06-22,21.25,21.59,21.25,21.44,19.66,874800
2017-06-23,21.46,21.98,21.38,21.72,19.91,1784300
2017-06-26,21.84,21.85,21.56,21.64,19.84,1237100
2017-06-27,21.61,21.70,21.54,21.57,19.77,1230200
2017-06-28,21.59,21.67,21.41,21.57,19.77,981700
2017-06-29,21.61,21.61,21.27,21.30,19.53,513100
2017-06-30,21.32,21.69,21.32,21.63,19.83,1071500
2017-07-03,21.75,21.75,21.42,21.68,19.88,307600
2017-07-05,21.69,21.76,21.53,21.69,19.88,1520200
2017-07-06,21.57,21.61,21.25,21.29,19.52,719100
2017-07-07,21.26,21.64,21.22,21.45,19.66,846500
2017-07-10,21.36,21.52,21.34,21.43,19.65,590900
2017-07-11,21.41,21.47,21.20,21.45,19.66,776100
2017-07-12,21.42,21.65,21.42,21.49,19.70,567800
2017-07-13,21.49,21.51,21.35,21.49,19.70,655000
2017-07-14,21.46,21.62,21.46,21.54,19.75,396300
2017-07-17,21.54,21.68,21.50,21.63,19.83,694600
2017-07-18,21.56,21.66,21.42,21.48,19.69,482300
2017-07-19,21.42,21.68,21.42,21.68,19.88,367100
2017-07-20,21.60,21.78,21.59,21.65,19.85,521000
2017-07-21,21.65,21.80,21.65,21.74,19.93,349000
2017-07-24,21.74,21.86,21.56,21.77,19.96,443300
2017-07-25,21.75,21.78,21.57,21.64,19.84,553900
2017-07-26,21.70,21.70,21.23,21.43,19.65,633500
2017-07-27,21.36,21.48,21.25,21.27,19.50,617300
2017-07-28,21.23,21.42,21.23,21.33,19.55,1331400
2017-07-31,21.22,21.36,21.12,21.32,19.55,943900
2017-08-01,21.40,21.56,21.37,21.47,19.68,757800
2017-08-02,21.50,21.50,21.04,21.20,19.44,829600
2017-08-03,21.15,21.25,20.95,21.08,19.33,677100
2017-08-04,21.12,21.31,21.00,21.16,19.40,803500
2017-08-07,21.15,21.20,20.97,21.11,19.35,508700
2017-08-08,21.06,21.22,20.76,20.83,19.10,602700
2017-08-09,20.81,21.10,20.81,20.99,19.24,673200
2017-08-10,21.55,22.43,21.11,21.81,19.99,10985800
2017-08-11,21.72,22.08,21.60,21.92,20.17,4896900
2017-08-14,22.32,23.01,22.10,23.00,21.16,4200200
2017-08-15,22.95,22.97,22.76,22.94,21.11,3037100
2017-08-16,22.94,23.53,22.81,23.35,21.49,3511600
2017-08-17,23.39,23.54,23.06,23.53,21.65,3334600
2017-08-18,23.55,23.56,23.27,23.32,21.46,2199300
