Date,Open,High,Low,Close,Adj Close,Volume
2010-10-15,105.00,110.00,105.00,110.00,110.00,1030
2010-10-18,110.00,110.00,110.00,110.00,110.00,0
2010-10-19,108.00,108.00,101.00,101.00,101.00,82
2010-10-20,101.00,101.00,101.00,101.00,101.00,0
2010-10-21,101.00,102.00,101.00,102.00,102.00,125
2010-10-22,109.00,109.00,100.00,100.00,100.00,75
2010-10-25,100.00,100.00,100.00,100.00,100.00,0
2010-10-26,100.00,100.00,100.00,100.00,100.00,0
2010-10-27,100.00,100.00,100.00,100.00,100.00,0
2010-10-28,103.00,105.00,103.00,105.00,105.00,75
2010-10-29,110.00,110.00,110.00,110.00,110.00,250
2010-11-01,106.00,110.00,105.00,105.00,105.00,260
2010-11-02,105.00,105.00,105.00,105.00,105.00,0
2010-11-03,105.00,105.00,105.00,105.00,105.00,0
2010-11-04,105.00,105.00,105.00,105.00,105.00,0
2010-11-05,108.00,110.00,108.00,110.00,110.00,35
2010-11-08,110.00,110.00,110.00,110.00,110.00,0
2010-11-09,110.00,110.00,110.00,110.00,110.00,0
2010-11-10,110.00,110.00,110.00,110.00,110.00,0
2010-11-11,105.00,105.00,105.00,105.00,105.00,35
2010-11-12,105.00,105.00,105.00,105.00,105.00,0
2010-11-15,105.00,111.00,105.00,111.00,111.00,1745
2010-11-16,110.00,110.00,110.00,110.00,110.00,550
2010-11-17,105.00,105.00,104.00,105.00,105.00,600
2010-11-18,105.00,105.00,105.00,105.00,105.00,300
2010-11-19,101.00,101.00,95.00,96.00,96.00,70
2010-11-22,96.00,96.00,96.00,96.00,96.00,0
2010-11-23,96.00,96.00,96.00,96.00,96.00,0
2010-11-24,96.00,96.00,96.00,96.00,96.00,0
2010-11-26,96.00,96.00,96.00,96.00,96.00,0
2010-11-29,110.00,110.00,103.00,103.00,103.00,125
2010-11-30,103.00,103.00,103.00,103.00,103.00,0
2010-12-01,119.00,119.00,119.00,119.00,119.00,10
2010-12-02,119.00,119.00,119.00,119.00,119.00,0
2010-12-03,119.00,119.00,119.00,119.00,119.00,0
2010-12-06,116.00,116.00,116.00,116.00,116.00,8
2010-12-07,116.00,116.00,116.00,116.00,116.00,0
