Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.80,0.78,0.78,0.25,43200
1980-03-18,0.00,0.78,0.78,0.78,0.24,327600
1980-03-19,0.00,0.78,0.78,0.78,0.24,115200
1980-03-20,0.00,0.78,0.78,0.78,0.25,28800
1980-03-21,0.00,0.78,0.78,0.78,0.25,554400
1980-03-24,0.00,0.78,0.74,0.74,0.23,406800
1980-03-25,0.00,0.76,0.74,0.74,0.23,64800
1980-03-26,0.00,0.76,0.75,0.76,0.24,129600
1980-03-27,0.00,0.76,0.74,0.76,0.24,817200
1980-03-28,0.00,0.75,0.75,0.75,0.24,25200
1980-03-31,0.00,0.78,0.76,0.78,0.25,79200
1980-04-01,0.00,0.78,0.78,0.78,0.24,7200
1980-04-02,0.00,0.78,0.77,0.78,0.24,525600
1980-04-03,0.00,0.78,0.76,0.77,0.24,133200
1980-04-07,0.00,0.77,0.75,0.75,0.24,190800
1980-04-08,0.00,0.76,0.74,0.75,0.24,64800
1980-04-09,0.00,0.76,0.75,0.76,0.24,21600
1980-04-10,0.00,0.76,0.76,0.76,0.24,25200
1980-04-11,0.00,0.77,0.76,0.77,0.24,18000
1980-04-14,0.00,0.77,0.76,0.77,0.24,100800
1980-04-15,0.00,0.76,0.76,0.76,0.24,100800
1980-04-16,0.00,0.76,0.75,0.76,0.24,64800
1980-04-17,0.00,0.76,0.76,0.76,0.24,57600
1980-04-18,0.00,0.76,0.76,0.76,0.24,50400
1980-04-21,0.00,0.77,0.76,0.76,0.24,93600
1980-04-22,0.00,0.77,0.76,0.77,0.24,64800
1980-04-23,0.00,0.77,0.76,0.76,0.24,385200
1980-04-24,0.00,0.76,0.75,0.75,0.24,82800
1980-04-25,0.00,0.76,0.75,0.75,0.24,79200
1980-04-28,0.00,0.76,0.75,0.76,0.24,216000
1980-04-29,0.00,0.76,0.75,0.76,0.24,176400
1980-04-30,0.00,0.76,0.75,0.76,0.24,644400
1980-05-01,0.00,0.76,0.75,0.75,0.24,7200
1980-05-02,0.00,0.76,0.75,0.75,0.24,79200
1980-05-05,0.00,0.76,0.75,0.75,0.24,18000
1980-05-06,0.00,0.75,0.75,0.75,0.24,640800
1980-05-07,0.00,0.77,0.75,0.77,0.24,356400
1980-05-08,0.00,0.78,0.78,0.78,0.25,223200
1980-05-09,0.00,0.79,0.77,0.77,0.24,183600
1980-05-12,0.00,0.76,0.76,0.76,0.24,79200
1980-05-13,0.00,0.77,0.75,0.77,0.24,46800
1980-05-14,0.00,0.79,0.78,0.79,0.25,471600
1980-05-15,0.00,0.83,0.79,0.83,0.26,126000
1980-05-16,0.00,0.83,0.81,0.81,0.26,57600
1980-05-19,0.00,0.82,0.81,0.81,0.26,176400
1980-05-20,0.00,0.81,0.79,0.80,0.25,39600
1980-05-21,0.00,0.81,0.81,0.81,0.25,669600
1980-05-22,0.00,0.81,0.80,0.80,0.25,244800
1980-05-23,0.00,0.81,0.81,0.81,0.25,75600
1980-05-27,0.00,0.82,0.81,0.82,0.26,259200
1980-05-28,0.00,0.83,0.82,0.83,0.26,86400
1980-05-29,0.00,0.83,0.82,0.82,0.26,61200
1980-05-30,0.00,0.82,0.82,0.82,0.26,68400
1980-06-02,0.00,0.82,0.82,0.82,0.26,32400
1980-06-03,0.00,0.82,0.82,0.82,0.26,10800
1980-06-04,0.00,0.82,0.81,0.81,0.26,57600
1980-06-05,0.00,0.82,0.81,0.82,0.26,46800
1980-06-06,0.00,0.83,0.82,0.83,0.26,212400
1980-06-09,0.00,0.84,0.83,0.84,0.26,118800
1980-06-10,0.00,0.84,0.83,0.83,0.26,68400
1980-06-11,0.00,0.86,0.84,0.86,0.27,72000
1980-06-12,0.00,0.86,0.86,0.86,0.27,198000
1980-06-13,0.00,0.86,0.85,0.85,0.27,79200
1980-06-16,0.00,0.88,0.85,0.88,0.27,111600
1980-06-17,0.00,0.90,0.88,0.89,0.28,129600
1980-06-18,0.00,0.88,0.85,0.85,0.27,82800
1980-06-19,0.00,0.85,0.84,0.85,0.27,10800
1980-06-20,0.00,0.84,0.84,0.84,0.26,64800
1980-06-23,0.00,0.84,0.84,0.84,0.26,21600
1980-06-24,0.00,0.87,0.85,0.87,0.27,90000
1980-06-25,0.00,0.87,0.85,0.85,0.27,198000
1980-06-26,0.00,0.86,0.85,0.86,0.27,36000
1980-06-27,0.00,0.85,0.85,0.85,0.27,82800
1980-06-30,0.00,0.85,0.83,0.85,0.27,158400
1980-07-01,0.00,0.85,0.83,0.83,0.26,93600
1980-07-02,0.00,0.85,0.83,0.85,0.27,165600
1980-07-03,0.00,0.86,0.85,0.86,0.27,57600
1980-07-07,0.00,0.86,0.86,0.86,0.27,7200
1980-07-08,0.00,0.87,0.87,0.87,0.27,36000
1980-07-09,0.00,0.88,0.88,0.88,0.28,180000
1980-07-10,0.00,0.89,0.88,0.88,0.27,291600
1980-07-11,0.00,0.89,0.88,0.89,0.28,39600
1980-07-14,0.00,0.91,0.90,0.91,0.29,32400
1980-07-15,0.00,0.92,0.90,0.91,0.29,129600
1980-07-16,0.00,0.90,0.90,0.90,0.28,511200
1980-07-17,0.00,0.91,0.90,0.91,0.29,32400
1980-07-18,0.00,0.92,0.90,0.92,0.29,122400
1980-07-21,0.00,0.94,0.93,0.94,0.30,57600
1980-07-22,0.00,0.96,0.94,0.96,0.30,226800
1980-07-23,0.00,0.94,0.93,0.94,0.29,338400
1980-07-24,0.00,0.96,0.93,0.96,0.30,453600
1980-07-25,0.00,0.95,0.94,0.95,0.30,61200
1980-07-28,0.00,0.95,0.95,0.95,0.30,54000
1980-07-29,0.00,0.94,0.94,0.94,0.30,54000
1980-07-30,0.00,0.94,0.90,0.91,0.29,248400
1980-07-31,0.00,0.92,0.91,0.91,0.29,226800
1980-08-01,0.00,0.91,0.88,0.88,0.27,262800
1980-08-04,0.00,0.88,0.88,0.88,0.28,18000
1980-08-05,0.00,0.90,0.88,0.88,0.27,1058400
1980-08-06,0.00,0.88,0.87,0.88,0.28,1342800
1980-08-07,0.00,0.88,0.88,0.88,0.27,133200
1980-08-08,0.00,0.88,0.88,0.88,0.27,61200
1980-08-11,0.00,0.88,0.86,0.87,0.27,234000
1980-08-12,0.00,0.86,0.85,0.85,0.27,720000
1980-08-13,0.00,0.86,0.85,0.86,0.27,54000
1980-08-14,0.00,0.87,0.86,0.87,0.27,14400
1980-08-15,0.00,0.86,0.85,0.86,0.27,108000
1980-08-18,0.00,0.86,0.85,0.85,0.27,208800
1980-08-19,0.00,0.85,0.83,0.83,0.26,1054800
1980-08-20,0.00,0.84,0.83,0.83,0.26,90000
1980-08-21,0.00,0.84,0.83,0.83,0.26,378000
1980-08-22,0.00,0.84,0.83,0.83,0.26,90000
1980-08-25,0.00,0.83,0.83,0.83,0.26,14400
1980-08-26,0.00,0.87,0.84,0.86,0.27,111600
1980-08-27,0.00,0.86,0.86,0.86,0.27,295200
1980-08-28,0.00,0.87,0.86,0.86,0.27,324000
1980-08-29,0.00,0.89,0.86,0.89,0.28,144000
1980-09-02,0.00,0.92,0.89,0.91,0.29,644400
1980-09-03,0.00,0.93,0.92,0.92,0.29,421200
1980-09-04,0.00,0.94,0.92,0.94,0.29,61200
1980-09-05,0.00,0.94,0.93,0.94,0.30,187200
1980-09-08,0.00,0.94,0.93,0.93,0.29,61200
1980-09-09,0.00,0.93,0.92,0.92,0.29,39600
1980-09-10,0.00,0.96,0.93,0.96,0.30,190800
1980-09-11,0.00,0.97,0.96,0.97,0.31,68400
1980-09-12,0.00,0.98,0.97,0.97,0.30,57600
1980-09-15,0.00,0.97,0.96,0.96,0.30,57600
1980-09-16,0.00,0.98,0.97,0.98,0.31,28800
1980-09-17,0.00,0.98,0.97,0.98,0.31,28800
1980-09-18,0.00,0.99,0.98,0.98,0.31,154800
1980-09-19,0.00,0.99,0.99,0.99,0.31,122400
1980-09-22,0.00,0.98,0.97,0.97,0.31,342000
1980-09-23,0.00,0.98,0.97,0.98,0.31,10800
1980-09-24,0.00,1.00,0.99,1.00,0.31,471600
1980-09-25,0.00,1.01,1.00,1.00,0.32,36000
1980-09-26,0.00,1.01,1.00,1.01,0.32,90000
1980-09-29,0.00,1.00,1.00,1.00,0.31,118800
1980-09-30,0.00,1.01,1.00,1.00,0.32,144000
1980-10-01,0.00,1.00,1.00,1.00,0.31,54000
1980-10-02,0.00,1.02,1.00,1.01,0.32,72000
1980-10-03,0.00,1.01,1.00,1.00,0.31,50400
1980-10-06,0.00,1.01,1.00,1.01,0.32,111600
1980-10-07,0.00,1.02,1.01,1.01,0.32,25200
1980-10-08,0.00,1.01,1.01,1.01,0.32,3600
1980-10-09,0.00,1.01,1.01,1.01,0.32,14400
1980-10-10,0.00,1.01,1.01,1.01,0.32,18000
1980-10-13,0.00,1.01,1.00,1.00,0.32,25200
1980-10-14,0.00,1.00,1.00,1.00,0.32,32400
