Date,Open,High,Low,Close,Adj Close,Volume
1996-02-01,2.97,2.97,2.92,2.94,1.35,13718164
1996-02-02,2.94,2.97,2.92,2.97,1.36,3828860
1996-02-05,2.97,2.97,2.92,2.92,1.34,908190
1996-02-06,2.92,2.97,2.92,2.92,1.34,509419
1996-02-07,2.92,2.97,2.92,2.92,1.34,366453
1996-02-08,2.92,2.97,2.92,2.92,1.34,794803
1996-02-09,2.92,2.97,2.92,2.92,1.34,515992
1996-02-12,2.92,2.97,2.92,2.92,1.34,351664
1996-02-13,2.92,2.97,2.92,2.92,1.34,216914
1996-02-14,2.92,2.97,2.92,2.92,1.34,460121
1996-02-15,2.92,2.92,2.92,2.92,1.34,250875
1996-02-16,2.92,2.97,2.88,2.88,1.32,491891
1996-02-20,2.88,2.92,2.65,2.65,1.22,769606
1996-02-21,2.65,2.74,2.65,2.65,1.22,581176
1996-02-22,2.65,2.74,2.65,2.65,1.22,251971
1996-02-23,2.65,2.74,2.65,2.69,1.24,486413
1996-02-26,2.74,2.83,2.69,2.78,1.28,218557
1996-02-27,2.78,2.88,2.78,2.88,1.32,1286146
1996-02-28,2.83,2.88,2.78,2.83,1.30,219105
1996-02-29,2.88,2.92,2.83,2.90,1.33,289219
1996-03-01,2.88,2.92,2.88,2.92,1.34,528591
1996-03-04,2.88,2.92,2.88,2.88,1.32,477649
1996-03-05,2.88,2.92,2.88,2.88,1.32,175284
1996-03-06,2.88,2.88,2.74,2.74,1.26,1273548
1996-03-07,2.74,2.83,2.74,2.76,1.27,612946
1996-03-08,2.74,2.78,2.60,2.60,1.19,657315
1996-03-11,2.69,2.69,2.60,2.65,1.22,346186
1996-03-12,2.65,2.74,2.65,2.74,1.26,297435
1996-03-13,2.65,2.74,2.65,2.74,1.26,135845
1996-03-14,2.72,2.74,2.65,2.65,1.22,405892
1996-03-15,2.65,2.69,2.65,2.65,1.22,58063
1996-03-18,2.65,2.78,2.65,2.65,1.22,278263
1996-03-19,2.65,2.78,2.65,2.78,1.28,21911
1996-03-20,2.78,2.78,2.60,2.65,1.22,1378170
1996-03-21,2.60,2.69,2.60,2.69,1.24,24102
1996-03-22,2.60,2.67,2.60,2.60,1.19,72305
1996-03-25,2.69,2.69,2.51,2.51,1.15,204315
1996-03-26,2.51,2.60,2.51,2.51,1.15,1286146
1996-03-27,2.60,2.60,2.51,2.60,1.19,119960
1996-03-28,2.56,2.74,2.56,2.65,1.22,1144824
1996-03-29,2.74,2.78,2.65,2.78,1.28,53133
1996-04-01,2.78,2.92,2.78,2.83,1.30,124342
1996-04-02,2.83,2.88,2.83,2.83,1.30,59706
1996-04-03,2.83,2.88,2.83,2.83,1.30,78330
1996-04-04,2.83,2.88,2.83,2.83,1.30,46012
1996-04-08,2.78,2.83,2.78,2.78,1.28,61897
1996-04-09,2.83,2.83,2.65,2.72,1.25,72305
1996-04-10,2.65,2.74,2.65,2.65,1.22,33414
1996-04-11,2.67,2.74,2.65,2.74,1.26,182405
1996-04-12,2.74,2.74,2.65,2.69,1.24,69566
1996-04-15,2.65,2.69,2.65,2.67,1.23,343447
1996-04-16,2.65,2.74,2.65,2.74,1.26,85451
1996-04-17,2.74,2.74,2.65,2.65,1.22,110648
1996-04-18,2.65,2.72,2.65,2.65,1.22,409179
1996-04-19,2.65,2.74,2.65,2.72,1.25,162685
1996-04-22,2.65,2.74,2.65,2.74,1.26,122699
1996-04-23,2.74,2.74,2.65,2.65,1.22,28484
1996-04-24,2.65,2.74,2.65,2.74,1.26,81069
1996-04-25,2.65,2.74,2.65,2.74,1.26,30675
1996-04-26,2.74,2.74,2.65,2.65,1.22,20267
1996-04-29,2.65,2.78,2.65,2.69,1.24,53681
1996-04-30,2.74,3.06,2.74,3.06,1.40,417943
1996-05-01,3.01,3.06,2.92,2.92,1.34,419586
1996-05-02,3.06,3.06,2.92,2.92,1.34,469980
1996-05-03,2.92,3.06,2.92,3.01,1.38,251423
1996-05-06,3.06,3.06,2.92,3.06,1.40,188978
1996-05-07,3.01,3.06,2.92,2.92,1.34,357689
1996-05-08,2.92,3.06,2.92,3.06,1.40,278811
1996-05-09,2.97,3.06,2.97,2.97,1.36,149539
1996-05-10,2.97,3.15,2.97,3.10,1.42,569673
1996-05-13,3.15,3.15,3.01,3.15,1.45,175284
1996-05-14,3.15,3.15,3.01,3.06,1.40,336326
1996-05-15,3.19,3.24,3.10,3.19,1.47,507776
1996-05-16,3.10,3.10,3.01,3.10,1.42,69018
1996-05-17,3.01,3.10,3.01,3.08,1.41,88738
1996-05-20,3.01,3.24,3.01,3.15,1.45,169806
1996-05-21,3.10,3.24,3.10,3.15,1.45,277716
1996-05-22,3.19,3.19,3.10,3.19,1.47,173641
1996-05-23,3.19,3.29,3.10,3.19,1.47,473267
1996-05-24,3.33,3.51,3.29,3.40,1.56,467789
1996-05-28,3.42,3.47,3.33,3.33,1.53,350020
1996-05-29,3.42,3.47,3.38,3.42,1.57,249232
1996-05-30,3.42,3.47,3.38,3.38,1.55,483674
1996-05-31,3.47,3.47,3.38,3.42,1.57,213627
1996-06-03,3.47,3.47,3.38,3.38,1.55,411917
1996-06-04,3.42,3.42,3.42,3.42,1.57,188430
1996-06-05,3.47,3.47,3.38,3.38,1.55,163781
1996-06-06,3.47,3.47,3.38,3.42,1.57,256901
1996-06-07,3.38,3.38,3.38,3.38,1.55,26840
1996-06-10,3.47,3.47,3.40,3.47,1.59,333040
1996-06-11,3.47,3.47,3.38,3.47,1.59,19719
1996-06-12,3.47,3.47,3.38,3.47,1.59,247589
1996-06-13,3.47,3.47,3.38,3.38,1.55,589392
1996-06-14,3.38,3.47,3.38,3.42,1.57,33414
1996-06-17,3.38,3.47,3.38,3.47,1.59,107909
1996-06-18,3.38,3.51,3.38,3.38,1.55,433828
1996-06-19,3.45,3.51,3.38,3.38,1.55,257996
1996-06-20,3.38,3.51,3.38,3.51,1.61,346734
1996-06-21,3.47,3.65,3.47,3.65,1.68,64088
1996-06-24,3.56,3.65,3.56,3.56,1.63,643073
1996-06-25,3.56,3.61,3.56,3.61,1.65,47108
1996-06-26,3.61,3.65,3.51,3.51,1.61,197195
1996-06-27,3.51,3.65,3.51,3.65,1.68,300174
1996-06-28,3.61,3.83,3.61,3.83,1.76,108457
1996-07-01,3.74,3.93,3.74,3.93,1.80,89285
1996-07-02,3.97,4.06,3.97,3.97,1.82,288123
1996-07-03,4.06,4.34,4.02,4.31,1.98,697849
1996-07-05,4.20,4.24,4.20,4.20,1.93,257996
1996-07-08,4.29,4.29,4.20,4.29,1.97,2161471
1996-07-09,4.24,4.56,4.24,4.52,2.07,388364
1996-07-10,4.43,4.52,4.43,4.43,2.03,518183
1996-07-11,4.43,4.52,4.38,4.45,2.04,2221725
1996-07-12,4.52,4.52,4.38,4.38,2.01,57515
1996-07-15,4.38,4.52,4.34,4.36,2.00,300722
1996-07-16,4.36,4.38,4.24,4.38,2.01,548310
1996-07-17,4.24,4.38,4.24,4.24,1.95,8764
1996-07-18,4.31,4.38,4.29,4.38,2.01,98049
1996-07-19,4.38,4.38,4.29,4.38,2.01,149539
1996-07-22,4.29,4.38,4.29,4.31,1.98,2146133
1996-07-23,4.29,4.38,4.29,4.38,2.01,257448
1996-07-24,4.24,4.29,4.15,4.16,1.91,185691
1996-07-25,4.20,4.24,4.15,4.24,1.95,114482
1996-07-26,4.15,4.24,4.15,4.24,1.95,188430
1996-07-29,4.13,4.24,4.13,4.24,1.95,50942
1996-07-30,4.18,4.24,4.11,4.24,1.95,548858
1996-07-31,4.15,4.24,4.15,4.24,1.95,58611
1996-08-01,4.15,4.24,4.15,4.15,1.91,75043
1996-08-02,4.24,4.24,4.15,4.24,1.95,44917
1996-08-05,4.24,4.24,4.15,4.15,1.91,30127
1996-08-06,4.15,4.24,4.15,4.15,1.91,2191
1996-08-07,4.15,4.24,4.15,4.24,1.95,267856
1996-08-08,4.24,4.29,4.22,4.29,1.97,201577
1996-08-09,4.20,4.29,4.20,4.20,1.93,124890
1996-08-12,4.24,4.29,4.22,4.22,1.94,105170
1996-08-13,4.20,4.29,4.20,4.20,1.93,42725
1996-08-14,4.29,4.29,4.20,4.29,1.97,70114
1996-08-15,4.24,4.29,4.24,4.24,1.95,6025
1996-08-16,4.29,4.29,4.29,4.29,1.97,41082
1996-08-19,4.29,4.38,4.29,4.38,2.01,16433
1996-08-20,4.43,4.43,4.34,4.36,2.00,426159
1996-08-21,4.29,4.29,4.29,4.29,1.97,37248
1996-08-22,4.43,4.43,4.29,4.29,1.97,163781
1996-08-23,4.43,4.43,4.34,4.36,2.00,197742
1996-08-26,4.43,4.43,4.29,4.29,1.97,1643
1996-08-27,4.38,4.43,4.29,4.29,1.97,23554
1996-08-28,4.43,4.43,4.43,4.43,2.03,11503
1996-08-29,4.36,4.43,4.29,4.34,1.99,27388
1996-08-30,4.29,4.43,4.29,4.43,2.03,1643
1996-09-03,4.29,4.43,4.29,4.29,1.97,9312
1996-09-04,4.29,4.38,4.29,4.38,2.01,241016
1996-09-05,4.34,4.38,4.34,4.38,2.01,8764
1996-09-06,4.47,4.47,4.38,4.43,2.03,94215
1996-09-09,4.56,4.56,4.43,4.56,2.09,12051
1996-09-10,4.47,4.63,4.47,4.59,2.11,67923
1996-09-11,4.66,4.84,4.56,4.79,2.20,483674
1996-09-12,4.79,4.84,4.75,4.84,2.22,566386
1996-09-13,4.84,4.84,4.75,4.75,2.18,17528
1996-09-16,4.88,4.88,4.75,4.75,2.18,3287
1996-09-17,4.75,4.88,4.75,4.75,2.18,32866
1996-09-18,4.88,5.02,4.88,5.02,2.30,58063
1996-09-19,5.02,5.07,4.93,4.93,2.26,75043
1996-09-20,4.93,5.02,4.93,5.00,2.29,278263
1996-09-23,4.97,5.07,4.97,5.07,2.33,1096
1996-09-24,5.07,5.07,4.93,5.04,2.31,253066
1996-09-25,5.11,5.39,5.11,5.36,2.46,181309
1996-09-26,5.39,5.57,5.34,5.48,2.51,74496
1996-09-27,5.48,5.57,5.43,5.48,2.51,31222
1996-09-30,5.43,5.48,5.39,5.39,2.47,209245
1996-10-01,5.43,5.48,5.34,5.39,2.47,325919
1996-10-02,5.39,5.39,5.25,5.25,2.41,103527
1996-10-03,5.34,5.34,5.25,5.34,2.45,134750
1996-10-04,5.34,5.34,5.25,5.25,2.41,70661
1996-10-07,5.34,5.34,5.25,5.34,2.45,165424
1996-10-08,5.25,5.34,5.25,5.29,2.43,61349
1996-10-09,5.34,5.34,5.25,5.25,2.41,148991
1996-10-10,5.25,5.34,5.25,5.25,2.41,42178
1996-10-11,5.34,5.34,5.20,5.34,2.45,133106
1996-10-14,5.29,5.29,5.29,5.29,2.43,16433
1996-10-15,5.34,5.34,5.20,5.25,2.41,10955
1996-10-16,5.34,5.34,5.34,5.34,2.45,9860
1996-10-17,5.34,5.43,5.34,5.39,2.47,19719
1996-10-18,5.43,5.43,5.29,5.43,2.49,32318
1996-10-21,5.43,5.43,5.43,5.43,2.49,1096
1996-10-22,5.29,5.43,5.29,5.43,2.49,24649
1996-10-23,5.43,5.43,5.43,5.43,2.49,548
1996-10-24,5.43,5.43,5.34,5.39,2.47,296887
1996-10-25,5.41,5.43,5.34,5.34,2.45,21911
1996-10-28,5.36,5.66,5.36,5.66,2.60,190621
1996-10-29,5.71,5.84,5.57,5.71,2.62,107361
1996-10-30,5.71,5.71,5.71,5.71,2.62,8216
1996-10-31,5.61,5.61,5.48,5.48,2.51,116126
1996-11-01,5.48,5.66,5.48,5.66,2.60,66827
1996-11-04,5.57,5.71,5.57,5.71,2.62,44369
1996-11-05,5.71,5.71,5.57,5.61,2.58,15337
1996-11-06,5.57,5.57,5.57,5.57,2.56,39439
1996-11-07,5.48,5.57,5.48,5.57,2.56,23006
1996-11-08,5.61,5.61,5.61,5.61,2.58,548
1996-11-11,5.55,5.57,5.48,5.48,2.51,139679
1996-11-12,5.48,5.48,5.48,5.48,2.51,1096
