Date,Open,High,Low,Close,Adj Close,Volume
1993-10-05,3.19,3.28,3.12,3.22,3.03,25536800
1993-10-06,3.25,3.25,3.16,3.19,3.00,4008000
1993-10-07,3.16,3.22,3.16,3.19,3.00,1502400
1993-10-08,3.19,3.22,3.12,3.19,3.00,1222400
1993-10-11,3.12,3.19,3.09,3.12,2.95,1073600
1993-10-12,3.09,3.16,3.09,3.09,2.92,765600
1993-10-13,3.09,3.16,3.09,3.12,2.95,960000
1993-10-14,3.12,3.19,3.12,3.12,2.95,1547200
1993-10-15,3.16,3.22,3.16,3.16,2.97,524800
1993-10-18,3.16,3.34,3.16,3.28,3.09,1245600
1993-10-19,3.28,3.44,3.28,3.39,3.20,1716800
1993-10-20,3.44,3.44,3.28,3.28,3.09,1695200
1993-10-21,3.28,3.31,3.28,3.28,3.09,719200
1993-10-22,3.28,3.31,3.28,3.28,3.09,396000
1993-10-25,3.31,3.31,3.28,3.31,3.12,292000
1993-10-26,3.28,3.34,3.28,3.28,3.09,436000
1993-10-27,3.28,3.41,3.28,3.34,3.15,317600
1993-10-28,3.34,3.41,3.34,3.34,3.15,440800
1993-10-29,3.34,3.41,3.28,3.28,3.09,1345600
1993-11-01,3.38,3.53,3.38,3.44,3.24,1580800
1993-11-02,3.47,3.47,3.31,3.39,3.20,1986400
1993-11-03,3.41,3.59,3.34,3.53,3.33,2524000
1993-11-04,3.59,3.66,3.53,3.56,3.36,1926400
1993-11-05,3.59,3.59,3.53,3.56,3.36,652800
1993-11-08,3.56,3.59,3.53,3.59,3.39,293600
1993-11-09,3.53,3.69,3.50,3.50,3.30,534400
1993-11-10,3.56,3.59,3.53,3.58,3.37,264800
1993-11-11,3.59,3.88,3.53,3.84,3.62,1232800
1993-11-12,3.78,4.03,3.78,3.95,3.73,1564800
1993-11-15,4.00,4.00,3.94,3.94,3.71,452800
1993-11-16,3.94,4.09,3.94,4.08,3.84,1070400
1993-11-17,4.12,4.12,4.06,4.12,3.89,164000
1993-11-18,4.12,4.12,3.97,3.97,3.74,1188000
1993-11-19,3.94,3.94,3.81,3.81,3.59,419200
1993-11-22,3.81,3.81,3.72,3.72,3.50,602400
1993-11-23,3.72,3.78,3.72,3.73,3.52,466400
1993-11-24,3.72,3.75,3.72,3.72,3.50,36000
1993-11-26,3.72,3.78,3.72,3.78,3.56,10400
1993-11-29,3.75,3.78,3.75,3.78,3.56,70400
1993-11-30,3.78,3.84,3.66,3.84,3.62,734400
1993-12-01,3.88,3.91,3.84,3.88,3.65,154400
1993-12-02,3.84,3.91,3.84,3.84,3.62,114400
1993-12-03,3.91,3.97,3.88,3.92,3.70,173600
1993-12-06,3.92,3.97,3.91,3.91,3.68,34400
1993-12-07,3.91,3.97,3.91,3.97,3.74,46400
1993-12-08,3.91,3.97,3.91,3.91,3.68,188800
1993-12-09,3.94,3.97,3.91,3.91,3.68,284800
1993-12-10,3.91,3.94,3.84,3.91,3.68,188000
1993-12-13,3.84,3.91,3.84,3.84,3.62,476800
1993-12-14,3.84,3.91,3.84,3.91,3.68,564000
1993-12-15,3.84,3.94,3.81,3.94,3.71,373600
1993-12-16,3.84,4.09,3.84,4.09,3.86,436000
1993-12-17,4.09,4.12,4.06,4.06,3.83,64800
1993-12-20,4.06,4.28,4.06,4.22,3.98,316800
1993-12-21,4.25,4.38,4.25,4.34,4.09,231200
1993-12-22,4.38,4.38,4.31,4.38,4.12,162400
1993-12-23,4.38,4.66,4.38,4.41,4.15,879200
1993-12-27,4.41,4.44,4.41,4.41,4.15,433600
1993-12-28,4.41,4.47,4.41,4.41,4.15,90400
1993-12-29,4.47,4.47,4.41,4.41,4.15,144800
1993-12-30,4.41,4.47,4.28,4.28,4.03,517600
1993-12-31,4.25,4.31,4.25,4.31,4.06,452000
1994-01-03,4.25,4.38,4.25,4.34,4.09,88000
1994-01-04,4.38,4.56,4.36,4.56,4.30,604000
1994-01-05,4.56,4.81,4.56,4.69,4.42,886400
1994-01-06,4.69,4.78,4.69,4.78,4.51,180000
1994-01-07,4.72,4.78,4.72,4.78,4.51,708000
1994-01-10,4.72,4.84,4.72,4.81,4.54,356000
1994-01-11,4.84,4.84,4.78,4.83,4.55,135200
1994-01-12,4.84,4.84,4.69,4.69,4.42,319200
1994-01-13,4.69,4.75,4.69,4.75,4.48,108800
1994-01-14,4.75,4.75,4.47,4.56,4.30,361600
1994-01-17,4.50,4.66,4.50,4.62,4.36,99200
1994-01-18,4.56,4.66,4.53,4.53,4.27,92000
1994-01-19,4.53,4.59,4.53,4.59,4.33,160000
1994-01-20,4.53,4.59,4.47,4.47,4.21,246400
1994-01-21,4.47,4.72,4.47,4.62,4.36,417600
1994-01-24,4.75,4.78,4.69,4.78,4.51,367200
1994-01-25,4.72,4.75,4.59,4.67,4.40,772800
1994-01-26,4.59,4.72,4.59,4.72,4.45,213600
1994-01-27,4.81,5.06,4.75,5.00,4.71,812800
1994-01-28,5.09,5.09,4.94,4.97,4.68,2252000
1994-01-31,5.00,5.22,4.94,5.19,4.89,454400
1994-02-01,5.16,5.25,5.14,5.25,4.95,332000
1994-02-02,5.25,5.25,5.12,5.12,4.83,125600
1994-02-03,5.12,5.19,5.06,5.06,4.77,476800
