Date,Open,High,Low,Close,Adj Close,Volume
1973-03-13,0.00,1.12,1.11,1.11,0.60,89600
1973-03-14,0.00,1.11,1.11,1.11,0.60,3200
1973-03-15,0.00,1.11,1.11,1.11,0.59,9600
1973-03-16,0.00,1.12,1.11,1.12,0.60,9600
1973-03-19,0.00,1.11,1.09,1.09,0.59,48000
1973-03-20,0.00,1.09,1.09,1.09,0.58,9600
1973-03-21,0.00,1.09,1.09,1.09,0.58,3200
1973-03-22,0.00,1.08,1.05,1.05,0.57,22400
1973-03-23,0.00,1.06,1.02,1.02,0.54,44800
1973-03-26,0.00,1.02,1.01,1.01,0.54,32000
1973-03-27,0.00,1.02,1.01,1.01,0.54,9600
1973-03-28,0.00,1.01,1.01,1.01,0.54,16000
1973-03-29,0.00,1.01,1.01,1.01,0.54,9600
1973-03-30,0.00,1.00,0.99,0.99,0.53,105600
1973-04-02,0.00,0.99,0.98,0.99,0.53,22400
1973-04-03,0.99,0.99,0.99,0.99,0.53,0
1973-04-04,0.00,0.98,0.97,0.97,0.52,19200
1973-04-05,0.00,0.96,0.95,0.95,0.51,19200
1973-04-06,0.00,0.94,0.89,0.89,0.48,54400
1973-04-09,0.00,0.91,0.89,0.90,0.48,51200
1973-04-10,0.00,0.97,0.91,0.96,0.52,144000
1973-04-11,0.00,0.98,0.97,0.97,0.52,38400
1973-04-12,0.00,0.98,0.97,0.98,0.52,12800
1973-04-13,0.00,0.98,0.98,0.98,0.53,9600
1973-04-16,0.00,1.00,0.98,1.00,0.54,86400
1973-04-17,0.00,1.00,0.99,1.00,0.54,48000
1973-04-18,0.00,0.99,0.95,0.97,0.52,89600
1973-04-19,0.00,0.98,0.98,0.98,0.52,3200
1973-04-23,0.00,0.98,0.96,0.96,0.52,35200
1973-04-24,0.00,0.97,0.96,0.96,0.52,6400
1973-04-25,0.00,0.95,0.92,0.92,0.49,54400
1973-04-26,0.00,0.93,0.92,0.92,0.49,12800
1973-04-27,0.00,0.94,0.93,0.93,0.50,44800
1973-04-30,0.00,0.95,0.93,0.95,0.51,86400
1973-05-01,0.00,0.96,0.95,0.95,0.51,22400
1973-05-02,0.00,0.98,0.95,0.98,0.52,48000
1973-05-03,0.00,0.97,0.96,0.96,0.52,6400
1973-05-04,0.00,0.95,0.95,0.95,0.51,6400
1973-05-07,0.00,0.95,0.95,0.95,0.51,16000
1973-05-08,0.00,0.96,0.95,0.95,0.51,51200
1973-05-09,0.00,0.96,0.94,0.94,0.50,35200
1973-05-10,0.00,0.94,0.94,0.94,0.50,12800
1973-05-11,0.00,0.93,0.93,0.93,0.50,3200
1973-05-14,0.00,0.92,0.91,0.92,0.49,41600
1973-05-15,0.00,0.93,0.92,0.92,0.49,140800
1973-05-16,0.00,0.92,0.91,0.91,0.49,51200
1973-05-17,0.00,0.91,0.90,0.90,0.48,9600
1973-05-18,0.00,0.90,0.90,0.90,0.48,44800
1973-05-21,0.00,0.87,0.81,0.81,0.44,99200
1973-05-22,0.00,0.83,0.78,0.78,0.42,86400
1973-05-23,0.00,0.78,0.78,0.78,0.42,19200
1973-05-24,0.00,0.77,0.76,0.77,0.41,32000
1973-05-25,0.00,0.78,0.77,0.78,0.42,86400
1973-05-29,0.00,0.81,0.79,0.81,0.44,86400
1973-05-30,0.00,0.81,0.80,0.81,0.43,19200
1973-05-31,0.00,0.80,0.78,0.78,0.42,48000
1973-06-01,0.00,0.78,0.76,0.77,0.41,105600
1973-06-04,0.00,0.76,0.74,0.74,0.40,64000
1973-06-05,0.00,0.75,0.71,0.73,0.39,377600
1973-06-06,0.00,0.73,0.70,0.71,0.38,1139200
1973-06-07,0.00,0.77,0.72,0.77,0.41,118400
1973-06-08,0.00,0.79,0.76,0.77,0.41,67200
1973-06-11,0.00,0.77,0.75,0.77,0.41,240000
1973-06-12,0.00,0.79,0.77,0.79,0.42,54400
1973-06-13,0.00,0.80,0.80,0.80,0.43,6400
1973-06-14,0.00,0.81,0.80,0.81,0.44,16000
1973-06-15,0.00,0.80,0.79,0.79,0.43,28800
1973-06-18,0.00,0.80,0.80,0.80,0.43,3200
1973-06-19,0.00,0.80,0.80,0.80,0.43,6400
1973-06-20,0.00,0.78,0.78,0.78,0.42,67200
1973-06-21,0.00,0.80,0.80,0.80,0.43,32000
1973-06-22,0.00,0.81,0.80,0.81,0.44,19200
1973-06-25,0.00,0.80,0.80,0.80,0.43,3200
1973-06-26,0.00,0.81,0.80,0.80,0.43,32000
1973-06-27,0.00,0.81,0.81,0.81,0.44,6400
1973-06-28,0.00,0.82,0.81,0.82,0.44,22400
1973-06-29,0.82,0.82,0.82,0.82,0.44,0
1973-07-02,0.00,0.82,0.80,0.82,0.44,76800
1973-07-03,0.00,0.83,0.81,0.83,0.44,35200
1973-07-05,0.00,0.84,0.82,0.82,0.44,9600
1973-07-06,0.00,0.84,0.83,0.84,0.45,16000
