Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.59,0.58,0.58,0.10,9600
1980-03-18,0.00,0.58,0.57,0.58,0.10,100800
1980-03-19,0.58,0.58,0.58,0.58,0.10,0
1980-03-20,0.00,0.57,0.56,0.57,0.10,45600
1980-03-21,0.00,0.56,0.56,0.56,0.10,2400
1980-03-24,0.00,0.56,0.54,0.54,0.10,175200
1980-03-25,0.00,0.54,0.52,0.52,0.09,19200
1980-03-26,0.00,0.52,0.50,0.50,0.09,36000
1980-03-27,0.00,0.44,0.44,0.44,0.08,576000
1980-03-28,0.00,0.48,0.45,0.48,0.08,40800
1980-03-31,0.00,0.50,0.46,0.50,0.09,237600
1980-04-01,0.00,0.50,0.48,0.49,0.09,86400
1980-04-02,0.49,0.49,0.49,0.49,0.09,0
1980-04-03,0.00,0.49,0.48,0.48,0.09,12000
1980-04-07,0.00,0.48,0.47,0.47,0.08,62400
1980-04-08,0.00,0.47,0.46,0.47,0.08,31200
1980-04-09,0.00,0.47,0.46,0.46,0.08,38400
1980-04-10,0.00,0.47,0.47,0.47,0.08,7200
1980-04-11,0.00,0.49,0.48,0.48,0.09,48000
1980-04-14,0.00,0.48,0.48,0.48,0.09,38400
1980-04-15,0.00,0.48,0.48,0.48,0.09,9600
1980-04-16,0.00,0.52,0.49,0.52,0.09,43200
1980-04-17,0.00,0.51,0.51,0.51,0.09,2400
1980-04-18,0.00,0.51,0.50,0.50,0.09,26400
1980-04-21,0.00,0.51,0.50,0.51,0.09,62400
1980-04-22,0.00,0.53,0.51,0.53,0.09,55200
1980-04-23,0.00,0.56,0.54,0.56,0.10,38400
1980-04-24,0.00,0.55,0.54,0.54,0.10,21600
1980-04-25,0.00,0.53,0.53,0.53,0.09,14400
1980-04-28,0.00,0.53,0.53,0.53,0.09,14400
1980-04-29,0.00,0.53,0.53,0.53,0.09,9600
1980-04-30,0.00,0.55,0.52,0.55,0.10,52800
1980-05-01,0.00,0.56,0.56,0.56,0.10,7200
1980-05-02,0.00,0.55,0.55,0.55,0.10,4800
1980-05-05,0.00,0.55,0.53,0.55,0.10,48000
1980-05-06,0.00,0.55,0.55,0.55,0.10,12000
1980-05-07,0.00,0.55,0.54,0.55,0.10,38400
1980-05-08,0.00,0.56,0.54,0.54,0.10,55200
1980-05-09,0.54,0.54,0.54,0.54,0.10,0
1980-05-12,0.00,0.54,0.54,0.54,0.10,2400
1980-05-13,0.00,0.55,0.54,0.55,0.10,36000
1980-05-14,0.00,0.55,0.55,0.55,0.10,33600
1980-05-15,0.00,0.55,0.55,0.55,0.10,2400
1980-05-16,0.00,0.55,0.54,0.55,0.10,24000
