Date,Open,High,Low,Close,Adj Close,Volume
2002-04-12,11.12,13.70,11.10,13.33,13.33,47796750
2002-04-15,13.44,14.16,12.80,13.40,13.40,8215763
2002-04-16,13.36,13.63,12.81,13.57,13.57,3956850
2002-04-17,13.57,13.73,13.09,13.36,13.36,2886638
2002-04-18,13.38,13.39,12.69,13.10,13.10,2856600
2002-04-19,13.16,13.38,12.90,12.93,12.93,1197788
2002-04-22,12.92,13.01,12.44,12.44,12.44,2061788
2002-04-23,12.42,12.59,12.00,12.56,12.56,1937250
2002-04-24,12.63,13.55,12.61,13.51,13.51,1703025
2002-04-25,13.51,13.57,12.93,13.32,13.32,712463
2002-04-26,13.36,13.81,13.05,13.81,13.81,1232213
2002-04-29,13.76,14.34,13.76,14.12,14.12,1103625
2002-04-30,14.04,14.96,14.00,14.90,14.90,4282200
2002-05-01,14.62,14.89,14.39,14.76,14.76,2408063
2002-05-02,14.80,14.80,14.25,14.56,14.56,789075
2002-05-03,14.52,15.42,14.37,15.42,15.42,1442138
2002-05-06,15.56,16.34,15.44,16.15,16.15,2406375
2002-05-07,15.82,15.97,14.43,14.70,14.70,3379050
2002-05-08,14.81,14.81,13.57,13.97,13.97,1864013
2002-05-09,13.93,14.77,13.93,14.42,14.42,1005750
2002-05-10,14.52,14.67,13.94,14.01,14.01,786375
2002-05-13,13.93,13.98,13.48,13.93,13.93,601088
2002-05-14,13.88,13.90,13.48,13.84,13.84,630113
2002-05-15,13.73,13.90,13.51,13.63,13.63,853875
2002-05-16,13.69,13.75,13.52,13.53,13.53,537638
2002-05-17,13.58,13.62,13.41,13.50,13.50,315225
2002-05-20,13.50,13.59,12.90,12.92,12.92,664538
2002-05-21,12.99,13.07,12.77,13.00,13.00,352350
2002-05-22,12.95,13.18,12.90,13.16,13.16,181238
2002-05-23,13.18,13.35,13.04,13.32,13.32,143438
2002-05-24,13.32,13.48,13.11,13.11,13.11,353363
2002-05-28,13.11,13.38,13.07,13.38,13.38,256500
2002-05-29,13.38,13.73,13.32,13.60,13.60,383400
2002-05-30,13.59,13.71,13.54,13.69,13.69,340538
2002-05-31,13.72,13.81,13.07,13.13,13.13,358088
2002-06-03,13.39,13.67,13.38,13.42,13.42,462038
2002-06-04,13.39,13.51,13.27,13.37,13.37,500513
2002-06-05,13.36,13.85,13.32,13.63,13.63,411750
2002-06-06,13.77,13.93,13.70,13.80,13.80,263588
2002-06-07,13.85,14.09,13.38,14.04,14.04,517725
2002-06-10,14.07,14.24,14.07,14.13,14.13,319950
2002-06-11,14.07,14.62,14.07,14.44,14.44,422550
2002-06-12,14.43,14.57,14.07,14.22,14.22,465075
2002-06-13,14.37,14.63,14.18,14.55,14.55,363150
2002-06-14,14.44,14.44,14.22,14.33,14.33,391163
2002-06-17,14.27,14.96,14.27,14.79,14.79,1059413
2002-06-18,14.76,14.77,14.36,14.46,14.46,623700
2002-06-19,14.42,14.53,14.27,14.40,14.40,477900
2002-06-20,14.37,14.59,14.26,14.38,14.38,260550
2002-06-21,14.34,14.34,14.13,14.25,14.25,276750
2002-06-24,14.29,14.34,14.15,14.34,14.34,268650
2002-06-25,14.35,14.35,13.68,13.71,13.71,582863
2002-06-26,13.63,13.67,13.28,13.43,13.43,891338
2002-06-27,13.42,13.51,12.79,13.04,13.04,785025
2002-06-28,13.06,13.86,12.99,13.50,13.50,1031400
2002-07-01,13.47,13.66,13.37,13.47,13.47,365850
2002-07-02,13.47,13.50,12.95,13.00,13.00,766463
2002-07-03,12.95,13.19,12.51,12.60,12.60,529875
2002-07-05,12.52,13.48,12.52,13.35,13.35,352013
2002-07-08,13.39,13.63,12.94,13.04,13.04,542363
2002-07-09,13.12,13.17,12.76,12.80,12.80,314550
2002-07-10,12.76,12.89,12.35,12.36,12.36,907200
2002-07-11,12.36,12.65,12.20,12.53,12.53,977400
2002-07-12,12.64,12.96,12.55,12.86,12.86,572063
2002-07-15,12.94,12.94,12.48,12.74,12.74,290925
