Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.06,0.06,0.06,0.03,7897
1980-03-18,0.00,0.06,0.06,0.06,0.03,102664
1980-03-19,0.00,0.06,0.06,0.06,0.02,386964
1980-03-20,0.00,0.06,0.06,0.06,0.02,647572
1980-03-21,0.00,0.06,0.05,0.05,0.02,963461
1980-03-24,0.00,0.06,0.05,0.05,0.02,710750
1980-03-25,0.00,0.05,0.05,0.05,0.02,576497
1980-03-26,0.00,0.05,0.04,0.05,0.02,268505
1980-03-27,0.00,0.05,0.04,0.04,0.02,687058
1980-03-28,0.00,0.05,0.04,0.05,0.02,639675
1980-03-31,0.00,0.06,0.05,0.06,0.02,521216
1980-04-01,0.00,0.06,0.06,0.06,0.03,615983
1980-04-02,0.00,0.07,0.06,0.06,0.03,671264
1980-04-03,0.00,0.06,0.06,0.06,0.03,39486
1980-04-07,0.00,0.06,0.06,0.06,0.02,244814
1980-04-08,0.00,0.06,0.06,0.06,0.03,55281
1980-04-09,0.00,0.06,0.06,0.06,0.03,86869
1980-04-10,0.00,0.06,0.06,0.06,0.03,86869
1980-04-11,0.00,0.08,0.07,0.08,0.03,742339
1980-04-14,0.00,0.09,0.08,0.08,0.04,371169
1980-04-15,0.00,0.09,0.08,0.08,0.04,300094
1980-04-16,0.00,0.08,0.08,0.08,0.04,236917
1980-04-17,0.00,0.08,0.07,0.08,0.03,229019
1980-04-18,0.00,0.08,0.07,0.08,0.03,102664
1980-04-21,0.00,0.07,0.07,0.07,0.03,55281
1980-04-22,0.00,0.08,0.07,0.08,0.03,181636
1980-04-23,0.00,0.08,0.08,0.08,0.03,300094
1980-04-24,0.00,0.08,0.08,0.08,0.03,276403
1980-04-25,0.00,0.08,0.07,0.07,0.03,442244
1980-04-28,0.00,0.07,0.07,0.07,0.03,229019
1980-04-29,0.00,0.07,0.06,0.07,0.03,284300
1980-04-30,0.00,0.07,0.07,0.07,0.03,78972
1980-05-01,0.07,0.07,0.07,0.07,0.03,0
1980-05-02,0.00,0.07,0.07,0.07,0.03,7897
1980-05-05,0.00,0.07,0.07,0.07,0.03,86869
1980-05-06,0.00,0.07,0.07,0.07,0.03,71075
1980-05-07,0.00,0.08,0.07,0.08,0.03,576497
1980-05-08,0.00,0.09,0.08,0.09,0.04,1184583
1980-05-09,0.00,0.09,0.08,0.09,0.04,347478
1980-05-12,0.00,0.09,0.08,0.08,0.04,102664
1980-05-13,0.00,0.08,0.08,0.08,0.03,110561
1980-05-14,0.00,0.08,0.08,0.08,0.03,63178
1980-05-15,0.00,0.08,0.08,0.08,0.03,39486
1980-05-16,0.00,0.08,0.07,0.07,0.03,189533
1980-05-19,0.07,0.07,0.07,0.07,0.03,0
1980-05-20,0.00,0.07,0.07,0.07,0.03,86869
1980-05-21,0.00,0.07,0.07,0.07,0.03,94767
1980-05-22,0.00,0.07,0.07,0.07,0.03,126356
1980-05-23,0.00,0.07,0.07,0.07,0.03,7897
1980-05-27,0.00,0.08,0.07,0.08,0.03,458039
1980-05-28,0.00,0.08,0.07,0.08,0.03,363272
1980-05-29,0.00,0.08,0.07,0.07,0.03,276403
1980-05-30,0.00,0.08,0.07,0.08,0.03,134253
1980-06-02,0.00,0.08,0.08,0.08,0.03,86869
1980-06-03,0.00,0.07,0.07,0.07,0.03,229019
1980-06-04,0.00,0.08,0.07,0.07,0.03,197430
1980-06-05,0.00,0.07,0.07,0.07,0.03,165842
1980-06-06,0.00,0.07,0.07,0.07,0.03,394861
1980-06-09,0.00,0.07,0.07,0.07,0.03,23692
1980-06-10,0.00,0.07,0.07,0.07,0.03,284300
1980-06-11,0.00,0.07,0.07,0.07,0.03,173739
1980-06-12,0.00,0.07,0.07,0.07,0.03,55281
1980-06-13,0.00,0.07,0.07,0.07,0.03,71075
1980-06-16,0.00,0.07,0.07,0.07,0.03,213225
1980-06-17,0.00,0.07,0.07,0.07,0.03,236917
1980-06-18,0.00,0.07,0.07,0.07,0.03,23692
1980-06-19,0.00,0.07,0.07,0.07,0.03,505422
1980-06-20,0.00,0.07,0.07,0.07,0.03,23692
1980-06-23,0.00,0.07,0.07,0.07,0.03,31589
1980-06-24,0.00,0.07,0.07,0.07,0.03,205328
1980-06-25,0.00,0.07,0.07,0.07,0.03,94767
1980-06-26,0.00,0.07,0.07,0.07,0.03,23692
1980-06-27,0.00,0.07,0.07,0.07,0.03,173739
1980-06-30,0.00,0.07,0.07,0.07,0.03,15794
1980-07-01,0.00,0.07,0.07,0.07,0.03,78972
1980-07-02,0.00,0.07,0.07,0.07,0.03,55281
1980-07-03,0.00,0.07,0.07,0.07,0.03,118458
1980-07-07,0.00,0.07,0.07,0.07,0.03,307992
1980-07-08,0.00,0.07,0.07,0.07,0.03,197430
1980-07-09,0.00,0.07,0.07,0.07,0.03,142150
1980-07-10,0.00,0.07,0.07,0.07,0.03,197430
1980-07-11,0.00,0.07,0.06,0.07,0.03,537011
1980-07-14,0.00,0.06,0.06,0.06,0.03,742339
1980-07-15,0.00,0.07,0.06,0.07,0.03,473833
1980-07-16,0.00,0.07,0.07,0.07,0.03,221122
1980-07-17,0.00,0.07,0.07,0.07,0.03,205328
1980-07-18,0.00,0.07,0.06,0.06,0.03,450141
1980-07-21,0.00,0.07,0.06,0.07,0.03,402758
1980-07-22,0.00,0.07,0.06,0.06,0.03,347478
1980-07-23,0.00,0.06,0.06,0.06,0.03,78972
1980-07-24,0.00,0.06,0.06,0.06,0.03,371169
1980-07-25,0.00,0.06,0.06,0.06,0.03,150047
1980-07-28,0.00,0.06,0.06,0.06,0.03,221122
1980-07-29,0.00,0.06,0.06,0.06,0.03,47383
1980-07-30,0.00,0.07,0.06,0.07,0.03,126356
1980-07-31,0.00,0.07,0.06,0.07,0.03,576497
1980-08-01,0.00,0.07,0.06,0.07,0.03,402758
1980-08-04,0.00,0.07,0.06,0.07,0.03,268505
1980-08-05,0.00,0.07,0.06,0.06,0.03,221122
1980-08-06,0.00,0.07,0.06,0.07,0.03,173739
1980-08-07,0.00,0.07,0.06,0.07,0.03,78972
1980-08-08,0.00,0.07,0.07,0.07,0.03,7897
1980-08-11,0.00,0.06,0.06,0.06,0.03,78972
1980-08-12,0.00,0.06,0.06,0.06,0.03,213225
1980-08-13,0.00,0.06,0.06,0.06,0.03,134253
1980-08-14,0.00,0.06,0.06,0.06,0.03,426450
1980-08-15,0.00,0.06,0.06,0.06,0.03,181636
1980-08-18,0.00,0.08,0.06,0.08,0.03,2337577
1980-08-19,0.00,0.08,0.06,0.06,0.03,568600
1980-08-20,0.00,0.07,0.06,0.07,0.03,394861
1980-08-21,0.00,0.07,0.07,0.07,0.03,331683
1980-08-22,0.00,0.07,0.07,0.07,0.03,110561
1980-08-25,0.00,0.08,0.07,0.08,0.03,995050
1980-08-26,0.00,0.08,0.07,0.07,0.03,205328
1980-08-27,0.00,0.08,0.07,0.07,0.03,292197
1980-08-28,0.00,0.08,0.08,0.08,0.03,647572
1980-08-29,0.00,0.09,0.08,0.09,0.04,505422
1980-09-02,0.00,0.10,0.09,0.10,0.04,1476780
1980-09-03,0.00,0.10,0.09,0.09,0.04,868694
1980-09-04,0.00,0.09,0.09,0.09,0.04,473833
1980-09-05,0.00,0.09,0.08,0.08,0.04,284300
1980-09-08,0.00,0.09,0.09,0.09,0.04,213225
1980-09-09,0.00,0.09,0.09,0.09,0.04,347478
1980-09-10,0.00,0.09,0.09,0.09,0.04,118458
1980-09-11,0.00,0.09,0.09,0.09,0.04,94767
1980-09-12,0.00,0.09,0.08,0.08,0.04,197430
1980-09-15,0.00,0.09,0.08,0.09,0.04,213225
1980-09-16,0.00,0.09,0.08,0.09,0.04,213225
1980-09-17,0.00,0.08,0.08,0.08,0.04,94767
1980-09-18,0.00,0.08,0.08,0.08,0.04,134253
1980-09-19,0.00,0.08,0.08,0.08,0.04,23692
