Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,30.75,31.00,30.57,30.60,23.74,1069300
2017-05-31,30.69,31.58,30.24,31.28,24.27,2893900
2017-06-01,31.15,34.11,31.15,33.94,26.34,5878900
2017-06-02,33.07,33.68,33.00,33.29,25.83,5127300
2017-06-05,33.67,34.85,32.74,33.09,25.68,2782700
2017-06-06,32.74,33.14,31.35,31.60,24.52,6027300
2017-06-07,31.96,32.18,31.18,31.70,24.60,2269400
2017-06-08,31.78,31.98,31.45,31.78,24.66,2107200
2017-06-09,31.50,32.05,31.34,31.71,24.61,2261400
2017-06-12,31.64,32.62,31.51,32.29,25.06,1863800
2017-06-13,32.56,33.25,32.26,32.74,25.40,1286500
2017-06-14,33.83,34.03,33.15,33.99,26.37,2342800
2017-06-15,33.36,33.44,32.75,33.11,25.69,1548600
2017-06-16,33.15,33.20,32.43,32.43,25.16,7133000
2017-06-19,32.78,33.20,32.74,33.15,25.72,908700
2017-06-20,32.94,33.31,32.57,32.89,25.52,907300
2017-06-21,32.94,33.40,32.83,32.87,25.51,896900
2017-06-22,32.86,33.14,32.82,33.09,25.68,1529100
2017-06-23,33.06,33.29,32.81,32.90,25.53,765800
2017-06-26,33.03,33.49,32.80,33.20,25.76,788400
2017-06-27,33.21,33.40,32.87,33.06,25.65,728200
2017-06-28,33.11,34.42,33.01,33.66,26.12,1533700
2017-06-29,34.00,34.15,32.71,33.56,26.04,1600200
2017-06-30,33.49,33.53,32.96,33.11,25.69,2260700
2017-07-03,32.92,33.12,32.02,32.50,25.22,1621800
2017-07-05,32.48,32.75,32.23,32.65,25.33,733300
2017-07-06,32.33,32.38,31.60,31.60,24.52,1204900
2017-07-07,31.78,32.51,31.67,32.49,25.21,608400
2017-07-10,32.57,33.61,32.57,33.58,26.06,639600
2017-07-11,33.58,33.58,32.80,33.24,25.79,941200
2017-07-12,33.27,33.95,33.16,33.78,26.21,503000
2017-07-13,33.79,34.25,33.50,34.08,26.44,447100
2017-07-14,34.04,34.25,33.76,34.00,26.38,1377100
2017-07-17,34.10,34.15,33.74,33.82,26.24,763800
2017-07-18,33.84,34.08,33.60,33.74,26.18,575600
2017-07-19,33.67,33.97,33.19,33.52,26.01,626200
2017-07-20,33.47,33.78,33.02,33.52,26.01,400600
2017-07-21,33.25,33.63,32.92,33.10,25.68,705000
2017-07-24,32.91,33.67,32.84,33.66,26.12,561000
2017-07-25,34.14,34.53,34.02,34.37,26.67,1099900
2017-07-26,34.37,34.52,33.93,34.00,26.38,449000
2017-07-27,34.22,34.34,32.88,33.19,25.75,807100
2017-07-28,33.28,33.38,32.72,32.86,25.50,450900
2017-07-31,32.86,33.56,32.86,33.49,25.99,603200
2017-08-01,33.72,34.11,33.59,34.02,26.40,435500
2017-08-02,33.42,33.88,32.50,33.53,26.02,754300
2017-08-03,33.22,33.75,33.19,33.52,26.01,540500
2017-08-04,33.72,34.43,33.72,34.13,26.48,699200
2017-08-07,34.17,34.24,33.81,34.08,26.44,840800
2017-08-08,35.70,35.85,34.70,35.48,27.53,1094200
2017-08-09,35.51,35.83,35.39,35.77,27.76,1380900
2017-08-10,35.64,35.64,35.11,35.30,27.39,1350500
2017-08-11,35.15,35.64,35.01,35.59,27.62,596200
2017-08-14,35.79,36.25,35.39,35.69,27.69,689900
2017-08-15,35.61,35.73,34.88,35.20,27.31,667000
2017-08-16,35.26,35.52,35.00,35.23,27.59,676400
2017-08-17,35.00,35.22,34.51,34.71,27.18,701000
2017-08-18,34.93,34.93,34.14,34.31,26.87,674600
2017-08-21,34.37,34.62,34.27,34.50,27.02,645200
2017-08-22,34.41,34.78,34.16,34.50,27.02,1135500
2017-08-23,34.21,34.85,34.21,34.74,27.20,442000
2017-08-24,34.91,34.97,34.52,34.82,27.27,418500
2017-08-25,35.00,35.54,35.00,35.28,27.63,434100
2017-08-28,35.26,35.51,34.94,35.13,27.51,503400
2017-08-29,34.42,34.43,33.86,34.16,26.75,581200
2017-08-30,34.13,34.23,33.69,34.17,26.76,406100
2017-08-31,34.13,34.71,34.02,34.56,27.06,357200
2017-09-01,34.64,34.88,34.64,34.79,27.24,349100
2017-09-05,34.74,34.74,33.08,33.42,26.17,821400
2017-09-06,32.96,33.70,32.86,33.42,26.17,428800
2017-09-07,33.50,33.50,33.09,33.21,26.01,484500
2017-09-08,33.15,33.47,32.99,33.39,26.15,639200
2017-09-11,33.87,34.32,33.49,33.59,26.30,580900
2017-09-12,34.04,34.04,33.65,34.00,26.62,331500
2017-09-13,33.73,33.73,32.79,33.04,25.87,961900
2017-09-14,32.81,33.37,32.81,33.22,26.01,355300
2017-09-15,33.23,33.64,33.12,33.26,26.04,886300
2017-09-18,33.26,33.69,33.26,33.52,26.25,810000
2017-09-19,33.60,34.06,33.59,33.85,26.51,440000
2017-09-20,34.05,34.34,33.92,34.00,26.62,349400
2017-09-21,34.07,34.10,33.52,33.54,26.26,211400
2017-09-22,33.66,33.98,33.62,33.96,26.59,472700
2017-09-25,33.93,34.03,33.35,33.88,26.53,424900
2017-09-26,34.00,34.00,33.59,33.82,26.48,547600
2017-09-27,34.34,34.50,33.80,34.44,26.97,1012600
2017-09-28,34.46,34.56,34.00,34.36,26.91,445300
2017-09-29,34.31,34.93,34.20,34.84,27.28,687700
2017-10-02,34.74,35.22,34.74,35.20,27.56,678800
2017-10-03,34.97,35.11,34.57,35.07,27.46,708000
2017-10-04,35.07,35.33,34.80,35.30,27.64,356300
2017-10-05,35.36,35.36,34.94,34.99,27.40,431700
2017-10-06,34.92,34.92,34.45,34.79,27.24,475700
2017-10-09,34.89,35.16,34.56,34.80,27.25,514100
2017-10-10,34.84,35.09,34.75,35.01,27.41,703500
2017-10-11,35.01,35.21,34.73,34.94,27.36,296600
2017-10-12,35.00,35.55,34.99,35.19,27.56,321800
2017-10-13,35.25,35.63,35.15,35.30,27.64,260300
2017-10-16,35.31,35.61,35.13,35.22,27.58,519100
2017-10-17,35.05,35.35,34.80,35.13,27.51,448700
2017-10-18,35.20,35.50,35.01,35.28,27.63,148200
2017-10-19,35.02,35.32,34.92,35.08,27.47,224600
2017-10-20,35.18,35.40,34.96,35.27,27.62,208200
2017-10-23,35.13,35.27,35.03,35.17,27.54,233300
2017-10-24,35.18,35.30,35.10,35.25,27.60,268200
2017-10-25,35.21,35.31,34.54,34.92,27.34,292800
2017-10-26,35.07,35.14,34.58,35.05,27.45,336700
2017-10-27,34.74,34.77,34.11,34.52,27.03,570900
2017-10-30,34.27,34.87,34.27,34.71,27.18,197300
2017-10-31,34.79,34.79,34.42,34.75,27.21,370000
2017-11-01,34.78,34.80,34.29,34.53,27.04,410100
2017-11-02,34.62,35.05,34.43,34.93,27.35,407700
2017-11-03,34.91,35.00,34.43,34.80,27.25,357600
2017-11-06,34.66,35.12,34.64,35.07,27.46,242400
2017-11-07,35.12,35.26,34.44,34.59,27.09,511700
2017-11-08,34.42,34.94,34.37,34.65,27.13,438200
2017-11-09,33.78,35.45,33.56,35.36,27.69,623200
2017-11-10,36.43,36.70,36.15,36.42,28.52,1196100
2017-11-13,36.70,37.07,36.67,37.04,29.00,1268500
2017-11-14,36.09,37.39,35.50,36.82,28.83,1468500
2017-11-15,36.51,36.79,36.25,36.66,28.71,381800
2017-11-16,36.66,37.04,36.31,36.39,28.50,819200
2017-11-17,35.90,36.74,35.78,36.63,28.94,654100
2017-11-20,36.40,36.40,35.79,36.02,28.46,786100
2017-11-21,36.30,36.71,36.05,36.36,28.72,644400
2017-11-22,36.34,36.75,36.30,36.41,28.76,501800
2017-11-24,36.55,36.73,36.45,36.70,28.99,233900
2017-11-27,35.42,36.65,35.42,36.13,28.54,624700
2017-11-28,36.12,36.56,36.12,36.40,28.76,743000
2017-11-29,36.43,36.71,36.40,36.49,28.83,905100
2017-11-30,36.78,37.33,36.51,37.27,29.44,1120300
2017-12-01,37.20,37.42,36.80,37.02,29.25,647200
2017-12-04,37.25,37.28,35.86,36.03,28.46,1289700
2017-12-05,36.31,36.68,35.76,35.85,28.32,1021500
2017-12-06,35.87,36.56,35.86,36.36,28.72,433700
2017-12-07,36.62,36.62,36.00,36.12,28.53,872200
2017-12-08,36.42,36.50,36.02,36.13,28.54,678800
2017-12-11,36.07,36.86,36.07,36.82,29.09,770100
2017-12-12,36.68,36.77,35.92,36.67,28.97,541200
2017-12-13,36.78,36.98,36.53,36.57,28.89,770600
2017-12-14,37.20,37.54,37.00,37.17,29.36,943200
2017-12-15,37.37,37.55,37.11,37.15,29.35,3751800
2017-12-18,37.38,37.64,37.35,37.41,29.55,976400
2017-12-19,37.91,38.32,37.91,38.12,30.11,841700
2017-12-20,38.21,38.56,37.96,38.17,30.15,549900
2017-12-21,38.23,38.54,38.18,38.31,30.27,752200
2017-12-22,38.61,38.81,38.27,38.47,30.39,326900
2017-12-26,38.56,38.65,38.31,38.45,30.38,267600
2017-12-27,38.34,38.45,37.87,38.10,30.10,457400
2017-12-28,38.27,38.51,38.12,38.24,30.21,426800
2017-12-29,38.43,38.69,38.25,38.26,30.23,456100
2018-01-02,38.31,38.79,38.23,38.59,30.49,680500
2018-01-03,38.52,38.72,38.29,38.64,30.53,569800
2018-01-04,38.92,39.24,38.83,38.96,30.78,786800
2018-01-05,39.80,40.12,39.44,39.69,31.36,1538500
2018-01-08,39.76,40.03,39.09,39.23,30.99,1549200
2018-01-09,39.38,39.94,39.33,39.76,31.41,964300
2018-01-10,39.94,40.01,39.67,39.74,31.39,717100
2018-01-11,39.88,40.15,39.84,40.03,31.62,478800
2018-01-12,40.34,40.74,39.98,40.54,32.03,834300
2018-01-16,40.90,41.35,40.52,40.56,32.04,858400
2018-01-17,41.12,41.18,40.78,41.00,32.39,855700
2018-01-18,40.92,40.92,40.62,40.71,32.16,422800
2018-01-19,40.86,41.22,40.67,41.04,32.42,494400
2018-01-22,40.81,41.27,40.78,41.11,32.48,474200
2018-01-23,41.06,41.30,40.69,40.96,32.36,282500
2018-01-24,41.05,41.38,40.60,40.97,32.37,989400
2018-01-25,41.00,41.08,40.46,40.94,32.34,656800
2018-01-26,40.87,41.64,40.72,41.43,32.73,564200
2018-01-29,41.28,41.42,40.87,40.94,32.34,347600
2018-01-30,40.52,40.52,39.69,39.70,31.36,558700
2018-01-31,39.82,40.20,39.18,39.38,31.11,575100
2018-02-01,39.15,39.60,38.43,39.41,31.13,433100
2018-02-02,39.05,39.05,38.27,38.43,30.36,582500
2018-02-05,38.00,38.23,36.92,36.93,29.17,1092400
2018-02-06,35.50,37.22,34.96,37.06,29.28,1562200
2018-02-07,36.34,36.66,35.95,36.10,28.52,1085500
2018-02-08,35.50,35.77,34.06,34.12,26.95,1233900
2018-02-09,34.51,34.51,32.93,34.12,26.95,1188600
2018-02-12,34.39,34.62,33.92,34.43,27.20,928200
2018-02-13,34.79,34.91,34.27,34.72,27.43,757600
2018-02-14,34.68,35.66,34.61,35.53,28.07,559000
2018-02-15,35.56,36.02,35.13,35.52,28.32,716000
2018-02-16,35.31,35.71,35.21,35.43,28.24,460700
2018-02-20,35.43,36.28,35.30,35.78,28.52,1127700
2018-02-21,35.60,36.29,35.48,35.50,28.30,1129700
2018-02-22,35.38,35.61,35.15,35.18,28.04,904600
2018-02-23,35.24,35.74,35.12,35.64,28.41,844900
2018-02-26,35.44,35.97,35.32,35.79,28.53,933800
2018-02-27,35.60,35.67,35.28,35.29,28.13,1241500
2018-02-28,35.40,36.00,35.34,35.34,28.17,1396900
2018-03-01,35.24,35.72,34.86,34.96,27.87,1017100
2018-03-02,34.43,34.92,34.05,34.71,27.67,960300
2018-03-05,34.45,34.78,34.18,34.62,27.60,1118000
2018-03-06,34.52,35.23,34.47,34.85,27.78,1679600
2018-03-07,34.30,34.51,34.10,34.33,27.37,2244000
2018-03-08,34.40,34.78,34.14,34.70,27.66,1016800
2018-03-09,35.08,36.16,34.77,36.16,28.83,833200
2018-03-12,36.11,36.38,35.93,36.02,28.71,610000
2018-03-13,36.14,36.51,35.61,35.79,28.53,718400
2018-03-14,35.68,35.84,35.23,35.50,28.30,852400
2018-03-15,35.50,35.63,35.25,35.31,28.15,746600
2018-03-16,35.19,35.34,34.83,35.06,27.95,1979700
2018-03-19,34.88,34.89,34.18,34.45,27.46,843900
2018-03-20,34.10,34.71,34.10,34.64,27.61,1124800
2018-03-21,34.45,34.99,34.38,34.64,27.61,811400
2018-03-22,34.00,34.19,33.35,33.36,26.59,1060600
2018-03-23,33.34,33.36,32.53,32.56,25.96,1648800
2018-03-26,32.77,33.29,32.76,33.25,26.51,1046000
2018-03-27,33.28,33.41,32.51,32.64,26.02,1286100
2018-03-28,32.63,32.66,32.03,32.47,25.88,813500
2018-03-29,32.48,33.31,32.47,33.09,26.38,787000
2018-04-02,32.90,33.00,31.68,32.20,25.67,812400
2018-04-03,32.25,32.42,32.00,32.23,25.69,1651300
2018-04-04,31.50,32.47,31.38,32.37,25.80,1603500
2018-04-05,32.36,32.36,31.84,32.20,25.67,891200
2018-04-06,31.78,32.08,31.49,31.66,25.24,974200
2018-04-09,30.69,32.09,30.63,31.62,25.21,1201000
2018-04-10,31.90,32.07,31.72,31.95,25.47,1173200
2018-04-11,31.75,31.91,31.59,31.64,25.22,793900
2018-04-12,31.65,32.05,31.50,31.98,25.49,1132200
2018-04-13,32.19,32.20,31.63,31.76,25.32,878500
2018-04-16,31.64,31.64,31.25,31.36,25.00,1083200
2018-04-17,31.15,31.66,31.09,31.46,25.08,1072300
2018-04-18,31.77,32.56,31.72,32.37,25.80,1113500
2018-04-19,32.27,32.59,32.20,32.29,25.74,982600
