Date,Open,High,Low,Close,Adj Close,Volume
2008-05-07,25.20,25.80,24.80,25.50,3.02,38943400
2008-05-08,25.58,25.83,24.74,25.40,3.01,12468400
2008-05-09,25.10,25.40,24.94,25.24,2.99,9747000
2008-05-12,25.11,26.85,25.10,25.57,3.03,7921800
2008-05-13,25.38,25.92,25.20,25.90,3.07,4518800
2008-05-14,25.50,26.31,24.60,26.17,3.10,4295600
2008-05-15,25.75,26.41,25.58,26.03,3.08,3969300
2008-05-16,25.86,26.75,25.67,26.50,3.14,11418200
2008-05-19,26.15,26.45,25.97,26.07,3.09,5645100
2008-05-20,25.70,25.94,25.00,25.55,3.03,8338100
2008-05-21,25.37,25.78,25.26,25.51,3.02,1729100
2008-05-22,25.14,26.13,25.12,25.72,3.05,7980000
2008-05-23,25.52,25.72,25.26,25.42,3.01,2421100
2008-05-27,25.36,25.53,25.12,25.38,3.01,1899300
2008-05-28,25.22,25.47,25.05,25.21,2.99,5346300
2008-05-29,25.01,25.14,24.85,24.95,2.95,6850900
2008-05-30,24.82,25.47,24.77,25.18,2.98,5456400
2008-06-02,24.97,25.07,24.11,24.12,2.86,2692600
2008-06-03,23.80,24.25,23.59,24.20,2.87,4636400
2008-06-04,23.95,24.19,23.88,23.90,2.83,2871200
2008-06-05,24.80,26.38,24.70,25.56,3.03,10802100
2008-06-06,25.12,25.37,24.93,24.98,2.96,4040900
2008-06-09,24.80,25.30,24.69,24.97,2.96,2018400
2008-06-10,24.88,25.10,24.85,24.93,2.95,3237600
2008-06-11,24.98,24.98,24.06,24.33,2.88,2352300
2008-06-12,24.77,24.85,24.00,24.18,2.86,1885800
2008-06-13,24.15,24.73,24.03,24.67,2.92,2718300
2008-06-16,24.73,24.77,23.50,23.71,2.81,2799100
2008-06-17,23.72,23.74,23.22,23.46,2.78,3945100
2008-06-18,23.10,24.00,23.06,23.79,2.82,1883200
2008-06-19,23.85,24.01,23.40,23.89,2.83,2262100
2008-06-20,23.35,24.00,23.32,24.00,2.84,2339500
2008-06-23,24.00,24.00,23.56,23.60,2.79,1562800
2008-06-24,23.25,23.25,22.20,22.54,2.67,4845600
2008-06-25,22.33,22.88,22.29,22.54,2.67,2268100
2008-06-26,22.15,22.56,22.07,22.17,2.63,2938500
2008-06-27,22.02,22.08,21.52,21.60,2.56,3329000
2008-06-30,21.58,21.58,20.62,20.98,2.48,3048100
2008-07-01,20.80,20.84,20.03,20.60,2.44,3516700
2008-07-02,20.91,21.49,20.79,21.34,2.53,1593500
2008-07-03,21.21,21.34,20.54,20.94,2.48,1530400
2008-07-07,21.05,21.57,20.94,21.32,2.52,1491700
2008-07-08,21.15,21.91,21.13,21.50,2.55,3116200
2008-07-09,21.59,21.78,21.51,21.65,2.56,1155500
2008-07-10,21.97,22.02,21.46,21.85,2.59,1238400
2008-07-11,21.42,21.97,21.23,21.64,2.56,1310900
2008-07-14,21.90,22.14,21.40,21.79,2.58,1323800
2008-07-15,21.60,21.73,20.46,21.00,2.49,1486900
2008-07-16,20.86,21.08,20.75,21.03,2.49,1055600
2008-07-17,20.87,20.91,19.37,20.40,2.42,3484300
2008-07-18,20.44,20.48,19.92,20.20,2.39,1702100
2008-07-21,20.60,20.88,20.21,20.56,2.43,1737700
2008-07-22,20.27,20.84,20.15,20.76,2.46,1582300
2008-07-23,20.70,20.70,20.08,20.21,2.39,1757200
2008-07-24,20.10,20.61,20.10,20.45,2.42,912300
2008-07-25,20.45,20.74,20.21,20.29,2.40,862800
2008-07-28,20.09,20.30,20.07,20.18,2.39,1285100
2008-07-29,20.40,20.58,20.17,20.25,2.40,2786700
2008-07-30,20.26,20.71,20.26,20.67,2.45,3516900
2008-07-31,20.35,20.86,20.35,20.67,2.45,1119000
2008-08-01,20.79,21.02,20.60,20.92,2.48,1795300
2008-08-04,20.82,20.86,20.49,20.72,2.45,2325300
2008-08-05,20.85,21.11,20.70,21.00,2.49,960400
2008-08-06,20.98,21.28,20.93,21.07,2.50,1260000
2008-08-07,21.29,21.48,21.05,21.07,2.50,1239900
2008-08-08,21.07,22.05,21.05,21.95,2.60,2200600
2008-08-11,21.89,22.55,21.83,21.98,2.60,3210200
2008-08-12,21.96,22.11,21.49,21.66,2.56,3140400
2008-08-13,22.21,23.77,22.12,22.79,2.70,6515600
2008-08-14,22.75,23.54,22.75,23.25,2.75,3319000
2008-08-15,23.50,24.03,23.50,23.82,2.82,2482400
2008-08-18,23.67,24.10,23.53,23.88,2.83,2105100
2008-08-19,23.99,24.07,23.43,23.97,2.84,2280100
2008-08-20,23.34,24.32,23.25,23.99,2.84,3635400
2008-08-21,23.91,24.02,23.06,24.02,2.84,1376900
2008-08-22,24.31,24.41,24.08,24.30,2.88,1353900
2008-08-25,24.59,24.65,24.00,24.17,2.86,1409900
2008-08-26,24.30,24.30,23.94,24.15,2.86,2507700
2008-08-27,24.34,24.94,24.10,24.90,2.95,1619100
2008-08-28,24.86,24.88,24.52,24.81,2.94,1380100
2008-08-29,24.46,24.73,24.46,24.71,2.93,1330200
2008-09-02,25.08,25.48,24.59,25.28,2.99,1757800
2008-09-03,25.00,25.30,24.91,25.30,3.00,1610800
2008-09-04,25.37,25.38,24.92,25.15,2.98,2950800
2008-09-05,24.88,25.24,24.76,25.16,2.98,2369800
2008-09-08,25.55,26.00,25.39,25.61,3.03,1414200
2008-09-09,25.70,25.94,25.50,25.52,3.02,1541700
2008-09-10,25.55,25.87,25.28,25.43,3.01,1395900
2008-09-11,25.07,25.96,24.80,25.67,3.04,1390200
2008-09-12,25.28,26.59,25.28,26.52,3.14,2564000
2008-09-15,26.17,26.17,25.05,25.32,3.00,1466700
2008-09-16,25.01,25.19,24.53,25.05,2.97,2049000
2008-09-17,24.39,25.02,24.39,24.75,2.93,12691600
2008-09-18,25.00,25.10,24.36,24.65,2.92,3415500
2008-09-19,24.50,25.39,24.40,25.19,2.98,1550300
2008-09-22,25.10,25.48,24.84,25.00,2.96,913900
2008-09-23,24.70,25.00,23.93,24.50,2.90,2014100
2008-09-24,24.50,24.65,24.26,24.44,2.89,1231200
2008-09-25,24.38,24.64,24.26,24.47,2.90,1093200
2008-09-26,23.52,25.49,23.52,25.39,3.01,1024000
2008-09-29,24.93,25.27,23.99,24.28,2.88,1930300
2008-09-30,25.30,26.82,25.30,26.48,3.14,10640200
2008-10-01,26.50,26.70,25.98,26.13,3.09,4701000
2008-10-02,26.09,26.09,25.20,25.36,3.00,4504400
2008-10-03,25.38,25.95,24.93,25.15,2.98,5904500
2008-10-06,24.85,25.01,24.28,24.90,2.95,45280300
2008-10-07,25.25,25.42,23.94,23.94,2.83,6162700
2008-10-08,23.87,24.63,23.34,23.79,2.82,7149000
2008-10-09,23.69,24.00,22.70,22.99,2.72,4917100
2008-10-10,22.38,23.75,21.03,22.52,2.67,4589100
2008-10-13,22.66,23.85,22.19,23.79,2.82,3309800
2008-10-14,24.17,24.24,22.51,23.00,2.72,2988400
2008-10-15,22.64,22.92,20.91,21.09,2.50,2134200
2008-10-16,21.15,21.28,20.10,20.88,2.47,3228200
2008-10-17,20.36,21.28,20.10,20.92,2.48,3075200
2008-10-20,20.61,21.53,20.40,21.53,2.55,1154700
2008-10-21,21.27,22.20,21.05,21.49,2.54,1185500
2008-10-22,21.00,21.56,20.63,20.91,2.48,2260600
2008-10-23,21.00,21.21,19.85,20.24,2.40,4003800
2008-10-24,19.44,20.09,18.98,19.17,2.27,3180800
2008-10-27,19.00,19.61,18.62,19.22,2.28,2442300
2008-10-28,19.55,21.72,19.50,21.68,2.57,2254400
2008-10-29,21.53,22.57,21.20,22.05,2.61,1894600
2008-10-30,22.68,22.80,21.39,21.92,2.60,1814200
2008-10-31,21.89,23.27,21.78,22.90,2.71,2214000
2008-11-03,22.55,23.35,22.33,22.57,2.67,1667900
2008-11-04,22.99,23.84,22.97,23.31,2.76,1565800
2008-11-05,23.40,23.68,22.40,22.49,2.66,1837200
2008-11-06,22.49,22.84,21.63,21.91,2.59,1367700
2008-11-07,22.05,22.88,22.01,22.68,2.69,1320900
2008-11-10,22.99,23.50,22.50,22.77,2.70,1240200
2008-11-11,22.29,22.70,21.22,21.38,2.53,1223300
2008-11-12,21.10,21.78,20.79,20.91,2.48,1503100
2008-11-13,18.98,19.37,17.57,18.19,2.15,7936900
2008-11-14,17.93,18.90,17.52,17.56,2.08,4674300
2008-11-17,17.37,17.78,16.96,17.13,2.03,2338300
