Date,Open,High,Low,Close,Adj Close,Volume
1987-11-05,6.15,6.19,6.09,6.12,1.80,55310
1987-11-06,6.15,6.22,6.12,6.12,1.80,212201
1987-11-09,6.09,6.15,5.95,5.95,1.75,107727
1987-11-10,6.02,6.15,5.95,6.12,1.80,61816
1987-11-11,6.02,6.19,6.02,6.12,1.80,65793
1987-11-12,6.22,6.50,6.15,6.47,1.90,102305
1987-11-13,6.40,6.57,6.36,6.47,1.90,30366
1987-11-16,6.40,6.50,6.36,6.43,1.89,53502
1987-11-17,6.47,6.50,6.29,6.33,1.86,30004
1987-11-18,6.29,6.29,6.09,6.15,1.81,38681
1987-11-19,6.02,6.09,5.81,5.81,1.71,422955
1987-11-20,5.88,5.91,5.67,5.81,1.71,111342
1987-11-23,5.88,5.91,5.81,5.84,1.72,31812
1987-11-24,5.81,6.05,5.71,5.98,1.76,198464
1987-11-25,5.98,5.98,5.84,5.84,1.72,96159
1987-11-27,5.81,5.91,5.81,5.91,1.74,31089
1987-11-30,5.84,5.84,5.71,5.77,1.70,74831
1987-12-01,5.74,5.91,5.74,5.88,1.73,96882
1987-12-02,5.84,5.91,5.81,5.84,1.72,78446
1987-12-03,5.81,5.88,5.74,5.74,1.69,29281
1987-12-04,5.67,5.71,5.64,5.64,1.66,73385
1987-12-07,5.60,5.67,5.57,5.57,1.64,46272
1987-12-08,5.57,5.81,5.57,5.81,1.71,84230
1987-12-09,5.74,5.77,5.46,5.60,1.65,111342
1987-12-10,5.53,5.57,5.46,5.57,1.64,63985
1987-12-11,5.50,5.60,5.43,5.50,1.62,48441
1987-12-14,5.53,5.64,5.46,5.60,1.65,92906
1987-12-15,5.53,5.71,5.53,5.67,1.67,67962
1987-12-16,5.71,5.77,5.60,5.60,1.65,131948
1987-12-17,5.60,5.95,5.60,5.77,1.70,295707
1987-12-18,5.84,6.02,5.77,6.02,1.77,198825
1987-12-21,6.02,6.15,5.77,5.91,1.74,109535
1987-12-22,5.98,5.98,5.84,5.98,1.76,114234
1987-12-23,5.88,6.29,5.74,6.15,1.83,135201
1987-12-24,6.22,6.22,6.02,6.09,1.81,135924
1987-12-28,6.02,6.33,5.88,6.26,1.86,77000
1987-12-29,6.19,6.22,6.02,6.02,1.79,46995
1987-12-30,5.95,6.19,5.88,6.09,1.81,74108
1987-12-31,6.09,6.09,5.81,5.88,1.75,53864
1988-01-04,5.81,6.15,5.81,6.05,1.80,67962
1988-01-05,6.12,6.26,6.12,6.26,1.86,158699
1988-01-06,6.36,6.36,6.15,6.22,1.85,215093
1988-01-07,6.15,6.33,6.15,6.33,1.88,86037
1988-01-08,6.29,6.29,6.02,6.02,1.79,30727
1988-01-11,6.02,6.09,5.95,6.02,1.79,28920
1988-01-12,5.95,6.02,5.77,5.91,1.76,98690
1988-01-13,5.84,5.84,5.60,5.81,1.73,82422
1988-01-14,5.88,5.95,5.60,5.71,1.70,169182
1988-01-15,5.71,5.77,5.64,5.74,1.71,177858
1988-01-18,5.81,5.88,5.74,5.88,1.75,31450
1988-01-19,5.91,6.09,5.91,6.09,1.81,41573
1988-01-20,6.02,6.15,5.91,5.98,1.78,176051
1988-01-21,5.95,5.95,5.88,5.91,1.76,73385
1988-01-22,5.98,6.02,5.98,6.02,1.79,15183
1988-01-25,5.98,6.09,5.91,5.98,1.78,32173
1988-01-26,5.95,6.05,5.95,5.98,1.78,32173
1988-01-27,6.05,6.26,6.05,6.09,1.81,249796
1988-01-28,6.15,6.15,6.09,6.15,1.83,21329
1988-01-29,6.19,6.26,6.02,6.19,1.84,55671
1988-02-01,6.26,6.26,6.09,6.19,1.84,87122
1988-02-02,6.19,6.19,6.05,6.09,1.81,32535
1988-02-03,6.05,6.09,6.02,6.02,1.79,97967
1988-02-04,6.02,6.02,5.84,5.91,1.76,14099
1988-02-05,5.84,5.95,5.84,5.91,1.76,41573
1988-02-08,5.98,5.98,5.84,5.88,1.75,22052
1988-02-09,5.84,5.88,5.67,5.74,1.71,83868
1988-02-10,5.74,5.81,5.67,5.81,1.73,108812
1988-02-11,5.84,5.95,5.81,5.88,1.75,123994
1988-02-12,5.74,5.98,5.74,5.95,1.77,102666
1988-02-16,5.88,5.95,5.81,5.81,1.73,60732
1988-02-17,5.91,5.98,5.88,5.98,1.78,27836
1988-02-18,5.95,6.02,5.95,5.95,1.77,8676
1988-02-19,5.95,6.02,5.91,5.98,1.78,23136
1988-02-22,6.05,6.05,5.91,5.98,1.78,37958
1988-02-23,5.91,6.02,5.88,5.95,1.77,62539
1988-02-24,6.02,6.02,5.91,5.98,1.78,57840
1988-02-25,6.02,6.02,5.98,6.02,1.79,87122
1988-02-26,5.98,6.09,5.98,6.02,1.79,60009
1988-02-29,5.95,6.02,5.91,5.95,1.77,49887
1988-03-01,5.98,6.02,5.88,5.88,1.75,69770
1988-03-02,5.95,5.95,5.88,5.88,1.75,270041
1988-03-03,5.81,5.88,5.74,5.74,1.71,105920
1988-03-04,5.74,5.98,5.71,5.98,1.78,93990
1988-03-07,6.05,6.09,5.95,6.02,1.79,327519
1988-03-08,6.02,6.22,6.02,6.09,1.81,126525
1988-03-09,6.09,6.15,5.98,6.09,1.81,166290
1988-03-10,6.09,6.15,5.98,6.09,1.81,193764
1988-03-11,6.02,6.12,5.98,6.05,1.80,90737
1988-03-14,5.98,6.15,5.98,6.15,1.83,82784
1988-03-15,6.15,6.22,6.12,6.12,1.82,48803
