Date,Open,High,Low,Close,Adj Close,Volume
2011-02-11,31.70,32.14,30.75,31.05,19.13,50610600
2011-02-14,31.05,31.30,30.70,30.70,18.91,6275900
2011-02-15,30.90,31.15,30.73,30.94,19.06,4337800
2011-02-16,31.05,31.44,30.66,30.72,18.92,4627100
2011-02-17,30.68,31.09,30.51,30.55,18.82,3290700
2011-02-18,30.68,31.38,30.40,31.37,19.32,2583800
2011-02-22,31.14,31.43,30.71,30.72,18.92,2454300
2011-02-23,30.76,30.90,30.25,30.42,18.74,2671200
2011-02-24,30.55,30.65,30.30,30.46,18.76,1698000
2011-02-25,30.53,30.75,30.30,30.50,18.79,2225900
2011-02-28,30.57,30.79,30.42,30.50,18.79,2380400
2011-03-01,30.65,30.78,30.23,30.45,18.76,1908000
2011-03-02,30.57,30.69,30.26,30.57,18.83,2197000
2011-03-03,30.68,30.77,30.53,30.77,18.95,1901800
2011-03-04,30.80,30.94,30.66,30.85,19.00,892300
2011-03-07,30.94,31.04,30.70,30.90,19.03,1049600
2011-03-08,30.80,31.04,30.80,30.97,19.08,827400
2011-03-09,30.90,30.98,30.74,30.75,18.94,294100
2011-03-10,30.71,30.71,29.75,30.10,18.54,2715200
2011-03-11,30.10,30.48,29.97,30.10,18.54,1896900
2011-03-14,30.00,30.22,29.80,29.99,18.47,1967700
2011-03-15,29.81,30.20,29.60,29.88,18.40,1968400
2011-03-16,29.89,30.16,29.76,30.05,18.51,2062200
2011-03-17,30.20,30.41,30.06,30.15,18.57,1511400
2011-03-18,30.21,30.50,30.08,30.50,18.79,1906600
2011-03-21,30.53,31.00,30.40,30.82,18.98,1253000
2011-03-22,30.90,30.98,30.57,30.70,18.91,1014700
2011-03-23,30.53,30.67,29.95,30.02,18.49,2570500
2011-03-24,30.10,30.25,29.90,30.05,18.51,1411600
2011-03-25,30.01,30.09,29.50,29.52,18.18,2687100
2011-03-28,29.74,29.93,29.56,29.62,18.24,1552900
2011-03-29,29.75,29.89,29.54,29.79,18.35,1313800
2011-03-30,29.87,29.89,29.58,29.69,18.29,769700
2011-03-31,29.80,29.87,29.51,29.64,18.26,884400
2011-04-01,29.79,29.85,29.49,29.50,18.17,1869200
2011-04-04,29.44,29.70,29.25,29.44,18.13,1177900
2011-04-05,29.49,29.64,29.00,29.44,18.13,1021200
2011-04-06,29.46,29.49,29.21,29.46,18.15,725100
2011-04-07,29.52,29.56,29.13,29.22,18.00,1226100
2011-04-08,29.22,29.42,29.12,29.33,18.07,934800
2011-04-11,29.30,29.41,29.07,29.25,18.02,1160900
2011-04-12,29.10,29.24,28.27,28.73,17.70,1278100
2011-04-13,28.74,29.02,28.66,28.83,17.76,2766900
2011-04-14,28.79,29.16,28.57,29.12,17.94,785800
2011-04-15,29.11,29.15,28.69,28.88,17.79,863900
2011-04-18,28.79,28.84,28.23,28.52,17.57,882400
2011-04-19,28.59,28.86,28.53,28.78,17.73,1121200
2011-04-20,28.98,29.60,28.79,29.45,18.14,2054000
2011-04-21,29.32,29.93,29.07,29.63,18.25,1516900
2011-04-25,29.81,29.81,29.07,29.36,18.08,604100
2011-04-26,29.54,29.59,29.05,29.12,17.94,1100000
2011-04-27,29.30,29.49,28.75,28.86,17.78,1479600
2011-04-28,28.84,28.95,28.69,28.83,17.84,1041000
2011-04-29,29.04,29.29,28.35,28.58,17.69,1843400
2011-05-02,28.73,28.99,28.38,28.82,17.84,1036600
2011-05-03,28.84,28.89,28.05,28.19,17.45,1158700
2011-05-04,28.20,28.36,27.31,27.96,17.31,2537800
2011-05-05,28.02,28.26,27.41,27.98,17.32,1618300
2011-05-06,28.08,28.41,27.85,28.00,17.33,653600
2011-05-09,28.11,28.45,28.01,28.29,17.51,752100
2011-05-10,28.27,28.69,28.08,28.52,17.65,777800
2011-05-11,28.53,28.63,28.01,28.31,17.52,1400100
2011-05-12,28.20,28.45,27.82,28.45,17.61,1800000
2011-05-13,28.37,28.37,27.75,27.93,17.29,1344100
2011-05-16,28.06,28.48,27.40,27.54,17.05,1737600
2011-05-17,27.60,27.71,26.87,27.50,17.02,2404600
2011-05-18,27.77,27.88,27.42,27.56,17.06,895200
2011-05-19,27.68,28.34,27.53,28.29,17.51,1096500
2011-05-20,28.25,28.90,27.97,28.50,17.64,1535400
2011-05-23,28.41,28.57,28.19,28.33,17.53,2927600
2011-05-24,28.53,29.06,28.47,29.06,17.99,2587700
2011-05-25,28.98,29.28,28.80,29.02,17.96,3304700
2011-05-26,29.10,29.22,28.61,28.69,17.76,1507000
2011-05-27,28.90,29.18,28.50,29.18,18.06,1896600
2011-05-31,29.53,29.76,29.00,29.29,18.13,5489900
2011-06-01,29.40,29.47,28.85,29.00,17.95,1042800
2011-06-02,29.15,29.38,28.44,29.38,18.18,978400
2011-06-03,29.06,29.76,28.73,29.75,18.41,1566400
2011-06-06,29.60,29.77,29.25,29.52,18.27,1402100
2011-06-07,29.58,29.97,29.42,29.79,18.44,1980000
2011-06-08,29.58,29.86,29.46,29.73,18.40,766800
2011-06-09,29.72,29.89,29.64,29.69,18.38,1215900
2011-06-10,29.74,29.85,29.43,29.53,18.28,895800
2011-06-13,29.62,29.93,29.20,29.45,18.23,901900
2011-06-14,29.41,29.86,29.06,29.50,18.26,760200
2011-06-15,29.42,29.65,28.89,29.36,18.17,1149000
2011-06-16,29.40,29.44,29.07,29.21,18.08,792100
2011-06-17,29.36,29.74,29.15,29.70,18.38,2448200
2011-06-20,29.61,29.67,29.40,29.61,18.33,866700
2011-06-21,29.70,29.70,29.34,29.62,18.33,631300
2011-06-22,29.62,29.97,29.45,29.62,18.33,1587400
2011-06-23,29.59,29.59,28.91,29.10,18.01,1963100
2011-06-24,29.19,29.30,28.59,28.60,17.70,11554800
2011-06-27,28.68,28.79,28.22,28.26,17.49,1889000
2011-06-28,28.39,28.67,28.10,28.30,17.52,2235400
2011-06-29,28.48,28.80,28.32,28.40,17.58,1592100
2011-06-30,28.43,28.78,28.31,28.73,17.78,809500
2011-07-01,28.67,29.28,28.37,29.27,18.12,846600
2011-07-05,29.22,29.39,29.04,29.26,18.11,505800
2011-07-06,29.17,29.24,28.92,29.11,18.02,1239500
2011-07-07,29.26,29.45,28.86,28.98,17.94,876300
2011-07-08,28.80,29.33,28.69,28.92,17.90,757500
2011-07-11,28.70,28.74,28.16,28.36,17.55,725400
2011-07-12,28.25,28.37,28.10,28.17,17.44,665900
2011-07-13,28.34,28.48,28.06,28.19,17.45,556800
2011-07-14,28.30,28.41,28.02,28.03,17.35,799600
2011-07-15,28.24,28.63,28.00,28.59,17.70,785100
2011-07-18,28.40,28.41,27.98,28.19,17.45,695200
2011-07-19,28.41,28.49,28.24,28.35,17.55,390100
2011-07-20,28.57,28.93,28.25,28.50,17.64,579000
2011-07-21,28.68,28.87,28.22,28.51,17.65,1277300
2011-07-22,28.55,28.63,28.24,28.36,17.55,1017700
2011-07-25,28.30,28.39,27.48,27.50,17.02,2753000
2011-07-26,27.61,27.74,27.36,27.57,17.06,2921300
2011-07-27,27.27,28.40,27.10,28.18,17.44,3648100
2011-07-28,27.90,28.23,27.64,28.16,17.62,985200
2011-07-29,27.96,28.30,27.80,28.23,17.66,999300
2011-08-01,28.42,28.50,28.12,28.23,17.66,612300
2011-08-02,28.06,28.17,27.64,27.85,17.42,893400
2011-08-03,27.82,27.87,27.25,27.72,17.34,1392600
2011-08-04,27.60,27.60,26.33,26.47,16.56,1813800
2011-08-05,26.47,26.79,24.96,25.92,16.22,3006600
2011-08-08,25.21,25.59,23.66,23.66,14.80,2018900
2011-08-09,24.05,25.96,24.00,25.92,16.22,1689300
2011-08-10,25.58,27.08,25.24,26.05,16.30,1909300
2011-08-11,26.20,27.81,26.18,27.45,17.17,1372400
2011-08-12,27.83,27.99,26.53,26.77,16.75,1136200
2011-08-15,27.19,27.30,26.86,27.08,16.94,676900
2011-08-16,26.89,26.90,26.38,26.50,16.58,646000
2011-08-17,26.66,26.66,26.22,26.28,16.44,672000
2011-08-18,25.99,25.99,24.63,24.82,15.53,3587900
2011-08-19,24.66,25.07,23.78,23.82,14.90,1913900
2011-08-22,24.35,25.31,23.59,23.76,14.86,1543600
2011-08-23,23.93,24.54,23.51,24.54,15.35,1153000
2011-08-24,24.42,24.72,24.07,24.45,15.30,686600
2011-08-25,24.60,24.97,24.45,24.45,15.30,570200
2011-08-26,24.48,24.93,24.01,24.78,15.50,570800
2011-08-29,24.96,25.61,24.70,25.31,15.83,530600
2011-08-30,25.22,25.51,24.92,25.37,15.87,437500
2011-08-31,25.61,26.34,25.44,25.85,16.17,1786100
2011-09-01,25.98,26.06,25.61,25.72,16.09,553700
2011-09-02,25.43,25.47,25.06,25.19,15.76,567100
2011-09-06,24.75,25.44,24.61,25.37,15.87,701000
2011-09-07,25.72,25.89,25.23,25.44,15.92,895700
2011-09-08,25.37,25.73,25.19,25.40,15.89,982600
2011-09-09,25.14,25.36,24.75,24.85,15.55,1141700
2011-09-12,24.64,24.97,24.30,24.96,15.62,945500
2011-09-13,25.09,25.23,24.62,24.97,15.62,1051000
2011-09-14,25.20,25.29,24.76,25.25,15.80,834600
2011-09-15,25.46,25.83,25.34,25.54,15.98,472300
2011-09-16,25.72,25.79,25.22,25.50,15.95,1882700
2011-09-19,25.22,27.31,25.16,26.68,16.69,3781600
2011-09-20,26.89,26.89,26.52,26.70,16.70,849700
2011-09-21,26.84,27.20,26.47,26.55,16.61,1400900
2011-09-22,26.06,26.40,25.34,25.69,16.07,1731800
2011-09-23,25.71,25.85,25.18,25.52,15.97,699700
2011-09-26,25.60,26.35,25.20,26.34,16.48,1366100
2011-09-27,26.88,27.36,26.82,27.03,16.91,1766000
2011-09-28,26.90,27.19,26.56,26.62,16.65,894600
2011-09-29,27.05,27.18,25.85,26.32,16.47,801400
2011-09-30,26.12,26.25,25.72,25.89,16.20,769700
2011-10-03,25.74,25.81,25.00,25.48,15.94,860400
2011-10-04,25.40,26.23,24.66,26.05,16.30,2500000
2011-10-05,26.18,26.70,25.83,26.59,16.64,1193100
