Date,Open,High,Low,Close,Adj Close,Volume
1990-04-23,0.00,16.69,15.44,15.88,4.92,3044600
1990-04-24,0.00,15.88,15.56,15.75,4.88,2390600
1990-04-25,0.00,16.50,15.62,16.50,5.11,961400
1990-04-26,0.00,16.62,16.12,16.38,5.07,829000
1990-04-27,0.00,16.38,15.88,15.88,4.92,835000
1990-04-30,0.00,16.00,15.75,15.88,4.92,311400
1990-05-01,0.00,16.00,15.50,15.56,4.82,405000
1990-05-02,0.00,15.75,15.44,15.50,4.80,1110200
1990-05-03,0.00,15.62,15.25,15.25,4.72,1210400
1990-05-04,0.00,15.50,15.12,15.25,4.72,358600
1990-05-07,0.00,15.38,15.12,15.31,4.74,849800
1990-05-08,0.00,15.38,15.00,15.25,4.72,286200
1990-05-09,0.00,15.25,14.88,15.00,4.64,200000
1990-05-10,0.00,15.12,14.94,15.00,4.64,342000
1990-05-11,0.00,15.25,14.94,15.25,4.72,1410600
1990-05-14,0.00,15.75,15.12,15.62,4.84,1316200
1990-05-15,0.00,15.81,15.50,15.75,4.88,458800
1990-05-16,0.00,15.75,15.50,15.50,4.80,211400
1990-05-17,0.00,16.38,15.50,16.38,5.07,545600
1990-05-18,0.00,16.62,16.25,16.50,5.11,620000
1990-05-21,0.00,16.62,16.38,16.44,5.09,310200
1990-05-22,0.00,16.50,16.25,16.50,5.11,391800
1990-05-23,0.00,16.50,16.12,16.25,5.03,339800
1990-05-24,0.00,16.38,16.00,16.06,4.97,437800
1990-05-25,0.00,16.12,15.88,16.00,4.95,981000
1990-05-29,0.00,16.00,15.75,15.88,4.92,527200
1990-05-30,0.00,16.00,15.75,15.81,4.90,431400
1990-05-31,0.00,15.88,15.75,15.75,4.88,179200
1990-06-01,0.00,15.88,15.75,15.81,4.90,1195800
1990-06-04,0.00,16.00,15.81,16.00,4.95,1166600
1990-06-05,0.00,16.25,16.00,16.12,4.99,406000
1990-06-06,0.00,16.25,16.06,16.25,5.03,392200
1990-06-07,0.00,16.62,16.12,16.50,5.11,369200
1990-06-08,0.00,16.50,16.25,16.50,5.11,203200
1990-06-11,0.00,16.81,16.25,16.50,5.11,99200
