Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.00,0.95,0.92,0.93,0.03,153600
1962-01-03,0.00,0.95,0.93,0.95,0.04,131200
1962-01-04,0.00,0.95,0.94,0.95,0.04,99200
1962-01-05,0.00,0.93,0.91,0.92,0.03,182400
1962-01-08,0.00,0.92,0.89,0.92,0.03,208000
1962-01-09,0.00,0.92,0.90,0.90,0.03,204800
1962-01-10,0.00,0.91,0.89,0.91,0.03,121600
1962-01-11,0.00,0.90,0.89,0.89,0.03,131200
1962-01-12,0.00,0.90,0.88,0.90,0.03,76800
1962-01-15,0.00,0.91,0.89,0.89,0.03,166400
1962-01-16,0.00,0.91,0.89,0.90,0.03,80000
1962-01-17,0.00,0.91,0.89,0.89,0.03,182400
1962-01-18,0.00,0.90,0.88,0.90,0.03,188800
1962-01-19,0.00,0.93,0.89,0.89,0.03,163200
1962-01-22,0.00,0.92,0.89,0.90,0.03,169600
1962-01-23,0.00,0.91,0.89,0.89,0.03,262400
1962-01-24,0.00,0.89,0.88,0.88,0.03,198400
1962-01-25,0.00,0.89,0.88,0.88,0.03,112000
1962-01-26,0.00,0.88,0.88,0.88,0.03,208000
1962-01-29,0.00,0.89,0.88,0.88,0.03,195200
1962-01-30,0.00,0.89,0.88,0.89,0.03,182400
1962-01-31,0.00,0.89,0.88,0.88,0.03,67200
1962-02-01,0.00,0.90,0.89,0.90,0.03,86400
1962-02-02,0.00,0.89,0.88,0.89,0.03,179200
1962-02-05,0.00,0.91,0.89,0.89,0.03,118400
1962-02-06,0.00,0.91,0.89,0.91,0.03,134400
1962-02-07,0.00,0.91,0.89,0.89,0.03,217600
1962-02-08,0.00,0.90,0.89,0.89,0.03,211200
1962-02-09,0.00,0.90,0.88,0.88,0.03,195200
1962-02-12,0.00,0.88,0.88,0.88,0.03,204800
1962-02-13,0.00,0.88,0.87,0.87,0.03,387200
1962-02-14,0.00,0.87,0.86,0.87,0.03,124800
1962-02-15,0.00,0.88,0.86,0.86,0.03,214400
1962-02-16,0.00,0.87,0.86,0.86,0.03,464000
1962-02-19,0.00,0.86,0.86,0.86,0.03,169600
1962-02-20,0.00,0.85,0.84,0.84,0.03,310400
1962-02-21,0.00,0.85,0.84,0.84,0.03,192000
1962-02-23,0.00,0.84,0.84,0.84,0.03,112000
1962-02-26,0.00,0.84,0.83,0.84,0.03,169600
1962-02-27,0.00,0.84,0.83,0.83,0.03,281600
1962-02-28,0.00,0.84,0.83,0.84,0.03,169600
1962-03-01,0.00,0.84,0.83,0.84,0.03,214400
1962-03-02,0.00,0.84,0.84,0.84,0.03,99200
1962-03-05,0.00,0.84,0.83,0.84,0.03,150400
1962-03-06,0.00,0.84,0.83,0.84,0.03,275200
1962-03-07,0.00,0.84,0.83,0.84,0.03,534400
1962-03-08,0.00,0.84,0.84,0.84,0.03,112000
1962-03-09,0.00,0.85,0.84,0.85,0.03,163200
1962-03-12,0.00,0.86,0.85,0.85,0.03,131200
1962-03-13,0.00,0.86,0.84,0.85,0.03,236800
1962-03-14,0.00,0.85,0.84,0.84,0.03,476800
1962-03-15,0.00,0.85,0.83,0.85,0.03,128000
1962-03-16,0.00,0.86,0.85,0.86,0.03,96000
1962-03-19,0.00,0.86,0.84,0.84,0.03,163200
1962-03-20,0.00,0.85,0.83,0.83,0.03,396800
1962-03-21,0.00,0.84,0.83,0.84,0.03,112000
1962-03-22,0.00,0.84,0.83,0.83,0.03,118400
1962-03-23,0.00,0.84,0.83,0.83,0.03,134400
1962-03-26,0.00,0.84,0.82,0.84,0.03,137600
1962-03-27,0.00,0.84,0.82,0.84,0.03,115200
1962-03-28,0.00,0.84,0.82,0.83,0.03,134400
1962-03-29,0.00,0.84,0.83,0.83,0.03,99200
1962-03-30,0.00,0.84,0.82,0.84,0.03,108800
1962-04-02,0.00,0.84,0.83,0.83,0.03,118400
1962-04-03,0.00,0.86,0.83,0.83,0.03,131200
1962-04-04,0.00,0.84,0.83,0.83,0.03,96000
1962-04-05,0.00,0.84,0.82,0.84,0.03,118400
1962-04-06,0.00,0.84,0.83,0.83,0.03,108800
1962-04-09,0.00,0.84,0.82,0.82,0.03,99200
1962-04-10,0.00,0.85,0.82,0.84,0.03,304000
1962-04-11,0.00,0.83,0.81,0.82,0.03,163200
1962-04-12,0.00,0.82,0.81,0.81,0.03,70400
