Date,Open,High,Low,Close,Adj Close,Volume
1992-05-19,1.75,1.75,1.66,1.75,1.19,18095200
1992-05-20,1.77,1.86,1.75,1.84,1.26,3993600
1992-05-21,1.84,1.86,1.80,1.84,1.26,1164800
1992-05-22,1.84,1.91,1.84,1.91,1.30,729600
1992-05-26,1.91,1.91,1.86,1.88,1.28,668800
1992-05-27,1.88,1.92,1.84,1.88,1.28,673600
1992-05-28,1.88,1.91,1.88,1.91,1.30,544800
1992-05-29,1.89,1.98,1.89,1.95,1.33,292800
1992-06-01,1.97,2.06,1.95,2.00,1.36,1489600
1992-06-02,2.00,2.03,1.98,2.02,1.37,1423200
1992-06-03,2.00,2.02,1.95,1.97,1.34,1146400
1992-06-04,1.97,1.98,1.95,1.97,1.34,408800
1992-06-05,1.98,1.98,1.97,1.98,1.35,491200
1992-06-08,1.98,1.98,1.94,1.97,1.34,701600
1992-06-09,1.98,1.98,1.88,1.92,1.31,880000
1992-06-10,1.91,1.92,1.89,1.92,1.31,448800
1992-06-11,1.94,1.97,1.92,1.94,1.32,208800
1992-06-12,1.97,2.00,1.95,1.97,1.34,518400
1992-06-15,1.94,2.02,1.94,1.98,1.35,380000
1992-06-16,2.00,2.00,1.91,1.92,1.31,216000
1992-06-17,1.95,1.97,1.92,1.94,1.32,816800
1992-06-18,1.95,1.95,1.92,1.92,1.31,220800
1992-06-19,1.91,1.92,1.91,1.92,1.31,192800
1992-06-22,1.94,1.95,1.89,1.94,1.32,954400
1992-06-23,1.97,2.00,1.95,1.97,1.34,1403200
1992-06-24,1.97,2.00,1.94,2.00,1.36,1368800
1992-06-25,2.00,2.03,1.98,2.00,1.36,462400
1992-06-26,1.98,2.03,1.98,2.03,1.38,803200
1992-06-29,2.05,2.16,2.05,2.12,1.45,295200
1992-06-30,2.09,2.28,2.09,2.28,1.55,545600
1992-07-01,2.31,2.39,2.17,2.38,1.62,2180000
1992-07-02,2.38,2.39,2.30,2.31,1.58,1099200
1992-07-06,2.33,2.36,2.33,2.36,1.61,1457600
1992-07-07,2.34,2.36,2.34,2.34,1.60,692800
1992-07-08,2.31,2.33,2.20,2.27,1.54,1060800
1992-07-09,2.31,2.41,2.31,2.38,1.62,1344000
1992-07-10,2.38,2.47,2.38,2.47,1.68,881600
1992-07-13,2.47,2.47,2.39,2.44,1.66,387200
1992-07-14,2.44,2.44,2.34,2.38,1.62,321600
1992-07-15,2.38,2.38,2.30,2.34,1.60,313600
1992-07-16,2.36,2.36,2.30,2.36,1.61,717600
1992-07-17,2.36,2.36,2.34,2.34,1.60,39200
1992-07-20,2.34,2.34,2.28,2.28,1.55,44800
1992-07-21,2.28,2.30,2.28,2.28,1.55,304000
1992-07-22,2.28,2.30,2.25,2.25,1.53,506400
1992-07-23,2.25,2.28,2.22,2.25,1.53,584000
1992-07-24,2.25,2.28,2.22,2.23,1.52,446400
1992-07-27,2.27,2.31,2.27,2.28,1.55,310400
1992-07-28,2.30,2.31,2.22,2.30,1.56,960800
1992-07-29,2.30,2.39,2.30,2.38,1.62,1070400
1992-07-30,2.36,2.38,2.34,2.38,1.62,618400
1992-07-31,2.38,2.42,2.38,2.42,1.65,500000
1992-08-03,2.42,2.53,2.42,2.50,1.70,260000
1992-08-04,2.52,2.62,2.52,2.59,1.77,676000
1992-08-05,2.59,2.70,2.58,2.70,1.84,204800
1992-08-06,2.67,2.70,2.62,2.66,1.81,551200
1992-08-07,2.62,2.73,2.62,2.72,1.85,625600
1992-08-10,2.72,2.72,2.53,2.62,1.79,549600
1992-08-11,2.66,2.81,2.62,2.81,1.92,171200
