Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.68,0.67,0.67,0.17,1044000
1980-03-18,0.00,0.67,0.66,0.67,0.17,855000
1980-03-19,0.00,0.69,0.68,0.69,0.17,1872000
1980-03-20,0.00,0.69,0.68,0.69,0.17,720000
1980-03-21,0.00,0.69,0.68,0.68,0.17,1170000
1980-03-24,0.00,0.68,0.66,0.66,0.17,3375000
1980-03-25,0.00,0.66,0.64,0.65,0.16,2466000
1980-03-26,0.00,0.65,0.64,0.64,0.16,1368000
1980-03-27,0.00,0.63,0.59,0.60,0.15,2439000
1980-03-28,0.00,0.62,0.60,0.62,0.16,720000
1980-03-31,0.00,0.63,0.62,0.63,0.16,468000
1980-04-01,0.00,0.65,0.63,0.65,0.17,882000
1980-04-02,0.00,0.70,0.66,0.69,0.17,1998000
1980-04-03,0.00,0.69,0.68,0.68,0.17,450000
1980-04-07,0.00,0.68,0.67,0.68,0.17,1656000
1980-04-08,0.00,0.68,0.68,0.68,0.17,495000
1980-04-09,0.00,0.69,0.68,0.69,0.18,315000
1980-04-10,0.00,0.71,0.70,0.71,0.18,288000
1980-04-11,0.00,0.71,0.71,0.71,0.18,396000
1980-04-14,0.00,0.71,0.70,0.70,0.18,216000
1980-04-15,0.00,0.71,0.70,0.70,0.18,225000
1980-04-16,0.00,0.71,0.70,0.71,0.18,954000
1980-04-17,0.00,0.71,0.70,0.71,0.18,1431000
1980-04-18,0.00,0.71,0.70,0.71,0.18,729000
1980-04-21,0.00,0.71,0.70,0.70,0.18,882000
1980-04-22,0.00,0.72,0.71,0.72,0.18,2961000
1980-04-23,0.00,0.73,0.73,0.73,0.18,648000
1980-04-24,0.00,0.77,0.73,0.76,0.19,1845000
1980-04-25,0.00,0.76,0.74,0.75,0.19,891000
1980-04-28,0.00,0.75,0.73,0.73,0.19,963000
1980-04-29,0.00,0.73,0.73,0.73,0.19,207000
1980-04-30,0.00,0.73,0.72,0.73,0.18,909000
1980-05-01,0.00,0.73,0.72,0.72,0.18,837000
1980-05-02,0.00,0.73,0.72,0.72,0.18,540000
1980-05-05,0.00,0.73,0.72,0.73,0.18,126000
1980-05-06,0.00,0.76,0.73,0.76,0.19,3519000
1980-05-07,0.00,0.80,0.76,0.79,0.20,5814000
1980-05-08,0.00,0.84,0.80,0.81,0.21,4311000
1980-05-09,0.00,0.81,0.79,0.79,0.20,2124000
