Date,Open,High,Low,Close,Adj Close,Volume
1996-08-02,13.00,13.50,12.33,13.50,8.90,5576850
1996-08-05,13.17,13.83,13.17,13.50,8.90,757200
1996-08-06,13.17,13.83,13.17,13.42,8.84,405300
1996-08-07,13.33,14.00,13.33,13.75,9.06,172950
1996-08-08,14.00,14.17,13.33,13.67,9.01,279300
1996-08-09,13.67,14.67,13.67,14.33,9.45,127050
1996-08-12,14.17,15.00,14.17,14.67,9.67,191850
1996-08-13,15.17,15.17,14.33,14.50,9.56,322650
1996-08-14,14.67,16.33,14.00,15.83,10.44,541950
1996-08-15,16.00,17.17,15.83,17.00,11.21,552750
1996-08-16,16.83,18.33,16.83,17.83,11.76,516750
1996-08-19,18.33,18.33,17.83,18.17,11.98,385200
1996-08-20,18.00,18.33,15.67,16.67,10.99,676800
1996-08-21,16.67,17.83,16.67,17.67,11.65,250200
1996-08-22,18.00,18.00,17.33,17.67,11.65,198450
1996-08-23,17.50,17.50,17.00,17.00,11.21,166800
1996-08-26,17.00,17.50,15.50,16.08,10.60,404100
1996-08-27,16.17,16.83,16.17,16.67,10.99,353850
1996-08-28,17.33,19.17,16.83,18.83,12.42,744300
1996-08-29,19.17,19.50,18.50,18.83,12.42,131700
1996-08-30,18.50,19.17,18.50,18.67,12.31,125850
1996-09-03,18.00,19.33,18.00,19.33,12.75,189750
1996-09-04,19.50,20.42,19.17,20.17,13.29,296550
1996-09-05,20.00,20.67,20.00,20.17,13.29,279150
1996-09-06,20.00,20.33,20.00,20.00,13.19,93750
1996-09-09,19.83,20.33,19.83,19.83,13.08,24300
1996-09-10,19.83,20.67,19.83,20.58,13.57,88200
1996-09-11,20.17,20.67,20.17,20.33,13.40,39000
1996-09-12,21.00,21.33,20.33,20.67,13.62,147750
1996-09-13,20.67,21.33,20.67,21.33,14.06,166500
1996-09-16,21.33,21.33,20.67,20.67,13.62,109350
1996-09-17,20.67,21.33,20.67,20.75,13.68,94650
1996-09-18,21.00,21.33,20.67,20.67,13.62,19500
1996-09-19,20.67,22.50,20.67,22.50,14.83,157650
1996-09-20,21.83,24.33,21.83,24.25,15.99,287400
1996-09-23,23.67,25.33,23.67,25.25,16.65,135600
1996-09-24,25.17,25.17,24.50,24.83,16.37,655350
1996-09-25,25.00,25.83,25.00,25.67,16.92,170850
1996-09-26,26.00,26.33,25.50,26.33,17.36,173100
1996-09-27,26.33,27.17,26.17,27.17,17.91,125700
1996-09-30,27.17,27.67,26.83,27.67,18.24,86400
1996-10-01,27.17,28.33,26.50,26.58,17.53,156750
1996-10-02,26.83,26.83,22.83,24.17,15.93,1183650
1996-10-03,24.00,24.17,23.67,23.67,15.60,90900
1996-10-04,23.67,24.83,23.67,24.75,16.32,189000
1996-10-07,24.67,26.00,24.33,25.67,16.92,588450
1996-10-08,26.00,26.00,24.58,24.67,16.26,99300
1996-10-09,25.17,25.17,23.67,23.67,15.60,122700
1996-10-10,23.67,24.17,23.17,23.17,15.27,40350
1996-10-11,23.67,23.67,23.17,23.33,15.38,230550
1996-10-14,23.17,23.50,23.17,23.33,15.38,77700
1996-10-15,23.17,24.50,23.17,24.00,15.82,246600
1996-10-16,24.33,24.50,23.75,24.50,16.15,585000
1996-10-17,24.50,24.50,24.00,24.33,16.04,15450
1996-10-18,24.50,25.17,24.00,25.17,16.59,68550
1996-10-21,25.17,25.17,23.33,23.83,15.71,101700
1996-10-22,23.50,24.00,22.00,22.00,14.50,361050
1996-10-23,22.17,23.08,20.83,20.83,13.73,312000
1996-10-24,20.67,21.33,19.67,20.17,13.29,108600
1996-10-25,20.17,20.17,19.83,19.83,13.08,606900
1996-10-28,19.83,20.17,18.00,18.33,12.09,99000
1996-10-29,18.17,19.17,17.00,17.67,11.65,601050
1996-10-30,17.50,18.83,17.50,18.58,12.25,140850
1996-10-31,18.83,18.83,18.00,18.33,12.09,305550
1996-11-01,18.00,18.67,18.00,18.33,12.09,45450
1996-11-04,18.50,18.50,18.00,18.04,11.89,21000
1996-11-05,18.50,18.50,17.00,17.33,11.43,52650
1996-11-06,17.50,17.50,17.00,17.50,11.54,30300
1996-11-07,16.67,17.00,16.00,16.50,10.88,155100
1996-11-08,16.50,17.33,16.50,17.00,11.21,103200
1996-11-11,16.83,17.33,15.83,16.08,10.60,202650
1996-11-12,15.83,16.50,15.83,16.33,10.77,90450
1996-11-13,15.83,16.33,15.83,16.17,10.66,315600
1996-11-14,16.00,17.50,16.00,17.50,11.54,249300
1996-11-15,17.50,17.83,16.67,17.00,11.21,58200
1996-11-18,17.00,18.00,16.83,17.58,11.59,99750
1996-11-19,17.83,18.17,17.50,17.67,11.65,132450
1996-11-20,17.83,17.83,17.33,17.33,11.43,23700
1996-11-21,17.83,17.83,15.33,16.17,10.66,109050
1996-11-22,15.33,15.67,15.25,15.58,10.27,2316900
1996-11-25,15.58,15.83,15.58,15.58,10.27,666300
1996-11-26,15.58,15.83,15.42,15.50,10.22,358950
1996-11-27,15.50,15.83,15.50,15.50,10.22,102300
1996-11-29,15.50,15.83,15.50,15.50,10.22,34650
1996-12-02,15.50,17.08,15.50,16.92,11.15,218100
1996-12-03,17.00,17.00,16.33,16.33,10.77,157650
1996-12-04,16.33,16.67,16.00,16.33,10.77,169200
1996-12-05,16.00,16.50,16.00,16.50,10.88,40650
1996-12-06,15.33,16.33,15.33,15.83,10.44,142350
1996-12-09,15.83,17.17,15.83,16.83,11.10,661500
1996-12-10,17.00,18.17,16.67,17.67,11.65,317700
1996-12-11,17.33,17.50,16.83,17.25,11.37,112500
1996-12-12,17.50,17.50,17.00,17.00,11.21,186150
1996-12-13,17.00,17.50,17.00,17.00,11.21,124650
1996-12-16,16.83,17.83,16.83,17.38,11.45,287400
1996-12-17,17.17,17.67,16.83,16.83,11.10,183000
1996-12-18,17.00,17.00,16.67,16.67,10.99,31350
1996-12-19,17.00,17.00,16.67,16.67,10.99,17100
1996-12-20,16.67,17.00,16.50,16.67,10.99,32550
1996-12-23,16.33,16.50,16.17,16.42,10.82,157200
1996-12-24,16.17,16.50,16.17,16.33,10.77,24600
1996-12-26,16.00,16.33,16.00,16.00,10.55,3750
1996-12-27,16.00,16.50,15.00,15.83,10.44,291150
1996-12-30,15.50,15.83,15.50,15.50,10.22,195750
1996-12-31,16.17,16.17,15.50,16.17,10.66,39750
1997-01-02,16.17,16.50,16.00,16.00,10.55,56550
1997-01-03,16.00,17.00,16.00,16.50,10.88,91950
1997-01-06,17.00,17.00,16.50,17.00,11.21,22950
1997-01-07,17.00,17.00,16.17,16.67,10.99,65250
1997-01-08,16.83,17.08,16.33,16.33,10.77,133050
1997-01-09,16.33,16.67,15.92,16.17,10.66,144000
1997-01-10,16.17,16.33,16.17,16.33,10.77,13350
1997-01-13,16.50,16.67,16.17,16.67,10.99,58650
1997-01-14,17.00,17.00,16.00,16.33,10.77,126300
1997-01-15,16.00,16.33,15.67,16.17,10.66,256950
1997-01-16,15.83,16.33,15.75,15.92,10.49,559800
1997-01-17,16.33,16.50,15.83,16.17,10.66,67650
1997-01-20,16.17,16.33,15.83,16.08,10.60,11550
1997-01-21,16.00,17.00,16.00,16.50,10.88,336600
1997-01-22,16.50,16.83,16.17,16.17,10.66,31350
1997-01-23,16.17,16.50,16.00,16.00,10.55,31500
1997-01-24,16.00,16.50,14.50,15.83,10.44,103650
1997-01-27,15.83,16.00,15.42,16.00,10.55,33150
1997-01-28,15.67,17.00,15.67,16.75,11.04,98550
1997-01-29,16.50,16.83,16.33,16.83,11.10,62550
1997-01-30,16.33,16.83,16.17,16.67,10.99,59400
1997-01-31,16.67,16.67,15.92,16.33,10.77,18750
1997-02-03,16.33,16.33,14.50,14.83,9.78,130950
1997-02-04,14.83,15.50,14.67,15.00,9.89,70050
1997-02-05,16.00,16.00,15.00,15.33,10.11,27600
1997-02-06,15.50,15.50,14.83,15.33,10.11,17550
1997-02-07,15.33,16.00,15.33,16.00,10.55,285000
1997-02-10,15.83,16.83,14.83,15.33,10.11,126300
1997-02-11,15.17,15.50,14.33,14.50,9.56,41550
1997-02-12,14.67,15.00,14.00,14.67,9.67,66150
1997-02-13,14.83,15.50,14.50,15.50,10.22,47700
1997-02-14,15.67,15.83,15.33,15.83,10.44,51150
1997-02-18,15.50,15.67,15.00,15.33,10.11,12750
1997-02-19,15.00,15.33,15.00,15.33,10.11,8700
1997-02-20,15.17,15.33,15.00,15.00,9.89,29850
1997-02-21,14.67,15.00,13.33,13.33,8.79,63450
1997-02-24,13.33,13.67,12.88,13.00,8.57,68700
1997-02-25,13.17,13.33,12.67,13.17,8.68,84600
1997-02-26,13.17,13.67,12.50,12.83,8.46,108600
1997-02-27,12.50,13.00,12.50,12.83,8.46,278550
1997-02-28,12.83,12.83,12.00,12.33,8.13,542100
1997-03-03,12.00,12.50,11.83,12.33,8.13,233550
1997-03-04,12.33,12.67,12.33,12.67,8.35,121500
1997-03-05,12.67,13.00,12.67,12.83,8.46,264000
1997-03-06,13.00,13.67,13.00,13.33,8.79,122400
1997-03-07,13.67,14.33,13.67,14.17,9.34,79050
1997-03-10,14.17,15.33,14.17,14.67,9.67,78300
1997-03-11,14.83,14.83,14.67,14.83,9.78,24600
1997-03-12,15.00,15.00,14.33,14.67,9.67,22050
1997-03-13,14.67,14.67,14.33,14.33,9.45,4500
1997-03-14,14.33,14.83,14.33,14.83,9.78,24900
1997-03-17,14.83,14.83,13.67,14.00,9.23,46350
1997-03-18,14.50,14.67,14.17,14.42,9.50,22350
1997-03-19,14.17,14.33,14.04,14.25,9.39,29850
1997-03-20,14.00,14.33,13.67,13.75,9.06,29700
1997-03-21,13.50,13.67,13.25,13.25,8.74,19950
1997-03-24,13.25,13.50,13.25,13.50,8.90,11400
1997-03-25,13.25,13.50,13.17,13.17,8.68,10500
1997-03-26,13.33,14.17,13.00,13.67,9.01,168150
1997-03-27,13.50,13.83,13.25,13.25,8.74,44850
1997-03-31,13.50,13.50,13.17,13.50,8.90,32550
1997-04-01,13.33,13.50,13.17,13.25,8.74,51900
1997-04-02,13.25,13.50,13.17,13.17,8.68,24300
1997-04-03,13.50,13.50,13.17,13.17,8.68,26550
1997-04-04,13.50,13.50,13.17,13.50,8.90,34650
1997-04-07,13.50,13.50,13.17,13.17,8.68,3900
1997-04-08,13.17,13.50,13.17,13.17,8.68,9600
1997-04-09,13.50,13.67,13.17,13.67,9.01,77850
1997-04-10,13.67,13.83,13.33,13.67,9.01,169650
1997-04-11,13.75,13.75,13.33,13.33,8.79,43800
1997-04-14,13.83,14.08,13.33,14.00,9.23,276150
1997-04-15,13.83,14.25,13.83,14.17,9.34,93600
1997-04-16,14.00,14.00,12.42,12.42,8.19,105900
1997-04-17,13.00,13.00,11.83,12.25,8.08,334950
1997-04-18,12.33,12.33,11.83,11.83,7.80,221250
1997-04-21,11.83,12.17,10.75,10.83,7.14,107400
1997-04-22,10.67,11.17,10.67,11.17,7.36,127950
1997-04-23,11.33,11.33,10.83,11.17,7.36,160650
1997-04-24,11.17,11.50,11.00,11.17,7.36,175950
1997-04-25,11.50,12.33,11.17,12.33,8.13,177450
1997-04-28,12.33,13.25,12.08,12.33,8.13,133800
1997-04-29,12.33,12.75,12.25,12.50,8.24,136350
1997-04-30,12.50,13.67,12.25,13.17,8.68,82350
1997-05-01,13.08,14.50,13.08,13.83,9.12,137100
1997-05-02,14.33,14.33,13.67,14.25,9.39,380700
1997-05-05,14.17,14.17,13.67,13.83,9.12,239550
1997-05-06,13.83,15.00,13.83,14.83,9.78,440400
1997-05-07,15.00,15.00,14.67,14.92,9.83,330600
1997-05-08,14.67,14.92,14.67,14.67,9.67,44550
1997-05-09,14.83,14.92,14.17,14.33,9.45,16800
1997-05-12,14.67,14.67,14.17,14.17,9.34,13200
1997-05-13,14.17,14.50,13.00,13.17,8.68,112650
1997-05-14,13.17,14.00,13.17,13.67,9.01,102750
1997-05-15,13.67,14.00,13.67,13.67,9.01,274200
1997-05-16,13.67,14.50,13.33,14.17,9.34,147750
