Date,Open,High,Low,Close,Adj Close,Volume
2005-05-05,25.00,25.24,24.00,24.00,13.97,34955500
2005-05-06,24.05,24.39,23.65,24.10,14.03,3338700
2005-05-09,23.70,23.70,22.55,23.40,13.62,4255700
2005-05-10,23.20,24.00,23.11,24.00,13.97,2704300
2005-05-11,23.90,24.00,22.80,22.87,13.31,2972400
2005-05-12,22.87,22.87,21.55,21.61,12.58,1604800
2005-05-13,21.75,22.26,21.60,21.90,12.75,4238800
2005-05-16,21.90,22.05,21.90,21.90,12.75,445400
2005-05-17,21.83,21.83,20.40,20.90,12.16,2168200
2005-05-18,20.89,21.75,20.63,21.40,12.45,2837200
2005-05-19,21.50,21.82,21.45,21.70,12.63,595300
2005-05-20,21.71,21.71,21.34,21.34,12.42,358600
2005-05-23,21.34,21.45,20.70,20.84,12.13,1997200
2005-05-24,20.84,20.98,20.69,20.70,12.05,811800
2005-05-25,20.70,21.15,20.56,21.01,12.23,957400
2005-05-26,21.10,21.90,21.10,21.90,12.75,1191300
2005-05-27,21.90,22.15,21.76,21.78,12.68,481400
2005-05-31,22.10,22.10,21.56,21.65,12.60,847700
2005-06-01,21.65,24.39,21.40,24.39,14.19,474300
2005-06-02,21.55,21.95,21.42,21.90,12.75,962200
2005-06-03,21.86,21.90,21.48,21.65,12.60,390300
2005-06-06,21.65,21.80,21.51,21.57,12.55,259500
2005-06-07,21.48,21.69,21.10,21.26,12.37,207600
2005-06-08,21.35,21.60,21.23,21.44,12.48,632000
2005-06-09,21.50,21.60,21.25,21.45,12.48,499700
2005-06-10,21.45,21.86,21.41,21.76,12.66,854400
2005-06-13,22.00,22.17,21.90,22.15,12.89,864200
2005-06-14,22.87,23.13,22.56,23.10,13.44,2745900
2005-06-15,23.15,23.20,22.22,22.90,13.33,1184600
2005-06-16,23.04,24.24,23.03,24.24,14.11,1661300
2005-06-17,24.18,24.19,23.66,23.97,13.95,758800
2005-06-20,23.90,23.94,23.30,23.67,13.78,723900
2005-06-21,23.60,23.65,23.20,23.40,13.62,586200
2005-06-22,23.30,23.33,23.12,23.23,13.52,681600
2005-06-23,23.13,23.15,22.82,23.07,13.43,172400
2005-06-24,23.03,23.86,23.02,23.33,13.58,533100
2005-06-27,23.26,23.57,23.25,23.46,13.65,331500
2005-06-28,23.42,23.65,23.40,23.53,13.69,213300
2005-06-29,23.53,23.62,23.20,23.20,13.50,604600
2005-06-30,23.20,23.58,23.20,23.25,13.53,498400
2005-07-01,23.10,23.13,22.84,23.03,13.40,170000
2005-07-05,23.00,23.18,22.87,22.99,13.38,259300
2005-07-06,22.99,23.51,22.93,23.48,13.66,248100
2005-07-07,23.40,23.97,23.03,23.20,13.50,216200
2005-07-08,23.20,23.70,23.06,23.48,13.66,176800
2005-07-11,23.50,24.07,23.40,23.78,13.84,185400
2005-07-12,23.75,24.21,23.60,23.92,13.92,636900
2005-07-13,24.05,24.18,23.71,23.78,13.84,162700
2005-07-14,24.00,24.15,23.67,24.10,14.03,383700
2005-07-15,24.10,24.30,23.75,23.95,13.94,488200
2005-07-18,23.93,24.03,23.74,23.88,13.90,248700
2005-07-19,23.98,24.30,23.86,24.25,14.11,455600
2005-07-20,24.40,24.90,24.33,24.80,14.43,679900
2005-07-21,24.75,24.80,24.38,24.51,14.26,268000
2005-07-22,24.46,24.83,24.42,24.59,14.31,370600
2005-07-25,24.30,24.47,24.17,24.31,14.15,157400
2005-07-26,24.34,24.34,23.58,23.71,13.80,1726500
2005-07-27,23.66,23.82,23.38,23.66,13.77,133900
2005-07-28,23.66,24.07,23.45,23.64,13.76,98000
2005-07-29,23.63,24.07,23.63,23.86,13.89,148500
