Date,Open,High,Low,Close,Adj Close,Volume
2014-11-04,49.76,49.76,44.98,45.15,45.15,43054
2014-11-05,46.88,50.14,44.98,48.76,48.76,1580249
2014-11-06,48.52,48.91,45.93,47.85,47.85,1364561
2014-11-07,47.94,48.43,47.27,47.39,47.39,568898
2014-11-10,47.17,47.67,44.56,44.72,44.72,807158
2014-11-11,44.27,44.74,42.87,43.72,43.72,1251388
2014-11-12,42.71,45.44,42.71,45.12,45.12,779570
2014-11-13,44.33,46.89,44.12,46.43,46.43,827327
2014-11-14,46.54,46.97,45.44,45.92,45.92,739129
2014-11-17,46.08,47.00,45.94,46.58,46.58,311724
2014-11-18,45.94,47.26,45.93,46.79,46.79,427301
2014-11-19,47.78,48.66,46.74,48.54,48.54,281314
2014-11-20,48.10,49.67,48.10,48.98,48.98,470459
2014-11-21,48.62,49.87,48.62,49.38,49.38,535145
2014-11-24,48.98,50.73,48.98,50.64,50.64,401489
2014-11-25,50.98,51.84,50.08,51.58,51.58,745294
2014-11-26,52.12,52.33,51.54,52.01,52.01,254980
2014-11-28,52.54,52.84,52.04,52.48,52.48,104709
2014-12-01,52.87,52.97,51.63,51.69,51.69,199386
2014-12-02,52.15,52.16,51.38,51.92,51.92,404520
2014-12-03,51.46,52.16,51.23,51.26,51.26,298557
2014-12-04,51.00,51.80,50.92,51.69,51.69,219032
2014-12-05,52.15,52.57,51.61,52.11,52.11,505257
2014-12-08,52.13,52.27,51.57,52.04,52.04,355614
2014-12-09,51.20,52.31,50.73,51.95,51.95,358122
2014-12-10,51.55,52.60,51.55,51.73,51.73,375887
2014-12-11,52.00,52.11,49.61,50.65,50.65,475600
2014-12-12,50.19,50.74,49.02,49.07,49.07,140900
2014-12-15,48.58,49.51,47.86,48.27,48.27,591500
2014-12-16,47.28,48.06,47.28,47.75,47.75,761200
2014-12-17,47.66,48.28,47.66,48.05,48.05,645900
2014-12-18,48.31,48.71,48.12,48.29,48.29,670600
2014-12-19,48.34,49.51,48.27,49.31,49.31,824900
2014-12-22,49.43,50.79,49.31,50.68,50.68,219100
2014-12-23,50.88,51.44,50.70,51.25,51.25,210900
2014-12-24,51.21,51.27,50.88,50.88,50.88,37600
2014-12-26,50.84,50.89,50.55,50.81,50.81,72200
2014-12-29,50.65,50.65,49.78,50.37,50.37,80000
2014-12-30,50.10,50.69,49.67,50.59,50.59,268900
2014-12-31,49.18,50.66,49.18,50.09,50.09,278600
2015-01-02,50.00,50.00,49.50,49.80,49.80,160600
2015-01-05,49.55,49.55,48.64,48.81,48.81,240200
2015-01-06,48.81,48.81,47.08,47.53,47.53,119100
2015-01-07,47.68,48.35,47.36,47.68,47.68,79700
2015-01-08,47.91,49.75,47.91,49.29,49.29,597800
2015-01-09,49.14,49.89,48.22,48.89,48.89,243100
2015-01-12,48.89,49.17,48.51,48.99,48.99,171000
2015-01-13,49.22,50.19,49.06,49.85,49.85,276000
2015-01-14,49.14,49.42,47.64,48.13,48.13,381400
2015-01-15,48.22,49.11,47.71,49.06,49.06,196800
2015-01-16,48.88,49.27,48.44,48.98,48.98,135300
2015-01-20,49.04,49.57,47.24,47.47,47.47,113500
2015-01-21,47.30,47.64,46.80,47.13,47.13,96700
2015-01-22,47.16,47.75,46.85,47.56,47.56,109500
2015-01-23,47.60,47.60,46.90,47.09,47.09,61500
2015-01-26,47.09,47.47,46.90,47.25,47.25,155100
2015-01-27,46.79,47.11,46.67,47.11,47.11,85400
2015-01-28,47.56,47.56,45.40,45.61,45.61,105200
2015-01-29,45.68,45.70,45.03,45.12,45.12,104500
2015-01-30,45.00,45.11,44.32,44.47,44.47,176000
2015-02-02,44.50,45.26,44.08,45.24,45.24,105100
2015-02-03,45.24,47.15,45.24,47.03,47.03,86200
2015-02-04,46.68,49.88,46.68,48.62,48.62,257700
2015-02-05,49.01,51.41,49.01,51.00,51.00,425300
2015-02-06,51.19,51.19,49.90,50.05,50.05,100900
2015-02-09,49.97,50.35,49.41,49.59,49.59,60000
2015-02-10,49.92,50.02,49.14,49.93,49.93,92900
2015-02-11,50.00,50.19,49.01,49.37,49.37,164300
2015-02-12,49.51,50.26,48.77,50.21,50.21,252800
2015-02-13,50.14,50.41,49.19,49.95,49.95,92600
2015-02-17,49.78,50.63,49.59,50.63,50.63,68900
2015-02-18,50.42,50.84,49.82,50.50,50.50,59300
2015-02-19,50.50,50.65,50.13,50.48,50.48,48300
2015-02-20,50.95,50.95,49.80,50.61,50.61,141600
2015-02-23,50.32,50.97,50.32,50.91,50.91,75700
2015-02-24,51.00,51.50,50.99,51.27,51.27,69400
2015-02-25,51.33,52.63,51.33,52.52,52.52,207900
2015-02-26,52.20,52.77,51.86,52.05,52.05,60500
2015-02-27,52.13,52.56,51.63,51.86,51.86,51000
2015-03-02,52.07,52.99,51.82,52.85,52.85,60100
2015-03-03,52.60,53.79,52.60,53.69,53.69,52600
2015-03-04,53.63,53.63,52.74,52.90,52.90,37600
2015-03-05,53.00,53.04,52.50,52.79,52.79,38200
2015-03-06,52.29,52.90,51.80,52.17,52.17,64700
2015-03-09,51.93,53.81,51.93,53.76,53.76,123100
2015-03-10,53.40,53.40,52.55,52.69,52.69,51400
2015-03-11,52.82,53.03,52.41,52.94,52.94,87600
2015-03-12,53.00,56.13,53.00,55.54,55.54,291900
2015-03-13,55.59,55.94,55.15,55.27,55.27,156300
2015-03-16,55.32,55.84,54.92,55.36,55.36,175000
2015-03-17,55.06,55.06,54.40,54.67,54.67,48700
2015-03-18,54.62,54.85,54.41,54.56,54.56,65900
2015-03-19,54.25,54.50,53.70,54.26,54.26,153700
2015-03-20,54.51,54.70,53.93,54.15,54.15,202100
2015-03-23,54.00,54.26,53.64,53.91,53.91,99000
2015-03-24,53.70,54.90,53.38,54.75,54.75,172900
2015-03-25,54.60,54.60,53.56,53.80,53.80,89700
2015-03-26,53.69,53.69,52.67,53.27,53.27,84600
2015-03-27,53.26,54.00,53.15,53.97,53.97,240100
2015-03-30,53.96,54.48,53.66,53.70,53.70,76500
2015-03-31,56.26,58.13,56.23,56.48,56.48,505300
2015-04-01,56.48,56.60,54.90,55.60,55.60,185800
2015-04-02,55.24,55.85,55.24,55.84,55.84,97800
2015-04-06,55.67,56.14,55.62,55.85,55.85,85800
2015-04-07,56.07,56.24,55.56,55.75,55.75,185400
2015-04-08,55.75,56.05,55.30,55.79,55.79,220800
2015-04-09,56.00,56.22,55.82,55.93,55.93,94400
2015-04-10,55.52,56.24,55.52,56.03,56.03,123000
2015-04-13,56.05,56.13,55.59,55.72,55.72,106600
2015-04-14,55.58,55.97,55.41,55.55,55.55,118800
2015-04-15,55.77,56.20,55.45,55.51,55.51,260500
2015-04-16,55.29,55.73,55.29,55.66,55.66,48400
2015-04-17,56.22,56.22,54.34,54.54,54.54,123500
2015-04-20,54.52,55.05,53.58,53.85,53.85,129900
2015-04-21,53.97,54.82,53.97,54.59,54.59,82600
2015-04-22,54.74,54.74,53.49,53.64,53.64,176800
2015-04-23,53.72,53.86,52.98,53.02,53.02,231400
