Date,Open,High,Low,Close,Adj Close,Volume
1999-07-29,19.12,19.88,18.75,18.75,12.53,4780800
1999-07-30,19.00,19.19,18.62,19.19,12.82,1036200
1999-08-02,19.00,19.00,18.75,18.75,12.53,168800
1999-08-03,18.75,18.81,18.25,18.75,12.53,246200
1999-08-04,18.75,18.75,18.12,18.62,12.45,178200
1999-08-05,18.62,18.62,17.88,18.12,12.11,67700
1999-08-06,18.12,18.19,17.38,17.50,11.69,103900
1999-08-09,17.44,17.56,17.19,17.38,11.61,75800
1999-08-10,17.25,17.25,16.75,17.00,11.36,81500
1999-08-11,17.00,17.44,17.00,17.44,11.65,18700
1999-08-12,18.25,18.25,17.62,17.75,11.86,63400
1999-08-13,17.88,17.94,17.19,17.19,11.49,62700
1999-08-16,17.00,17.00,16.25,16.44,10.98,72600
1999-08-17,16.44,16.88,16.38,16.62,11.11,37400
1999-08-18,16.62,16.69,16.38,16.38,10.94,36800
1999-08-19,16.38,16.62,16.38,16.50,11.03,32600
1999-08-20,16.44,17.19,16.44,17.00,11.36,136100
1999-08-23,17.88,17.94,17.25,17.38,11.61,193800
1999-08-24,17.12,17.44,16.88,17.06,11.40,126600
1999-08-25,16.88,17.00,16.50,16.62,11.17,125500
1999-08-26,16.62,17.00,16.62,17.00,11.42,32700
1999-08-27,17.25,17.50,17.12,17.44,11.71,34300
1999-08-30,17.44,18.38,17.25,18.06,12.13,136000
1999-08-31,17.94,19.25,17.75,19.00,12.76,309100
1999-09-01,19.06,19.06,18.25,18.38,12.34,49100
1999-09-02,18.38,18.38,17.75,18.38,12.34,50900
1999-09-03,18.44,18.56,18.19,18.31,12.30,52300
1999-09-07,18.06,18.06,17.81,17.81,11.96,12700
1999-09-08,17.81,17.81,16.62,16.94,11.38,54400
1999-09-09,16.81,16.94,16.62,16.75,11.25,28100
1999-09-10,16.88,16.88,16.25,16.25,10.91,91800
1999-09-13,16.38,17.06,16.38,16.94,11.38,33600
1999-09-14,17.06,17.12,16.38,16.50,11.08,18500
1999-09-15,16.50,17.00,16.31,17.00,11.42,69500
1999-09-16,17.25,17.25,16.81,16.81,11.29,84500
1999-09-17,17.00,17.12,16.88,17.12,11.50,22500
1999-09-20,17.06,17.06,16.81,16.94,11.38,18200
1999-09-21,16.75,16.81,16.50,16.50,11.08,23800
1999-09-22,16.50,16.81,16.50,16.75,11.25,19600
1999-09-23,16.75,16.75,15.38,15.38,10.33,55700
1999-09-24,15.38,15.50,14.50,14.94,10.03,80200
1999-09-27,15.06,15.25,14.75,14.81,9.95,69600
1999-09-28,14.69,14.75,14.50,14.69,9.86,37600
1999-09-29,14.62,14.75,14.62,14.75,9.91,114600
1999-09-30,15.50,15.88,15.25,15.50,10.41,83000
1999-10-01,15.00,15.75,15.00,15.75,10.58,65000
1999-10-04,15.75,15.75,15.44,15.62,10.49,107500
1999-10-05,15.38,15.56,15.00,15.00,10.07,83000
1999-10-06,15.00,15.06,14.62,14.62,9.82,58700
1999-10-07,14.62,15.00,14.62,14.94,10.03,68100
1999-10-08,14.69,14.88,14.38,14.56,9.78,60000
1999-10-11,14.62,14.62,14.25,14.31,9.61,40900
1999-10-12,14.31,14.31,13.25,13.81,9.28,177700
1999-10-13,13.69,15.19,13.69,14.94,10.03,75500
1999-10-14,14.88,15.12,14.56,14.75,9.91,50400
1999-10-15,14.62,14.62,14.25,14.25,9.57,15700
1999-10-18,14.25,14.44,13.88,14.00,9.40,29100
1999-10-19,13.75,13.75,13.38,13.50,9.07,36200
1999-10-20,13.50,13.75,13.25,13.50,9.07,25700
1999-10-21,13.44,13.50,13.19,13.38,8.98,15200
1999-10-22,13.31,13.50,13.25,13.25,8.90,17100
1999-10-25,13.12,13.12,12.88,13.12,8.81,38200
1999-10-26,13.25,13.69,13.25,13.25,8.90,319000
1999-10-27,13.12,13.12,9.88,10.00,6.72,991200
1999-10-28,10.00,10.19,9.12,9.62,6.46,958900
1999-10-29,9.69,10.25,9.62,10.19,6.84,553200
1999-11-01,10.69,11.00,10.00,10.12,6.80,218600
1999-11-02,10.50,10.75,10.25,10.56,7.09,365500
1999-11-03,10.56,10.88,10.50,10.56,7.09,157100
1999-11-04,10.50,10.62,10.44,10.44,7.01,81800
1999-11-05,10.44,10.62,10.25,10.56,7.09,226100
1999-11-08,10.69,10.81,10.50,10.81,7.26,125900
1999-11-09,10.81,10.81,10.56,10.62,7.14,79100
1999-11-10,10.62,10.81,10.50,10.81,7.26,124000
1999-11-11,10.94,11.44,10.75,10.88,7.30,271200
1999-11-12,10.81,10.81,10.44,10.62,7.14,262600
1999-11-15,10.81,10.88,10.44,10.50,7.05,92700
1999-11-16,10.50,10.50,10.06,10.19,6.84,353700
1999-11-17,10.19,10.38,10.06,10.38,6.97,204200
1999-11-18,10.50,10.75,10.44,10.69,7.18,162300
1999-11-19,10.81,10.81,10.50,10.62,7.14,480500
1999-11-22,10.88,11.25,10.75,11.19,7.51,254500
1999-11-23,11.31,11.38,11.12,11.31,7.60,134100
1999-11-24,11.31,11.50,11.25,11.25,7.56,126800
1999-11-26,11.38,11.38,11.25,11.31,7.60,40100
1999-11-29,11.31,11.44,11.31,11.44,7.68,81800
1999-11-30,11.44,11.50,11.38,11.38,7.64,179400
1999-12-01,11.38,11.38,11.19,11.25,7.56,143600
1999-12-02,11.25,11.25,11.06,11.19,7.51,114200
1999-12-03,11.19,11.38,11.19,11.38,7.64,244700
1999-12-06,11.25,11.38,11.06,11.12,7.47,154100
1999-12-07,10.81,11.19,10.81,11.19,7.51,220800
1999-12-08,11.19,11.31,11.12,11.31,7.60,248600
1999-12-09,11.25,11.44,11.12,11.12,7.47,351900
