Date,Open,High,Low,Close,Adj Close,Volume
2015-07-23,18.60,18.60,17.00,17.00,17.00,75800
2015-07-24,17.00,17.00,17.00,17.00,17.00,200
2015-07-27,20.95,21.20,20.05,20.85,20.85,2300
2015-07-28,21.00,21.00,19.36,21.00,21.00,1500
2015-07-29,20.95,21.00,19.26,21.00,21.00,1900
2015-07-30,21.00,21.00,21.00,21.00,21.00,800
2015-07-31,21.00,21.00,19.70,19.70,19.70,1600
2015-08-03,26.88,26.88,20.00,23.45,23.45,322800
2015-08-04,24.25,25.86,19.24,21.15,21.15,1516900
2015-08-05,21.00,21.36,20.13,20.56,20.56,692700
2015-08-06,20.50,20.65,17.28,18.60,18.60,326700
2015-08-07,18.34,19.58,17.67,19.30,19.30,598900
2015-08-10,19.43,19.69,18.82,19.01,19.01,259100
2015-08-11,18.79,19.94,18.79,19.56,19.56,741500
2015-08-12,19.47,19.50,18.69,19.37,19.37,452700
2015-08-13,19.80,20.78,19.38,20.60,20.60,491700
2015-08-14,19.95,20.89,19.22,20.33,20.33,526600
2015-08-17,19.93,21.70,19.93,21.07,21.07,562600
2015-08-18,21.28,21.58,21.10,21.44,21.44,380000
2015-08-19,21.08,21.81,20.31,21.39,21.39,299700
2015-08-20,21.14,21.90,20.43,21.20,21.20,716600
2015-08-21,20.95,21.36,20.61,21.25,21.25,384700
2015-08-24,19.99,21.01,19.75,21.01,21.01,407200
2015-08-25,21.01,21.36,19.77,20.40,20.40,534400
2015-08-26,20.00,20.94,20.00,20.41,20.41,376900
2015-08-27,20.26,20.86,20.26,20.40,20.40,269100
2015-08-28,20.20,20.25,18.82,19.92,19.92,202500
2015-08-31,19.52,19.95,19.44,19.74,19.74,164700
2015-09-01,19.22,19.71,18.87,19.08,19.08,201700
2015-09-02,18.98,20.18,18.13,18.71,18.71,485800
2015-09-03,18.49,19.47,18.30,19.31,19.31,305300
2015-09-04,19.07,19.44,18.65,19.07,19.07,359500
2015-09-08,18.96,19.50,17.21,17.77,17.77,559600
2015-09-09,17.50,18.99,17.39,18.79,18.79,468000
2015-09-10,18.53,18.78,18.16,18.35,18.35,176900
2015-09-11,17.90,18.59,17.66,17.71,17.71,597400
2015-09-14,17.72,17.82,17.35,17.57,17.57,392400
2015-09-15,17.66,17.83,17.33,17.38,17.38,433700
2015-09-16,17.32,17.51,16.95,16.97,16.97,325300
2015-09-17,16.97,17.50,16.97,17.25,17.25,348200
2015-09-18,17.14,17.17,16.95,17.08,17.08,360900
2015-09-21,17.08,17.20,16.96,17.05,17.05,329000
2015-09-22,16.89,16.99,16.74,16.81,16.81,241600
2015-09-23,16.77,16.94,16.66,16.78,16.78,338800
2015-09-24,16.95,17.01,16.78,16.94,16.94,353100
2015-09-25,16.89,17.12,16.76,16.98,16.98,482000
2015-09-28,16.87,17.01,16.66,16.92,16.92,386900
2015-09-29,16.83,16.99,16.66,16.84,16.84,117900
2015-09-30,16.82,17.00,16.75,16.95,16.95,345500
2015-10-01,16.88,16.98,16.54,16.54,16.54,265400
2015-10-02,16.48,16.65,15.59,15.76,15.76,378300
2015-10-05,15.68,15.96,15.49,15.59,15.59,268400
2015-10-06,15.51,15.55,15.27,15.28,15.28,429500
2015-10-07,15.40,15.56,15.16,15.23,15.23,438000
2015-10-08,15.36,15.82,15.00,15.18,15.18,695400
2015-10-09,14.91,15.39,14.85,15.14,15.14,419300
2015-10-12,15.16,15.36,14.71,14.75,14.75,120700
2015-10-13,14.65,14.93,14.65,14.69,14.69,173000
2015-10-14,14.76,14.83,14.40,14.45,14.45,150500
2015-10-15,14.44,14.78,14.40,14.75,14.75,165700
2015-10-16,14.78,14.80,14.39,14.47,14.47,183600
2015-10-19,14.41,14.41,13.97,14.12,14.12,582400
2015-10-20,14.17,14.60,13.99,14.28,14.28,854800
2015-10-21,14.21,14.69,14.17,14.50,14.50,526500
2015-10-22,14.70,15.03,14.37,14.60,14.60,715300
2015-10-23,14.66,14.99,14.66,14.87,14.87,178200
2015-10-26,14.79,15.02,14.72,14.83,14.83,603500
2015-10-27,14.79,14.79,14.51,14.55,14.55,229800
2015-10-28,14.63,14.92,14.55,14.70,14.70,133900
2015-10-29,14.60,14.99,14.46,14.51,14.51,183700
2015-10-30,14.46,14.69,14.25,14.34,14.34,400200
2015-11-02,14.35,14.90,14.30,14.80,14.80,291000
2015-11-03,14.94,15.50,14.80,15.38,15.38,272800
2015-11-04,15.40,16.34,15.33,16.06,16.06,484600
2015-11-05,16.15,16.50,15.92,16.35,16.35,462200
2015-11-06,16.25,16.38,15.83,16.07,16.07,164900
2015-11-09,15.98,16.15,15.85,16.03,16.03,256500
2015-11-10,16.02,16.73,15.97,16.54,16.54,364700
2015-11-11,18.20,19.38,17.85,17.95,17.95,1371400
2015-11-12,18.05,18.44,17.50,17.60,17.60,360800
2015-11-13,17.69,18.11,17.48,17.64,17.64,320900
2015-11-16,17.55,18.26,17.46,18.19,18.19,550700
2015-11-17,18.04,18.81,17.98,18.20,18.20,544500
2015-11-18,18.14,18.42,17.90,18.08,18.08,300300
2015-11-19,17.89,18.48,17.76,18.24,18.24,228800
2015-11-20,18.31,19.00,18.24,18.81,18.81,394900
2015-11-23,18.90,19.69,18.82,19.58,19.58,664000
2015-11-24,19.40,19.96,19.36,19.75,19.75,589700
2015-11-25,19.68,20.19,19.68,19.82,19.82,350100
2015-11-27,19.94,20.07,19.29,20.01,20.01,112300
2015-11-30,20.05,20.06,19.89,20.00,20.00,207900
2015-12-01,20.06,20.06,19.86,20.00,20.00,430200
2015-12-02,19.93,20.03,19.82,19.94,19.94,145500
2015-12-03,19.91,20.10,19.55,19.81,19.81,201800
2015-12-04,19.85,20.69,19.77,20.32,20.32,912600
2015-12-07,20.20,20.77,19.50,20.30,20.30,229700
2015-12-08,20.13,20.81,19.97,20.78,20.78,268500
2015-12-09,20.81,20.86,19.89,20.11,20.11,293900
2015-12-10,19.67,19.80,19.44,19.54,19.54,1319100
2015-12-11,19.85,20.72,19.51,20.34,20.34,703300
2015-12-14,20.24,20.78,19.62,19.75,19.75,452300
2015-12-15,19.75,20.32,19.50,20.23,20.23,273700
2015-12-16,20.31,21.86,20.30,21.56,21.56,486100
2015-12-17,21.75,22.22,21.50,21.82,21.82,596100
2015-12-18,21.95,21.97,20.70,21.04,21.04,777000
2015-12-21,21.05,21.40,20.87,21.00,21.00,521100
2015-12-22,21.00,21.34,20.60,20.78,20.78,391300
2015-12-23,20.76,21.24,20.50,21.01,21.01,375700
2015-12-24,20.95,20.98,20.58,20.78,20.78,73500
2015-12-28,20.65,21.41,20.58,21.40,21.40,295400
2015-12-29,21.50,22.00,21.23,22.00,22.00,189000
2015-12-30,21.85,22.60,21.77,22.56,22.56,295500
2015-12-31,22.34,22.57,21.86,22.02,22.02,221700
2016-01-04,21.72,22.61,21.50,22.33,22.33,425200
2016-01-05,22.20,22.64,21.25,21.54,21.54,397800
2016-01-06,21.20,22.17,21.05,21.64,21.64,529300
2016-01-07,21.36,21.79,20.47,20.55,20.55,552400
2016-01-08,19.33,20.70,19.15,19.56,19.56,705900
