Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,0.95,0.96,0.95,0.96,0.35,165282
1977-01-04,0.96,0.97,0.91,0.96,0.35,179952
1977-01-05,0.96,0.98,0.96,0.98,0.36,189732
1977-01-06,0.98,1.04,0.98,1.04,0.37,384354
1977-01-07,1.04,1.05,1.02,1.05,0.38,345234
1977-01-10,1.05,1.06,1.04,1.05,0.38,311004
1977-01-11,1.05,1.05,1.02,1.02,0.37,155502
1977-01-12,1.01,1.01,0.98,1.00,0.36,198534
1977-01-13,1.00,1.00,0.97,0.98,0.36,155502
1977-01-14,0.98,1.00,0.98,0.98,0.36,116382
1977-01-17,1.00,1.04,1.00,1.01,0.36,222006
1977-01-18,1.02,1.04,1.02,1.04,0.37,112470
1977-01-19,1.04,1.05,1.02,1.02,0.37,149634
1977-01-20,1.02,1.04,1.01,1.01,0.36,179952
1977-01-21,1.01,1.02,1.00,1.00,0.36,185820
1977-01-24,1.04,1.09,1.04,1.09,0.39,850860
1977-01-25,1.09,1.12,1.07,1.09,0.39,502692
1977-01-26,1.09,1.09,1.06,1.07,0.39,263082
1977-01-27,1.07,1.09,1.05,1.07,0.39,258192
1977-01-28,1.07,1.09,1.05,1.07,0.39,122250
1977-01-31,1.06,1.06,1.04,1.05,0.38,114426
1977-02-01,1.05,1.05,1.04,1.05,0.38,81174
1977-02-02,1.04,1.04,1.01,1.01,0.36,112470
1977-02-03,1.01,1.02,0.98,1.02,0.37,153546
1977-02-04,1.02,1.04,1.02,1.02,0.37,121272
1977-02-07,1.04,1.06,1.04,1.04,0.37,82152
1977-02-08,1.04,1.04,1.02,1.02,0.37,115404
1977-02-09,1.02,1.05,1.02,1.02,0.37,283620
1977-02-10,1.02,1.02,1.00,1.01,0.36,74328
1977-02-11,1.01,1.01,0.97,0.97,0.35,152568
1977-02-14,0.96,0.96,0.95,0.95,0.34,143766
1977-02-15,0.96,0.98,0.96,0.98,0.36,175062
