Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,7.71,7.08,7.08,3.31,208200
1980-03-18,0.00,7.21,7.00,7.21,3.37,173100
1980-03-19,0.00,7.29,7.08,7.08,3.31,71400
1980-03-20,0.00,7.21,6.88,7.00,3.27,67200
1980-03-21,0.00,6.96,6.71,6.96,3.26,101400
1980-03-24,0.00,6.83,6.71,6.71,3.14,99600
1980-03-25,0.00,6.79,6.58,6.71,3.14,150600
1980-03-26,0.00,7.00,6.71,6.71,3.14,77400
1980-03-27,0.00,6.62,6.21,6.54,3.06,154200
1980-03-28,0.00,6.88,6.50,6.83,3.20,81300
1980-03-31,0.00,7.12,6.79,7.04,3.29,114900
1980-04-01,0.00,7.21,7.04,7.08,3.31,142200
1980-04-02,0.00,7.21,7.08,7.08,3.31,32700
1980-04-03,0.00,7.17,7.08,7.08,3.31,37500
1980-04-07,0.00,7.08,6.96,6.96,3.26,78300
1980-04-08,0.00,6.96,6.71,6.96,3.26,95700
1980-04-09,0.00,6.96,6.88,6.88,3.22,57300
1980-04-10,0.00,6.92,6.75,6.83,3.20,59100
1980-04-11,0.00,6.88,6.79,6.88,3.22,58200
1980-04-14,0.00,6.88,6.79,6.83,3.20,57900
1980-04-15,0.00,6.79,6.50,6.58,3.08,96300
1980-04-16,0.00,6.71,6.42,6.42,3.00,95700
1980-04-17,0.00,6.46,6.21,6.25,2.92,77700
1980-04-18,0.00,6.33,6.21,6.25,2.92,50700
1980-04-21,0.00,6.33,6.17,6.25,2.92,125400
1980-04-22,0.00,6.79,6.33,6.75,3.16,136800
1980-04-23,0.00,6.96,6.71,6.83,3.20,90900
1980-04-24,0.00,7.25,6.88,7.17,3.35,92400
1980-04-25,0.00,7.21,6.96,7.21,3.37,111000
1980-04-28,0.00,7.25,7.12,7.12,3.33,38700
1980-04-29,0.00,7.33,7.12,7.21,3.37,50100
1980-04-30,0.00,7.38,7.21,7.38,3.45,39000
1980-05-01,0.00,7.46,7.33,7.42,3.47,57300
1980-05-02,0.00,7.50,7.33,7.38,3.45,26400
1980-05-05,0.00,7.46,7.33,7.42,3.47,31200
1980-05-06,0.00,7.62,7.38,7.42,3.47,37800
1980-05-07,0.00,7.67,7.42,7.62,3.57,246000
1980-05-08,0.00,7.88,7.54,7.58,3.55,132300
1980-05-09,0.00,7.62,7.50,7.50,3.51,41400
1980-05-12,0.00,7.33,7.17,7.25,3.39,60000
1980-05-13,0.00,7.29,7.08,7.17,3.35,45000
1980-05-14,0.00,7.67,7.12,7.67,3.59,127800
1980-05-15,0.00,7.79,7.67,7.75,3.63,106200
1980-05-16,0.00,7.67,7.50,7.54,3.53,45900
1980-05-19,0.00,7.54,7.42,7.54,3.53,145800
1980-05-20,0.00,7.58,7.50,7.50,3.51,63600
1980-05-21,0.00,7.58,7.33,7.33,3.43,44400
1980-05-22,0.00,7.50,7.21,7.46,3.49,75000
1980-05-23,0.00,7.75,7.54,7.75,3.63,83700
1980-05-27,0.00,8.08,7.88,8.04,3.76,182700
1980-05-28,0.00,8.00,7.83,8.00,3.74,96000
1980-05-29,0.00,8.00,7.83,7.83,3.66,68400
1980-05-30,0.00,7.92,7.67,7.83,3.66,71400
1980-06-02,0.00,7.96,7.75,7.96,3.72,70800
1980-06-03,0.00,7.96,7.75,7.88,3.68,45300
1980-06-04,0.00,7.92,7.75,7.88,3.68,52800
1980-06-05,0.00,8.00,7.88,7.88,3.68,113100
1980-06-06,0.00,8.00,7.83,7.92,3.70,30000
1980-06-09,0.00,8.12,7.79,7.79,3.64,65700
1980-06-10,0.00,7.96,7.75,7.88,3.68,50100
1980-06-11,0.00,8.17,7.96,8.08,3.78,120900
1980-06-12,0.00,8.29,8.04,8.12,3.80,158700
1980-06-13,0.00,8.17,8.04,8.12,3.80,56700
1980-06-16,0.00,8.12,7.92,8.04,3.76,92700
1980-06-17,0.00,8.25,8.08,8.21,3.84,253500
1980-06-18,0.00,8.25,8.04,8.25,3.86,147000
1980-06-19,0.00,8.42,8.12,8.17,3.82,353700
1980-06-20,0.00,8.17,8.04,8.08,3.78,74100
1980-06-23,0.00,8.25,8.17,8.17,3.82,193500
1980-06-24,0.00,8.42,8.17,8.33,3.90,120000
1980-06-25,0.00,8.58,8.33,8.46,3.96,92400
