Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,27.53,33.43,27.53,30.68,30.68,4432595
2016-04-19,30.23,32.28,30.23,31.99,31.99,3177108
2016-04-20,31.71,32.61,31.59,32.04,32.04,1548891
2016-04-21,31.51,32.45,31.51,32.24,32.24,990355
2016-04-22,32.36,32.68,31.88,32.13,32.13,954149
2016-04-25,31.98,32.53,31.80,32.50,32.50,1102021
2016-04-26,32.53,32.89,32.18,32.74,32.74,512365
2016-04-27,33.07,33.07,32.32,32.81,32.81,424903
2016-04-28,33.09,33.43,32.08,32.17,32.17,431920
2016-04-29,32.29,32.39,31.77,32.22,32.22,475041
2016-05-02,31.86,32.64,31.86,32.41,32.41,202281
2016-05-03,31.68,32.58,31.68,32.32,32.32,264217
2016-05-04,31.81,32.76,31.61,31.71,31.71,287913
2016-05-05,31.62,32.03,31.53,31.76,31.76,401512
2016-05-06,31.32,32.28,31.32,32.15,32.15,470464
2016-05-09,31.51,32.20,30.95,31.87,31.87,323711
2016-05-10,31.73,32.18,31.60,32.14,32.14,349950
2016-05-11,32.39,32.39,31.62,31.73,31.73,431615
2016-05-12,31.48,31.83,31.27,31.64,31.64,350865
2016-05-13,31.47,31.73,31.03,31.21,31.21,335407
2016-05-16,31.27,31.67,30.96,31.42,31.42,341814
2016-05-17,31.04,31.18,30.63,30.79,30.79,510534
2016-05-18,30.61,31.07,30.43,30.97,30.97,800176
2016-05-19,31.09,31.09,30.37,30.69,30.69,2012846
2016-05-20,30.63,31.26,30.59,30.98,30.98,434462
2016-05-23,30.90,31.05,30.67,30.75,30.75,263708
2016-05-24,30.77,31.35,30.68,31.31,31.31,478397
2016-05-25,31.28,31.93,30.99,31.37,31.37,546841
2016-05-26,31.30,31.64,31.13,31.19,31.19,319948
2016-05-27,31.16,31.48,30.97,31.46,31.46,310287
2016-05-31,31.43,31.56,31.08,31.36,31.36,486940
2016-06-01,31.39,31.93,31.05,31.88,31.88,764072
2016-06-02,31.75,32.04,31.46,31.64,31.64,720443
2016-06-03,31.52,31.66,31.27,31.61,31.61,374663
2016-06-06,31.59,31.94,31.24,31.27,31.27,286387
2016-06-07,31.20,31.45,30.99,31.16,31.16,394494
2016-06-08,31.24,31.60,31.10,31.38,31.38,366832
2016-06-09,31.36,31.78,31.25,31.77,31.77,394799
2016-06-10,31.40,31.65,31.16,31.35,31.35,186111
