Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,27.57,33.38,27.57,29.53,29.53,6974891
2016-04-19,29.66,31.81,29.51,31.53,31.53,4763323
2016-04-20,31.51,32.08,31.24,31.37,31.37,1224468
2016-04-21,31.44,32.03,31.22,31.94,31.94,1238299
2016-04-22,31.81,32.42,31.73,31.99,31.99,781666
2016-04-25,31.86,32.14,31.67,32.13,32.13,1157956
2016-04-26,32.07,32.51,31.89,32.09,32.09,504127
2016-04-27,31.84,32.41,31.79,32.26,32.26,469244
2016-04-28,33.24,35.09,31.54,31.72,31.72,408834
2016-04-29,32.00,32.00,31.26,31.48,31.48,749834
2016-05-02,31.49,32.20,31.47,32.10,32.10,394393
2016-05-03,31.40,32.15,31.40,31.93,31.93,366527
2016-05-04,31.76,32.37,31.24,31.41,31.41,255979
2016-05-05,31.54,31.62,31.27,31.44,31.44,492533
2016-05-06,31.16,31.80,31.16,31.79,31.79,868721
2016-05-09,31.23,31.75,31.23,31.34,31.34,337034
2016-05-10,31.65,31.67,31.14,31.54,31.54,602166
2016-05-11,31.28,31.53,30.89,31.01,31.01,452972
2016-05-12,31.01,31.13,30.59,30.82,30.82,248351
2016-05-13,30.86,31.00,29.78,30.52,30.52,1866297
2016-05-16,30.30,30.96,30.28,30.61,30.61,651389
2016-05-17,30.34,30.89,29.51,30.37,30.37,1071003
2016-05-18,30.18,30.87,30.18,30.69,30.69,737223
2016-05-19,30.14,30.90,30.09,30.55,30.55,2177092
2016-05-20,30.59,31.10,30.50,30.79,30.79,775869
2016-05-23,30.72,30.88,30.46,30.50,30.50,286692
2016-05-24,30.39,31.14,30.39,30.98,30.98,670203
2016-05-25,30.99,31.25,30.77,31.09,31.09,557926
2016-05-26,31.02,31.41,30.85,30.88,30.88,441988
2016-05-27,30.85,31.21,30.75,31.01,31.01,454294
2016-05-31,31.25,31.25,30.78,30.92,30.92,1152973
2016-06-01,30.66,31.24,30.18,31.13,31.13,1637879
2016-06-02,31.02,31.32,30.98,31.08,31.08,503618
2016-06-03,30.99,31.07,28.01,30.94,30.94,900248
2016-06-06,30.88,31.35,30.77,30.79,30.79,571656
2016-06-07,30.68,31.01,30.60,30.82,30.82,453989
2016-06-08,30.76,31.14,30.76,30.90,30.90,387274
2016-06-09,30.71,31.23,30.71,31.20,31.20,463549
2016-06-10,31.01,31.11,30.68,30.92,30.92,435073
2016-06-13,30.81,30.96,30.15,30.24,30.24,565757
2016-06-14,30.15,30.33,29.85,29.97,29.97,461820
2016-06-15,29.91,30.45,29.91,29.99,29.99,541959
2016-06-16,29.80,30.32,29.60,30.24,30.24,344255
2016-06-17,30.07,30.53,29.45,29.55,29.55,5197582
2016-06-20,30.14,30.29,29.44,29.68,29.68,1287929
2016-06-21,29.62,29.64,29.05,29.09,29.09,930250
2016-06-22,29.18,29.48,28.79,29.46,29.46,1783411
2016-06-23,29.65,30.94,29.14,30.88,30.88,2412629
2016-06-24,29.40,30.47,29.40,29.88,29.88,2153294
2016-06-27,29.64,29.89,28.53,28.80,28.80,833330
2016-06-28,29.13,29.56,28.73,29.50,29.50,1574926
2016-06-29,29.83,30.29,29.53,29.88,29.88,793057
2016-06-30,29.91,30.47,29.62,30.35,30.35,846246
2016-07-01,30.39,30.80,30.24,30.70,30.70,666542
2016-07-05,30.43,30.86,30.01,30.62,30.62,628709
2016-07-06,30.42,30.88,30.00,30.78,30.78,502093
2016-07-07,30.73,31.35,30.65,30.97,30.97,641219
2016-07-08,31.24,31.65,31.16,31.49,31.49,522941
2016-07-11,31.61,31.84,31.48,31.76,31.76,244894
2016-07-12,31.86,32.05,31.29,31.33,31.33,367747
2016-07-13,31.35,31.83,31.18,31.79,31.79,465074
2016-07-14,31.91,32.45,31.62,32.37,32.37,588131
2016-07-15,32.30,32.54,32.13,32.51,32.51,396325
2016-07-18,32.46,32.77,32.11,32.68,32.68,344153
2016-07-19,32.55,33.11,32.55,33.07,33.07,748105
2016-07-20,33.09,33.36,32.90,33.33,33.33,587216
2016-07-21,33.24,33.42,32.96,33.35,33.35,429479
2016-07-22,33.31,33.74,33.10,33.67,33.67,541858
2016-07-25,33.53,33.66,32.83,32.84,32.84,479821
2016-07-26,32.89,34.46,32.89,34.25,34.25,765801
2016-07-27,34.32,34.91,34.18,34.66,34.66,322999
2016-07-28,34.67,34.69,33.85,34.35,34.35,431615
2016-07-29,34.37,34.84,34.03,34.66,34.66,508602
2016-08-01,34.54,34.59,33.94,34.04,34.04,430496
