Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,36.75,38.79,36.56,37.85,37.85,12389400
2021-07-01,36.70,39.90,36.00,38.50,38.50,3200400
2021-07-02,38.49,40.94,38.08,38.94,38.94,1159100
2021-07-06,39.29,40.00,38.04,38.07,38.07,739900
2021-07-07,38.22,39.79,36.72,36.75,36.75,1200400
2021-07-08,35.91,37.77,35.00,36.92,36.92,876700
2021-07-09,37.36,37.85,36.00,36.38,36.38,234400
2021-07-12,36.36,37.83,36.36,36.53,36.53,202800
2021-07-13,36.83,38.15,36.44,37.89,37.89,172400
2021-07-14,37.89,38.26,36.74,36.97,36.97,304600
2021-07-15,36.96,37.30,35.15,36.00,36.00,414000
2021-07-16,36.36,36.77,34.87,36.45,36.45,254600
2021-07-19,36.37,36.39,35.08,35.34,35.34,167400
2021-07-20,35.30,38.99,34.51,38.18,38.18,545700
2021-07-21,38.11,38.89,37.35,38.00,38.00,230000
2021-07-22,38.02,39.31,37.22,39.07,39.07,205800
2021-07-23,40.01,40.30,37.58,37.90,37.90,436100
2021-07-26,38.19,39.71,36.00,36.00,36.00,273100
2021-07-27,35.85,36.95,34.75,35.01,35.01,309300
2021-07-28,35.12,37.07,34.90,35.39,35.39,232300
2021-07-29,35.92,36.89,35.90,36.41,36.41,211200
2021-07-30,36.27,36.95,35.33,36.78,36.78,158700
2021-08-02,36.98,38.32,36.53,37.43,37.43,349400
2021-08-03,37.72,38.30,36.18,37.56,37.56,425400
2021-08-04,37.32,39.14,37.14,38.99,38.99,224100
2021-08-05,39.07,39.40,38.35,39.00,39.00,183500
2021-08-06,39.12,39.38,38.51,39.00,39.00,269600
2021-08-09,39.01,39.40,38.67,38.96,38.96,257100
2021-08-10,39.08,40.71,38.32,39.85,39.85,562800
2021-08-11,39.75,39.75,36.10,36.34,36.34,577000
2021-08-12,36.42,37.38,34.93,35.00,35.00,535500
2021-08-13,35.00,36.43,34.72,34.84,34.84,1296200
2021-08-16,34.93,35.20,33.61,34.05,34.05,858000
2021-08-17,34.05,34.70,33.09,34.35,34.35,999600
2021-08-18,34.20,34.20,33.25,33.72,33.72,524100
2021-08-19,33.40,34.41,32.51,33.84,33.84,584500
2021-08-20,33.80,36.82,33.26,36.39,36.39,480400
2021-08-23,36.04,36.58,34.31,34.81,34.81,283000
2021-08-24,34.81,36.43,34.71,36.18,36.18,141200
2021-08-25,36.22,37.06,35.70,36.85,36.85,350900
2021-08-26,36.80,36.94,34.63,34.84,34.84,211200
2021-08-27,34.90,35.20,34.10,35.10,35.10,211100
2021-08-30,35.24,35.40,34.36,34.47,34.47,422700
2021-08-31,34.37,34.92,34.00,34.23,34.23,356300
2021-09-01,34.23,34.85,34.17,34.41,34.41,375800
2021-09-02,34.86,36.38,34.77,36.19,36.19,476400
2021-09-03,36.47,36.47,35.21,35.91,35.91,175500
2021-09-07,35.98,36.15,34.03,34.40,34.40,453700
2021-09-08,34.40,35.21,33.75,34.46,34.46,427100
2021-09-09,34.44,35.35,34.12,35.16,35.16,308800
2021-09-10,35.42,35.82,34.48,35.02,35.02,309800
2021-09-13,35.18,35.18,33.82,34.55,34.55,499400
2021-09-14,34.42,35.37,34.26,34.31,34.31,235000
2021-09-15,34.37,36.31,34.17,36.13,36.13,568500
2021-09-16,36.13,36.60,35.60,36.21,36.21,248200
2021-09-17,36.00,36.43,34.70,35.26,35.26,2569300
2021-09-20,34.50,34.80,32.01,32.75,32.75,1134900
2021-09-21,32.93,33.35,30.42,30.78,30.78,756200
2021-09-22,30.73,30.91,29.34,29.73,29.73,932000
2021-09-23,29.80,30.28,28.28,28.45,28.45,689600
2021-09-24,28.35,28.35,26.21,26.25,26.25,1316500
2021-09-27,26.18,27.40,24.83,27.25,27.25,1238800
2021-09-28,27.00,27.00,25.70,26.21,26.21,702300
2021-09-29,26.40,26.97,26.24,26.72,26.72,612300
